,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
149,APENFT-NFT,$0.0000,+0.02%,$8.4m,$463.2k,+6.13%,0.00%,0.06,-0.0862%,+0.1285%,$469.4
150,IoTeX-IOTX,$0.0348,-2.11%,$8.4m,$5.9m,-0.95%,0.02%,0.71,+0.0100%,+0.0100%,$5.4k
151,Render Token-RNDR,$0.5507,+7.12%,$7.9m,$2.9m,+11.13%,0.01%,0.37,-0.0801%,-0.0389%,$51.4k
152,SafePal-SFP,$0.3770,+1.32%,$7.8m,$4.6m,+1.56%,0.02%,0.58,+0.0007%,+0.0007%,$11.8k
153,Yield Guild Games-YGG,$0.4733,-4.57%,$7.6m,$4.1m,-1.30%,0.02%,0.55,+0.0182%,-0.0102%,$8.2k
154,Mines of Dalarnia-DAR,$0.2383,-0.22%,$7.5m,$3.0m,+7.30%,0.01%,0.40,+0.0100%,+0.0100%,$3.9k
155,TomoChain-TOMO,$0.4823,+0.13%,$7.2m,$3.1m,+1.52%,0.01%,0.43,+0.0074%,+0.0052%,$4.8k
156,Adventure Gold-AGLD,$0.4010,-5.09%,$7.0m,$2.3m,-20.61%,0.01%,0.32,+0.0166%,-0.0452%,$6.9k
157,Klaytn-KLAY,$0.2192,+1.29%,$6.7m,$4.8m,+1.42%,0.02%,0.72,+0.0048%,+0.0061%,$431.4
158,Crypto.com Coin-CRO,$0.1152,+1.60%,$6.4m,$12.1m,+3.86%,0.05%,1.88,-0.0060%,+0.0056%,$584.1
159,LooksRare-LOOKS,$0.2617,-1.11%,$6.1m,$12.6m,-1.22%,0.05%,2.07,-0.0098%,-0.0045%,$5.6k
160,Perpetual Protocol-PERP,$0.6866,+3.01%,$6.0m,$1.9m,+16.51%,0.01%,0.32,+0.0711%,-0.0337%,$1.4k
161,Bancor-BNT,$0.4757,+1.64%,$5.9m,$2.0m,+7.35%,0.01%,0.34,-0.1827%,-0.0296%,$3.9k
162,DeFi Binance-DEFI,$744.80,+0.95%,$5.8m,$1.8m,+1.83%,0.01%,0.32,+0.0100%,+0.0100%,$3.1k
163,JUST-JST,$0.0266,+2.50%,$5.2m,$1.6m,-0.32%,0.01%,0.32,+0.0178%,-0.0129%,$0.0
164,DigiByte-DGB,$0.0100,+0.95%,$5.0m,$3.4m,-0.53%,0.01%,0.69,+0.0100%,+0.0100%,$2.3k
165,Badger DAO-BADGER,$5.09,+0.20%,$4.6m,$2.6m,+1.20%,0.01%,0.55,-0.0073%,-0.0256%,$626.2
166,Step App-FITFI,$0.0663,-1.99%,$4.6m,$2.3m,-1.87%,0.01%,0.51,+0.0250%,-0.0148%,$29.0k
167,Altcoin Index FTX-ALT,"$1,950.20",+0.98%,$4.2m,$14.7m,+0.01%,0.06%,3.46,+0.0029%,+0.0024%,$170.3
168,Frax Share-FXS,$6.28,+1.76%,$4.1m,$7.4m,+3.06%,0.03%,1.80,+0.0025%,+0.0019%,$1.8k
169,Convex Finance-CVX,$5.39,-1.06%,$3.7m,$4.1m,+2.37%,0.02%,1.13,+0.0055%,+0.0060%,$370.6
170,Mina-MINA,$0.6521,-0.10%,$3.5m,$3.0m,+2.19%,0.01%,0.87,+0.0171%,+0.0134%,$808.4
