,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
49,Tezos-XTZ,$1.57,+5.62%,$71.4m,$30.0m,+12.24%,0.13%,0.42,+0.0076%,+0.0082%,$148.8k,2022-09-08 21:48:25.112119
50,Synthetix Network Token-SNX,$2.91,-2.46%,$66.9m,$31.5m,-5.01%,0.13%,0.47,+0.0049%,-0.0034%,$34.9k,2022-09-08 21:48:25.112119
51,Kyber Network Crystal-KNC,$1.77,+2.58%,$66.7m,$21.1m,+6.88%,0.09%,0.32,-0.0016%,-0.0007%,$67.3k,2022-09-08 21:48:25.112119
52,Monero-XMR,$151.30,+0.79%,$63.2m,$41.8m,+3.53%,0.18%,0.66,-0.0032%,-0.0028%,$13.9k,2022-09-08 21:48:25.112119
53,BakeryToken-BAKE,$0.2590,+3.15%,$62.8m,$5.1m,+51.62%,0.02%,0.08,+0.0032%,+0.0100%,$122.6k,2022-09-08 21:48:25.112119
54,ZCash-ZEC,$60.82,+2.09%,$59.9m,$20.3m,-2.81%,0.09%,0.34,-0.0076%,+0.0003%,$72.8k,2022-09-08 21:48:25.112119
55,THETA-THETA,$1.12,+0.32%,$59.3m,$22.1m,+0.25%,0.09%,0.37,+0.0024%,+0.0031%,$23.1k,2022-09-08 21:48:25.112119
56,Algorand-ALGO,$0.3038,+1.64%,$58.7m,$29.1m,+0.29%,0.12%,0.50,+0.0123%,-0.0016%,$25.3k,2022-09-08 21:48:25.112119
57,Ankr-ANKR,$0.0348,+1.61%,$53.7m,$14.6m,+9.68%,0.06%,0.27,-0.0129%,-0.0404%,$121.3k,2022-09-08 21:48:25.112119
58,Metal-MTL,$1.18,+2.95%,$53.3m,$6.4m,+13.33%,0.03%,0.12,-0.0143%,-0.0249%,$75.6k,2022-09-08 21:48:25.112119
59,Compound-COMP,$48.58,+0.53%,$49.6m,$23.2m,+1.00%,0.10%,0.47,-0.0102%,-0.0087%,$108.8k,2022-09-08 21:48:25.112119
60,Project Galaxy-GAL,$2.48,-2.02%,$49.1m,$13.3m,-5.71%,0.06%,0.27,-0.0147%,-0.0056%,$28.5k,2022-09-08 21:48:25.112119
61,BinaryX-BNX,$142.55,+3.67%,$47.5m,$32.3m,+9.80%,0.14%,0.68,+0.0100%,+0.0100%,$161.1k,2022-09-08 21:48:25.112119
62,1inch-1INCH,$0.6437,+0.52%,$46.2m,$20.9m,+3.62%,0.09%,0.45,-0.0085%,+0.0014%,$19.4k,2022-09-08 21:48:25.112119
63,Serum-SRM,$0.8216,+4.27%,$45.4m,$26.3m,+5.21%,0.11%,0.58,+0.0013%,+0.0151%,$40.1k,2022-09-08 21:48:25.112119
64,Enjin Coin-ENJ,$0.5192,+0.40%,$44.4m,$14.7m,+1.51%,0.06%,0.33,+0.0022%,+0.0051%,$100.5k,2022-09-08 21:48:25.112119
65,Stellar Lumens-XLM,$0.1041,+1.66%,$44.3m,$37.4m,-0.89%,0.16%,0.84,+0.0051%,+0.0008%,$14.3k,2022-09-08 21:48:25.112119
66,NEO-NEO,$9.47,+6.68%,$41.3m,$15.5m,+23.18%,0.07%,0.38,-0.0076%,+0.0116%,$25.1k,2022-09-08 21:48:25.112119
67,SHIBA INU-SHIB,$0.0000,-0.64%,$41.1m,$20.4m,+6.64%,0.09%,0.50,+0.0072%,+0.0088%,$101.7k,2022-09-08 21:48:25.112119
68,Anchor Protocol-ANC,$0.1099,+16.05%,$40.6m,$1.5m,+83.69%,0.01%,0.04,-0.0030%,+0.0028%,$163.1k,2022-09-08 21:48:25.112119
69,Ocean Protocol-OCEAN,$0.1735,-4.22%,$39.6m,$5.9m,-16.84%,0.03%,0.15,+0.0100%,+0.0100%,$98.8k,2022-09-08 21:48:25.112119
70,Elrond-EGLD,$52.35,+2.39%,$39.6m,$15.5m,+2.67%,0.07%,0.39,+0.0052%,+0.0102%,$42.4k,2022-09-08 21:48:25.112119
71,Spell Token-SPELL,$0.0013,+2.03%,$38.8m,$6.6m,+22.66%,0.03%,0.17,+0.0050%,+0.0055%,$118.0k,2022-09-08 21:48:25.112119
72,Zilliqa-ZIL,$0.0352,+1.27%,$37.8m,$22.0m,-1.57%,0.09%,0.58,+0.0061%,+0.0034%,$37.9k,2022-09-08 21:48:25.112119
73,Kava-KAVA,$1.64,+2.83%,$37.7m,$11.3m,+7.76%,0.05%,0.30,-0.0435%,-0.0399%,$15.0k,2022-09-08 21:48:25.112119
74,CertiK-CTK,$1.03,-3.08%,$37.3m,$8.6m,-29.36%,0.04%,0.23,-0.0019%,-0.0016%,$118.9k,2022-09-08 21:48:25.112119
75,Celsius-CEL,$1.26,-4.74%,$35.5m,$23.0m,+0.65%,0.10%,0.65,-0.2749%,-0.1951%,$138.9k,2022-09-08 21:48:25.112119
76,Harmony-ONE,$0.0200,+0.26%,$34.8m,$14.4m,-1.61%,0.06%,0.41,+0.0065%,+0.0047%,$6.9k,2022-09-08 21:48:25.112119
77,Lido DAO Token-LDO,$1.86,-6.00%,$34.7m,$19.0m,+1.14%,0.08%,0.55,+0.0034%,+0.0021%,$55.8k,2022-09-08 21:48:25.112119
78,Mask Network-MASK,$1.38,-1.05%,$34.3m,$7.6m,-2.59%,0.03%,0.22,+0.0217%,-0.0008%,$18.1k,2022-09-08 21:48:25.112119
79,FTX Token-FTT,$25.98,-0.15%,$33.8m,$67.4m,-2.17%,0.29%,1.99,-0.0078%,-0.0023%,$103.5k,2022-09-08 21:48:25.112119
