,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,639.88",+0.47%,$32.9b,$7.3b,+4.28%,30.89%,0.22,-0.0073%,-0.0110%,$51.1m,2022-09-09 00:28:34.126030
1,Bitcoin-BTC,"$19,364.65",+0.03%,$23.3b,$9.6b,-0.92%,40.55%,0.41,+0.0009%,+0.0027%,$24.4m,2022-09-09 00:28:34.126030
2,Ethereum Classic-ETC,$37.11,-0.78%,$3.3b,$498.4m,-2.17%,2.10%,0.15,-0.0090%,-0.0151%,$8.1m,2022-09-09 00:28:34.126030
3,EOS-EOS,$1.59,-3.45%,$1.5b,$212.0m,-14.02%,0.89%,0.14,+0.0069%,+0.0077%,$2.2m,2022-09-09 00:28:34.126030
4,Solana-SOL,$34.05,+3.94%,$1.4b,$413.6m,+7.02%,1.75%,0.29,+0.0051%,+0.0095%,$1.9m,2022-09-09 00:28:34.126030
5,Cosmos-ATOM,$13.89,+7.85%,$1.0b,$181.7m,+39.58%,0.77%,0.18,-0.0041%,-0.0113%,$1.4m,2022-09-09 00:28:34.126030
6,Helium-HNT,$4.86,-6.16%,$835.6m,$32.2m,-15.65%,0.14%,0.04,+0.0035%,+0.0037%,$1.2m,2022-09-09 00:28:34.126030
7,Cardano-ADA,$0.4851,+1.23%,$746.3m,$283.9m,+1.19%,1.20%,0.38,+0.0119%,+0.0153%,$730.4k,2022-09-09 00:28:34.126030
8,NEAR Protocol-NEAR,$4.63,+3.74%,$692.4m,$121.9m,+24.96%,0.51%,0.18,+0.0026%,+0.0044%,$1.3m,2022-09-09 00:28:34.126030
9,Ripple-XRP,$0.3403,+1.25%,$675.7m,$328.8m,-0.38%,1.39%,0.49,-0.0052%,-0.0054%,$841.9k,2022-09-09 00:28:34.126030
10,Binance Coin-BNB,$281.48,+0.91%,$642.7m,$282.1m,+1.98%,1.19%,0.44,+0.0029%,+0.0102%,$261.3k,2022-09-09 00:28:34.126030
11,Bitcoin Cash-BCH,$127.60,+7.86%,$582.4m,$208.8m,+24.20%,0.88%,0.36,-0.0019%,+0.0058%,$938.9k,2022-09-09 00:28:34.126030
12,Polygon-MATIC,$0.8443,+0.04%,$515.5m,$186.7m,-2.66%,0.79%,0.36,-0.0161%,-0.0204%,$497.0k,2022-09-09 00:28:34.126030
13,Avalanche-AVAX,$19.33,+1.25%,$478.3m,$134.6m,+3.02%,0.57%,0.28,+0.0050%,+0.0110%,$328.9k,2022-09-09 00:28:34.126030
14,Litecoin-LTC,$58.13,+1.79%,$450.0m,$190.2m,-1.46%,0.80%,0.42,-0.0038%,+0.0055%,$478.2k,2022-09-09 00:28:34.126030
15,Polkadot-DOT,$7.42,+2.57%,$440.3m,$272.8m,+2.80%,1.15%,0.62,+0.0007%,+0.0028%,$561.6k,2022-09-09 00:28:34.126030
