,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,305.10",-0.35%,$22.6b,$10.5b,-1.27%,41.79%,0.47,+0.0077%,+0.0075%,$34.9m,2022-09-10 17:16:29.306021
1,Ethereum-ETH,"$1,718.41",+0.02%,$16.1b,$7.6b,+0.62%,30.20%,0.47,-0.0122%,-0.0104%,$17.0m,2022-09-10 17:16:29.306021
2,Ethereum Classic-ETC,$38.40,-1.57%,$1.9b,$485.4m,-3.65%,1.93%,0.25,-0.0032%,+0.0001%,$4.7m,2022-09-10 17:16:29.306021
3,LUNA2-LUNA2,$5.84,+15.32%,$1.6b,$32.5m,+109.12%,0.13%,0.02,-0.0303%,-0.0210%,$4.0m,2022-09-10 17:16:29.306021
4,Terra-LUNA,$5.83,-2.56%,$1.5b,$22.3m,-7.74%,0.09%,0.02,-0.0492%,-0.0618%,$9.2m,2022-09-10 17:16:29.306021
5,EOS-EOS,$1.77,+6.52%,$1.2b,$232.8m,+17.13%,0.92%,0.19,+0.0075%,+0.0032%,$2.4m,2022-09-10 17:16:29.306021
6,Cardano-ADA,$0.5108,+3.75%,$1.0b,$309.1m,+6.61%,1.23%,0.30,+0.0093%,-0.0019%,$1.5m,2022-09-10 17:16:29.306021
7,Solana-SOL,$34.61,-0.80%,$961.5m,$405.8m,-6.09%,1.61%,0.42,+0.0109%,+0.0100%,$926.7k,2022-09-10 17:16:29.306021
8,Ravencoin-RVN,$0.0521,+6.47%,$905.4m,$38.2m,-11.11%,0.15%,0.04,+0.0083%,+0.0070%,$2.2m,2022-09-10 17:16:29.306021
9,Cosmos-ATOM,$15.68,-1.72%,$864.2m,$174.0m,-4.37%,0.69%,0.20,+0.0088%,+0.0062%,$970.2k,2022-09-10 17:16:29.306021
10,Ripple-XRP,$0.3535,+2.00%,$668.8m,$340.7m,+0.99%,1.35%,0.51,+0.0042%,-0.0044%,$647.6k,2022-09-10 17:16:29.306021
11,Optimism-OP,$1.35,-3.58%,$664.0m,$66.3m,-10.26%,0.26%,0.10,+0.0202%,+0.0171%,$1.0m,2022-09-10 17:16:29.306021
12,STEPN-GMT,$0.7397,+2.44%,$654.0m,$110.4m,-0.72%,0.44%,0.17,+0.0064%,+0.0075%,$1.6m,2022-09-10 17:16:29.306021
13,Litecoin-LTC,$63.84,+4.59%,$519.1m,$227.3m,+15.14%,0.90%,0.44,+0.0088%,+0.0047%,$707.3k,2022-09-10 17:16:29.306021
14,Avalanche-AVAX,$20.21,-0.79%,$505.2m,$136.3m,-4.54%,0.54%,0.27,+0.0119%,+0.0096%,$547.0k,2022-09-10 17:16:29.306021
15,Helium-HNT,$5.66,+21.66%,$496.5m,$34.1m,+28.71%,0.14%,0.07,+0.0068%,+0.0066%,$926.7k,2022-09-10 17:16:29.306021
16,Binance Coin-BNB,$292.86,+0.09%,$487.0m,$282.3m,-0.77%,1.12%,0.58,+0.0100%,+0.0110%,$330.9k,2022-09-10 17:16:29.306021
17,Polygon-MATIC,$0.8875,+0.11%,$420.3m,$195.9m,+0.27%,0.78%,0.47,+0.0078%,+0.0046%,$439.6k,2022-09-10 17:16:29.306021
18,Filecoin-FIL,$6.25,-1.64%,$408.1m,$113.4m,+0.41%,0.45%,0.28,+0.0035%,-0.0042%,$324.2k,2022-09-10 17:16:29.306021
19,1000LUNC-1000LUNC,$0.4608,+5.49%,$386.9m,$14.2m,+161.29%,0.06%,0.04,-0.0203%,-0.0164%,$1.5m,2022-09-10 17:16:29.306021
20,Dogecoin-DOGE,$0.0639,+0.30%,$384.3m,$122.8m,+1.30%,0.49%,0.32,+0.0138%,+0.0119%,$612.5k,2022-09-10 17:16:29.306021
21,Polkadot-DOT,$7.67,-2.36%,$371.5m,$277.0m,-2.71%,1.10%,0.75,-0.0069%,-0.0074%,$223.1k,2022-09-10 17:16:29.306021
