,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,191.98",+10.47%,$45.5b,$10.6b,+10.06%,42.25%,0.23,+0.0019%,+0.0004%,$128.4m,2022-09-09 18:17:12.116538
1,Ethereum-ETH,"$1,705.39",+4.81%,$33.6b,$7.5b,+3.40%,29.95%,0.22,-0.0082%,-0.0129%,$77.0m,2022-09-09 18:17:12.116538
2,Ethereum Classic-ETC,$38.37,+5.42%,$3.1b,$492.8m,+0.42%,1.97%,0.16,+0.0100%,+0.0031%,$11.5m,2022-09-09 18:17:12.116538
3,Cosmos-ATOM,$15.81,+14.68%,$1.8b,$180.0m,+1.79%,0.72%,0.10,+0.0140%,+0.0037%,$5.9m,2022-09-09 18:17:12.116538
4,Solana-SOL,$34.53,+4.17%,$1.7b,$424.5m,+4.13%,1.70%,0.25,+0.0122%,+0.0122%,$2.8m,2022-09-09 18:17:12.116538
5,Terra-LUNA,$5.23,+173.16%,$1.4b,$19.5m,+162.56%,0.08%,0.01,-0.0943%,-0.0956%,$18.6m,2022-09-09 18:17:12.116538
6,EOS-EOS,$1.63,+1.20%,$1.2b,$196.3m,-11.21%,0.78%,0.16,+0.0088%,+0.0057%,$2.7m,2022-09-09 18:17:12.116538
7,Cardano-ADA,$0.4902,+3.99%,$916.5m,$287.9m,+5.07%,1.15%,0.31,+0.0084%,+0.0065%,$1.3m,2022-09-09 18:17:12.116538
8,Ripple-XRP,$0.3452,+3.39%,$838.0m,$335.0m,+4.46%,1.34%,0.40,+0.0094%,+0.0141%,$1.3m,2022-09-09 18:17:12.116538
9,Ravencoin-RVN,$0.0506,+41.08%,$703.3m,$40.8m,+136.10%,0.16%,0.06,+0.0095%,+0.0209%,$2.1m,2022-09-09 18:17:12.116538
10,Optimism-OP,$1.40,+21.22%,$688.2m,$71.0m,+24.27%,0.28%,0.10,+0.0159%,+0.0166%,$2.4m,2022-09-09 18:17:12.116538
11,Binance Coin-BNB,$290.83,+3.88%,$667.1m,$282.7m,-0.05%,1.13%,0.42,+0.0135%,+0.0119%,$868.7k,2022-09-09 18:17:12.116538
12,Bitcoin Cash-BCH,$132.47,+3.82%,$614.8m,$207.7m,+1.17%,0.83%,0.34,+0.0089%,+0.0058%,$1.5m,2022-09-09 18:17:12.116538
13,Chiliz-CHZ,$0.2029,+9.52%,$610.4m,$83.9m,+9.09%,0.33%,0.14,+0.0164%,+0.0233%,$707.3k,2022-09-09 18:17:12.116538
14,LUNA2-LUNA2,n/a,n/a,$595.9m,$12.9m,+312.38%,0.05%,0.02,-0.3464%,-0.3464%,$3.2m,2022-09-09 18:17:12.116538
15,ApeCoin-APE,$5.04,+13.32%,$576.8m,$78.1m,+24.71%,0.31%,0.14,+0.0027%,+0.0083%,$1.9m,2022-09-09 18:17:12.116538
16,1000SHIB-1000SHIB,$0.0127,+5.12%,$565.9m,$46.6m,+7.80%,0.19%,0.08,+0.0100%,+0.0100%,$1.6m,2022-09-09 18:17:12.116538
17,Avalanche-AVAX,$20.14,+7.07%,$561.5m,$140.7m,+6.53%,0.56%,0.25,+0.0095%,+0.0077%,$682.1k,2022-09-09 18:17:12.116538
18,Chainlink-LINK,$7.70,+4.53%,$557.5m,$125.4m,+6.86%,0.50%,0.22,+0.0095%,+0.0129%,$1.6m,2022-09-09 18:17:12.116538
19,Polkadot-DOT,$7.76,+6.75%,$524.5m,$282.7m,+6.11%,1.13%,0.54,-0.0080%,+0.0022%,$982.3k,2022-09-09 18:17:12.116538
20,Polygon-MATIC,$0.8796,+5.44%,$521.1m,$194.1m,+4.10%,0.78%,0.37,+0.0061%,+0.0038%,$872.3k,2022-09-09 18:17:12.116538
21,Filecoin-FIL,$6.27,+7.84%,$496.3m,$111.2m,+6.74%,0.44%,0.22,+0.0076%,-0.0128%,$815.2k,2022-09-09 18:17:12.116538
22,NEAR Protocol-NEAR,$4.72,+4.27%,$490.4m,$121.1m,-0.23%,0.48%,0.25,+0.0040%,+0.0046%,$1.2m,2022-09-09 18:17:12.116538
23,Litecoin-LTC,$61.09,+6.52%,$479.6m,$199.7m,+6.26%,0.80%,0.42,+0.0051%,+0.0045%,$1.0m,2022-09-09 18:17:12.116538
24,Dogecoin-DOGE,$0.0629,+4.54%,$470.3m,$119.8m,+0.30%,0.48%,0.25,+0.0097%,+0.0112%,$1.0m,2022-09-09 18:17:12.116538
25,STEPN-GMT,$0.7280,+12.37%,$456.7m,$111.2m,+7.53%,0.44%,0.24,+0.0029%,+0.0030%,$1.4m,2022-09-09 18:17:12.116538
26,Stargate Finance-STG,$0.8192,+2.91%,$343.0m,$26.7m,-7.82%,0.11%,0.08,+0.0067%,+0.0069%,$705.9k,2022-09-09 18:17:12.116538
27,Curve DAO Token-CRV,$1.19,+6.39%,$325.5m,$64.4m,+7.74%,0.26%,0.20,+0.0254%,-0.0023%,$507.1k,2022-09-09 18:17:12.116538
28,Helium-HNT,$4.65,-4.61%,$314.0m,$25.9m,-26.01%,0.10%,0.08,+0.0001%,-0.0024%,$476.4k,2022-09-09 18:17:12.116538
29,Unifi Protocol DAO-UNFI,$7.93,+13.44%,$309.4m,$17.1m,-1.56%,0.07%,0.06,+0.0100%,+0.0100%,$511.7k,2022-09-09 18:17:12.116538
30,Axie Infinity-AXS,$15.69,+5.81%,$305.5m,$83.1m,+4.18%,0.33%,0.27,-0.0280%,-0.0290%,$538.8k,2022-09-09 18:17:12.116538
31,Terra Classic-LUNC,$0.0004,-20.66%,$272.1m,$29.8m,+3.68%,0.12%,0.11,-0.0440%,-0.1447%,$1.9m,2022-09-09 18:17:12.116538
32,The Sandbox-SAND,$0.9661,+6.82%,$265.6m,$75.9m,+5.60%,0.30%,0.29,+0.0106%,+0.0089%,$499.1k,2022-09-09 18:17:12.116538
