,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$22,211.50",+1.84%,$35.1b,$11.0b,+4.19%,43.35%,0.31,+0.0033%,+0.0051%,$37.9m,2022-09-13 03:17:28.492198
1,Ethereum-ETH,"$1,703.38",-1.90%,$27.7b,$7.4b,-1.85%,29.32%,0.27,-0.0440%,-0.0581%,$46.3m,2022-09-13 03:17:28.492198
2,Solana-SOL,$37.86,+7.85%,$2.5b,$485.0m,+24.25%,1.91%,0.19,+0.0027%,-0.0004%,$3.1m,2022-09-13 03:17:28.492198
3,Ethereum Classic-ETC,$37.88,+0.16%,$2.4b,$447.5m,-1.46%,1.77%,0.18,-0.0061%,+0.0026%,$7.6m,2022-09-13 03:17:28.492198
4,LUNA2-LUNA2,$4.31,-17.87%,$1.4b,$37.4m,+17.13%,0.15%,0.03,-0.0048%,-0.0041%,$2.6m,2022-09-13 03:17:28.492198
5,Ravencoin-RVN,$0.0653,+24.13%,$1.4b,$66.9m,+107.54%,0.26%,0.05,-0.0174%,-0.0073%,$3.0m,2022-09-13 03:17:28.492198
6,NEAR Protocol-NEAR,$4.97,+3.20%,$961.6m,$128.2m,+13.16%,0.51%,0.13,-0.0010%,+0.0007%,$1.7m,2022-09-13 03:17:28.492198
7,Terra-LUNA,$4.31,-18.05%,$862.6m,$19.0m,-9.84%,0.08%,0.02,-0.0145%,+0.0126%,$5.2m,2022-09-13 03:17:28.492198
8,Avalanche-AVAX,$21.08,+3.38%,$857.4m,$144.4m,+9.47%,0.57%,0.17,-0.0033%,+0.0037%,$1.2m,2022-09-13 03:17:28.492198
9,Polygon-MATIC,$0.9309,+4.84%,$841.1m,$209.9m,+10.39%,0.83%,0.25,+0.0072%,+0.0072%,$1.3m,2022-09-13 03:17:28.492198
10,Cardano-ADA,$0.4950,-2.39%,$792.3m,$286.2m,-4.04%,1.13%,0.36,-0.0032%,+0.0014%,$1.2m,2022-09-13 03:17:28.492198
11,EOS-EOS,$1.64,-2.85%,$737.0m,$186.9m,-5.21%,0.74%,0.25,+0.0026%,+0.0013%,$1.7m,2022-09-13 03:17:28.492198
12,Cosmos-ATOM,$15.47,-0.24%,$733.1m,$150.1m,-4.94%,0.59%,0.20,+0.0014%,+0.0019%,$937.3k,2022-09-13 03:17:28.492198
13,Filecoin-FIL,$6.40,-0.48%,$619.2m,$116.5m,-2.22%,0.46%,0.19,-0.0050%,-0.0107%,$790.2k,2022-09-13 03:17:28.492198
14,Reef-REEF,$0.0048,+24.82%,$613.7m,$23.1m,+355.91%,0.09%,0.04,-0.4194%,-0.5639%,$2.0m,2022-09-13 03:17:28.492198
15,Binance Coin-BNB,$291.97,-0.44%,$603.4m,$270.4m,-1.55%,1.07%,0.45,+0.0004%,-0.0060%,$390.4k,2022-09-13 03:17:28.492198
16,ApeCoin-APE,$5.59,+1.98%,$579.3m,$90.4m,-2.83%,0.36%,0.16,+0.0073%,+0.0081%,$1.7m,2022-09-13 03:17:28.492198
17,1000LUNC-1000LUNC,$0.3229,-21.36%,$538.5m,$23.2m,+5.87%,0.09%,0.04,-0.0341%,-0.0285%,$1.7m,2022-09-13 03:17:28.492198
18,Ripple-XRP,$0.3525,+0.03%,$537.3m,$341.3m,+1.24%,1.35%,0.64,-0.0030%,-0.0047%,$511.1k,2022-09-13 03:17:28.492198
19,Polkadot-DOT,$7.54,-1.75%,$498.9m,$266.3m,-1.40%,1.05%,0.53,-0.0049%,-0.0072%,$550.9k,2022-09-13 03:17:28.492198
20,Optimism-OP,$1.24,-9.93%,$471.2m,$62.4m,-3.97%,0.25%,0.13,+0.0093%,+0.0161%,$1.1m,2022-09-13 03:17:28.492198
21,Litecoin-LTC,$61.09,-0.86%,$427.3m,$209.2m,+2.31%,0.83%,0.49,+0.0142%,+0.0045%,$358.9k,2022-09-13 03:17:28.492198
22,Chiliz-CHZ,$0.2019,-0.88%,$393.2m,$74.4m,-4.53%,0.29%,0.19,+0.0060%,+0.0094%,$579.8k,2022-09-13 03:17:28.492198
23,Chainlink-LINK,$7.64,-4.74%,$379.5m,$115.6m,-11.45%,0.46%,0.30,+0.0008%,+0.0010%,$889.9k,2022-09-13 03:17:28.492198
24,STEPN-GMT,$0.7364,-0.11%,$362.6m,$107.9m,+1.71%,0.43%,0.30,+0.0074%,+0.0057%,$557.2k,2022-09-13 03:17:28.492198
25,Dogecoin-DOGE,$0.0633,+0.15%,$351.8m,$123.5m,+1.23%,0.49%,0.35,+0.0104%,+0.0052%,$369.6k,2022-09-13 03:17:28.492198
26,Terra Classic-LUNC,$0.0003,-21.36%,$280.3m,$37.0m,-17.70%,0.15%,0.13,-0.0053%,+0.0006%,$1.8m,2022-09-13 03:17:28.492198
27,Curve DAO Token-CRV,$1.12,-4.43%,$260.8m,$59.3m,-5.66%,0.23%,0.23,+0.0230%,-0.0151%,$384.1k,2022-09-13 03:17:28.492198
28,1000SHIB-1000SHIB,$0.0127,-1.83%,$259.1m,$43.8m,-3.51%,0.17%,0.17,+0.0057%,+0.0073%,$706.7k,2022-09-13 03:17:28.492198
29,Helium-HNT,$5.22,+0.09%,$245.8m,$22.0m,-4.67%,0.09%,0.09,+0.0060%,+0.0068%,$603.0k,2022-09-13 03:17:28.492198
30,Bitcoin Cash-BCH,$127.94,-1.38%,$242.9m,$177.3m,-4.00%,0.70%,0.73,-0.0080%,-0.0034%,$559.7k,2022-09-13 03:17:28.492198
31,The Sandbox-SAND,$0.9401,-2.81%,$235.0m,$71.4m,-6.09%,0.28%,0.30,+0.0103%,-0.0008%,$664.5k,2022-09-13 03:17:28.492198
32,Fantom-FTM,$0.2658,-2.75%,$213.4m,$46.5m,-4.53%,0.18%,0.22,+0.0055%,+0.0068%,$349.7k,2022-09-13 03:17:28.492198
33,Aave-AAVE,$91.87,+1.13%,$207.8m,$47.6m,+7.29%,0.19%,0.23,+0.0013%,-0.0029%,$232.9k,2022-09-13 03:17:28.492198
34,Axie Infinity-AXS,$15.27,-2.74%,$200.3m,$78.4m,-1.35%,0.31%,0.39,-0.0266%,-0.0142%,$462.7k,2022-09-13 03:17:28.492198
35,Uniswap-UNI,$6.58,+1.31%,$199.5m,$50.3m,+4.18%,0.20%,0.25,+0.0022%,+0.0046%,$160.2k,2022-09-13 03:17:28.492198
36,Unifi Protocol DAO-UNFI,$8.16,+3.95%,$184.6m,$17.5m,+3.03%,0.07%,0.09,+0.0100%,+0.0100%,$269.7k,2022-09-13 03:17:28.492198
37,Hedera-HBAR,$0.0691,+8.28%,$158.3m,$17.6m,+107.11%,0.07%,0.11,-0.2472%,-0.1716%,$434.5k,2022-09-13 03:17:28.492198
38,The Graph-GRT,$0.1244,+4.80%,$141.5m,$27.8m,+13.88%,0.11%,0.20,-0.0009%,-0.0046%,$400.2k,2022-09-13 03:17:28.492198
39,Waves-WAVES,$4.76,-1.52%,$132.4m,$52.4m,-1.61%,0.21%,0.40,+0.0062%,+0.0066%,$219.0k,2022-09-13 03:17:28.492198
40,Stargate Finance-STG,$0.6389,-11.44%,$130.8m,$13.3m,-27.31%,0.05%,0.10,-0.0196%,-0.0138%,$311.4k,2022-09-13 03:17:28.492198
41,Decentraland-MANA,$0.7830,-2.58%,$118.2m,$40.5m,+2.00%,0.16%,0.34,+0.0050%,+0.0051%,$262.1k,2022-09-13 03:17:28.492198
42,Tellor-TRB,$16.66,-1.13%,$115.6m,$33.3m,-1.21%,0.13%,0.29,-0.2902%,-0.2197%,$176.4k,2022-09-13 03:17:28.492198
43,Tron-TRX,$0.0633,-1.47%,$115.2m,$138.9m,-2.64%,0.55%,1.21,-0.0085%,-0.0209%,$9.3k,2022-09-13 03:17:28.492198
44,Monero-XMR,$162.75,+1.45%,$107.8m,$49.8m,+11.59%,0.20%,0.46,-0.2264%,-0.2083%,$114.4k,2022-09-13 03:17:28.492198
45,SHIBA INU-SHIB,$0.0000,-1.81%,$104.6m,$23.3m,-1.09%,0.09%,0.22,+0.0006%,+0.0086%,$247.5k,2022-09-13 03:17:28.492198
46,Gala-GALA,$0.0505,-2.67%,$102.6m,$34.1m,-3.02%,0.13%,0.33,+0.0022%,+0.0040%,$122.3k,2022-09-13 03:17:28.492198
47,dYdX-DYDX,$1.56,-3.98%,$101.7m,$33.2m,-7.74%,0.13%,0.33,+0.0038%,+0.0049%,$244.6k,2022-09-13 03:17:28.492198
48,Ethereum Name Service-ENS,$14.80,-5.37%,$100.2m,$25.4m,-15.59%,0.10%,0.25,-0.0086%,-0.0047%,$96.3k,2022-09-13 03:17:28.492198
49,THETA-THETA,$1.17,-0.80%,$93.8m,$22.6m,-1.81%,0.09%,0.24,-0.0071%,-0.0066%,$147.5k,2022-09-13 03:17:28.492198
50,THORChain-RUNE,$1.93,-3.86%,$89.8m,$22.5m,-3.57%,0.09%,0.25,+0.0078%,+0.0067%,$181.8k,2022-09-13 03:17:28.492198
51,Kyber Network Crystal-KNC,$1.87,-4.92%,$87.5m,$20.1m,-20.29%,0.08%,0.23,-0.0004%,+0.0014%,$146.8k,2022-09-13 03:17:28.492198
52,ConstitutionDAO-PEOPLE,$0.0224,-3.78%,$84.1m,$24.8m,-9.28%,0.10%,0.30,+0.0023%,+0.0074%,$131.3k,2022-09-13 03:17:28.492198
53,Flow (Dapper labs)-FLOW,$2.07,-1.36%,$83.8m,$24.0m,-0.38%,0.09%,0.29,+0.0042%,+0.0045%,$162.3k,2022-09-13 03:17:28.492198
54,SushiSwap-SUSHI,$1.25,-4.27%,$81.5m,$28.9m,-4.60%,0.11%,0.35,+0.0096%,-0.0115%,$89.6k,2022-09-13 03:17:28.492198
55,Injective Protocol-INJ,$1.85,+1.90%,$80.7m,$6.4m,-5.31%,0.03%,0.08,+0.0100%,+0.0100%,$203.8k,2022-09-13 03:17:28.492198
56,Harmony-ONE,$0.0226,+4.29%,$80.1m,$15.6m,+4.08%,0.06%,0.19,+0.0025%,-0.0024%,$192.8k,2022-09-13 03:17:28.492198
57,Project Galaxy-GAL,$2.91,-4.77%,$67.5m,$16.3m,-5.50%,0.06%,0.24,-0.0076%,-0.0059%,$124.7k,2022-09-13 03:17:28.492198
58,Algorand-ALGO,$0.3178,-1.46%,$62.6m,$31.1m,-2.81%,0.12%,0.50,-0.0188%,+0.0146%,$38.1k,2022-09-13 03:17:28.492198
59,yearn.finance-YFI,"$9,681.47",-5.35%,$61.9m,$31.7m,-11.76%,0.13%,0.51,-0.0197%,-0.0260%,$108.8k,2022-09-13 03:17:28.492198
60,Synthetix Network Token-SNX,$2.93,-0.85%,$58.3m,$30.8m,-2.99%,0.12%,0.53,-0.0058%,-0.0103%,$84.2k,2022-09-13 03:17:28.492198
61,Tezos-XTZ,$1.63,-2.37%,$58.2m,$30.0m,-8.51%,0.12%,0.52,-0.0019%,-0.0017%,$146.1k,2022-09-13 03:17:28.492198
62,Audius-AUDIO,$0.2828,-0.28%,$57.3m,$8.1m,-4.03%,0.03%,0.14,+0.0072%,+0.0077%,$86.8k,2022-09-13 03:17:28.492198
63,ZCash-ZEC,$61.81,-4.21%,$57.0m,$21.4m,-1.82%,0.08%,0.38,+0.0120%,+0.0025%,$113.3k,2022-09-13 03:17:28.492198
64,iExec RLC-RLC,$1.37,+3.08%,$56.9m,$6.5m,+4.97%,0.03%,0.11,-0.0376%,-0.0584%,$231.9k,2022-09-13 03:17:28.492198
65,FTX Token-FTT,$28.21,+1.46%,$56.2m,$75.0m,+7.47%,0.30%,1.34,+0.0077%,+0.0076%,$17.6k,2022-09-13 03:17:28.492198
66,Serum-SRM,$0.8600,+0.63%,$55.9m,$26.6m,-0.73%,0.11%,0.48,+0.0020%,-0.0123%,$126.5k,2022-09-13 03:17:28.492198
67,1inch-1INCH,$0.6428,-1.44%,$55.1m,$20.5m,-1.58%,0.08%,0.37,-0.0027%,-0.0167%,$54.9k,2022-09-13 03:17:28.492198
68,Compound-COMP,$55.15,-0.33%,$51.8m,$25.9m,-10.41%,0.10%,0.50,-0.0139%,-0.0115%,$50.9k,2022-09-13 03:17:28.492198
69,Enjin Coin-ENJ,$0.5323,-3.21%,$51.8m,$14.8m,-7.84%,0.06%,0.29,-0.0009%,+0.0030%,$92.7k,2022-09-13 03:17:28.492198
70,Stellar Lumens-XLM,$0.1127,-1.77%,$47.2m,$40.0m,-5.21%,0.16%,0.85,-0.0024%,-0.0087%,$71.7k,2022-09-13 03:17:28.492198
71,Zilliqa-ZIL,$0.0370,-1.06%,$46.8m,$23.0m,-1.26%,0.09%,0.49,+0.0027%,-0.0002%,$51.6k,2022-09-13 03:17:28.492198
72,Balancer-BAL,$7.09,-5.07%,$46.7m,$14.0m,-2.93%,0.06%,0.30,-0.0361%,+0.0014%,$132.5k,2022-09-13 03:17:28.492198
73,Celsius-CEL,$1.45,-6.94%,$45.4m,$20.4m,-13.97%,0.08%,0.45,-0.0782%,-0.1144%,$195.4k,2022-09-13 03:17:28.492198
74,Linear-LINA,$0.0084,-3.26%,$43.9m,$5.1m,-5.12%,0.02%,0.12,+0.0070%,+0.0067%,$178.9k,2022-09-13 03:17:28.492198
75,Lido DAO Token-LDO,$1.96,-5.23%,$43.8m,$18.9m,-5.97%,0.07%,0.43,+0.0014%,+0.0007%,$43.3k,2022-09-13 03:17:28.492198
76,Jasmy-JASMY,$0.0090,-4.05%,$43.8m,$14.8m,-2.14%,0.06%,0.34,+0.0051%,-0.0009%,$152.8k,2022-09-13 03:17:28.492198
77,OmiseGO-OMG,$1.96,-0.09%,$43.4m,$13.5m,+1.99%,0.05%,0.31,+0.0070%,+0.0121%,$83.6k,2022-09-13 03:17:28.492198
78,Oasis Network-ROSE,$0.0634,-3.05%,$42.7m,$12.7m,-7.82%,0.05%,0.30,+0.0083%,+0.0080%,$112.4k,2022-09-13 03:17:28.492198
79,Dash-DASH,$46.38,-3.75%,$42.2m,$13.7m,-6.20%,0.05%,0.32,+0.0088%,+0.0058%,$79.3k,2022-09-13 03:17:28.492198
80,Holo-HOT,$0.0022,-0.45%,$41.8m,$5.3m,+5.08%,0.02%,0.13,-0.0004%,-0.0009%,$90.8k,2022-09-13 03:17:28.492198
81,Immutable X-IMX,$0.8495,-2.18%,$41.3m,$8.9m,-1.62%,0.04%,0.22,-0.0002%,+0.0057%,$62.0k,2022-09-13 03:17:28.492198
82,VeChain-VET,$0.0252,-2.05%,$41.2m,$17.5m,-2.88%,0.07%,0.42,+0.0071%,+0.0079%,$41.1k,2022-09-13 03:17:28.492198
83,Elrond-EGLD,$51.09,-3.17%,$40.4m,$15.4m,-4.43%,0.06%,0.38,-0.0017%,+0.0020%,$85.8k,2022-09-13 03:17:28.492198
84,1000XEC-1000XEC,$0.0465,+2.29%,$40.4m,$4.6m,-18.20%,0.02%,0.11,+0.0100%,+0.0100%,$40.4k,2022-09-13 03:17:28.492198
85,Flamingo-FLM,$0.1156,-5.17%,$39.5m,$17.7m,-6.77%,0.07%,0.45,-0.1613%,-0.0520%,$125.6k,2022-09-13 03:17:28.492198
86,Kusama-KSM,$51.28,-2.52%,$39.3m,$15.2m,-2.63%,0.06%,0.39,-0.0302%,+0.0110%,$26.9k,2022-09-13 03:17:28.492198
87,Raydium-RAY,$0.6587,-2.74%,$36.2m,$8.6m,+2.80%,0.03%,0.24,+0.0057%,+0.0037%,$143.4k,2022-09-13 03:17:28.492198
88,Loopring-LRC,$0.3468,-5.20%,$35.7m,$13.9m,-9.11%,0.05%,0.39,-0.0041%,+0.0111%,$51.4k,2022-09-13 03:17:28.492198
89,Metal-MTL,$1.24,-0.23%,$34.7m,$7.0m,+6.93%,0.03%,0.20,-0.0006%,+0.0025%,$58.6k,2022-09-13 03:17:28.492198
90,Storj-STORJ,$0.5580,+0.10%,$33.8m,$11.2m,+3.65%,0.04%,0.33,+0.0010%,+0.0021%,$50.1k,2022-09-13 03:17:28.492198
91,0x-ZRX,$0.3200,+1.25%,$33.5m,$9.4m,+8.27%,0.04%,0.28,-0.0011%,+0.0024%,$96.5k,2022-09-13 03:17:28.492198
92,NEO-NEO,$9.69,-2.33%,$33.4m,$13.8m,-5.10%,0.05%,0.41,-0.0004%,-0.0188%,$17.3k,2022-09-13 03:17:28.492198
93,Dent-DENT,$0.0010,-3.22%,$32.9m,$5.4m,+6.72%,0.02%,0.16,-0.0166%,-0.0185%,$130.7k,2022-09-13 03:17:28.492198
94,Reserve Rights-RSR,$0.0063,+0.54%,$32.0m,$13.1m,-0.48%,0.05%,0.41,+0.0051%,+0.0073%,$55.1k,2022-09-13 03:17:28.492198
95,Kava-KAVA,$1.68,-2.26%,$31.4m,$9.9m,-5.86%,0.04%,0.32,-0.0088%,-0.0178%,$27.8k,2022-09-13 03:17:28.492198
96,Ren-REN,$0.1294,-3.18%,$30.3m,$7.8m,-3.38%,0.03%,0.26,+0.0094%,+0.0058%,$123.9k,2022-09-13 03:17:28.492198
97,Coin98-C98,$0.4349,-2.35%,$28.0m,$13.2m,-8.77%,0.05%,0.47,+0.0052%,+0.0067%,$31.5k,2022-09-13 03:17:28.492198
