,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
144,Coti-COTI,$0.0917,-1.73%,$9.4m,$4.0m,-2.07%,0.02%,0.43,+0.0004%,+0.0033%,$28.1k,2022-09-16 12:16:28.794092
145,TomoChain-TOMO,$0.4649,-3.20%,$8.6m,$3.1m,-5.34%,0.01%,0.36,+0.0060%,+0.0055%,$25.3k,2022-09-16 12:16:28.794092
146,Aragon-ANT,$1.70,-0.90%,$8.5m,$4.0m,-1.85%,0.02%,0.47,+0.0234%,+0.0041%,$20.2k,2022-09-16 12:16:28.794092
147,Celer Network-CELR,$0.0167,-1.03%,$8.4m,$4.5m,-0.80%,0.02%,0.53,+0.0100%,+0.0100%,$3.0k,2022-09-16 12:16:28.794092
148,ARPA Chain-ARPA,$0.0352,-2.56%,$7.5m,$3.2m,-4.82%,0.01%,0.42,+0.0046%,+0.0050%,$15.7k,2022-09-16 12:16:28.794092
149,Icon-ICX,$0.2561,-1.93%,$7.5m,$4.0m,-0.02%,0.02%,0.53,-0.0006%,-0.0016%,$3.0k,2022-09-16 12:16:28.794092
150,Conflux Network-CFX,$0.0494,-10.15%,$7.3m,$1.4m,-18.52%,0.01%,0.19,-0.0123%,+0.0872%,$54.3k,2022-09-16 12:16:28.794092
151,Akropolis -AKRO,$0.0042,+3.30%,$6.7m,$442.0k,+19.27%,0.00%,0.07,+0.0100%,+0.0100%,$8.4k,2022-09-16 12:16:28.794092
152,IoTeX-IOTX,$0.0322,-1.26%,$6.6m,$5.6m,+2.34%,0.02%,0.84,+0.0042%,+0.0052%,$7.3k,2022-09-16 12:16:28.794092
153,LooksRare-LOOKS,$0.2449,-5.57%,$6.4m,$11.2m,-4.70%,0.05%,1.75,+0.0028%,-0.0084%,$22.2k,2022-09-16 12:16:28.794092
154,Automata Network-ATA,$0.1437,-3.07%,$6.3m,$2.4m,+6.96%,0.01%,0.38,+0.0100%,+0.0100%,$19.9k,2022-09-16 12:16:28.794092
