,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,772.83",-7.10%,$52.0b,$10.2b,-8.62%,42.71%,0.20,+0.0081%,+0.0005%,$69.3m,2022-09-13 18:16:29.707911
1,Ethereum-ETH,"$1,618.74",-6.29%,$39.5b,$7.0b,-6.39%,29.63%,0.18,-0.0574%,-0.1017%,$88.9m,2022-09-13 18:16:29.707911
2,Solana-SOL,$34.92,-6.87%,$2.7b,$426.6m,-11.23%,1.79%,0.16,-0.0052%,-0.0120%,$4.8m,2022-09-13 18:16:29.707911
3,Ethereum Classic-ETC,$35.83,-6.14%,$2.2b,$419.3m,-9.08%,1.76%,0.19,-0.0121%,-0.0276%,$8.3m,2022-09-13 18:16:29.707911
4,LUNA2-LUNA2,$4.25,+0.69%,$1.3b,$31.9m,-12.66%,0.13%,0.02,-0.0063%,-0.0021%,$2.3m,2022-09-13 18:16:29.707911
5,Ravencoin-RVN,$0.0613,-5.41%,$1.3b,$49.7m,-17.43%,0.21%,0.04,+0.0081%,+0.0066%,$3.3m,2022-09-13 18:16:29.707911
6,Litecoin-LTC,$61.69,+0.69%,$1.1b,$237.5m,+13.98%,1.00%,0.22,+0.0189%,+0.0107%,$2.5m,2022-09-13 18:16:29.707911
7,Reef-REEF,$0.0061,+16.52%,$1.0b,$48.3m,+89.27%,0.20%,0.05,-0.6997%,-0.2766%,$2.7m,2022-09-13 18:16:29.707911
8,Cardano-ADA,$0.4756,-5.83%,$944.3m,$268.1m,-9.53%,1.13%,0.28,+0.0090%,-0.0069%,$2.0m,2022-09-13 18:16:29.707911
9,Polygon-MATIC,$0.8697,-6.45%,$931.6m,$182.0m,-11.37%,0.77%,0.20,+0.0030%,+0.0013%,$2.0m,2022-09-13 18:16:29.707911
