,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,808.90",-6.43%,$51.5b,$10.3b,-7.32%,42.98%,0.20,+0.0082%,+0.0028%,$67.7m,2022-09-13 17:16:27.664878
1,Ethereum-ETH,"$1,618.17",-5.60%,$39.4b,$7.1b,-6.41%,29.49%,0.18,-0.0534%,-0.0759%,$89.7m,2022-09-13 17:16:27.664878
2,Solana-SOL,$35.12,-5.97%,$2.7b,$432.1m,-10.44%,1.81%,0.16,-0.0050%,-0.0091%,$4.8m,2022-09-13 17:16:27.664878
3,Ethereum Classic-ETC,$35.64,-6.46%,$2.2b,$417.9m,-9.43%,1.75%,0.19,-0.0102%,-0.0200%,$8.2m,2022-09-13 17:16:27.664878
4,LUNA2-LUNA2,$4.34,+2.32%,$1.3b,$33.3m,-7.44%,0.14%,0.03,-0.0053%,-0.0038%,$2.3m,2022-09-13 17:16:27.664878
5,Ravencoin-RVN,$0.0609,-3.21%,$1.3b,$49.6m,-14.72%,0.21%,0.04,+0.0085%,+0.0077%,$3.3m,2022-09-13 17:16:27.664878
6,Litecoin-LTC,$62.38,+1.87%,$1.1b,$240.5m,+15.40%,1.00%,0.22,+0.0188%,+0.0113%,$2.4m,2022-09-13 17:16:27.664878
7,Reef-REEF,$0.0058,+8.90%,$971.1m,$42.0m,+91.83%,0.18%,0.04,-0.6876%,-0.3496%,$2.4m,2022-09-13 17:16:27.664878
8,Cardano-ADA,$0.4745,-5.47%,$952.2m,$267.4m,-10.17%,1.12%,0.28,+0.0099%,-0.0052%,$2.0m,2022-09-13 17:16:27.664878
9,Polygon-MATIC,$0.8637,-5.82%,$941.7m,$182.7m,-10.35%,0.76%,0.19,+0.0033%,+0.0013%,$2.1m,2022-09-13 17:16:27.664878
10,Avalanche-AVAX,$19.73,-6.00%,$862.8m,$135.8m,-6.58%,0.57%,0.16,-0.0090%,-0.0149%,$1.3m,2022-09-13 17:16:27.664878
11,ApeCoin-APE,$5.22,-2.57%,$846.5m,$83.4m,+1.00%,0.35%,0.10,+0.0074%,-0.0002%,$1.8m,2022-09-13 17:16:27.664878
12,Binance Coin-BNB,$283.71,-3.40%,$836.6m,$251.4m,-9.26%,1.05%,0.30,+0.0011%,-0.0144%,$568.0k,2022-09-13 17:16:27.664878
13,Terra-LUNA,$4.34,+1.71%,$809.1m,$16.0m,-6.96%,0.07%,0.02,-0.0004%,+0.0028%,$3.8m,2022-09-13 17:16:27.664878
14,EOS-EOS,$1.56,-6.03%,$799.9m,$169.2m,-12.01%,0.71%,0.21,+0.0033%,-0.0021%,$1.6m,2022-09-13 17:16:27.664878
15,Cosmos-ATOM,$14.36,-6.86%,$799.9m,$130.7m,-14.58%,0.55%,0.16,+0.0060%,+0.0152%,$1.6m,2022-09-13 17:16:27.664878
16,Ripple-XRP,$0.3400,-3.36%,$717.4m,$326.9m,-3.33%,1.37%,0.46,+0.0080%,+0.0076%,$939.2k,2022-09-13 17:16:27.664878
17,1000LUNC-1000LUNC,$0.3625,+7.53%,$706.7m,$30.8m,+31.87%,0.13%,0.04,-0.2257%,-0.2302%,$2.3m,2022-09-13 17:16:27.664878
18,NEAR Protocol-NEAR,$4.57,-7.75%,$669.0m,$102.8m,-23.99%,0.43%,0.15,-0.0056%,-0.0084%,$1.4m,2022-09-13 17:16:27.664878
19,Chiliz-CHZ,$0.2041,+2.23%,$568.8m,$76.7m,+3.51%,0.32%,0.13,+0.0047%,+0.0028%,$950.4k,2022-09-13 17:16:27.664878
20,Optimism-OP,$1.20,-6.93%,$529.3m,$57.6m,-11.49%,0.24%,0.11,+0.0095%,+0.0070%,$1.3m,2022-09-13 17:16:27.664878
21,Polkadot-DOT,$7.26,-5.72%,$520.3m,$256.4m,-6.17%,1.07%,0.49,-0.0018%,+0.0004%,$870.2k,2022-09-13 17:16:27.664878
22,Filecoin-FIL,$6.07,-6.14%,$518.6m,$111.4m,-5.59%,0.47%,0.21,-0.0069%,-0.0113%,$1.2m,2022-09-13 17:16:27.664878
23,Dogecoin-DOGE,$0.0604,-4.90%,$414.5m,$118.8m,-3.90%,0.50%,0.29,+0.0173%,+0.0108%,$1.3m,2022-09-13 17:16:27.664878
24,STEPN-GMT,$0.6845,-6.44%,$403.9m,$98.6m,-7.34%,0.41%,0.24,+0.0093%,+0.0040%,$926.8k,2022-09-13 17:16:27.664878
25,Chainlink-LINK,$7.26,-6.19%,$398.4m,$108.1m,-11.33%,0.45%,0.27,+0.0145%,+0.0087%,$1.1m,2022-09-13 17:16:27.664878
26,Terra Classic-LUNC,$0.0004,+7.14%,$381.3m,$50.1m,+33.84%,0.21%,0.13,-0.0421%,-0.0656%,$1.7m,2022-09-13 17:16:27.664878
27,Bitcoin Cash-BCH,$120.74,-5.76%,$334.5m,$167.5m,-6.49%,0.70%,0.50,-0.0050%,-0.0192%,$869.6k,2022-09-13 17:16:27.664878
28,Curve DAO Token-CRV,$1.10,-4.17%,$287.6m,$58.0m,-5.49%,0.24%,0.20,+0.0149%,-0.0287%,$657.6k,2022-09-13 17:16:27.664878
