,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,430.33",-2.93%,$26.8b,$6.6b,-0.44%,29.19%,0.25,+0.0069%,-0.0021%,$48.2m,2022-09-17 07:16:21.049463
1,Bitcoin-BTC,"$19,838.22",+0.35%,$24.2b,$9.6b,+1.73%,42.21%,0.39,-0.0024%,-0.0079%,$26.9m,2022-09-17 07:16:21.049463
2,Ethereum Classic-ETC,$33.99,-0.96%,$2.4b,$420.7m,-0.36%,1.86%,0.18,-0.0913%,-0.0632%,$3.6m,2022-09-17 07:16:21.049463
3,Cosmos-ATOM,$16.11,+8.73%,$1.5b,$202.9m,+29.50%,0.90%,0.13,-0.0089%,-0.0088%,$2.9m,2022-09-17 07:16:21.049463
4,Solana-SOL,$32.67,-0.69%,$1.0b,$385.4m,-1.56%,1.70%,0.38,+0.0078%,+0.0062%,$1.8m,2022-09-17 07:16:21.049463
5,Ripple-XRP,$0.3489,+7.35%,$953.0m,$319.7m,+5.64%,1.41%,0.34,+0.0026%,+0.0006%,$2.2m,2022-09-17 07:16:21.049463
6,LUNA2-LUNA2,$3.10,+8.14%,$866.1m,$43.1m,+3.63%,0.19%,0.05,-0.1723%,-0.2229%,$1.5m,2022-09-17 07:16:21.049463
7,1000LUNC-1000LUNC,$0.3109,+5.78%,$819.6m,$41.9m,+27.53%,0.19%,0.05,-0.1117%,-0.1500%,$1.5m,2022-09-17 07:16:21.049463
8,Ravencoin-RVN,$0.0476,-10.72%,$742.4m,$52.1m,-13.25%,0.23%,0.07,-0.0131%,-0.0289%,$1.8m,2022-09-17 07:16:21.049463
9,Chiliz-CHZ,$0.2157,+7.14%,$697.1m,$100.2m,+18.03%,0.44%,0.14,+0.0108%,-0.0007%,$1.1m,2022-09-17 07:16:21.049463
10,Cardano-ADA,$0.4767,+2.24%,$579.4m,$250.5m,+0.63%,1.11%,0.43,+0.0027%,-0.0054%,$770.7k,2022-09-17 07:16:21.049463
11,Chainlink-LINK,$8.02,+5.85%,$529.4m,$126.6m,+14.26%,0.56%,0.24,+0.0148%,+0.0078%,$821.5k,2022-09-17 07:16:21.049463
12,EOS-EOS,$1.42,+0.23%,$518.7m,$159.9m,+2.81%,0.71%,0.31,-0.0076%,-0.0006%,$927.7k,2022-09-17 07:16:21.049463
13,Binance Coin-BNB,$276.28,+0.83%,$460.4m,$258.0m,+1.14%,1.14%,0.56,+0.0062%,+0.0020%,$229.8k,2022-09-17 07:16:21.049463
14,Polygon-MATIC,$0.8101,-1.04%,$450.2m,$159.6m,-2.20%,0.70%,0.35,-0.0030%,-0.0131%,$834.0k,2022-09-17 07:16:21.049463
15,Avalanche-AVAX,$18.15,-0.27%,$380.4m,$134.6m,+1.83%,0.59%,0.35,-0.0183%,-0.0074%,$876.0k,2022-09-17 07:16:21.049463
16,Litecoin-LTC,$56.16,+0.72%,$364.0m,$172.1m,-3.69%,0.76%,0.47,+0.0076%,-0.0027%,$495.7k,2022-09-17 07:16:21.049463
17,Terra-LUNA,$3.11,+8.34%,$354.1m,$18.6m,+11.65%,0.08%,0.05,-0.0139%,-0.1139%,$1.5m,2022-09-17 07:16:21.049463
18,Polkadot-DOT,$7.00,+1.39%,$341.7m,$248.8m,+0.91%,1.10%,0.73,+0.0044%,-0.0054%,$648.3k,2022-09-17 07:16:21.049463
19,ApeCoin-APE,$4.73,-4.04%,$323.0m,$80.5m,+9.41%,0.36%,0.25,-0.0064%,-0.0051%,$750.7k,2022-09-17 07:16:21.049463
20,Optimism-OP,$1.10,-0.59%,$290.5m,$54.2m,-4.67%,0.24%,0.19,+0.0096%,+0.0059%,$527.9k,2022-09-17 07:16:21.049463
21,Terra Classic-LUNC,$0.0003,+5.60%,$273.8m,$45.9m,+11.47%,0.20%,0.17,-0.0421%,-0.1242%,$1.3m,2022-09-17 07:16:21.049463
22,NEAR Protocol-NEAR,$4.27,+0.90%,$249.9m,$103.3m,-0.05%,0.46%,0.41,-0.0126%,-0.0188%,$322.2k,2022-09-17 07:16:21.049463
23,Filecoin-FIL,$5.81,+1.15%,$223.0m,$107.0m,+2.68%,0.47%,0.48,-0.0009%,-0.0050%,$278.8k,2022-09-17 07:16:21.049463
24,Bitcoin Cash-BCH,$120.77,+2.11%,$215.3m,$161.2m,+3.36%,0.71%,0.75,-0.0047%,+0.0006%,$135.1k,2022-09-17 07:16:21.049463
