,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,126.92",-1.10%,$30.4b,$9.5b,-2.02%,40.99%,0.31,-0.0022%,-0.0037%,$45.0m,2022-09-15 02:16:20.121894
1,Ethereum-ETH,"$1,611.22",+1.51%,$30.0b,$7.3b,+3.29%,31.32%,0.24,-0.3450%,-0.4313%,$53.9m,2022-09-15 02:16:20.121894
2,Ethereum Classic-ETC,$38.55,+4.91%,$3.3b,$484.3m,+10.99%,2.09%,0.15,-0.0004%,+0.0043%,$7.7m,2022-09-15 02:16:20.121894
3,LUNA2-LUNA2,$2.96,-31.92%,$2.7b,$50.1m,+57.88%,0.22%,0.02,-0.2540%,-0.2908%,$3.8m,2022-09-15 02:16:20.121894
4,Ravencoin-RVN,$0.0644,+5.63%,$1.8b,$75.7m,+52.59%,0.33%,0.04,-0.0120%,-0.0032%,$3.6m,2022-09-15 02:16:20.121894
5,Solana-SOL,$33.77,+0.64%,$1.3b,$401.7m,+0.29%,1.73%,0.32,+0.0035%,-0.0001%,$2.0m,2022-09-15 02:16:20.121894
6,Terra-LUNA,$2.96,-32.35%,$1.2b,$22.7m,+35.25%,0.10%,0.02,-0.0320%,-0.3352%,$10.5m,2022-09-15 02:16:20.121894
7,Cardano-ADA,$0.4756,+1.31%,$712.4m,$262.9m,-0.31%,1.13%,0.37,+0.0025%,+0.0026%,$653.0k,2022-09-15 02:16:20.121894
8,1000LUNC-1000LUNC,$0.2886,-15.86%,$677.5m,$27.5m,-14.66%,0.12%,0.04,-0.0118%,-0.0222%,$1.7m,2022-09-15 02:16:20.121894
9,EOS-EOS,$1.45,-1.74%,$583.5m,$159.7m,-0.50%,0.69%,0.27,-0.0161%,-0.0122%,$838.1k,2022-09-15 02:16:20.121894
10,Binance Coin-BNB,$276.70,-0.69%,$562.8m,$242.1m,-0.34%,1.04%,0.43,-0.0013%,+0.0069%,$565.2k,2022-09-15 02:16:20.121894
11,Litecoin-LTC,$59.80,+1.28%,$521.7m,$217.4m,-0.97%,0.94%,0.42,+0.0138%,+0.0087%,$595.1k,2022-09-15 02:16:20.121894
12,Reef-REEF,$0.0051,+3.69%,$518.6m,$27.2m,+5.74%,0.12%,0.05,-0.7112%,-0.5492%,$940.5k,2022-09-15 02:16:20.121894
13,Ripple-XRP,$0.3380,+1.13%,$503.9m,$317.0m,-0.39%,1.37%,0.63,-0.0050%,-0.0082%,$549.2k,2022-09-15 02:16:20.121894
14,Cosmos-ATOM,$13.64,-3.25%,$486.5m,$114.2m,-7.74%,0.49%,0.23,-0.0135%,-0.0078%,$734.8k,2022-09-15 02:16:20.121894
15,Polygon-MATIC,$0.8522,-0.88%,$450.6m,$164.2m,-5.51%,0.71%,0.36,+0.0004%,-0.0099%,$576.9k,2022-09-15 02:16:20.121894
16,Avalanche-AVAX,$18.86,-1.28%,$434.1m,$127.9m,-2.03%,0.55%,0.29,-0.0112%,-0.0223%,$872.1k,2022-09-15 02:16:20.121894
17,Tellor-TRB,$17.81,+14.73%,$398.9m,$33.6m,+13.04%,0.14%,0.08,+0.0040%,-0.0062%,$626.0k,2022-09-15 02:16:20.121894
18,ApeCoin-APE,$5.03,-2.79%,$393.9m,$76.5m,-5.17%,0.33%,0.19,+0.0121%,+0.0064%,$904.6k,2022-09-15 02:16:20.121894
19,Chainlink-LINK,$7.32,+2.50%,$389.0m,$105.5m,+3.06%,0.45%,0.27,+0.0020%,+0.0030%,$561.2k,2022-09-15 02:16:20.121894
