,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,901.56",+1.83%,$29.9b,$10.5b,-0.66%,42.04%,0.35,+0.0038%,+0.0058%,$66.3m,2022-09-12 07:16:32.429172
1,Ethereum-ETH,"$1,739.78",-1.06%,$22.9b,$7.6b,-1.13%,30.39%,0.33,-0.0194%,-0.0222%,$42.2m,2022-09-12 07:16:32.429172
2,Ethereum Classic-ETC,$38.00,-1.48%,$1.6b,$461.4m,-4.61%,1.84%,0.30,-0.0026%,-0.0092%,$4.6m,2022-09-12 07:16:32.429172
3,Solana-SOL,$35.06,+1.73%,$1.1b,$392.1m,-0.74%,1.57%,0.35,+0.0033%,+0.0094%,$1.6m,2022-09-12 07:16:32.429172
4,ApeCoin-APE,$5.42,+6.95%,$1.1b,$88.0m,+18.27%,0.35%,0.08,+0.0014%,+0.0015%,$2.0m,2022-09-12 07:16:32.429172
5,LUNA2-LUNA2,$5.19,-14.67%,$1.0b,$35.1m,-6.60%,0.14%,0.03,-0.0354%,-0.0071%,$1.5m,2022-09-12 07:16:32.429172
6,Cardano-ADA,$0.5071,-0.11%,$762.4m,$297.2m,-1.50%,1.19%,0.39,+0.0046%,+0.0006%,$899.5k,2022-09-12 07:16:32.429172
7,Filecoin-FIL,$6.47,+3.31%,$711.2m,$122.1m,+7.58%,0.49%,0.17,+0.0024%,-0.0062%,$1.7m,2022-09-12 07:16:32.429172
8,EOS-EOS,$1.69,-2.88%,$709.6m,$197.1m,-7.62%,0.79%,0.28,+0.0087%,+0.0042%,$1.3m,2022-09-12 07:16:32.429172
9,Terra-LUNA,$5.20,-14.51%,$702.4m,$21.8m,-18.51%,0.09%,0.03,-0.0569%,-0.0105%,$3.5m,2022-09-12 07:16:32.429172
10,Chiliz-CHZ,$0.2061,+1.09%,$618.8m,$80.4m,-2.40%,0.32%,0.13,+0.0025%,+0.0092%,$1.0m,2022-09-12 07:16:32.429172
11,Cosmos-ATOM,$15.40,-4.24%,$520.9m,$155.0m,-10.85%,0.62%,0.30,+0.0012%,+0.0023%,$610.0k,2022-09-12 07:16:32.429172
12,NEAR Protocol-NEAR,$4.79,+1.77%,$491.1m,$112.2m,-1.20%,0.45%,0.23,+0.0021%,+0.0035%,$1.1m,2022-09-12 07:16:32.429172
13,Chainlink-LINK,$7.99,+0.51%,$484.9m,$127.4m,+1.12%,0.51%,0.26,+0.0073%,+0.0075%,$533.5k,2022-09-12 07:16:32.429172
14,Optimism-OP,$1.37,+1.01%,$477.7m,$66.5m,+2.59%,0.27%,0.14,+0.0090%,+0.0092%,$688.4k,2022-09-12 07:16:32.429172
15,Ripple-XRP,$0.3522,-0.71%,$461.9m,$337.0m,-1.22%,1.35%,0.73,-0.0022%,+0.0035%,$383.8k,2022-09-12 07:16:32.429172
16,Avalanche-AVAX,$20.50,+1.02%,$449.8m,$132.6m,-1.33%,0.53%,0.29,+0.0104%,-0.0004%,$498.0k,2022-09-12 07:16:32.429172
17,Binance Coin-BNB,$294.53,+0.27%,$448.9m,$276.1m,-1.20%,1.10%,0.62,+0.0046%,+0.0073%,$192.5k,2022-09-12 07:16:32.429172
18,Litecoin-LTC,$61.53,-1.95%,$413.9m,$204.4m,-5.94%,0.82%,0.49,+0.0056%,+0.0123%,$637.0k,2022-09-12 07:16:32.429172
19,STEPN-GMT,$0.7440,+1.06%,$391.4m,$108.5m,+1.78%,0.43%,0.28,-0.0064%,-0.0023%,$1.0m,2022-09-12 07:16:32.429172
20,Polkadot-DOT,$7.73,+0.45%,$353.6m,$272.8m,-0.53%,1.09%,0.77,-0.0008%,+0.0023%,$398.8k,2022-09-12 07:16:32.429172
