,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,639.51",+1.28%,$21.7b,$10.7b,+1.33%,42.03%,0.49,+0.0020%,+0.0022%,$41.3m,2022-09-11 11:16:43.156647
1,Ethereum-ETH,"$1,767.72",+2.37%,$17.1b,$7.8b,+1.80%,30.43%,0.46,-0.0142%,-0.0173%,$56.1m,2022-09-11 11:16:43.156647
2,LUNA2-LUNA2,$6.15,-6.71%,$1.7b,$40.5m,+17.31%,0.16%,0.02,-0.0267%,-0.0320%,$2.8m,2022-09-11 11:16:43.156647
3,Ethereum Classic-ETC,$38.85,-0.74%,$1.4b,$484.0m,-4.41%,1.90%,0.35,+0.0019%,+0.0037%,$4.7m,2022-09-11 11:16:43.156647
4,EOS-EOS,$1.76,+1.60%,$1.3b,$217.0m,-1.57%,0.85%,0.16,+0.0081%,+0.0071%,$2.7m,2022-09-11 11:16:43.156647
5,Terra-LUNA,$6.16,-6.47%,$1.0b,$26.5m,-9.36%,0.10%,0.03,-0.0440%,-0.0424%,$5.0m,2022-09-11 11:16:43.156647
6,Solana-SOL,$34.69,-0.10%,$791.2m,$398.8m,-2.81%,1.56%,0.50,+0.0028%,+0.0053%,$959.4k,2022-09-11 11:16:43.156647
7,Cardano-ADA,$0.5133,+0.37%,$763.3m,$314.1m,+0.56%,1.23%,0.41,+0.0008%,+0.0065%,$681.8k,2022-09-11 11:16:43.156647
8,Cosmos-ATOM,$15.84,-0.14%,$656.4m,$168.7m,-3.94%,0.66%,0.26,+0.0055%,+0.0066%,$1.2m,2022-09-11 11:16:43.156647
9,Litecoin-LTC,$62.95,+1.70%,$549.1m,$217.9m,+6.61%,0.85%,0.40,+0.0069%,+0.0080%,$776.4k,2022-09-11 11:16:43.156647
10,Helium-HNT,$5.30,-0.32%,$533.9m,$27.8m,-2.05%,0.11%,0.05,+0.0050%,+0.0005%,$853.3k,2022-09-11 11:16:43.156647
11,Chiliz-CHZ,$0.2155,+7.44%,$497.2m,$90.3m,+12.89%,0.35%,0.18,+0.0102%,+0.0132%,$539.6k,2022-09-11 11:16:43.156647
12,Ravencoin-RVN,$0.0522,-3.16%,$454.6m,$35.1m,-17.21%,0.14%,0.08,+0.0079%,+0.0169%,$969.4k,2022-09-11 11:16:43.156647
13,ApeCoin-APE,$5.48,+9.33%,$449.1m,$96.1m,+32.05%,0.38%,0.21,+0.0069%,+0.0117%,$856.8k,2022-09-11 11:16:43.156647
14,Optimism-OP,$1.36,-2.47%,$409.2m,$65.5m,-6.10%,0.26%,0.16,+0.0188%,+0.0143%,$627.5k,2022-09-11 11:16:43.156647
15,Binance Coin-BNB,$295.68,+0.47%,$396.1m,$282.0m,-0.18%,1.11%,0.71,+0.0034%,+0.0108%,$289.3k,2022-09-11 11:16:43.156647
16,1000LUNC-1000LUNC,$0.4424,+3.20%,$379.4m,$17.0m,+41.45%,0.07%,0.04,-0.0655%,-0.0665%,$917.7k,2022-09-11 11:16:43.156647
17,Chainlink-LINK,$8.00,+3.22%,$370.4m,$128.3m,+6.41%,0.50%,0.35,+0.0047%,+0.0151%,$409.9k,2022-09-11 11:16:43.156647
18,Ripple-XRP,$0.3552,+0.15%,$362.4m,$342.4m,+1.00%,1.34%,0.94,-0.0011%,+0.0034%,$484.7k,2022-09-11 11:16:43.156647
19,Avalanche-AVAX,$20.34,-0.32%,$356.5m,$134.1m,-3.47%,0.53%,0.38,+0.0095%,+0.0042%,$300.5k,2022-09-11 11:16:43.156647
20,Polygon-MATIC,$0.8941,+0.71%,$345.6m,$199.2m,+1.11%,0.78%,0.58,+0.0082%,+0.0082%,$709.3k,2022-09-11 11:16:43.156647
21,STEPN-GMT,$0.7513,-0.97%,$344.2m,$110.4m,-2.43%,0.43%,0.32,-0.0107%,-0.0011%,$806.3k,2022-09-11 11:16:43.156647
22,1000SHIB-1000SHIB,$0.0129,-0.34%,$305.1m,$46.7m,-0.37%,0.18%,0.15,+0.0029%,+0.0085%,$532.4k,2022-09-11 11:16:43.156647
23,Dogecoin-DOGE,$0.0638,-0.08%,$292.2m,$123.3m,+0.86%,0.48%,0.42,+0.0103%,+0.0116%,$366.3k,2022-09-11 11:16:43.156647
24,NEAR Protocol-NEAR,$4.75,+0.15%,$281.8m,$114.9m,-2.90%,0.45%,0.41,-0.0004%,+0.0024%,$475.8k,2022-09-11 11:16:43.156647
25,Filecoin-FIL,$6.30,-0.83%,$277.2m,$113.2m,-0.98%,0.44%,0.41,+0.0044%,+0.0035%,$335.7k,2022-09-11 11:16:43.156647
26,Polkadot-DOT,$7.70,+0.01%,$272.0m,$274.0m,-1.23%,1.07%,1.01,-0.0066%,-0.0107%,$190.4k,2022-09-11 11:16:43.156647
27,Curve DAO Token-CRV,$1.23,+3.01%,$252.2m,$69.6m,+8.19%,0.27%,0.28,-0.0137%,+0.0260%,$332.6k,2022-09-11 11:16:43.156647
28,Bitcoin Cash-BCH,$130.87,-1.23%,$235.2m,$191.4m,-5.64%,0.75%,0.81,-0.0019%,-0.0050%,$387.2k,2022-09-11 11:16:43.156647
29,The Sandbox-SAND,$0.9799,-2.14%,$216.6m,$78.1m,-3.27%,0.31%,0.36,+0.0040%,+0.0141%,$183.1k,2022-09-11 11:16:43.156647
30,Waves-WAVES,$4.94,-0.59%,$200.5m,$57.3m,+0.31%,0.22%,0.29,+0.0096%,+0.0082%,$318.0k,2022-09-11 11:16:43.156647
31,Terra Classic-LUNC,$0.0004,+3.81%,$198.6m,$45.2m,+12.90%,0.18%,0.23,-0.1015%,-0.0030%,$561.9k,2022-09-11 11:16:43.156647
32,Kyber Network Crystal-KNC,$2.00,+2.49%,$156.5m,$27.8m,+17.96%,0.11%,0.18,+0.0040%,+0.0075%,$495.9k,2022-09-11 11:16:43.156647
