,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$22,211.07",+2.51%,$33.6b,$11.0b,+5.06%,43.16%,0.33,+0.0055%,+0.0055%,$36.7m,2022-09-13 04:16:27.772172
1,Ethereum-ETH,"$1,710.18",-0.95%,$26.6b,$7.4b,-1.51%,29.35%,0.28,-0.0461%,-0.0508%,$40.0m,2022-09-13 04:16:27.772172
2,Solana-SOL,$38.54,+10.38%,$2.6b,$497.7m,+28.34%,1.96%,0.19,+0.0006%,-0.0054%,$3.9m,2022-09-13 04:16:27.772172
3,Ethereum Classic-ETC,$38.08,+1.12%,$2.4b,$450.7m,-0.68%,1.78%,0.19,-0.0054%,+0.0064%,$7.1m,2022-09-13 04:16:27.772172
4,LUNA2-LUNA2,$4.21,-19.51%,$1.4b,$36.9m,+10.69%,0.15%,0.03,-0.0041%,-0.0014%,$2.6m,2022-09-13 04:16:27.772172
5,Ravencoin-RVN,$0.0663,+22.98%,$1.4b,$67.1m,+91.60%,0.26%,0.05,-0.0142%,-0.0043%,$3.0m,2022-09-13 04:16:27.772172
6,NEAR Protocol-NEAR,$5.00,+4.82%,$951.9m,$129.3m,+15.50%,0.51%,0.14,-0.0001%,-0.0044%,$1.7m,2022-09-13 04:16:27.772172
7,Terra-LUNA,$4.22,-19.62%,$861.8m,$18.4m,-16.36%,0.07%,0.02,-0.0019%,+0.0146%,$5.1m,2022-09-13 04:16:27.772172
8,Avalanche-AVAX,$21.23,+4.46%,$854.4m,$145.7m,+11.01%,0.57%,0.17,-0.0036%,+0.0065%,$1.1m,2022-09-13 04:16:27.772172
9,Polygon-MATIC,$0.9327,+5.89%,$842.4m,$209.1m,+10.88%,0.82%,0.25,+0.0056%,+0.0014%,$1.2m,2022-09-13 04:16:27.772172
10,Cardano-ADA,$0.4986,-0.88%,$783.0m,$291.5m,-1.14%,1.15%,0.37,+0.0003%,+0.0140%,$1.1m,2022-09-13 04:16:27.772172
11,Cosmos-ATOM,$15.70,+2.00%,$736.8m,$152.1m,-2.46%,0.60%,0.21,+0.0013%,+0.0036%,$987.8k,2022-09-13 04:16:27.772172
12,EOS-EOS,$1.66,-0.88%,$720.6m,$188.7m,-3.15%,0.74%,0.26,+0.0025%,+0.0017%,$1.6m,2022-09-13 04:16:27.772172
13,Reef-REEF,$0.0049,+28.74%,$632.6m,$23.4m,+366.09%,0.09%,0.04,-0.3755%,-0.4906%,$2.0m,2022-09-13 04:16:27.772172
14,Filecoin-FIL,$6.43,+0.47%,$611.2m,$117.0m,-1.46%,0.46%,0.19,-0.0049%,-0.0087%,$786.8k,2022-09-13 04:16:27.772172
15,ApeCoin-APE,$5.73,+5.55%,$589.4m,$95.0m,+5.67%,0.37%,0.16,+0.0073%,+0.0076%,$1.5m,2022-09-13 04:16:27.772172
16,Binance Coin-BNB,$292.56,-0.09%,$586.1m,$270.7m,-1.58%,1.07%,0.46,-0.0008%,+0.0066%,$369.7k,2022-09-13 04:16:27.772172
17,1000LUNC-1000LUNC,$0.3259,-19.83%,$550.6m,$23.9m,+6.29%,0.09%,0.04,-0.0447%,-0.0406%,$1.7m,2022-09-13 04:16:27.772172
18,Ripple-XRP,$0.3538,+1.00%,$522.5m,$341.2m,+1.77%,1.34%,0.65,-0.0023%,-0.0009%,$509.0k,2022-09-13 04:16:27.772172
19,Polkadot-DOT,$7.59,-0.45%,$490.4m,$267.2m,-0.84%,1.05%,0.54,-0.0051%,-0.0065%,$548.2k,2022-09-13 04:16:27.772172
20,Optimism-OP,$1.26,-7.38%,$453.6m,$63.9m,-3.99%,0.25%,0.14,+0.0117%,+0.0177%,$992.8k,2022-09-13 04:16:27.772172
21,Litecoin-LTC,$61.77,+1.29%,$409.5m,$212.7m,+4.94%,0.84%,0.52,+0.0151%,+0.0042%,$299.2k,2022-09-13 04:16:27.772172
22,Chiliz-CHZ,$0.2019,-0.40%,$387.8m,$74.0m,-4.86%,0.29%,0.19,+0.0059%,+0.0100%,$553.4k,2022-09-13 04:16:27.772172
23,STEPN-GMT,$0.7467,+1.63%,$361.9m,$109.7m,+3.72%,0.43%,0.30,+0.0084%,+0.0054%,$531.9k,2022-09-13 04:16:27.772172
24,Chainlink-LINK,$7.68,-3.12%,$361.7m,$116.1m,-8.52%,0.46%,0.32,+0.0004%,+0.0087%,$860.9k,2022-09-13 04:16:27.772172
25,Dogecoin-DOGE,$0.0634,+0.46%,$344.6m,$123.8m,+1.54%,0.49%,0.36,+0.0122%,+0.0123%,$360.5k,2022-09-13 04:16:27.772172
26,Terra Classic-LUNC,$0.0003,-19.35%,$282.9m,$37.6m,-15.39%,0.15%,0.13,-0.0056%,-0.0103%,$1.8m,2022-09-13 04:16:27.772172
27,Curve DAO Token-CRV,$1.13,-3.40%,$256.7m,$59.9m,-4.84%,0.24%,0.23,+0.0241%,-0.0113%,$381.2k,2022-09-13 04:16:27.772172
28,1000SHIB-1000SHIB,$0.0128,-0.46%,$254.0m,$44.2m,-2.70%,0.17%,0.17,+0.0057%,+0.0079%,$631.2k,2022-09-13 04:16:27.772172
29,Helium-HNT,$5.25,+1.40%,$245.4m,$22.0m,-4.93%,0.09%,0.09,+0.0070%,+0.0077%,$594.2k,2022-09-13 04:16:27.772172
30,Bitcoin Cash-BCH,$128.59,-0.17%,$239.1m,$177.8m,-3.45%,0.70%,0.74,-0.0085%,-0.0033%,$550.0k,2022-09-13 04:16:27.772172
31,The Sandbox-SAND,$0.9500,-1.49%,$228.7m,$71.9m,-4.89%,0.28%,0.31,+0.0103%,+0.0003%,$659.7k,2022-09-13 04:16:27.772172
32,Aave-AAVE,$90.96,+0.47%,$222.6m,$45.7m,+2.98%,0.18%,0.21,+0.0018%,-0.0002%,$247.5k,2022-09-13 04:16:27.772172
33,Fantom-FTM,$0.2680,-1.27%,$207.8m,$46.9m,-2.83%,0.18%,0.23,+0.0054%,+0.0071%,$344.1k,2022-09-13 04:16:27.772172
34,Uniswap-UNI,$6.65,+2.77%,$198.8m,$50.9m,+5.59%,0.20%,0.26,+0.0023%,+0.0009%,$159.6k,2022-09-13 04:16:27.772172
35,Axie Infinity-AXS,$15.36,-1.73%,$196.7m,$79.1m,+0.30%,0.31%,0.40,-0.0253%,-0.0100%,$448.2k,2022-09-13 04:16:27.772172
36,Unifi Protocol DAO-UNFI,$8.26,+6.21%,$191.8m,$17.6m,+3.54%,0.07%,0.09,+0.0100%,+0.0100%,$244.2k,2022-09-13 04:16:27.772172
37,Hedera-HBAR,$0.0689,+8.16%,$160.5m,$17.5m,+107.35%,0.07%,0.11,-0.2275%,-0.1326%,$434.2k,2022-09-13 04:16:27.772172
38,The Graph-GRT,$0.1244,+5.35%,$141.1m,$27.8m,+14.48%,0.11%,0.20,-0.0009%,-0.0036%,$398.8k,2022-09-13 04:16:27.772172
39,Stargate Finance-STG,$0.6465,-9.46%,$131.2m,$13.6m,-25.74%,0.05%,0.10,-0.0177%,-0.0106%,$310.1k,2022-09-13 04:16:27.772172
40,Waves-WAVES,$4.78,-0.68%,$128.7m,$52.7m,-0.59%,0.21%,0.41,+0.0064%,+0.0083%,$214.9k,2022-09-13 04:16:27.772172
41,Decentraland-MANA,$0.7870,-1.68%,$115.9m,$40.6m,+2.57%,0.16%,0.35,+0.0050%,+0.0059%,$262.6k,2022-09-13 04:16:27.772172
42,Tellor-TRB,$16.65,-1.17%,$112.9m,$33.3m,-0.89%,0.13%,0.30,-0.2928%,-0.2132%,$173.5k,2022-09-13 04:16:27.772172
43,Tron-TRX,$0.0634,-0.61%,$109.8m,$138.9m,-1.92%,0.55%,1.27,-0.0082%,-0.0201%,$9.6k,2022-09-13 04:16:27.772172
