,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,283.09",-3.14%,$37.8b,$9.7b,-6.91%,41.51%,0.26,+0.0011%,-0.0025%,$84.6m,2022-09-14 15:16:30.706996
1,Ethereum-ETH,"$1,597.34",+0.39%,$31.6b,$7.1b,+1.67%,30.55%,0.23,-0.1713%,-0.1522%,$57.6m,2022-09-14 15:16:30.706996
2,LUNA2-LUNA2,$2.92,-35.25%,$2.5b,$60.1m,+82.52%,0.26%,0.02,-0.5958%,-0.7660%,$4.0m,2022-09-14 15:16:30.706996
3,Ethereum Classic-ETC,$37.08,+5.46%,$2.5b,$444.2m,+8.21%,1.90%,0.18,+0.0040%,-0.0106%,$6.7m,2022-09-14 15:16:30.706996
4,Solana-SOL,$33.58,-3.84%,$1.6b,$410.9m,-4.05%,1.76%,0.25,-0.0027%,-0.0022%,$3.9m,2022-09-14 15:16:30.706996
5,Ravencoin-RVN,$0.0711,+14.07%,$1.2b,$86.7m,+67.77%,0.37%,0.07,-0.0302%,-0.0497%,$2.5m,2022-09-14 15:16:30.706996
6,Terra-LUNA,$2.93,-34.18%,$1.2b,$26.7m,+66.91%,0.11%,0.02,-0.2150%,-0.9547%,$9.9m,2022-09-14 15:16:30.706996
7,Reef-REEF,$0.0053,+1.44%,$904.2m,$29.1m,-19.15%,0.12%,0.03,-0.6455%,-1.0762%,$2.0m,2022-09-14 15:16:30.706996
8,1000LUNC-1000LUNC,$0.2932,-21.77%,$800.4m,$31.4m,+12.51%,0.13%,0.04,-0.0769%,-0.0634%,$1.9m,2022-09-14 15:16:30.706996
9,Cardano-ADA,$0.4841,+3.71%,$758.9m,$270.7m,+2.08%,1.16%,0.36,-0.0060%,+0.0002%,$1.0m,2022-09-14 15:16:30.706996
10,Litecoin-LTC,$60.64,-2.57%,$677.1m,$224.4m,-6.57%,0.96%,0.33,+0.0119%,+0.0087%,$1.7m,2022-09-14 15:16:30.706996
11,Binance Coin-BNB,$280.66,-0.59%,$656.4m,$246.4m,-2.00%,1.06%,0.38,-0.0129%,+0.0025%,$624.4k,2022-09-14 15:16:30.706996
12,EOS-EOS,$1.48,-5.21%,$655.6m,$160.6m,-6.13%,0.69%,0.24,-0.0295%,-0.0185%,$1.6m,2022-09-14 15:16:30.706996
13,Cosmos-ATOM,$14.16,-2.32%,$603.3m,$122.7m,-7.61%,0.53%,0.20,-0.0046%,+0.0086%,$1.1m,2022-09-14 15:16:30.706996
14,Ripple-XRP,$0.3375,-0.51%,$542.5m,$320.3m,-2.21%,1.37%,0.59,-0.0103%,-0.0061%,$866.5k,2022-09-14 15:16:30.706996
15,Polygon-MATIC,$0.8543,-0.37%,$535.3m,$169.9m,-6.98%,0.73%,0.32,+0.0005%,+0.0041%,$1.1m,2022-09-14 15:16:30.706996
16,Avalanche-AVAX,$19.10,-3.59%,$488.7m,$131.3m,+0.04%,0.56%,0.27,-0.0206%,-0.0096%,$1.5m,2022-09-14 15:16:30.706996
17,ApeCoin-APE,$5.01,-3.35%,$457.2m,$78.3m,-8.18%,0.34%,0.17,+0.0122%,+0.0123%,$1.2m,2022-09-14 15:16:30.706996
