,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,424.62",-5.17%,$30.5b,$6.5b,-2.78%,28.99%,0.21,-0.0038%,+0.0045%,$63.9m,2022-09-16 18:16:27.931081
1,Bitcoin-BTC,"$19,471.99",-1.65%,$23.3b,$9.5b,+1.03%,42.39%,0.41,+0.0019%,+0.0062%,$23.5m,2022-09-16 18:16:27.931081
2,Ethereum Classic-ETC,$34.08,-9.61%,$3.5b,$434.9m,-7.36%,1.94%,0.12,-0.1267%,-0.1420%,$10.2m,2022-09-16 18:16:27.931081
3,Cosmos-ATOM,$15.74,+4.44%,$1.6b,$191.9m,+32.05%,0.86%,0.12,-0.0071%,-0.0071%,$2.9m,2022-09-16 18:16:27.931081
4,Solana-SOL,$31.79,-4.63%,$1.1b,$380.2m,-2.07%,1.70%,0.33,+0.0094%,+0.0080%,$1.6m,2022-09-16 18:16:27.931081
5,Ravencoin-RVN,$0.0504,-14.21%,$833.6m,$56.7m,-12.37%,0.25%,0.07,-0.0024%,-0.0173%,$2.0m,2022-09-16 18:16:27.931081
6,1000LUNC-1000LUNC,$0.3164,+23.84%,$798.4m,$42.0m,+67.71%,0.19%,0.05,-0.0933%,-0.0986%,$1.8m,2022-09-16 18:16:27.931081
7,LUNA2-LUNA2,$3.18,+15.65%,$768.0m,$43.6m,+8.33%,0.20%,0.06,-0.1031%,-0.1069%,$1.5m,2022-09-16 18:16:27.931081
8,Chiliz-CHZ,$0.2050,+6.87%,$733.6m,$86.4m,+17.62%,0.39%,0.12,+0.0023%,+0.0091%,$799.3k,2022-09-16 18:16:27.931081
9,EOS-EOS,$1.41,-0.93%,$670.1m,$160.6m,+4.88%,0.72%,0.24,-0.0069%,-0.0154%,$1.6m,2022-09-16 18:16:27.931081
10,Ripple-XRP,$0.3378,+3.20%,$599.3m,$307.0m,-1.23%,1.37%,0.51,-0.0054%,+0.0005%,$991.0k,2022-09-16 18:16:27.931081
11,Chainlink-LINK,$7.61,+4.27%,$584.0m,$115.3m,+12.28%,0.52%,0.20,+0.0126%,+0.0049%,$993.0k,2022-09-16 18:16:27.931081
