,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,449.27",-8.19%,$35.9b,$6.6b,-5.44%,29.54%,0.18,+0.0045%,-0.0006%,$108.4m,2022-09-16 14:16:24.007243
1,Bitcoin-BTC,"$19,694.70",-2.07%,$26.2b,$9.4b,-0.35%,42.08%,0.36,+0.0028%,-0.0003%,$36.6m,2022-09-16 14:16:24.007243
2,Ethereum Classic-ETC,$33.67,-12.17%,$3.9b,$420.1m,-17.04%,1.87%,0.11,-0.1520%,-0.1340%,$12.2m,2022-09-16 14:16:24.007243
3,Cosmos-ATOM,$15.62,+6.31%,$1.6b,$189.5m,+43.42%,0.84%,0.12,-0.0151%,-0.0139%,$2.6m,2022-09-16 14:16:24.007243
4,Solana-SOL,$32.27,-4.44%,$1.3b,$379.5m,-3.37%,1.69%,0.30,+0.0081%,+0.0130%,$1.9m,2022-09-16 14:16:24.007243
5,Ravencoin-RVN,$0.0499,-17.33%,$891.9m,$60.1m,-11.32%,0.27%,0.07,+0.0076%,+0.0013%,$2.1m,2022-09-16 14:16:24.007243
6,Chiliz-CHZ,$0.2042,+6.43%,$728.1m,$87.6m,+16.97%,0.39%,0.12,-0.0003%,+0.0007%,$741.7k,2022-09-16 14:16:24.007243
7,EOS-EOS,$1.42,-2.51%,$684.7m,$153.0m,-3.56%,0.68%,0.22,-0.0088%,-0.0039%,$1.6m,2022-09-16 14:16:24.007243
8,LUNA2-LUNA2,$2.72,-6.51%,$627.2m,$38.3m,-18.92%,0.17%,0.06,-0.0800%,-0.1062%,$1.0m,2022-09-16 14:16:24.007243
9,1000LUNC-1000LUNC,$0.2726,-0.33%,$623.0m,$30.3m,+7.71%,0.13%,0.05,-0.0192%,-0.0132%,$1.4m,2022-09-16 14:16:24.007243
10,Ripple-XRP,$0.3291,-0.98%,$594.6m,$303.7m,-4.08%,1.35%,0.51,-0.0003%,-0.0093%,$1.2m,2022-09-16 14:16:24.007243
11,Cardano-ADA,$0.4607,-3.45%,$574.7m,$245.3m,-6.45%,1.09%,0.43,+0.0058%,+0.0033%,$1.0m,2022-09-16 14:16:24.007243
12,Chainlink-LINK,$7.73,+5.85%,$565.7m,$118.6m,+16.35%,0.53%,0.21,+0.0100%,+0.0088%,$1.0m,2022-09-16 14:16:24.007243
13,Binance Coin-BNB,$274.54,-0.50%,$542.5m,$253.2m,+2.89%,1.13%,0.47,-0.0089%,+0.0004%,$406.0k,2022-09-16 14:16:24.007243
14,Litecoin-LTC,$55.71,-7.10%,$533.0m,$172.9m,-19.50%,0.77%,0.32,+0.0148%,+0.0032%,$1.5m,2022-09-16 14:16:24.007243
15,Polygon-MATIC,$0.8015,-6.19%,$525.1m,$160.2m,-2.59%,0.71%,0.31,+0.0034%,-0.0017%,$1.3m,2022-09-16 14:16:24.007243
16,Avalanche-AVAX,$17.92,-5.58%,$439.0m,$129.8m,+1.97%,0.58%,0.30,-0.0100%,-0.0227%,$997.9k,2022-09-16 14:16:24.007243
17,Optimism-OP,$1.09,-7.93%,$390.6m,$56.5m,+1.08%,0.25%,0.14,+0.0072%,+0.0042%,$987.6k,2022-09-16 14:16:24.007243
18,STEPN-GMT,$0.6549,-1.24%,$359.5m,$94.3m,+1.31%,0.42%,0.26,+0.0046%,-0.0005%,$945.9k,2022-09-16 14:16:24.007243
19,Polkadot-DOT,$6.83,-3.82%,$356.9m,$246.5m,-1.97%,1.10%,0.69,-0.0022%,-0.0088%,$903.7k,2022-09-16 14:16:24.007243
20,ApeCoin-APE,$4.75,-7.01%,$340.0m,$72.0m,-6.62%,0.32%,0.21,-0.0005%,+0.0056%,$853.3k,2022-09-16 14:16:24.007243
21,Terra-LUNA,$2.72,-6.78%,$317.0m,$15.3m,-22.10%,0.07%,0.05,-0.0339%,-0.0900%,$1.1m,2022-09-16 14:16:24.007243
22,NEAR Protocol-NEAR,$4.18,-3.85%,$293.9m,$102.6m,+0.08%,0.46%,0.35,-0.0136%,-0.0153%,$644.2k,2022-09-16 14:16:24.007243
23,Dogecoin-DOGE,$0.0596,-1.56%,$273.2m,$116.8m,-1.83%,0.52%,0.43,+0.0049%,+0.0081%,$776.0k,2022-09-16 14:16:24.007243
24,Filecoin-FIL,$5.73,-2.06%,$251.2m,$104.7m,+1.10%,0.47%,0.42,+0.0127%,-0.0101%,$439.8k,2022-09-16 14:16:24.007243
25,Bitcoin Cash-BCH,$117.96,-3.55%,$230.9m,$155.0m,-6.84%,0.69%,0.67,-0.0042%,+0.0045%,$320.4k,2022-09-16 14:16:24.007243
26,Terra Classic-LUNC,$0.0003,-0.20%,$229.3m,$38.3m,+2.54%,0.17%,0.17,-0.0153%,-0.0027%,$778.9k,2022-09-16 14:16:24.007243
27,Curve DAO Token-CRV,$1.05,-1.68%,$221.1m,$55.2m,+1.29%,0.25%,0.25,+0.0276%,-0.0033%,$440.6k,2022-09-16 14:16:24.007243
28,Kyber Network Crystal-KNC,$1.94,-3.28%,$215.8m,$27.2m,-7.50%,0.12%,0.13,-0.0053%,-0.0018%,$337.2k,2022-09-16 14:16:24.007243
29,1000SHIB-1000SHIB,$0.0116,-3.59%,$210.7m,$40.5m,-2.11%,0.18%,0.19,+0.0054%,+0.0100%,$386.8k,2022-09-16 14:16:24.007243
30,Reef-REEF,$0.0048,-2.91%,$157.5m,$18.1m,-22.72%,0.08%,0.11,-0.0843%,-0.1139%,$208.9k,2022-09-16 14:16:24.007243
31,The Sandbox-SAND,$0.8649,-1.61%,$154.4m,$66.7m,+2.64%,0.30%,0.43,-0.0041%,+0.0122%,$386.0k,2022-09-16 14:16:24.007243
32,Axie Infinity-AXS,$12.64,-2.78%,$154.1m,$79.1m,+1.63%,0.35%,0.51,-0.0414%,-0.0246%,$901.5k,2022-09-16 14:16:24.007243
33,Ethereum Name Service-ENS,$14.81,+1.84%,$152.3m,$27.2m,+17.78%,0.12%,0.18,+0.0033%,+0.0074%,$86.5k,2022-09-16 14:16:24.007243
34,Compound-COMP,$57.05,+2.80%,$136.7m,$30.3m,+9.27%,0.14%,0.22,-0.0169%,-0.0178%,$285.7k,2022-09-16 14:16:24.007243
35,Helium-HNT,$3.98,-0.76%,$134.4m,$20.9m,-6.18%,0.09%,0.16,-0.0026%,-0.0041%,$287.0k,2022-09-16 14:16:24.007243
36,Tellor-TRB,$16.12,-3.07%,$134.3m,$27.2m,-5.94%,0.12%,0.20,-0.0016%,-0.0202%,$288.8k,2022-09-16 14:16:24.007243
37,Celsius-CEL,$1.63,-16.10%,$123.9m,$18.0m,-35.30%,0.08%,0.14,+0.2786%,-0.2147%,$871.9k,2022-09-16 14:16:24.007243
38,Aave-AAVE,$79.14,-2.65%,$122.4m,$45.1m,+6.18%,0.20%,0.37,+0.0001%,-0.0023%,$275.5k,2022-09-16 14:16:24.007243
39,Fantom-FTM,$0.2427,-0.86%,$97.2m,$42.9m,-0.60%,0.19%,0.44,+0.0060%,+0.0064%,$67.9k,2022-09-16 14:16:24.007243
40,Waves-WAVES,$4.27,-1.08%,$96.8m,$47.5m,-0.54%,0.21%,0.49,+0.0055%,+0.0021%,$259.1k,2022-09-16 14:16:24.007243
41,Uniswap-UNI,$5.78,-4.72%,$96.6m,$44.4m,-0.48%,0.20%,0.46,-0.0138%,-0.0111%,$181.3k,2022-09-16 14:16:24.007243
42,Tron-TRX,$0.0611,-0.92%,$93.6m,$131.4m,-3.63%,0.59%,1.40,-0.0190%,-0.0080%,$42.0k,2022-09-16 14:16:24.007243
43,Decentraland-MANA,$0.7340,+0.31%,$93.2m,$38.8m,+0.65%,0.17%,0.42,+0.0046%,+0.0051%,$262.1k,2022-09-16 14:16:24.007243
44,FOOTBALL-FOOTBALL,$984.31,+1.86%,$87.5m,$8.2m,+29.68%,0.04%,0.09,+0.0100%,+0.0100%,$158.4k,2022-09-16 14:16:24.007243
45,Unifi Protocol DAO-UNFI,$7.00,-0.59%,$86.9m,$16.8m,+0.11%,0.07%,0.19,+0.0100%,+0.0100%,$79.4k,2022-09-16 14:16:24.007243
46,dYdX-DYDX,$1.32,-2.82%,$73.2m,$32.4m,-2.21%,0.14%,0.44,+0.0028%,+0.0050%,$179.8k,2022-09-16 14:16:24.007243
47,Stargate Finance-STG,$0.5577,-4.00%,$70.4m,$12.2m,-3.96%,0.05%,0.17,+0.0057%,+0.0053%,$218.8k,2022-09-16 14:16:24.007243
48,Gala-GALA,$0.0473,-1.14%,$70.0m,$33.4m,+1.38%,0.15%,0.48,+0.0035%,+0.0092%,$181.2k,2022-09-16 14:16:24.007243
49,yearn.finance-YFI,"$8,627.75",-2.87%,$66.7m,$29.1m,-1.66%,0.13%,0.44,-0.0261%,-0.0363%,$202.8k,2022-09-16 14:16:24.007243
50,THORChain-RUNE,$1.71,-1.33%,$66.2m,$21.5m,-0.16%,0.10%,0.32,+0.0069%,+0.0069%,$122.8k,2022-09-16 14:16:24.007243
51,SHIBA INU-SHIB,$0.0000,-3.14%,$64.0m,$21.0m,-0.02%,0.09%,0.33,+0.0107%,+0.0054%,$355.1k,2022-09-16 14:16:24.007243
52,ConstitutionDAO-PEOPLE,$0.0200,+0.39%,$61.8m,$24.6m,+4.17%,0.11%,0.40,+0.0125%,-0.0021%,$78.3k,2022-09-16 14:16:24.007243
53,THETA-THETA,$1.08,-1.87%,$59.2m,$21.4m,-0.54%,0.10%,0.36,+0.0077%,+0.0044%,$33.9k,2022-09-16 14:16:24.007243
54,Monero-XMR,$147.45,-1.21%,$57.8m,$40.1m,-1.40%,0.18%,0.69,+0.0138%,-0.0129%,$112.6k,2022-09-16 14:16:24.007243
55,1inch-1INCH,$0.6106,+0.28%,$57.5m,$23.6m,+8.03%,0.11%,0.41,-0.0083%,-0.0221%,$83.7k,2022-09-16 14:16:24.007243
56,Lido DAO Token-LDO,$1.75,-6.85%,$57.3m,$18.0m,-9.86%,0.08%,0.31,-0.0732%,-0.0708%,$244.4k,2022-09-16 14:16:24.007243
57,Coti-COTI,$0.1010,+8.95%,$54.1m,$9.2m,+125.13%,0.04%,0.17,-0.2574%,-0.7010%,$220.9k,2022-09-16 14:16:24.007243
58,SushiSwap-SUSHI,$1.13,-1.69%,$52.0m,$25.7m,-3.19%,0.11%,0.50,+0.0051%,-0.0086%,$131.5k,2022-09-16 14:16:24.007243
59,Algorand-ALGO,$0.2955,-0.67%,$50.5m,$28.7m,+0.14%,0.13%,0.57,+0.0058%,+0.0112%,$35.1k,2022-09-16 14:16:24.007243
60,Synthetix Network Token-SNX,$2.61,-2.23%,$47.9m,$28.0m,-2.22%,0.12%,0.58,-0.0369%,-0.0123%,$76.1k,2022-09-16 14:16:24.007243
61,BinaryX-BNX,$172.68,+6.72%,$45.6m,$44.1m,+10.89%,0.20%,0.97,+0.0100%,+0.0100%,$108.1k,2022-09-16 14:16:24.007243
62,ZCash-ZEC,$57.64,-5.29%,$44.1m,$21.2m,+1.32%,0.09%,0.48,-0.0136%,+0.0349%,$131.9k,2022-09-16 14:16:24.007243
63,Tezos-XTZ,$1.53,-1.68%,$43.0m,$26.8m,-3.73%,0.12%,0.62,-0.0145%,-0.0223%,$95.3k,2022-09-16 14:16:24.007243
64,iExec RLC-RLC,$1.27,+2.54%,$42.8m,$6.0m,-1.06%,0.03%,0.14,-0.0044%,-0.0128%,$67.7k,2022-09-16 14:16:24.007243
65,Tether-USDT,$1.00,+0.01%,$41.9m,$305.5m,+6.35%,1.36%,7.29,+0.0003%,+0.0003%,$750.0,2022-09-16 14:16:24.007243
66,The Graph-GRT,$0.1074,-3.65%,$41.8m,$22.8m,-3.00%,0.10%,0.55,+0.0123%,+0.0029%,$135.0k,2022-09-16 14:16:24.007243
67,NEO-NEO,$8.85,-4.02%,$39.2m,$14.0m,-3.73%,0.06%,0.36,+0.0002%,-0.0263%,$30.1k,2022-09-16 14:16:24.007243
68,Bluzelle-BLZ,$0.0808,-2.36%,$38.3m,$5.5m,+3.07%,0.02%,0.14,+0.0100%,+0.0002%,$106.1k,2022-09-16 14:16:24.007243
69,Metal-MTL,$1.17,+1.85%,$38.1m,$7.4m,+32.35%,0.03%,0.19,-0.0274%,-0.0581%,$71.2k,2022-09-16 14:16:24.007243
70,Flow (Dapper labs)-FLOW,$1.75,-4.12%,$36.2m,$22.1m,+2.79%,0.10%,0.61,-0.0072%,-0.0066%,$222.0k,2022-09-16 14:16:24.007243
71,Stellar Lumens-XLM,$0.1029,-0.74%,$33.6m,$36.1m,-0.92%,0.16%,1.07,+0.0066%,-0.0077%,$72.8k,2022-09-16 14:16:24.007243
72,Jasmy-JASMY,$0.0083,-1.76%,$33.3m,$16.0m,+3.68%,0.07%,0.48,+0.0079%,+0.0049%,$43.5k,2022-09-16 14:16:24.007243
73,Project Galaxy-GAL,$2.56,-1.61%,$33.2m,$13.3m,+1.57%,0.06%,0.40,+0.0075%,+0.0061%,$60.4k,2022-09-16 14:16:24.007243
74,Elrond-EGLD,$48.81,-0.93%,$33.0m,$15.5m,+2.51%,0.07%,0.47,+0.0094%,-0.0059%,$53.9k,2022-09-16 14:16:24.007243
75,Kusama-KSM,$43.84,-5.35%,$32.8m,$16.4m,+10.77%,0.07%,0.50,-0.0056%,+0.0021%,$204.9k,2022-09-16 14:16:24.007243
76,Coin98-C98,$0.4042,+1.60%,$32.0m,$12.9m,+10.76%,0.06%,0.40,-0.0170%,-0.0020%,$36.5k,2022-09-16 14:16:24.007243
77,VeChain-VET,$0.0233,-1.24%,$31.8m,$16.2m,+3.11%,0.07%,0.51,-0.0264%,-0.0034%,$29.8k,2022-09-16 14:16:24.007243
78,FTX Token-FTT,$24.03,-2.88%,$31.4m,$66.1m,-2.61%,0.29%,2.10,+0.0071%,-0.0008%,$142.6k,2022-09-16 14:16:24.007243
79,BitDAO-BIT,$0.5150,-2.83%,$31.2m,$21.9m,-1.90%,0.10%,0.70,+0.0056%,+0.0080%,$125.8k,2022-09-16 14:16:24.007243
80,Flamingo-FLM,$0.1044,-3.74%,$29.0m,$16.7m,-5.07%,0.07%,0.58,-0.0518%,-0.0751%,$36.0k,2022-09-16 14:16:24.007243
