,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,460.79",-8.02%,$34.5b,$6.6b,-7.37%,29.58%,0.19,+0.0056%,-0.0067%,$100.0m,2022-09-16 10:16:28.902213
1,Bitcoin-BTC,"$19,749.56",-2.08%,$24.4b,$9.4b,-0.82%,42.10%,0.39,+0.0001%,-0.0008%,$29.8m,2022-09-16 10:16:28.902213
2,Ethereum Classic-ETC,$33.84,-9.99%,$4.2b,$416.4m,-15.85%,1.86%,0.10,-0.1545%,-0.1531%,$11.9m,2022-09-16 10:16:28.902213
3,Cosmos-ATOM,$14.98,+3.46%,$1.3b,$159.5m,+29.03%,0.71%,0.12,-0.0148%,-0.0158%,$2.1m,2022-09-16 10:16:28.902213
4,Solana-SOL,$32.68,-3.51%,$1.2b,$388.8m,-1.46%,1.74%,0.33,+0.0082%,+0.0115%,$1.6m,2022-09-16 10:16:28.902213
5,Ravencoin-RVN,$0.0512,-20.46%,$900.1m,$61.2m,-12.63%,0.27%,0.07,+0.0081%,+0.0024%,$2.0m,2022-09-16 10:16:28.902213
6,EOS-EOS,$1.42,-2.60%,$662.0m,$156.3m,-2.84%,0.70%,0.24,-0.0077%,-0.0033%,$1.5m,2022-09-16 10:16:28.902213
7,Chiliz-CHZ,$0.2008,+7.23%,$644.0m,$84.2m,+18.58%,0.38%,0.13,+0.0032%,+0.0041%,$648.1k,2022-09-16 10:16:28.902213
8,LUNA2-LUNA2,$2.73,-6.89%,$618.7m,$38.0m,-18.76%,0.17%,0.06,-0.0714%,-0.0824%,$907.1k,2022-09-16 10:16:28.902213
9,Ripple-XRP,$0.3269,-3.18%,$605.3m,$302.6m,-3.85%,1.35%,0.50,+0.0039%,-0.0023%,$1.2m,2022-09-16 10:16:28.902213
10,1000LUNC-1000LUNC,$0.2691,-2.29%,$578.6m,$30.3m,+7.57%,0.14%,0.05,-0.0306%,-0.0216%,$1.2m,2022-09-16 10:16:28.902213
11,Cardano-ADA,$0.4627,-2.79%,$557.8m,$247.1m,-6.31%,1.11%,0.44,+0.0053%,+0.0000%,$736.4k,2022-09-16 10:16:28.902213
12,Litecoin-LTC,$55.74,-7.33%,$524.1m,$174.8m,-19.69%,0.78%,0.33,+0.0106%,+0.0063%,$1.4m,2022-09-16 10:16:28.902213
13,Binance Coin-BNB,$274.61,-0.55%,$514.1m,$254.8m,+3.75%,1.14%,0.50,-0.0143%,-0.0013%,$380.3k,2022-09-16 10:16:28.902213
14,Polygon-MATIC,$0.8110,-5.98%,$495.1m,$162.9m,-2.46%,0.73%,0.33,+0.0034%,-0.0043%,$1.1m,2022-09-16 10:16:28.902213
15,Chainlink-LINK,$7.59,+3.59%,$478.7m,$112.9m,+8.23%,0.51%,0.24,+0.0118%,+0.0136%,$869.5k,2022-09-16 10:16:28.902213
16,Avalanche-AVAX,$17.79,-6.16%,$427.9m,$129.4m,+1.07%,0.58%,0.30,-0.0098%,-0.0154%,$947.4k,2022-09-16 10:16:28.902213
17,Optimism-OP,$1.08,-11.74%,$410.8m,$56.7m,-0.52%,0.25%,0.14,+0.0071%,+0.0035%,$1.0m,2022-09-16 10:16:28.902213
18,STEPN-GMT,$0.6558,-1.50%,$357.2m,$94.7m,+2.21%,0.42%,0.27,+0.0065%,+0.0017%,$886.3k,2022-09-16 10:16:28.902213
19,Polkadot-DOT,$6.87,-3.31%,$336.9m,$246.4m,-2.37%,1.10%,0.73,-0.0059%,-0.0101%,$733.8k,2022-09-16 10:16:28.902213
20,ApeCoin-APE,$4.78,-6.80%,$329.0m,$73.2m,-5.90%,0.33%,0.22,+0.0019%,+0.0024%,$766.2k,2022-09-16 10:16:28.902213
21,Terra-LUNA,$2.74,-6.92%,$310.4m,$14.7m,-32.20%,0.07%,0.05,-0.0576%,-0.0917%,$964.5k,2022-09-16 10:16:28.902213
22,NEAR Protocol-NEAR,$4.19,-4.45%,$286.4m,$102.1m,-0.13%,0.46%,0.36,-0.0093%,-0.0147%,$591.3k,2022-09-16 10:16:28.902213
23,Dogecoin-DOGE,$0.0596,-1.63%,$256.9m,$118.4m,+0.56%,0.53%,0.46,-0.0002%,+0.0083%,$760.8k,2022-09-16 10:16:28.902213
24,Kyber Network Crystal-KNC,$1.94,-2.20%,$241.6m,$28.6m,+6.35%,0.13%,0.12,-0.0012%,+0.0045%,$343.2k,2022-09-16 10:16:28.902213
25,Filecoin-FIL,$5.72,-2.59%,$240.9m,$104.4m,+1.04%,0.47%,0.43,+0.0131%,-0.0101%,$425.1k,2022-09-16 10:16:28.902213
26,Bitcoin Cash-BCH,$117.16,-2.22%,$227.7m,$154.3m,-4.77%,0.69%,0.68,-0.0053%,+0.0042%,$317.0k,2022-09-16 10:16:28.902213
27,Curve DAO Token-CRV,$1.04,-1.65%,$216.5m,$54.5m,+2.58%,0.24%,0.25,+0.0276%,-0.0030%,$373.0k,2022-09-16 10:16:28.902213
28,1000SHIB-1000SHIB,$0.0117,-2.93%,$214.4m,$41.0m,+0.99%,0.18%,0.19,+0.0054%,+0.0070%,$349.9k,2022-09-16 10:16:28.902213
29,Terra Classic-LUNC,$0.0003,-2.38%,$210.8m,$38.7m,+5.19%,0.17%,0.18,-0.0153%,-0.0035%,$695.7k,2022-09-16 10:16:28.902213
30,Reef-REEF,$0.0048,-2.89%,$166.8m,$19.2m,-20.20%,0.09%,0.12,-0.1188%,-0.1823%,$185.5k,2022-09-16 10:16:28.902213
31,Axie Infinity-AXS,$12.64,-3.74%,$151.6m,$79.0m,+1.64%,0.35%,0.52,-0.0462%,-0.0431%,$921.7k,2022-09-16 10:16:28.902213
32,Celsius-CEL,$1.74,-9.88%,$151.0m,$19.4m,-32.71%,0.09%,0.13,+0.2793%,-0.2291%,$905.9k,2022-09-16 10:16:28.902213
33,Tellor-TRB,$15.62,-8.26%,$148.4m,$27.1m,-9.38%,0.12%,0.18,-0.0088%,-0.0403%,$292.6k,2022-09-16 10:16:28.902213
34,The Sandbox-SAND,$0.8593,-2.56%,$141.7m,$66.0m,+1.74%,0.30%,0.47,-0.0041%,+0.0087%,$333.6k,2022-09-16 10:16:28.902213
35,Helium-HNT,$4.07,-0.81%,$140.2m,$21.7m,-2.55%,0.10%,0.15,-0.0020%,-0.0006%,$280.0k,2022-09-16 10:16:28.902213
36,Compound-COMP,$54.49,-2.51%,$139.8m,$28.2m,-1.02%,0.13%,0.20,-0.0175%,-0.0262%,$328.9k,2022-09-16 10:16:28.902213
37,Ethereum Name Service-ENS,$14.67,+1.28%,$128.0m,$26.1m,+14.66%,0.12%,0.20,+0.0035%,+0.0108%,$51.5k,2022-09-16 10:16:28.902213
38,Aave-AAVE,$77.97,-4.50%,$112.6m,$42.8m,+0.56%,0.19%,0.38,-0.0029%,-0.0086%,$261.6k,2022-09-16 10:16:28.902213
39,Uniswap-UNI,$5.78,-5.48%,$95.4m,$44.3m,-0.89%,0.20%,0.46,-0.0140%,-0.0148%,$150.4k,2022-09-16 10:16:28.902213
40,Fantom-FTM,$0.2407,-2.00%,$92.7m,$43.1m,-1.10%,0.19%,0.46,+0.0057%,+0.0059%,$74.9k,2022-09-16 10:16:28.902213
41,Unifi Protocol DAO-UNFI,$6.91,-1.50%,$86.1m,$16.7m,+0.79%,0.07%,0.19,+0.0100%,+0.0100%,$73.8k,2022-09-16 10:16:28.902213
42,Tron-TRX,$0.0613,-0.43%,$84.8m,$130.8m,-4.19%,0.59%,1.54,-0.0217%,-0.0114%,$41.4k,2022-09-16 10:16:28.902213
43,Waves-WAVES,$4.22,-2.49%,$84.2m,$46.4m,-2.80%,0.21%,0.55,+0.0054%,-0.0013%,$219.7k,2022-09-16 10:16:28.902213
44,FOOTBALL-FOOTBALL,$974.29,+4.20%,$83.5m,$9.0m,+40.60%,0.04%,0.11,+0.0100%,+0.0544%,$149.2k,2022-09-16 10:16:28.902213
45,Decentraland-MANA,$0.7273,-0.84%,$78.9m,$39.2m,+1.28%,0.18%,0.50,+0.0037%,+0.0020%,$170.7k,2022-09-16 10:16:28.902213
46,dYdX-DYDX,$1.32,-3.27%,$74.3m,$32.2m,-1.07%,0.14%,0.43,+0.0029%,+0.0049%,$170.5k,2022-09-16 10:16:28.902213
47,THORChain-RUNE,$1.71,-3.21%,$72.3m,$21.2m,+2.25%,0.09%,0.29,+0.0068%,+0.0062%,$156.7k,2022-09-16 10:16:28.902213
48,Stargate Finance-STG,$0.5668,-2.89%,$68.6m,$12.1m,-9.53%,0.05%,0.18,+0.0059%,+0.0062%,$140.9k,2022-09-16 10:16:28.902213
49,Gala-GALA,$0.0472,-1.55%,$66.2m,$33.5m,+1.78%,0.15%,0.51,+0.0036%,+0.0089%,$163.6k,2022-09-16 10:16:28.902213
50,yearn.finance-YFI,"$8,588.50",-3.81%,$65.5m,$29.0m,-0.34%,0.13%,0.44,-0.0272%,-0.0362%,$168.4k,2022-09-16 10:16:28.902213
51,SHIBA INU-SHIB,$0.0000,-2.86%,$61.3m,$20.2m,-5.23%,0.09%,0.33,+0.0106%,+0.0039%,$309.0k,2022-09-16 10:16:28.902213
52,ConstitutionDAO-PEOPLE,$0.0199,-0.45%,$60.0m,$24.4m,+4.62%,0.11%,0.41,+0.0137%,-0.0047%,$67.4k,2022-09-16 10:16:28.902213
53,Lido DAO Token-LDO,$1.74,-7.73%,$59.8m,$17.7m,-9.97%,0.08%,0.30,-0.0871%,-0.0853%,$243.1k,2022-09-16 10:16:28.902213
54,THETA-THETA,$1.08,-1.82%,$57.7m,$21.2m,-1.39%,0.09%,0.37,+0.0079%,-0.0028%,$31.9k,2022-09-16 10:16:28.902213
55,1inch-1INCH,$0.6068,-0.08%,$53.7m,$23.5m,+10.48%,0.11%,0.44,-0.0080%,-0.0237%,$78.9k,2022-09-16 10:16:28.902213
56,Monero-XMR,$145.87,-2.31%,$50.9m,$39.9m,-1.60%,0.18%,0.78,+0.0122%,-0.0057%,$93.7k,2022-09-16 10:16:28.902213
57,SushiSwap-SUSHI,$1.12,-3.43%,$49.2m,$25.8m,-3.68%,0.12%,0.52,+0.0054%,-0.0034%,$119.1k,2022-09-16 10:16:28.902213
58,Algorand-ALGO,$0.2997,+0.60%,$45.4m,$29.3m,+1.65%,0.13%,0.65,+0.0062%,+0.0081%,$21.8k,2022-09-16 10:16:28.902213
59,NEO-NEO,$8.87,-1.37%,$43.0m,$13.7m,+5.99%,0.06%,0.32,+0.0021%,-0.0121%,$27.0k,2022-09-16 10:16:28.902213
60,ZCash-ZEC,$57.94,-4.74%,$42.9m,$20.6m,-0.21%,0.09%,0.48,-0.0140%,+0.0297%,$109.6k,2022-09-16 10:16:28.902213
61,Synthetix Network Token-SNX,$2.61,-1.97%,$42.8m,$27.8m,-3.08%,0.12%,0.65,-0.0431%,-0.0363%,$72.5k,2022-09-16 10:16:28.902213
62,The Graph-GRT,$0.1070,-4.51%,$41.3m,$22.6m,-3.56%,0.10%,0.55,+0.0120%,+0.0031%,$133.1k,2022-09-16 10:16:28.902213
63,BinaryX-BNX,$160.57,-0.34%,$40.2m,$41.1m,+8.05%,0.18%,1.02,+0.0100%,+0.0100%,$74.1k,2022-09-16 10:16:28.902213
64,Tezos-XTZ,$1.51,-2.96%,$38.0m,$26.4m,-6.23%,0.12%,0.70,-0.0154%,-0.0304%,$78.6k,2022-09-16 10:16:28.902213
65,Bluzelle-BLZ,$0.0806,-1.67%,$36.0m,$5.6m,+7.83%,0.03%,0.16,+0.0100%,+0.0062%,$93.5k,2022-09-16 10:16:28.902213
66,Stellar Lumens-XLM,$0.1027,-1.52%,$35.4m,$36.0m,-0.35%,0.16%,1.02,+0.0062%,-0.0071%,$78.5k,2022-09-16 10:16:28.902213
67,Tether-USDT,$1.0000,-0.01%,$34.0m,$302.0m,+31.18%,1.35%,8.89,+0.0003%,+0.0003%,$750.0,2022-09-16 10:16:28.902213
68,Flow (Dapper labs)-FLOW,$1.74,-4.61%,$32.8m,$21.6m,+0.07%,0.10%,0.66,-0.0069%,-0.0090%,$220.4k,2022-09-16 10:16:28.902213
69,FTX Token-FTT,$24.21,-2.35%,$32.2m,$66.6m,-0.74%,0.30%,2.07,+0.0075%,-0.0025%,$109.6k,2022-09-16 10:16:28.902213
70,1000XEC-1000XEC,$0.0417,-4.96%,$30.9m,$4.5m,-10.27%,0.02%,0.14,+0.0069%,+0.0029%,$73.3k,2022-09-16 10:16:28.902213
71,VeChain-VET,$0.0233,-1.49%,$30.7m,$16.0m,+1.02%,0.07%,0.52,-0.0266%,-0.0134%,$29.6k,2022-09-16 10:16:28.902213
72,Elrond-EGLD,$48.72,-1.33%,$30.6m,$15.3m,+0.32%,0.07%,0.50,+0.0080%,-0.0097%,$50.9k,2022-09-16 10:16:28.902213
73,Kava-KAVA,$1.52,-2.65%,$30.4m,$10.6m,+6.76%,0.05%,0.35,+0.0070%,+0.0067%,$36.3k,2022-09-16 10:16:28.902213
