,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,696.92",+3.58%,$37.0b,$7.6b,+7.70%,31.08%,0.21,-0.0067%,-0.0070%,$67.8m,2022-09-09 05:16:29.754388
1,Bitcoin-BTC,"$20,366.64",+5.42%,$31.5b,$10.0b,+4.04%,40.65%,0.32,+0.0014%,+0.0007%,$56.0m,2022-09-09 05:16:29.754388
2,Ethereum Classic-ETC,$38.92,+4.95%,$3.5b,$534.8m,+5.07%,2.18%,0.15,-0.0076%,-0.0225%,$10.2m,2022-09-09 05:16:29.754388
3,Solana-SOL,$35.09,+7.79%,$1.7b,$428.1m,+11.50%,1.74%,0.25,+0.0030%,-0.0006%,$2.9m,2022-09-09 05:16:29.754388
4,EOS-EOS,$1.67,+0.53%,$1.5b,$214.4m,-17.26%,0.87%,0.14,+0.0059%,+0.0057%,$2.6m,2022-09-09 05:16:29.754388
5,Cosmos-ATOM,$14.07,+10.03%,$1.1b,$182.4m,+40.96%,0.74%,0.17,-0.0046%,-0.0233%,$1.8m,2022-09-09 05:16:29.754388
6,Cardano-ADA,$0.4915,+3.41%,$857.2m,$289.7m,+4.00%,1.18%,0.34,+0.0105%,+0.0029%,$864.8k,2022-09-09 05:16:29.754388
7,Ripple-XRP,$0.3480,+4.27%,$780.1m,$340.4m,+3.93%,1.39%,0.44,-0.0035%,-0.0057%,$1.1m,2022-09-09 05:16:29.754388
8,Binance Coin-BNB,$288.31,+3.34%,$725.1m,$284.5m,+1.56%,1.16%,0.39,+0.0116%,+0.0137%,$559.9k,2022-09-09 05:16:29.754388
9,NEAR Protocol-NEAR,$4.72,+6.30%,$693.0m,$124.0m,+18.25%,0.50%,0.18,+0.0026%,+0.0021%,$1.4m,2022-09-09 05:16:29.754388
10,Bitcoin Cash-BCH,$130.07,+10.62%,$661.7m,$206.0m,+23.70%,0.84%,0.31,+0.0035%,-0.0065%,$1.2m,2022-09-09 05:16:29.754388
11,Helium-HNT,$4.79,-12.62%,$642.1m,$31.4m,-29.93%,0.13%,0.05,+0.0017%,+0.0016%,$856.1k,2022-09-09 05:16:29.754388
12,Polygon-MATIC,$0.8695,+3.97%,$576.8m,$191.6m,+1.12%,0.78%,0.33,-0.0118%,-0.0052%,$837.3k,2022-09-09 05:16:29.754388
13,Avalanche-AVAX,$19.96,+5.29%,$562.7m,$136.9m,+5.44%,0.56%,0.24,+0.0100%,+0.0150%,$615.4k,2022-09-09 05:16:29.754388
14,Chainlink-LINK,$7.83,+10.50%,$517.3m,$126.9m,+19.42%,0.52%,0.25,+0.0103%,+0.0101%,$1.4m,2022-09-09 05:16:29.754388
15,Litecoin-LTC,$60.00,+5.58%,$511.1m,$198.1m,+3.20%,0.81%,0.39,+0.0027%,+0.0074%,$796.2k,2022-09-09 05:16:29.754388
16,Polkadot-DOT,$7.60,+6.02%,$503.5m,$281.9m,+6.34%,1.15%,0.56,+0.0031%,+0.0046%,$811.8k,2022-09-09 05:16:29.754388
17,Chiliz-CHZ,$0.2009,+4.72%,$494.1m,$84.5m,+10.48%,0.34%,0.17,+0.0046%,+0.0070%,$595.2k,2022-09-09 05:16:29.754388
18,Optimism-OP,$1.26,+7.69%,$367.8m,$65.0m,+10.20%,0.26%,0.18,+0.0081%,+0.0125%,$951.1k,2022-09-09 05:16:29.754388
19,Dogecoin-DOGE,$0.0625,+2.76%,$348.9m,$120.7m,+1.91%,0.49%,0.35,+0.0113%,+0.0084%,$538.3k,2022-09-09 05:16:29.754388
20,Filecoin-FIL,$6.04,+3.30%,$322.8m,$107.0m,+4.63%,0.44%,0.33,+0.0064%,+0.0076%,$448.1k,2022-09-09 05:16:29.754388
21,Stargate Finance-STG,$0.7793,-1.88%,$295.5m,$28.2m,-15.64%,0.11%,0.10,+0.0058%,+0.0059%,$622.8k,2022-09-09 05:16:29.754388
22,Curve DAO Token-CRV,$1.17,+1.67%,$276.6m,$59.5m,-5.99%,0.24%,0.22,+0.0207%,-0.0044%,$447.6k,2022-09-09 05:16:29.754388
23,STEPN-GMT,$0.6699,+3.26%,$256.2m,$106.5m,+3.07%,0.43%,0.42,+0.0028%,+0.0068%,$338.1k,2022-09-09 05:16:29.754388
24,1000SHIB-1000SHIB,$0.0125,+1.97%,$251.9m,$44.0m,+2.62%,0.18%,0.17,+0.0097%,+0.0100%,$370.1k,2022-09-09 05:16:29.754388
25,ApeCoin-APE,$4.68,+3.79%,$225.6m,$66.1m,+0.35%,0.27%,0.29,-0.0002%,-0.0151%,$406.7k,2022-09-09 05:16:29.754388
26,Terra Classic-LUNC,$0.0005,+5.90%,$222.2m,$32.6m,+300.15%,0.13%,0.15,-0.2754%,-0.2319%,$800.1k,2022-09-09 05:16:29.754388
27,Ravencoin-RVN,$0.0434,+18.22%,$220.0m,$28.8m,+48.33%,0.12%,0.13,+0.0050%,+0.0090%,$722.6k,2022-09-09 05:16:29.754388
28,Axie Infinity-AXS,$13.91,+2.10%,$219.8m,$79.7m,+0.88%,0.32%,0.36,-0.0191%,-0.0229%,$157.3k,2022-09-09 05:16:29.754388
29,The Sandbox-SAND,$0.9468,+4.68%,$213.2m,$73.2m,+0.65%,0.30%,0.34,+0.0056%,+0.0024%,$208.9k,2022-09-09 05:16:29.754388
30,Ethereum Name Service-ENS,$15.85,+7.72%,$196.0m,$38.1m,+26.99%,0.15%,0.19,+0.0094%,+0.0053%,$312.9k,2022-09-09 05:16:29.754388
31,SushiSwap-SUSHI,$1.31,+6.21%,$171.8m,$38.0m,+18.40%,0.15%,0.22,+0.0029%,+0.0000%,$267.1k,2022-09-09 05:16:29.754388
32,Fantom-FTM,$0.2638,+3.49%,$159.2m,$49.2m,+4.17%,0.20%,0.31,+0.0048%,+0.0084%,$112.1k,2022-09-09 05:16:29.754388
33,Tellor-TRB,$16.70,-0.45%,$137.9m,$39.3m,-1.63%,0.16%,0.28,-0.0186%,-0.0049%,$134.0k,2022-09-09 05:16:29.754388
34,Uniswap-UNI,$6.43,+5.38%,$131.0m,$48.7m,+9.49%,0.20%,0.37,+0.0006%,-0.0005%,$86.2k,2022-09-09 05:16:29.754388
35,Tron-TRX,$0.0624,+2.52%,$120.8m,$142.6m,+1.46%,0.58%,1.18,-0.0124%,-0.0086%,$174.9k,2022-09-09 05:16:29.754388
