,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$22,386.90",+3.47%,$43.3b,$11.2b,+4.62%,43.59%,0.26,+0.0018%,+0.0057%,$86.2m,2022-09-12 20:17:06.522243
1,Ethereum-ETH,"$1,723.04",-2.39%,$31.6b,$7.5b,-2.68%,29.17%,0.24,-0.0414%,-0.0411%,$53.3m,2022-09-12 20:17:06.522243
2,Ethereum Classic-ETC,$38.35,-0.70%,$2.7b,$460.8m,-4.50%,1.79%,0.17,-0.0010%,-0.0080%,$10.4m,2022-09-12 20:17:06.522243
3,Solana-SOL,$37.56,+6.19%,$2.5b,$479.9m,+16.87%,1.86%,0.19,-0.0007%,+0.0027%,$3.6m,2022-09-12 20:17:06.522243
4,LUNA2-LUNA2,$4.25,-23.95%,$1.4b,$34.0m,-7.25%,0.13%,0.02,-0.0150%,-0.0200%,$2.5m,2022-09-12 20:17:06.522243
5,Ravencoin-RVN,$0.0686,+32.27%,$1.0b,$67.4m,+107.87%,0.26%,0.07,-0.0040%,-0.0063%,$2.0m,2022-09-12 20:17:06.522243
6,NEAR Protocol-NEAR,$5.00,+2.10%,$996.0m,$130.8m,+8.49%,0.51%,0.13,+0.0082%,+0.0025%,$1.8m,2022-09-12 20:17:06.522243
7,Avalanche-AVAX,$21.35,+4.10%,$905.8m,$149.7m,+10.44%,0.58%,0.17,+0.0151%,+0.0003%,$1.3m,2022-09-12 20:17:06.522243
8,Cardano-ADA,$0.5071,-1.03%,$887.2m,$295.5m,-4.25%,1.15%,0.33,+0.0073%,-0.0079%,$1.5m,2022-09-12 20:17:06.522243
9,Terra-LUNA,$4.26,-23.72%,$858.6m,$16.6m,-24.04%,0.06%,0.02,+0.0011%,-0.0030%,$5.7m,2022-09-12 20:17:06.522243
10,EOS-EOS,$1.66,-3.00%,$856.8m,$190.7m,-7.65%,0.74%,0.22,+0.0021%,+0.0018%,$2.2m,2022-09-12 20:17:06.522243
11,Cosmos-ATOM,$15.49,-1.80%,$834.3m,$154.9m,-7.22%,0.60%,0.19,+0.0099%,+0.0079%,$1.4m,2022-09-12 20:17:06.522243
12,Polygon-MATIC,$0.9348,+4.51%,$799.4m,$209.4m,+7.38%,0.81%,0.26,+0.0091%,-0.0003%,$1.3m,2022-09-12 20:17:06.522243
13,ApeCoin-APE,$5.41,-2.80%,$674.3m,$84.1m,-19.40%,0.33%,0.12,+0.0083%,+0.0054%,$1.7m,2022-09-12 20:17:06.522243
14,Filecoin-FIL,$6.51,+1.61%,$668.9m,$118.5m,-1.54%,0.46%,0.18,-0.0213%,-0.0090%,$1.5m,2022-09-12 20:17:06.522243
15,Binance Coin-BNB,$293.33,-0.56%,$661.0m,$271.8m,-3.07%,1.06%,0.41,+0.0056%,+0.0040%,$415.3k,2022-09-12 20:17:06.522243
16,Ripple-XRP,$0.3569,+0.22%,$615.7m,$341.8m,+0.22%,1.33%,0.56,+0.0011%,-0.0013%,$652.3k,2022-09-12 20:17:06.522243
17,Polkadot-DOT,$7.73,+0.06%,$537.3m,$272.3m,+0.28%,1.06%,0.51,+0.0003%,-0.0068%,$645.7k,2022-09-12 20:17:06.522243
18,Chainlink-LINK,$7.80,-2.57%,$527.6m,$121.6m,-3.75%,0.47%,0.23,+0.0016%,+0.0005%,$1.0m,2022-09-12 20:17:06.522243
19,Litecoin-LTC,$61.43,-2.11%,$497.5m,$208.8m,-2.62%,0.81%,0.42,+0.0033%,+0.0162%,$771.7k,2022-09-12 20:17:06.522243
20,Optimism-OP,$1.30,-6.81%,$483.5m,$65.0m,-3.66%,0.25%,0.13,+0.0111%,+0.0096%,$1.1m,2022-09-12 20:17:06.522243
21,1000LUNC-1000LUNC,$0.3361,-18.56%,$473.8m,$23.0m,+2.72%,0.09%,0.05,-0.0278%,-0.0442%,$1.2m,2022-09-12 20:17:06.522243
22,Reef-REEF,$0.0051,+30.86%,$416.9m,$22.7m,+350.86%,0.09%,0.05,-0.5855%,-0.7538%,$1.4m,2022-09-12 20:17:06.522243
23,STEPN-GMT,$0.7376,-0.79%,$403.8m,$107.2m,+1.07%,0.42%,0.27,+0.0046%,+0.0051%,$959.7k,2022-09-12 20:17:06.522243
24,Dogecoin-DOGE,$0.0639,+0.13%,$396.9m,$123.5m,-0.99%,0.48%,0.31,+0.0056%,+0.0146%,$571.8k,2022-09-12 20:17:06.522243
25,Chiliz-CHZ,$0.2012,-2.60%,$376.2m,$74.4m,-6.33%,0.29%,0.20,+0.0027%,+0.0037%,$775.3k,2022-09-12 20:17:06.522243
26,Bitcoin Cash-BCH,$128.92,-2.09%,$304.1m,$179.7m,-5.67%,0.70%,0.59,-0.0004%,-0.0093%,$656.6k,2022-09-12 20:17:06.522243
27,Curve DAO Token-CRV,$1.15,-4.70%,$289.7m,$62.3m,-5.41%,0.24%,0.22,-0.0084%,+0.0225%,$409.5k,2022-09-12 20:17:06.522243
28,1000SHIB-1000SHIB,$0.0128,-1.06%,$283.9m,$46.0m,-1.80%,0.18%,0.16,+0.0100%,-0.0034%,$853.4k,2022-09-12 20:17:06.522243
29,The Sandbox-SAND,$0.9681,-1.57%,$265.8m,$74.4m,-5.53%,0.29%,0.28,+0.0025%,+0.0117%,$345.9k,2022-09-12 20:17:06.522243
30,Fantom-FTM,$0.2688,-1.79%,$252.5m,$47.9m,-2.71%,0.19%,0.19,+0.0090%,+0.0051%,$401.4k,2022-09-12 20:17:06.522243
31,Terra Classic-LUNC,$0.0003,-18.00%,$250.1m,$36.8m,-18.40%,0.14%,0.15,-0.0184%,-0.0091%,$1.6m,2022-09-12 20:17:06.522243
32,Helium-HNT,$5.11,-1.64%,$247.2m,$20.8m,-14.71%,0.08%,0.08,-0.0076%,-0.0082%,$561.6k,2022-09-12 20:17:06.522243
33,Uniswap-UNI,$6.73,+3.03%,$211.7m,$52.9m,+9.07%,0.21%,0.25,-0.0059%,+0.0025%,$178.0k,2022-09-12 20:17:06.522243
34,Axie Infinity-AXS,$15.45,-2.40%,$206.5m,$80.0m,-1.31%,0.31%,0.39,-0.0220%,-0.0265%,$254.6k,2022-09-12 20:17:06.522243
35,Aave-AAVE,$91.70,-0.29%,$183.3m,$46.8m,+2.05%,0.18%,0.26,+0.0098%,+0.0028%,$205.1k,2022-09-12 20:17:06.522243
36,Waves-WAVES,$4.86,-0.88%,$154.9m,$54.3m,-2.66%,0.21%,0.35,+0.0063%,+0.0058%,$309.7k,2022-09-12 20:17:06.522243
37,Unifi Protocol DAO-UNFI,$7.90,-0.65%,$139.5m,$17.0m,-0.26%,0.07%,0.12,+0.0097%,+0.0092%,$272.6k,2022-09-12 20:17:06.522243
38,Stargate Finance-STG,$0.6446,-12.54%,$139.5m,$13.5m,-28.24%,0.05%,0.10,-0.0079%,-0.0215%,$348.2k,2022-09-12 20:17:06.522243
39,Tellor-TRB,$16.59,-1.41%,$135.1m,$32.8m,-1.12%,0.13%,0.24,-0.1152%,-0.2891%,$201.1k,2022-09-12 20:17:06.522243
40,Tron-TRX,$0.0636,-0.83%,$132.4m,$139.7m,-2.20%,0.54%,1.05,-0.0020%,-0.0088%,$13.2k,2022-09-12 20:17:06.522243
41,Ethereum Name Service-ENS,$15.06,-3.30%,$131.5m,$26.8m,-11.57%,0.10%,0.20,+0.0097%,-0.0085%,$131.7k,2022-09-12 20:17:06.522243
42,The Graph-GRT,$0.1251,+7.95%,$130.9m,$28.6m,+16.86%,0.11%,0.22,-0.0080%,-0.0069%,$368.1k,2022-09-12 20:17:06.522243
43,Decentraland-MANA,$0.7973,-1.52%,$127.7m,$41.5m,+2.71%,0.16%,0.32,+0.0084%,+0.0029%,$162.0k,2022-09-12 20:17:06.522243
44,dYdX-DYDX,$1.56,-4.54%,$122.4m,$34.2m,-9.03%,0.13%,0.28,+0.0082%,+0.0064%,$322.3k,2022-09-12 20:17:06.522243
45,Injective Protocol-INJ,$1.86,-1.03%,$120.3m,$7.3m,+10.00%,0.03%,0.06,+0.0100%,+0.0100%,$237.8k,2022-09-12 20:17:06.522243
46,SHIBA INU-SHIB,$0.0000,-1.04%,$116.4m,$24.1m,+1.88%,0.09%,0.21,+0.0154%,-0.0010%,$291.5k,2022-09-12 20:17:06.522243
47,Gala-GALA,$0.0512,-1.64%,$116.0m,$34.9m,+0.98%,0.14%,0.30,+0.0087%,+0.0014%,$156.9k,2022-09-12 20:17:06.522243
48,THETA-THETA,$1.18,-0.19%,$103.4m,$22.7m,-1.53%,0.09%,0.22,-0.0113%,-0.0137%,$110.2k,2022-09-12 20:17:06.522243
49,Kyber Network Crystal-KNC,$1.93,-3.67%,$99.5m,$22.5m,-19.37%,0.09%,0.23,+0.0085%,-0.0014%,$158.2k,2022-09-12 20:17:06.522243
50,ConstitutionDAO-PEOPLE,$0.0229,-2.91%,$99.4m,$25.7m,-8.02%,0.10%,0.26,-0.0021%,+0.0032%,$179.0k,2022-09-12 20:17:06.522243
51,THORChain-RUNE,$2.00,-0.81%,$95.3m,$24.7m,+3.04%,0.10%,0.26,+0.0079%,+0.0079%,$178.3k,2022-09-12 20:17:06.522243
52,SushiSwap-SUSHI,$1.27,-3.31%,$92.7m,$29.7m,-5.35%,0.12%,0.32,-0.0311%,+0.0008%,$102.0k,2022-09-12 20:17:06.522243
53,Hedera-HBAR,$0.0708,+10.90%,$90.5m,$14.8m,+71.09%,0.06%,0.16,-0.0602%,-0.1525%,$207.0k,2022-09-12 20:17:06.522243
54,Flow (Dapper labs)-FLOW,$2.10,-1.23%,$86.7m,$24.7m,+0.97%,0.10%,0.28,+0.0039%,+0.0036%,$138.0k,2022-09-12 20:17:06.522243
55,Monero-XMR,$161.82,+3.56%,$83.8m,$46.5m,+9.88%,0.18%,0.56,-0.0306%,-0.1289%,$145.1k,2022-09-12 20:17:06.522243
56,Project Galaxy-GAL,$2.97,-1.13%,$76.4m,$16.6m,-9.96%,0.06%,0.22,-0.0072%,-0.0089%,$183.2k,2022-09-12 20:17:06.522243
57,Algorand-ALGO,$0.3211,-1.66%,$75.4m,$31.8m,-1.34%,0.12%,0.42,+0.0078%,-0.0202%,$31.0k,2022-09-12 20:17:06.522243
58,Harmony-ONE,$0.0225,+3.71%,$74.2m,$16.0m,+7.22%,0.06%,0.22,+0.0064%,+0.0066%,$172.8k,2022-09-12 20:17:06.522243
59,yearn.finance-YFI,"$9,960.42",-2.55%,$71.6m,$33.2m,-7.99%,0.13%,0.46,-0.0051%,-0.0254%,$128.1k,2022-09-12 20:17:06.522243
60,Synthetix Network Token-SNX,$2.96,-0.57%,$71.6m,$31.2m,-5.07%,0.12%,0.44,-0.0053%,-0.0125%,$166.7k,2022-09-12 20:17:06.522243
61,Tezos-XTZ,$1.65,-2.63%,$69.4m,$31.0m,-9.80%,0.12%,0.45,+0.0062%,+0.0010%,$191.5k,2022-09-12 20:17:06.522243
62,Compound-COMP,$54.67,-2.79%,$65.0m,$26.2m,-15.08%,0.10%,0.40,-0.0001%,-0.0156%,$132.3k,2022-09-12 20:17:06.522243
63,Celsius-CEL,$1.46,-7.93%,$64.1m,$21.1m,-13.19%,0.08%,0.33,-0.0188%,-0.0787%,$310.0k,2022-09-12 20:17:06.522243
64,Enjin Coin-ENJ,$0.5415,-0.79%,$63.7m,$15.5m,-4.43%,0.06%,0.24,+0.0069%,-0.0014%,$137.3k,2022-09-12 20:17:06.522243
65,1inch-1INCH,$0.6618,-1.36%,$62.3m,$20.7m,-3.42%,0.08%,0.33,-0.0114%,-0.0011%,$72.5k,2022-09-12 20:17:06.522243
66,Serum-SRM,$0.8667,+0.78%,$58.5m,$27.4m,+1.59%,0.11%,0.47,-0.0135%,+0.0101%,$126.6k,2022-09-12 20:17:06.522243
67,Audius-AUDIO,$0.2939,+2.06%,$55.3m,$9.1m,+9.14%,0.04%,0.17,-0.0039%,-0.0108%,$64.0k,2022-09-12 20:17:06.522243
68,ZCash-ZEC,$63.34,-1.96%,$55.2m,$22.3m,+2.61%,0.09%,0.40,+0.0020%,+0.0140%,$65.0k,2022-09-12 20:17:06.522243
69,Stellar Lumens-XLM,$0.1140,+0.18%,$53.0m,$41.3m,-1.81%,0.16%,0.78,+0.0075%,+0.0033%,$77.2k,2022-09-12 20:17:06.522243
70,Balancer-BAL,$7.14,-6.87%,$52.8m,$14.4m,-6.45%,0.06%,0.27,-0.0364%,-0.0690%,$147.2k,2022-09-12 20:17:06.522243
71,Zilliqa-ZIL,$0.0374,+0.33%,$51.5m,$23.5m,+1.47%,0.09%,0.46,+0.0071%,+0.0039%,$42.7k,2022-09-12 20:17:06.522243
72,Jasmy-JASMY,$0.0091,-4.06%,$51.3m,$15.2m,-1.76%,0.06%,0.30,-0.0041%,-0.0058%,$153.6k,2022-09-12 20:17:06.522243
73,iExec RLC-RLC,$1.37,+4.10%,$50.6m,$6.7m,+6.96%,0.03%,0.13,-0.1127%,-0.0594%,$234.8k,2022-09-12 20:17:06.522243
74,Lido DAO Token-LDO,$2.04,-3.74%,$50.6m,$20.1m,-5.89%,0.08%,0.40,+0.0056%,+0.0050%,$43.6k,2022-09-12 20:17:06.522243
75,Oasis Network-ROSE,$0.0651,-0.24%,$50.4m,$12.9m,-7.57%,0.05%,0.26,+0.0081%,+0.0083%,$179.3k,2022-09-12 20:17:06.522243
76,FTX Token-FTT,$28.30,+1.89%,$50.1m,$76.2m,+9.70%,0.30%,1.52,+0.0079%,+0.0080%,$16.5k,2022-09-12 20:17:06.522243
77,Elrond-EGLD,$52.28,-2.44%,$48.9m,$16.0m,-6.97%,0.06%,0.33,+0.0072%,-0.0031%,$110.9k,2022-09-12 20:17:06.522243
78,VeChain-VET,$0.0257,-0.34%,$45.1m,$18.2m,+1.50%,0.07%,0.40,+0.0085%,+0.0045%,$21.4k,2022-09-12 20:17:06.522243
79,Kusama-KSM,$52.17,-1.58%,$44.6m,$15.4m,-4.90%,0.06%,0.35,+0.0161%,-0.0195%,$47.6k,2022-09-12 20:17:06.522243
80,OmiseGO-OMG,$1.95,+0.74%,$44.4m,$13.3m,+1.97%,0.05%,0.30,+0.0092%,+0.0058%,$86.8k,2022-09-12 20:17:06.522243
81,1000XEC-1000XEC,$0.0450,-1.34%,$44.1m,$4.6m,-15.74%,0.02%,0.10,+0.0099%,+0.0099%,$62.9k,2022-09-12 20:17:06.522243
82,Dash-DASH,$47.39,-2.13%,$43.5m,$14.4m,-2.45%,0.06%,0.33,+0.0054%,+0.0020%,$65.9k,2022-09-12 20:17:06.522243
83,Linear-LINA,$0.0088,+1.27%,$43.3m,$5.6m,-2.07%,0.02%,0.13,+0.0008%,-0.0075%,$202.6k,2022-09-12 20:17:06.522243
84,Immutable X-IMX,$0.8598,-1.01%,$42.6m,$9.2m,+1.28%,0.04%,0.22,+0.0106%,+0.0024%,$62.8k,2022-09-12 20:17:06.522243
85,Flamingo-FLM,$0.1175,-2.43%,$42.1m,$18.3m,-1.65%,0.07%,0.44,-0.1287%,-0.2790%,$137.1k,2022-09-12 20:17:06.522243
86,Storj-STORJ,$0.5637,+1.21%,$41.2m,$11.2m,+4.71%,0.04%,0.27,+0.0088%,+0.0024%,$47.1k,2022-09-12 20:17:06.522243
87,NEO-NEO,$9.92,+0.89%,$39.9m,$14.5m,+0.86%,0.06%,0.36,-0.0006%,-0.0001%,$32.8k,2022-09-12 20:17:06.522243
88,Holo-HOT,$0.0022,+2.28%,$38.8m,$5.9m,+15.17%,0.02%,0.15,-0.0276%,-0.0413%,$74.1k,2022-09-12 20:17:06.522243
89,Loopring-LRC,$0.3518,-3.09%,$38.8m,$14.4m,-3.90%,0.06%,0.37,+0.0108%,-0.0056%,$61.1k,2022-09-12 20:17:06.522243
90,Metal-MTL,$1.28,+3.02%,$38.2m,$7.4m,+10.82%,0.03%,0.19,-0.0270%,-0.0078%,$63.0k,2022-09-12 20:17:06.522243
91,BinaryX-BNX,$156.35,+2.61%,$36.3m,$33.3m,+3.38%,0.13%,0.92,+0.0100%,+0.0100%,$174.1k,2022-09-12 20:17:06.522243
92,0x-ZRX,$0.3209,+2.05%,$35.3m,$9.2m,+3.90%,0.04%,0.26,+0.0059%,+0.0039%,$122.7k,2022-09-12 20:17:06.522243
