,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,152.47",+9.61%,$42.1b,$10.6b,+9.15%,41.92%,0.25,+0.0025%,+0.0040%,$116.7m,2022-09-09 15:16:51.084643
1,Ethereum-ETH,"$1,723.62",+5.00%,$34.6b,$7.6b,+3.13%,30.16%,0.22,-0.0032%,-0.0012%,$81.7m,2022-09-09 15:16:51.084643
2,Ethereum Classic-ETC,$39.03,+5.28%,$3.2b,$505.3m,+0.33%,2.01%,0.16,-0.0047%,+0.0111%,$11.1m,2022-09-09 15:16:51.084643
3,Solana-SOL,$35.11,+4.92%,$1.7b,$430.7m,+5.24%,1.71%,0.25,+0.0051%,+0.0099%,$2.8m,2022-09-09 15:16:51.084643
4,Cosmos-ATOM,$16.39,+18.56%,$1.7b,$190.3m,+10.60%,0.76%,0.11,-0.0183%,+0.0145%,$5.6m,2022-09-09 15:16:51.084643
5,EOS-EOS,$1.67,+2.70%,$1.3b,$204.3m,-9.83%,0.81%,0.16,+0.0075%,+0.0088%,$2.6m,2022-09-09 15:16:51.084643
6,Terra-LUNA,$5.52,+182.05%,$1.1b,$20.6m,+170.60%,0.08%,0.02,-0.0155%,-0.1158%,$15.8m,2022-09-09 15:16:51.084643
7,Cardano-ADA,$0.4962,+4.80%,$912.1m,$291.5m,+5.44%,1.16%,0.32,+0.0058%,+0.0102%,$1.1m,2022-09-09 15:16:51.084643
8,Ripple-XRP,$0.3486,+4.29%,$827.4m,$339.0m,+5.12%,1.35%,0.41,+0.0032%,+0.0059%,$1.2m,2022-09-09 15:16:51.084643
9,Binance Coin-BNB,$292.54,+4.05%,$685.3m,$283.7m,+0.47%,1.13%,0.41,+0.0135%,+0.0123%,$883.0k,2022-09-09 15:16:51.084643
10,Bitcoin Cash-BCH,$134.03,+4.30%,$633.3m,$211.1m,+3.68%,0.84%,0.33,-0.0016%,+0.0062%,$1.3m,2022-09-09 15:16:51.084643
