,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,372.61",+3.36%,$34.5b,$10.6b,+3.18%,41.89%,0.31,+0.0072%,+0.0084%,$87.8m,2022-09-10 09:16:25.295493
1,Ethereum-ETH,"$1,719.50",+1.35%,$25.4b,$7.6b,+0.22%,30.14%,0.30,-0.0114%,-0.0092%,$51.0m,2022-09-10 09:16:25.295493
2,Ethereum Classic-ETC,$39.15,+1.33%,$2.5b,$506.8m,+0.80%,2.01%,0.20,+0.0091%,+0.0040%,$7.8m,2022-09-10 09:16:25.295493
3,Terra-LUNA,$5.82,+192.87%,$2.1b,$24.3m,+199.06%,0.10%,0.01,-0.0410%,-0.0501%,$23.1m,2022-09-10 09:16:25.295493
4,Cosmos-ATOM,$15.91,+2.88%,$1.4b,$177.1m,-1.52%,0.70%,0.13,+0.0083%,+0.0093%,$1.9m,2022-09-10 09:16:25.295493
5,Solana-SOL,$34.72,-1.97%,$1.3b,$410.7m,-4.97%,1.63%,0.32,+0.0108%,+0.0093%,$1.1m,2022-09-10 09:16:25.295493
6,LUNA2-LUNA2,$5.83,+15.14%,$1.2b,$25.6m,+650.95%,0.10%,0.02,-0.1088%,-0.1143%,$5.3m,2022-09-10 09:16:25.295493
7,Cardano-ADA,$0.5137,+4.08%,$1.1b,$311.2m,+7.79%,1.23%,0.29,+0.0141%,+0.0150%,$1.7m,2022-09-10 09:16:25.295493
8,Ravencoin-RVN,$0.0517,+16.96%,$1.0b,$41.8m,+18.03%,0.17%,0.04,+0.0135%,+0.0102%,$2.6m,2022-09-10 09:16:25.295493
9,EOS-EOS,$1.70,+0.93%,$823.8m,$208.8m,-1.19%,0.83%,0.25,+0.0088%,+0.0085%,$1.4m,2022-09-10 09:16:25.295493
10,Ripple-XRP,$0.3550,+1.17%,$809.7m,$339.5m,-0.15%,1.35%,0.42,+0.0078%,+0.0096%,$878.3k,2022-09-10 09:16:25.295493
11,Optimism-OP,$1.38,+10.39%,$795.5m,$68.3m,+7.02%,0.27%,0.09,+0.0207%,+0.0226%,$1.9m,2022-09-10 09:16:25.295493
12,STEPN-GMT,$0.7566,+9.73%,$717.3m,$114.1m,+5.88%,0.45%,0.16,-0.0003%,+0.0043%,$1.9m,2022-09-10 09:16:25.295493
13,Binance Coin-BNB,$295.30,+1.99%,$612.6m,$283.5m,-0.63%,1.12%,0.46,+0.0075%,+0.0088%,$557.1k,2022-09-10 09:16:25.295493
14,Avalanche-AVAX,$20.48,+2.08%,$592.7m,$139.8m,+2.20%,0.55%,0.24,+0.0077%,+0.0110%,$558.5k,2022-09-10 09:16:25.295493
15,Filecoin-FIL,$6.35,+3.54%,$550.0m,$113.6m,+7.57%,0.45%,0.21,-0.0031%,+0.0074%,$763.0k,2022-09-10 09:16:25.295493
16,Chiliz-CHZ,$0.2016,+2.32%,$506.0m,$80.1m,-1.54%,0.32%,0.16,+0.0101%,+0.0150%,$447.4k,2022-09-10 09:16:25.295493
17,1000SHIB-1000SHIB,$0.0130,-2.39%,$501.4m,$46.8m,-5.64%,0.19%,0.09,+0.0085%,+0.0100%,$1.3m,2022-09-10 09:16:25.295493
18,Polygon-MATIC,$0.8894,+0.92%,$478.9m,$195.8m,+0.70%,0.78%,0.41,+0.0075%,+0.0080%,$664.9k,2022-09-10 09:16:25.295493
19,Bitcoin Cash-BCH,$132.45,+2.16%,$464.8m,$202.5m,+0.47%,0.80%,0.44,-0.0011%,+0.0044%,$1.2m,2022-09-10 09:16:25.295493
20,Polkadot-DOT,$7.73,-0.12%,$452.9m,$278.8m,-1.70%,1.10%,0.62,-0.0087%,-0.0087%,$504.5k,2022-09-10 09:16:25.295493
21,Dogecoin-DOGE,$0.0642,+1.15%,$450.7m,$123.4m,+1.32%,0.49%,0.27,+0.0085%,+0.0149%,$826.0k,2022-09-10 09:16:25.295493
22,ApeCoin-APE,$5.02,-3.40%,$439.9m,$72.6m,-6.61%,0.29%,0.17,+0.0054%,+0.0069%,$924.3k,2022-09-10 09:16:25.295493
23,NEAR Protocol-NEAR,$4.76,+0.68%,$428.4m,$118.7m,-4.07%,0.47%,0.28,-0.0023%,-0.0001%,$1.1m,2022-09-10 09:16:25.295493
24,Litecoin-LTC,$61.32,+1.22%,$418.9m,$202.4m,+5.58%,0.80%,0.48,+0.0057%,+0.0080%,$561.5k,2022-09-10 09:16:25.295493
25,Chainlink-LINK,$7.78,-1.50%,$404.0m,$120.2m,-7.58%,0.48%,0.30,+0.0102%,+0.0104%,$780.2k,2022-09-10 09:16:25.295493
26,The Sandbox-SAND,$1.01,+4.87%,$309.0m,$81.9m,+8.08%,0.32%,0.27,+0.0139%,+0.0061%,$449.9k,2022-09-10 09:16:25.295493
27,Terra Classic-LUNC,$0.0004,-16.25%,$304.2m,$38.9m,+11.18%,0.15%,0.13,-0.0431%,-0.1621%,$1.8m,2022-09-10 09:16:25.295493
28,1000LUNC-1000LUNC,$0.4311,-8.82%,$301.7m,$11.4m,+769.58k%,0.05%,0.04,-0.1572%,-0.1681%,$1.6m,2022-09-10 09:16:25.295493
29,Curve DAO Token-CRV,$1.19,-0.07%,$293.3m,$64.0m,-2.22%,0.25%,0.22,+0.0230%,+0.0025%,$340.4k,2022-09-10 09:16:25.295493
30,Axie Infinity-AXS,$15.62,+0.87%,$289.3m,$82.8m,+0.64%,0.33%,0.29,-0.0194%,-0.0281%,$260.3k,2022-09-10 09:16:25.295493
31,Waves-WAVES,$4.95,+7.12%,$289.2m,$56.9m,+11.05%,0.23%,0.20,+0.0095%,+0.0118%,$748.6k,2022-09-10 09:16:25.295493
32,Project Galaxy-GAL,$3.09,+16.33%,$280.6m,$20.5m,+52.41%,0.08%,0.07,-0.0219%,-0.0143%,$564.3k,2022-09-10 09:16:25.295493
