,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,677.97",+7.69%,$39.3b,$10.2b,+6.64%,41.32%,0.26,+0.0020%,+0.0036%,$77.2m,2022-09-09 09:18:13.853925
1,Ethereum-ETH,"$1,696.95",+4.81%,$38.0b,$7.6b,+6.16%,30.61%,0.20,-0.0045%,+0.0007%,$69.3m,2022-09-09 09:18:13.853925
2,Ethereum Classic-ETC,$38.65,+5.14%,$3.7b,$503.6m,-1.82%,2.03%,0.14,-0.0081%,+0.0012%,$10.5m,2022-09-09 09:18:13.853925
3,Solana-SOL,$35.36,+7.89%,$1.9b,$432.7m,+9.51%,1.75%,0.23,+0.0018%,+0.0025%,$3.5m,2022-09-09 09:18:13.853925
4,Cosmos-ATOM,$15.55,+20.86%,$1.6b,$180.3m,+36.93%,0.73%,0.11,-0.0201%,+0.0086%,$5.6m,2022-09-09 09:18:13.853925
5,EOS-EOS,$1.69,+3.50%,$1.4b,$211.5m,-13.65%,0.85%,0.15,+0.0082%,+0.0091%,$2.5m,2022-09-09 09:18:13.853925
6,Cardano-ADA,$0.4941,+4.73%,$907.7m,$288.7m,+4.37%,1.16%,0.32,+0.0069%,+0.0060%,$963.5k,2022-09-09 09:18:13.853925
7,Ripple-XRP,$0.3515,+6.18%,$823.2m,$339.6m,+5.50%,1.37%,0.41,-0.0033%,-0.0035%,$1.2m,2022-09-09 09:18:13.853925
8,Binance Coin-BNB,$289.77,+4.33%,$747.6m,$285.3m,+2.01%,1.15%,0.38,+0.0137%,+0.0133%,$681.9k,2022-09-09 09:18:13.853925
9,Bitcoin Cash-BCH,$129.56,+10.50%,$719.3m,$202.1m,+21.07%,0.82%,0.28,-0.0007%,+0.0031%,$1.2m,2022-09-09 09:18:13.853925
10,NEAR Protocol-NEAR,$4.73,+5.58%,$673.9m,$124.0m,+4.64%,0.50%,0.18,+0.0034%,+0.0049%,$1.5m,2022-09-09 09:18:13.853925
11,Polygon-MATIC,$0.8819,+5.52%,$615.7m,$194.5m,+3.00%,0.78%,0.32,+0.0024%,+0.0047%,$887.5k,2022-09-09 09:18:13.853925
12,Avalanche-AVAX,$20.10,+6.67%,$579.1m,$136.9m,+5.46%,0.55%,0.24,+0.0160%,+0.0190%,$709.8k,2022-09-09 09:18:13.853925
13,Chainlink-LINK,$7.94,+12.00%,$573.7m,$130.1m,+21.00%,0.52%,0.23,+0.0124%,+0.0052%,$1.7m,2022-09-09 09:18:13.853925
