,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,347.50",-8.65%,$58.1b,$9.7b,-12.01%,41.77%,0.17,+0.0010%,+0.0003%,$122.4m,2022-09-14 09:16:33.723778
1,Ethereum-ETH,"$1,600.33",-6.78%,$45.7b,$7.1b,-5.56%,30.46%,0.15,-0.1522%,-0.1644%,$112.8m,2022-09-14 09:16:33.723778
2,Ethereum Classic-ETC,$36.76,-3.44%,$2.8b,$436.1m,-4.56%,1.88%,0.15,+0.0060%,+0.0011%,$11.1m,2022-09-14 09:16:33.723778
3,Solana-SOL,$33.42,-13.00%,$2.5b,$404.0m,-19.91%,1.75%,0.16,-0.0082%,+0.0006%,$6.8m,2022-09-14 09:16:33.723778
4,LUNA2-LUNA2,$2.63,-42.19%,$2.2b,$54.9m,+44.95%,0.24%,0.03,-0.6511%,-0.8084%,$4.1m,2022-09-14 09:16:33.723778
5,Litecoin-LTC,$59.44,-4.63%,$1.3b,$218.6m,+1.37%,0.94%,0.17,+0.0109%,+0.0102%,$3.9m,2022-09-14 09:16:33.723778
6,Reef-REEF,$0.0050,+7.11%,$1.1b,$24.6m,+5.15%,0.11%,0.02,-0.2925%,-0.2696%,$2.7m,2022-09-14 09:16:33.723778
7,Terra-LUNA,$2.71,-40.47%,$1.1b,$24.5m,+21.80%,0.11%,0.02,-0.0266%,-1.2700%,$9.3m,2022-09-14 09:16:33.723778
8,Ravencoin-RVN,$0.0635,+2.98%,$982.3m,$53.8m,-4.82%,0.23%,0.05,-0.0091%,-0.0081%,$2.8m,2022-09-14 09:16:33.723778
9,Cardano-ADA,$0.4714,-6.14%,$980.0m,$261.9m,-11.44%,1.13%,0.27,-0.0025%,-0.0027%,$2.2m,2022-09-14 09:16:33.723778
10,Binance Coin-BNB,$279.79,-4.65%,$919.4m,$246.2m,-10.24%,1.06%,0.27,-0.0157%,-0.0131%,$794.2k,2022-09-14 09:16:33.723778
11,1000LUNC-1000LUNC,$0.2777,-23.31%,$889.9m,$30.6m,+12.59%,0.13%,0.03,-0.1164%,-0.1199%,$2.3m,2022-09-14 09:16:33.723778
12,EOS-EOS,$1.48,-11.06%,$888.4m,$160.6m,-15.05%,0.69%,0.18,-0.0309%,-0.0262%,$2.7m,2022-09-14 09:16:33.723778
13,Cosmos-ATOM,$14.24,-9.86%,$837.7m,$124.0m,-20.49%,0.54%,0.15,-0.0045%,-0.0039%,$2.3m,2022-09-14 09:16:33.723778
14,Polygon-MATIC,$0.8575,-7.63%,$825.7m,$170.9m,-18.71%,0.74%,0.21,+0.0001%,+0.0037%,$2.4m,2022-09-14 09:16:33.723778
15,Avalanche-AVAX,$19.10,-11.38%,$747.4m,$129.3m,-14.40%,0.56%,0.17,-0.0263%,-0.0180%,$2.2m,2022-09-14 09:16:33.723778
16,ApeCoin-APE,$5.09,-10.26%,$746.8m,$80.8m,-16.42%,0.35%,0.11,+0.0145%,+0.0206%,$1.8m,2022-09-14 09:16:33.723778
17,Ripple-XRP,$0.3366,-5.09%,$732.0m,$318.3m,-7.24%,1.37%,0.43,-0.0090%,-0.0179%,$1.5m,2022-09-14 09:16:33.723778
18,Chiliz-CHZ,$0.1928,-4.70%,$618.2m,$71.2m,-4.07%,0.31%,0.12,+0.0040%,+0.0031%,$1.4m,2022-09-14 09:16:33.723778
19,NEAR Protocol-NEAR,$4.48,-10.84%,$598.5m,$102.5m,-20.75%,0.44%,0.17,-0.0093%,-0.0063%,$1.5m,2022-09-14 09:16:33.723778
20,Dogecoin-DOGE,$0.0605,-4.97%,$535.7m,$117.1m,-6.83%,0.51%,0.22,+0.0088%,+0.0054%,$1.6m,2022-09-14 09:16:33.723778
21,Optimism-OP,$1.20,-6.30%,$506.4m,$56.2m,-15.59%,0.24%,0.11,+0.0030%,+0.0061%,$1.3m,2022-09-14 09:16:33.723778
22,Polkadot-DOT,$7.17,-6.35%,$489.0m,$253.0m,-5.95%,1.09%,0.52,-0.0068%,-0.0076%,$1.3m,2022-09-14 09:16:33.723778
23,Terra Classic-LUNC,$0.0003,-23.36%,$469.2m,$40.6m,-4.35%,0.18%,0.09,-0.0512%,-0.0550%,$2.3m,2022-09-14 09:16:33.723778
24,Filecoin-FIL,$5.88,-8.43%,$461.0m,$105.3m,-10.81%,0.45%,0.23,-0.0100%,-0.0049%,$2.0m,2022-09-14 09:16:33.723778
25,Chainlink-LINK,$7.26,-6.63%,$420.4m,$104.4m,-11.67%,0.45%,0.25,-0.0022%,+0.0003%,$1.7m,2022-09-14 09:16:33.723778
26,STEPN-GMT,$0.6625,-10.55%,$389.5m,$96.4m,-11.20%,0.42%,0.25,+0.0009%,+0.0037%,$1.1m,2022-09-14 09:16:33.723778
27,Bitcoin Cash-BCH,$119.29,-7.58%,$368.8m,$162.6m,-8.42%,0.70%,0.44,-0.0119%,-0.0154%,$1.6m,2022-09-14 09:16:33.723778
28,Curve DAO Token-CRV,$1.08,-4.78%,$302.8m,$53.9m,-11.03%,0.23%,0.18,+0.0154%,-0.0052%,$783.6k,2022-09-14 09:16:33.723778
29,1000SHIB-1000SHIB,$0.0122,-5.04%,$278.1m,$40.3m,-11.05%,0.17%,0.15,+0.0043%,+0.0042%,$1.1m,2022-09-14 09:16:33.723778
30,The Sandbox-SAND,$0.8873,-7.68%,$239.5m,$66.3m,-8.05%,0.29%,0.28,-0.0013%,+0.0082%,$545.4k,2022-09-14 09:16:33.723778
31,Axie Infinity-AXS,$14.16,-6.65%,$217.9m,$78.4m,-5.69%,0.34%,0.36,-0.0258%,-0.0240%,$816.6k,2022-09-14 09:16:33.723778
32,Fantom-FTM,$0.2490,-8.00%,$177.9m,$43.5m,-9.26%,0.19%,0.24,+0.0050%,+0.0041%,$436.7k,2022-09-14 09:16:33.723778
33,Kyber Network Crystal-KNC,$1.91,+2.36%,$176.6m,$24.6m,+25.71%,0.11%,0.14,-0.0333%,-0.0123%,$356.2k,2022-09-14 09:16:33.723778
34,Aave-AAVE,$84.31,-7.83%,$161.8m,$41.7m,-8.71%,0.18%,0.26,+0.0023%,-0.0023%,$230.9k,2022-09-14 09:16:33.723778
35,Helium-HNT,$4.46,-12.65%,$160.4m,$21.7m,+2.58%,0.09%,0.14,+0.0062%,+0.0059%,$574.9k,2022-09-14 09:16:33.723778
36,Ethereum Name Service-ENS,$14.95,+0.97%,$154.9m,$26.4m,+2.72%,0.11%,0.17,-0.0015%,+0.0073%,$254.9k,2022-09-14 09:16:33.723778
37,Stargate Finance-STG,$0.5935,-7.70%,$148.7m,$12.8m,-8.16%,0.06%,0.09,-0.0628%,-0.0832%,$542.7k,2022-09-14 09:16:33.723778
38,Unifi Protocol DAO-UNFI,$7.05,-11.74%,$148.2m,$16.5m,-3.37%,0.07%,0.11,+0.0057%,+0.0058%,$461.9k,2022-09-14 09:16:33.723778
39,Waves-WAVES,$4.40,-8.18%,$144.5m,$46.4m,-13.61%,0.20%,0.32,+0.0042%,-0.0021%,$531.7k,2022-09-14 09:16:33.723778
40,Uniswap-UNI,$6.12,-8.29%,$140.5m,$45.4m,-10.77%,0.20%,0.32,+0.0035%,-0.0025%,$293.6k,2022-09-14 09:16:33.723778
41,1000XEC-1000XEC,$0.0502,+3.87%,$138.9m,$8.3m,+48.62%,0.04%,0.06,-0.0506%,-0.0586%,$342.3k,2022-09-14 09:16:33.723778
42,SHIBA INU-SHIB,$0.0000,-4.97%,$131.2m,$21.4m,-8.30%,0.09%,0.16,+0.0044%,-0.0026%,$671.0k,2022-09-14 09:16:33.723778
43,dYdX-DYDX,$1.38,-13.75%,$127.9m,$32.3m,-5.37%,0.14%,0.25,+0.0042%,-0.0021%,$453.3k,2022-09-14 09:16:33.723778
44,Decentraland-MANA,$0.7349,-7.64%,$125.9m,$39.1m,-3.22%,0.17%,0.31,+0.0059%,-0.0011%,$461.2k,2022-09-14 09:16:33.723778
45,Gala-GALA,$0.0481,-5.95%,$122.5m,$32.5m,-5.13%,0.14%,0.27,+0.0003%,+0.0017%,$376.7k,2022-09-14 09:16:33.723778
46,Tellor-TRB,$15.37,-7.06%,$111.3m,$28.6m,-14.23%,0.12%,0.26,-0.0318%,+0.0071%,$365.4k,2022-09-14 09:16:33.723778
47,Tron-TRX,$0.0612,-3.99%,$110.8m,$136.9m,-1.77%,0.59%,1.24,-0.0275%,-0.0375%,$260.0k,2022-09-14 09:16:33.723778
48,THORChain-RUNE,$1.80,-7.17%,$102.3m,$21.1m,-8.42%,0.09%,0.21,+0.0068%,+0.0063%,$279.1k,2022-09-14 09:16:33.723778
49,Compound-COMP,$52.68,-6.74%,$95.7m,$24.9m,-7.33%,0.11%,0.26,-0.0097%,-0.0177%,$294.5k,2022-09-14 09:16:33.723778
50,THETA-THETA,$1.10,-8.07%,$93.9m,$22.0m,-5.74%,0.09%,0.23,+0.0113%,-0.0170%,$375.0k,2022-09-14 09:16:33.723778
51,SushiSwap-SUSHI,$1.19,-6.50%,$89.1m,$27.1m,-7.62%,0.12%,0.30,+0.0104%,-0.0023%,$255.6k,2022-09-14 09:16:33.723778
52,FTX Token-FTT,$25.96,-9.54%,$88.7m,$69.9m,-12.08%,0.30%,0.79,+0.0049%,+0.0041%,$792.2k,2022-09-14 09:16:33.723778
53,The Graph-GRT,$0.1104,-8.36%,$86.6m,$23.4m,-13.14%,0.10%,0.27,+0.0010%,-0.0043%,$241.5k,2022-09-14 09:16:33.723778
54,Monero-XMR,$147.51,-8.41%,$85.4m,$42.0m,-13.62%,0.18%,0.49,+0.0009%,-0.0625%,$231.4k,2022-09-14 09:16:33.723778
55,yearn.finance-YFI,"$9,148.64",-8.06%,$84.0m,$30.8m,-5.55%,0.13%,0.37,-0.0031%,-0.0172%,$284.5k,2022-09-14 09:16:33.723778
56,ConstitutionDAO-PEOPLE,$0.0204,-8.90%,$83.8m,$22.6m,-9.62%,0.10%,0.27,-0.0001%,+0.0065%,$497.4k,2022-09-14 09:16:33.723778
57,Tezos-XTZ,$1.54,-7.83%,$81.1m,$27.0m,-13.07%,0.12%,0.33,+0.0005%,-0.0121%,$447.1k,2022-09-14 09:16:33.723778
58,Algorand-ALGO,$0.2992,-6.47%,$75.9m,$28.8m,-9.70%,0.12%,0.38,-0.0024%,+0.0079%,$194.7k,2022-09-14 09:16:33.723778
59,Synthetix Network Token-SNX,$2.74,-7.45%,$75.6m,$29.0m,-6.28%,0.13%,0.38,-0.0352%,-0.0452%,$180.4k,2022-09-14 09:16:33.723778
60,Project Galaxy-GAL,$2.68,-7.58%,$73.0m,$13.7m,-17.17%,0.06%,0.19,+0.0015%,+0.0041%,$469.4k,2022-09-14 09:16:33.723778
61,Flow (Dapper labs)-FLOW,$1.85,-10.56%,$70.8m,$22.2m,-8.36%,0.10%,0.31,-0.0016%,-0.0029%,$350.9k,2022-09-14 09:16:33.723778
62,Injective Protocol-INJ,$1.74,-9.18%,$67.4m,$4.3m,-53.61%,0.02%,0.06,-0.0059%,-0.0088%,$500.9k,2022-09-14 09:16:33.723778
63,Celsius-CEL,$1.70,+15.58%,$66.7m,$23.7m,+9.83%,0.10%,0.36,-0.0069%,+0.0064%,$2.2m,2022-09-14 09:16:33.723778
64,BinaryX-BNX,$157.35,+0.10%,$66.5m,$35.6m,+5.47%,0.15%,0.54,+0.0100%,+0.0100%,$384.3k,2022-09-14 09:16:33.723778
65,Stellar Lumens-XLM,$0.1044,-7.76%,$66.2m,$36.2m,-10.14%,0.16%,0.55,-0.0139%,-0.0227%,$117.4k,2022-09-14 09:16:33.723778
66,Hedera-HBAR,$0.0639,-6.69%,$65.5m,$12.1m,-30.57%,0.05%,0.18,+0.0081%,+0.0080%,$403.1k,2022-09-14 09:16:33.723778
67,ZCash-ZEC,$59.49,-5.58%,$64.1m,$21.1m,-5.34%,0.09%,0.33,-0.0027%,+0.0096%,$202.8k,2022-09-14 09:16:33.723778
68,Elrond-EGLD,$49.29,-4.79%,$57.7m,$15.4m,-2.34%,0.07%,0.27,+0.0061%,-0.0064%,$164.0k,2022-09-14 09:16:33.723778
69,Zilliqa-ZIL,$0.0345,-7.78%,$56.9m,$21.5m,-10.03%,0.09%,0.38,+0.0052%,-0.0047%,$87.0k,2022-09-14 09:16:33.723778
70,iExec RLC-RLC,$1.25,-10.88%,$55.2m,$6.3m,-20.12%,0.03%,0.11,-0.0449%,-0.0577%,$152.5k,2022-09-14 09:16:33.723778
71,1inch-1INCH,$0.6030,-8.32%,$53.7m,$20.1m,-3.58%,0.09%,0.37,-0.0035%,-0.0558%,$175.1k,2022-09-14 09:16:33.723778
72,Lido DAO Token-LDO,$1.77,-9.20%,$52.9m,$16.9m,-9.56%,0.07%,0.32,-0.1640%,-0.1613%,$103.9k,2022-09-14 09:16:33.723778
73,VeChain-VET,$0.0237,-6.99%,$49.4m,$16.5m,-7.94%,0.07%,0.33,-0.0368%,-0.0259%,$194.6k,2022-09-14 09:16:33.723778
74,NEM-XEM,$0.0428,-7.41%,$48.2m,$7.6m,-14.80%,0.03%,0.16,+0.0007%,-0.0384%,$97.6k,2022-09-14 09:16:33.723778
75,Harmony-ONE,$0.0208,-8.30%,$46.7m,$14.1m,-16.38%,0.06%,0.30,+0.0019%,+0.0005%,$184.3k,2022-09-14 09:16:33.723778
76,Enjin Coin-ENJ,$0.4998,-7.64%,$45.8m,$13.6m,-10.52%,0.06%,0.30,-0.0185%,-0.0020%,$140.0k,2022-09-14 09:16:33.723778
77,Jasmy-JASMY,$0.0085,-6.49%,$44.9m,$15.7m,+3.94%,0.07%,0.35,+0.0041%,+0.0041%,$197.5k,2022-09-14 09:16:33.723778
78,Audius-AUDIO,$0.2556,-8.80%,$43.7m,$7.9m,-7.84%,0.03%,0.18,+0.0063%,+0.0040%,$196.6k,2022-09-14 09:16:33.723778
79,FOOTBALL-FOOTBALL,"$1,043.31",-4.83%,$41.4m,$8.9m,+14.45%,0.04%,0.22,+0.1673%,+0.1697%,$150.1k,2022-09-14 09:16:33.723778
80,Dash-DASH,$44.25,-6.74%,$40.9m,$12.5m,-8.56%,0.05%,0.31,+0.0201%,-0.0085%,$142.6k,2022-09-14 09:16:33.723778
81,Serum-SRM,$0.8265,-5.91%,$40.7m,$23.9m,-12.38%,0.10%,0.59,+0.0089%,+0.0021%,$115.1k,2022-09-14 09:16:33.723778
82,Tether-USDT,$1.00,-0.02%,$39.6m,$287.3m,+2.79%,1.24%,7.25,+0.0000%,+0.0001%,$2.8k,2022-09-14 09:16:33.723778
