,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$22,165.23",+2.43%,$35.3b,$11.0b,+2.83%,42.64%,0.31,+0.0043%,+0.0073%,$72.3m,2022-09-12 11:17:13.187586
1,Ethereum-ETH,"$1,746.77",-1.16%,$26.1b,$7.6b,-2.10%,29.34%,0.29,-0.0225%,-0.0289%,$43.7m,2022-09-12 11:17:13.187586
2,Ethereum Classic-ETC,$38.72,-0.29%,$2.3b,$487.5m,+0.58%,1.88%,0.21,-0.0076%,+0.0108%,$7.0m,2022-09-12 11:17:13.187586
3,Solana-SOL,$37.89,+9.01%,$1.9b,$500.2m,+25.39%,1.93%,0.26,+0.0015%,+0.0046%,$3.5m,2022-09-12 11:17:13.187586
4,LUNA2-LUNA2,$4.78,-22.36%,$1.1b,$35.9m,-11.59%,0.14%,0.03,+0.0058%,+0.0063%,$1.7m,2022-09-12 11:17:13.187586
5,ApeCoin-APE,$5.51,+1.01%,$987.8m,$91.7m,-5.82%,0.35%,0.09,+0.0058%,+0.0085%,$1.8m,2022-09-12 11:17:13.187586
6,NEAR Protocol-NEAR,$5.17,+8.82%,$839.2m,$151.8m,+32.24%,0.59%,0.18,+0.0015%,+0.0042%,$1.8m,2022-09-12 11:17:13.187586
7,EOS-EOS,$1.73,-1.35%,$794.3m,$203.5m,-6.12%,0.79%,0.26,+0.0084%,+0.0071%,$1.6m,2022-09-12 11:17:13.187586
8,Filecoin-FIL,$6.56,+3.40%,$779.8m,$123.3m,+8.77%,0.48%,0.16,-0.0069%,-0.0267%,$1.7m,2022-09-12 11:17:13.187586
9,Cardano-ADA,$0.5165,+0.54%,$769.3m,$306.2m,-2.81%,1.18%,0.40,+0.0002%,+0.0146%,$893.4k,2022-09-12 11:17:13.187586
10,Terra-LUNA,$4.77,-22.54%,$729.8m,$19.7m,-25.92%,0.08%,0.03,-0.0227%,-0.0063%,$4.3m,2022-09-12 11:17:13.187586
11,Cosmos-ATOM,$16.26,+2.72%,$667.1m,$171.8m,+1.91%,0.66%,0.26,+0.0018%,+0.0118%,$983.8k,2022-09-12 11:17:13.187586
12,Avalanche-AVAX,$21.62,+6.00%,$621.3m,$151.2m,+12.71%,0.58%,0.24,+0.0052%,+0.0221%,$1.1m,2022-09-12 11:17:13.187586
13,Optimism-OP,$1.39,+1.78%,$522.4m,$67.7m,+3.11%,0.26%,0.13,+0.0102%,+0.0103%,$766.4k,2022-09-12 11:17:13.187586
14,Ripple-XRP,$0.3554,-0.01%,$516.0m,$342.3m,+0.22%,1.32%,0.66,+0.0003%,-0.0048%,$454.9k,2022-09-12 11:17:13.187586
15,Binance Coin-BNB,$297.42,+0.61%,$515.5m,$287.4m,+1.77%,1.11%,0.56,+0.0035%,+0.0063%,$246.5k,2022-09-12 11:17:13.187586
16,Chainlink-LINK,$8.08,+1.02%,$478.9m,$130.7m,+1.87%,0.51%,0.27,+0.0085%,+0.0106%,$463.2k,2022-09-12 11:17:13.187586
17,Polkadot-DOT,$7.95,+3.16%,$450.2m,$286.2m,+4.44%,1.11%,0.64,+0.0050%,+0.0089%,$486.4k,2022-09-12 11:17:13.187586
18,Litecoin-LTC,$61.88,-1.75%,$444.1m,$205.6m,-4.92%,0.79%,0.46,+0.0102%,+0.0069%,$678.1k,2022-09-12 11:17:13.187586
19,STEPN-GMT,$0.7549,+0.37%,$414.2m,$109.7m,-1.10%,0.42%,0.26,-0.0049%,+0.0002%,$965.4k,2022-09-12 11:17:13.187586
