,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,350.23",-4.47%,$45.3b,$10.5b,-5.39%,43.65%,0.23,+0.0077%,+0.0087%,$55.1m,2022-09-13 13:16:32.744677
1,Ethereum-ETH,"$1,611.78",-7.78%,$35.5b,$7.0b,-7.66%,29.02%,0.20,-0.0502%,-0.0217%,$78.4m,2022-09-13 13:16:32.744677
2,Solana-SOL,$35.57,-6.35%,$2.6b,$435.5m,-14.06%,1.80%,0.17,-0.0108%,-0.0050%,$4.4m,2022-09-13 13:16:32.744677
3,Ethereum Classic-ETC,$35.67,-8.27%,$2.3b,$418.6m,-13.90%,1.73%,0.18,+0.0112%,+0.0036%,$11.2m,2022-09-13 13:16:32.744677
4,Ravencoin-RVN,$0.0599,+4.07%,$1.6b,$49.1m,+17.12%,0.20%,0.03,+0.0098%,+0.0095%,$4.0m,2022-09-13 13:16:32.744677
5,LUNA2-LUNA2,$4.01,-17.10%,$1.5b,$31.8m,-18.37%,0.13%,0.02,-0.0076%,-0.0085%,$2.8m,2022-09-13 13:16:32.744677
6,Reef-REEF,$0.0051,+26.03%,$1.0b,$31.1m,+423.19%,0.13%,0.03,-0.7997%,-1.2546%,$3.1m,2022-09-13 13:16:32.744677
7,Polygon-MATIC,$0.8713,-6.15%,$947.9m,$188.7m,-9.11%,0.78%,0.20,+0.0042%,+0.0014%,$1.6m,2022-09-13 13:16:32.744677
8,Terra-LUNA,$4.00,-17.15%,$946.5m,$14.8m,-32.16%,0.06%,0.02,+0.0150%,+0.0062%,$5.5m,2022-09-13 13:16:32.744677
9,Avalanche-AVAX,$20.00,-8.44%,$927.3m,$138.3m,-9.84%,0.57%,0.15,+0.0040%,-0.0155%,$1.3m,2022-09-13 13:16:32.744677
10,Cardano-ADA,$0.4739,-8.65%,$903.6m,$274.0m,-10.89%,1.13%,0.30,+0.0147%,+0.0090%,$2.0m,2022-09-13 13:16:32.744677
11,Litecoin-LTC,$63.15,+2.06%,$896.9m,$246.8m,+19.38%,1.02%,0.28,+0.0114%,+0.0149%,$2.2m,2022-09-13 13:16:32.744677
12,Cosmos-ATOM,$14.82,-8.31%,$809.6m,$140.7m,-16.91%,0.58%,0.17,+0.0052%,+0.0066%,$1.3m,2022-09-13 13:16:32.744677
13,EOS-EOS,$1.59,-7.73%,$806.8m,$178.3m,-12.55%,0.74%,0.22,+0.0034%,+0.0058%,$2.1m,2022-09-13 13:16:32.744677
14,Binance Coin-BNB,$281.50,-5.53%,$773.3m,$257.4m,-10.66%,1.07%,0.33,+0.0075%,-0.0031%,$673.0k,2022-09-13 13:16:32.744677
15,ApeCoin-APE,$5.46,-1.52%,$743.1m,$91.6m,-0.83%,0.38%,0.12,+0.0057%,+0.0036%,$1.8m,2022-09-13 13:16:32.744677
16,NEAR Protocol-NEAR,$4.63,-10.99%,$715.3m,$111.0m,-29.02%,0.46%,0.16,-0.0168%,-0.0100%,$1.5m,2022-09-13 13:16:32.744677
17,1000LUNC-1000LUNC,$0.3409,-11.02%,$688.3m,$24.9m,+2.22%,0.10%,0.04,-0.0625%,-0.0682%,$2.2m,2022-09-13 13:16:32.744677
18,Ripple-XRP,$0.3417,-4.06%,$681.8m,$329.6m,-4.20%,1.36%,0.48,-0.0002%,+0.0070%,$1.0m,2022-09-13 13:16:32.744677
19,Filecoin-FIL,$6.04,-8.00%,$657.9m,$109.7m,-10.65%,0.45%,0.17,-0.0071%,-0.0059%,$1.7m,2022-09-13 13:16:32.744677
20,Optimism-OP,$1.19,-13.87%,$588.6m,$56.6m,-15.94%,0.23%,0.10,+0.0174%,+0.0095%,$1.8m,2022-09-13 13:16:32.744677
21,Polkadot-DOT,$7.34,-7.84%,$569.1m,$260.5m,-8.88%,1.08%,0.46,-0.0058%,-0.0025%,$1.0m,2022-09-13 13:16:32.744677
22,Chiliz-CHZ,$0.1940,-5.80%,$461.0m,$70.3m,-12.32%,0.29%,0.15,+0.0093%,+0.0065%,$1.0m,2022-09-13 13:16:32.744677
23,STEPN-GMT,$0.6851,-8.88%,$409.9m,$100.5m,-7.69%,0.42%,0.25,+0.0075%,-0.0030%,$975.8k,2022-09-13 13:16:32.744677
24,Chainlink-LINK,$7.34,-7.89%,$409.7m,$109.9m,-14.54%,0.46%,0.27,+0.0103%,+0.0032%,$1.5m,2022-09-13 13:16:32.744677
25,Dogecoin-DOGE,$0.0609,-6.21%,$408.4m,$117.7m,-8.97%,0.49%,0.29,+0.0117%,+0.0140%,$1.4m,2022-09-13 13:16:32.744677
26,Terra Classic-LUNC,$0.0003,-11.18%,$357.5m,$43.1m,+1.15%,0.18%,0.12,-0.0151%,-0.0287%,$2.0m,2022-09-13 13:16:32.744677
27,Bitcoin Cash-BCH,$123.57,-6.44%,$318.5m,$171.1m,-8.84%,0.71%,0.54,-0.0078%,-0.0019%,$981.3k,2022-09-13 13:16:32.744677
28,Curve DAO Token-CRV,$1.06,-10.78%,$301.6m,$55.0m,-13.74%,0.23%,0.18,-0.0107%,+0.0214%,$802.4k,2022-09-13 13:16:32.744677
29,1000SHIB-1000SHIB,$0.0122,-6.99%,$275.9m,$39.6m,-21.48%,0.16%,0.14,+0.0100%,+0.0100%,$982.5k,2022-09-13 13:16:32.744677
30,The Sandbox-SAND,$0.9062,-8.63%,$266.4m,$67.9m,-13.73%,0.28%,0.25,+0.0036%,+0.0116%,$885.9k,2022-09-13 13:16:32.744677
31,Aave-AAVE,$85.86,-9.63%,$231.8m,$41.6m,-21.07%,0.17%,0.18,+0.0035%,+0.0037%,$259.1k,2022-09-13 13:16:32.744677
32,Axie Infinity-AXS,$14.79,-7.98%,$230.9m,$78.6m,-5.75%,0.33%,0.34,-0.0085%,-0.0309%,$618.5k,2022-09-13 13:16:32.744677
33,Unifi Protocol DAO-UNFI,$7.31,-9.70%,$216.3m,$15.3m,-15.66%,0.06%,0.07,+0.0100%,+0.0100%,$448.1k,2022-09-13 13:16:32.744677
34,Fantom-FTM,$0.2544,-8.93%,$202.7m,$43.6m,-16.77%,0.18%,0.22,+0.0091%,+0.0087%,$579.5k,2022-09-13 13:16:32.744677
35,Helium-HNT,$4.76,-10.34%,$197.0m,$18.8m,-18.20%,0.08%,0.10,+0.0052%,+0.0009%,$678.4k,2022-09-13 13:16:32.744677
36,Hedera-HBAR,$0.0663,+2.05%,$196.5m,$15.3m,+69.86%,0.06%,0.08,-0.0277%,-0.0281%,$618.1k,2022-09-13 13:16:32.744677
37,Uniswap-UNI,$6.23,-8.99%,$178.5m,$46.7m,-16.61%,0.19%,0.26,-0.0067%,-0.0163%,$281.6k,2022-09-13 13:16:32.744677
38,The Graph-GRT,$0.1115,-7.24%,$169.8m,$24.5m,-0.90%,0.10%,0.14,-0.0014%,+0.0032%,$535.3k,2022-09-13 13:16:32.744677
39,Waves-WAVES,$4.50,-8.82%,$154.6m,$47.9m,-14.05%,0.20%,0.31,+0.0078%,+0.0066%,$440.2k,2022-09-13 13:16:32.744677
40,Stargate Finance-STG,$0.6192,-13.63%,$145.3m,$12.6m,-35.47%,0.05%,0.09,+0.0032%,+0.0039%,$444.4k,2022-09-13 13:16:32.744677
41,SHIBA INU-SHIB,$0.0000,-6.37%,$137.3m,$21.3m,-15.29%,0.09%,0.16,+0.0093%,+0.0074%,$672.6k,2022-09-13 13:16:32.744677
42,Decentraland-MANA,$0.7505,-8.19%,$136.4m,$38.3m,-9.49%,0.16%,0.28,+0.0075%,+0.0072%,$434.3k,2022-09-13 13:16:32.744677
43,Monero-XMR,$154.57,-3.60%,$132.7m,$45.5m,+0.75%,0.19%,0.34,+0.0104%,-0.0034%,$173.8k,2022-09-13 13:16:32.744677
44,Gala-GALA,$0.0485,-8.14%,$126.7m,$32.8m,-10.08%,0.14%,0.26,+0.0084%,+0.0064%,$309.5k,2022-09-13 13:16:32.744677
45,Ethereum Name Service-ENS,$14.14,-8.21%,$121.4m,$23.3m,-18.66%,0.10%,0.19,+0.0104%,+0.0038%,$279.2k,2022-09-13 13:16:32.744677
46,Tellor-TRB,$15.39,-9.69%,$119.0m,$29.8m,-10.84%,0.12%,0.25,-0.0707%,-0.0969%,$363.3k,2022-09-13 13:16:32.744677
47,Tron-TRX,$0.0622,-2.62%,$115.8m,$136.8m,-3.54%,0.57%,1.18,-0.0156%,-0.0213%,$61.3k,2022-09-13 13:16:32.744677
48,FTX Token-FTT,$27.34,-3.07%,$113.5m,$73.5m,+2.57%,0.30%,0.65,+0.0071%,+0.0072%,$253.4k,2022-09-13 13:16:32.744677
49,dYdX-DYDX,$1.50,-8.19%,$112.3m,$31.4m,-15.63%,0.13%,0.28,+0.0076%,+0.0081%,$458.2k,2022-09-13 13:16:32.744677
50,THORChain-RUNE,$1.83,-11.75%,$107.5m,$21.4m,-16.65%,0.09%,0.20,+0.0072%,+0.0056%,$242.8k,2022-09-13 13:16:32.744677
51,Injective Protocol-INJ,$1.84,-1.03%,$107.0m,$7.2m,+0.30%,0.03%,0.07,+0.0100%,+0.0100%,$341.7k,2022-09-13 13:16:32.744677
52,THETA-THETA,$1.11,-8.41%,$99.3m,$21.6m,-11.51%,0.09%,0.22,+0.0011%,-0.0003%,$323.4k,2022-09-13 13:16:32.744677
53,ConstitutionDAO-PEOPLE,$0.0211,-9.96%,$94.5m,$22.5m,-20.18%,0.09%,0.24,+0.0055%,+0.0018%,$273.5k,2022-09-13 13:16:32.744677
54,SushiSwap-SUSHI,$1.20,-9.45%,$93.6m,$27.7m,-10.71%,0.11%,0.30,-0.0137%,-0.0008%,$215.7k,2022-09-13 13:16:32.744677
