,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,288.15",+10.31%,$46.2b,$10.6b,+10.45%,42.20%,0.23,+0.0031%,+0.0043%,$123.4m,2022-09-09 22:17:06.639436
1,Ethereum-ETH,"$1,717.86",+5.04%,$32.7b,$7.5b,+3.36%,29.88%,0.23,-0.0067%,-0.0091%,$72.8m,2022-09-09 22:17:06.639436
2,Ethereum Classic-ETC,$39.26,+6.86%,$3.1b,$506.0m,+3.26%,2.02%,0.16,+0.0111%,+0.0029%,$11.1m,2022-09-09 22:17:06.639436
3,Cosmos-ATOM,$16.17,+16.74%,$1.8b,$178.0m,-0.82%,0.71%,0.10,+0.0142%,+0.0014%,$5.8m,2022-09-09 22:17:06.639436
4,Solana-SOL,$34.73,+3.73%,$1.6b,$424.3m,+4.67%,1.69%,0.26,+0.0112%,+0.0098%,$2.8m,2022-09-09 22:17:06.639436
5,Terra-LUNA,$5.00,+157.36%,$1.6b,$17.8m,+141.16%,0.07%,0.01,-0.0983%,-0.0203%,$20.0m,2022-09-09 22:17:06.639436
6,EOS-EOS,$1.65,+2.77%,$1.2b,$197.5m,-9.15%,0.79%,0.17,+0.0087%,+0.0069%,$2.7m,2022-09-09 22:17:06.639436
7,Ravencoin-RVN,$0.0560,+55.40%,$1.0b,$45.0m,+163.73%,0.18%,0.04,+0.0095%,+0.0175%,$3.0m,2022-09-09 22:17:06.639436
8,Cardano-ADA,$0.4943,+3.62%,$880.6m,$289.3m,+3.88%,1.15%,0.33,+0.0096%,+0.0064%,$1.0m,2022-09-09 22:17:06.639436
9,Ripple-XRP,$0.3516,+3.16%,$806.7m,$336.8m,+2.60%,1.34%,0.42,+0.0086%,+0.0083%,$1.1m,2022-09-09 22:17:06.639436
10,Optimism-OP,$1.43,+21.29%,$757.8m,$71.8m,+22.34%,0.29%,0.09,+0.0146%,+0.0147%,$2.4m,2022-09-09 22:17:06.639436
11,LUNA2-LUNA2,n/a,n/a,$745.6m,$12.5m,+298.16%,0.05%,0.02,-0.1420%,-0.1420%,$3.7m,2022-09-09 22:17:06.639436
12,Binance Coin-BNB,$291.38,+3.93%,$667.4m,$279.7m,-0.30%,1.11%,0.42,+0.0129%,+0.0108%,$856.8k,2022-09-09 22:17:06.639436
13,STEPN-GMT,$0.7936,+21.66%,$657.2m,$121.6m,+17.06%,0.48%,0.18,-0.0015%,-0.0044%,$2.2m,2022-09-09 22:17:06.639436
14,Chiliz-CHZ,$0.2046,+9.75%,$631.1m,$82.7m,+7.76%,0.33%,0.13,+0.0167%,+0.0130%,$707.7k,2022-09-09 22:17:06.639436
15,ApeCoin-APE,$5.00,+11.78%,$604.6m,$75.1m,+20.46%,0.30%,0.12,+0.0061%,-0.0016%,$1.9m,2022-09-09 22:17:06.639436
16,Bitcoin Cash-BCH,$132.69,+3.63%,$588.4m,$203.2m,-1.63%,0.81%,0.35,+0.0058%,-0.0029%,$1.4m,2022-09-09 22:17:06.639436
17,1000SHIB-1000SHIB,$0.0129,+5.96%,$577.9m,$47.4m,+12.36%,0.19%,0.08,+0.0100%,+0.0100%,$1.7m,2022-09-09 22:17:06.639436
18,Avalanche-AVAX,$20.31,+6.82%,$565.3m,$142.0m,+7.37%,0.57%,0.25,+0.0081%,+0.0149%,$671.1k,2022-09-09 22:17:06.639436
19,Chainlink-LINK,$7.72,+4.02%,$541.6m,$122.6m,+3.50%,0.49%,0.23,+0.0083%,+0.0118%,$1.8m,2022-09-09 22:17:06.639436
20,Filecoin-FIL,$6.40,+9.13%,$514.8m,$113.2m,+9.05%,0.45%,0.22,+0.0078%,-0.0098%,$834.1k,2022-09-09 22:17:06.639436
21,Polkadot-DOT,$7.78,+5.22%,$506.0m,$282.7m,+4.46%,1.13%,0.56,-0.0081%,-0.0062%,$941.1k,2022-09-09 22:17:06.639436
22,Polygon-MATIC,$0.8911,+6.01%,$504.7m,$194.9m,+4.58%,0.78%,0.39,+0.0067%,+0.0052%,$797.9k,2022-09-09 22:17:06.639436
23,Dogecoin-DOGE,$0.0634,+4.41%,$475.9m,$120.9m,+1.10%,0.48%,0.25,+0.0115%,+0.0111%,$1.0m,2022-09-09 22:17:06.639436
24,NEAR Protocol-NEAR,$4.79,+4.31%,$473.5m,$121.7m,+0.20%,0.48%,0.26,+0.0057%,+0.0030%,$1.2m,2022-09-09 22:17:06.639436
25,Litecoin-LTC,$60.75,+4.98%,$468.6m,$198.2m,+5.49%,0.79%,0.42,+0.0047%,+0.0085%,$818.4k,2022-09-09 22:17:06.639436
