,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,459.71",-7.93%,$33.5b,$6.7b,-4.90%,29.70%,0.20,+0.0045%,-0.0020%,$97.3m,2022-09-16 13:16:31.641229
1,Bitcoin-BTC,"$19,736.47",-1.91%,$24.5b,$9.4b,-0.29%,41.93%,0.39,+0.0017%,-0.0029%,$30.9m,2022-09-16 13:16:31.641229
2,Ethereum Classic-ETC,$33.94,-11.09%,$3.8b,$425.8m,-14.97%,1.89%,0.11,-0.1536%,-0.1454%,$11.5m,2022-09-16 13:16:31.641229
3,Cosmos-ATOM,$15.63,+7.21%,$1.5b,$188.9m,+47.35%,0.84%,0.12,-0.0156%,-0.0158%,$2.7m,2022-09-16 13:16:31.641229
4,Solana-SOL,$32.69,-3.16%,$1.2b,$386.0m,-0.36%,1.72%,0.33,+0.0081%,+0.0137%,$1.7m,2022-09-16 13:16:31.641229
5,Ravencoin-RVN,$0.0510,-16.47%,$854.7m,$60.6m,-9.66%,0.27%,0.07,+0.0078%,+0.0030%,$1.8m,2022-09-16 13:16:31.641229
6,Chiliz-CHZ,$0.2027,+5.98%,$705.0m,$88.4m,+21.76%,0.39%,0.13,+0.0001%,+0.0010%,$709.5k,2022-09-16 13:16:31.641229
7,EOS-EOS,$1.42,-2.37%,$659.3m,$153.6m,-3.04%,0.68%,0.23,-0.0081%,-0.0019%,$1.5m,2022-09-16 13:16:31.641229
8,LUNA2-LUNA2,$2.72,-5.67%,$623.2m,$38.2m,-16.74%,0.17%,0.06,-0.0783%,-0.1026%,$1.0m,2022-09-16 13:16:31.641229
9,1000LUNC-1000LUNC,$0.2768,+1.32%,$608.3m,$30.6m,+11.39%,0.14%,0.05,-0.0200%,-0.0157%,$1.3m,2022-09-16 13:16:31.641229
10,Ripple-XRP,$0.3302,-0.99%,$588.6m,$303.9m,-3.65%,1.35%,0.52,-0.0004%,-0.0080%,$1.2m,2022-09-16 13:16:31.641229
11,Cardano-ADA,$0.4613,-2.98%,$543.0m,$245.1m,-5.65%,1.09%,0.45,+0.0050%,+0.0007%,$764.1k,2022-09-16 13:16:31.641229
