,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$22,614.00",+2.24%,$33.1b,$11.2b,+1.51%,43.35%,0.34,+0.0068%,+0.0112%,$36.8m,2022-09-13 11:16:31.114341
1,Ethereum-ETH,"$1,738.47",-0.33%,$26.2b,$7.5b,-0.84%,29.08%,0.29,-0.0484%,-0.0356%,$41.8m,2022-09-13 11:16:31.114341
2,Solana-SOL,$38.68,+2.47%,$2.2b,$506.8m,+1.36%,1.96%,0.23,-0.0078%,-0.0068%,$2.4m,2022-09-13 11:16:31.114341
3,Ethereum Classic-ETC,$38.70,+0.24%,$1.8b,$469.2m,-3.85%,1.81%,0.26,+0.0117%,+0.0079%,$5.0m,2022-09-13 11:16:31.114341
4,Ravencoin-RVN,$0.0615,+11.38%,$1.5b,$53.8m,+48.35%,0.21%,0.04,+0.0096%,+0.0130%,$3.4m,2022-09-13 11:16:31.114341
5,LUNA2-LUNA2,$4.45,-6.09%,$1.5b,$35.9m,-0.39%,0.14%,0.02,-0.0065%,-0.0095%,$2.6m,2022-09-13 11:16:31.114341
6,Terra-LUNA,$4.43,-7.04%,$907.2m,$18.1m,-7.67%,0.07%,0.02,+0.0132%,+0.0017%,$4.9m,2022-09-13 11:16:31.114341
7,Polygon-MATIC,$0.9298,+2.48%,$896.1m,$210.8m,+6.42%,0.82%,0.24,+0.0051%,+0.0035%,$1.3m,2022-09-13 11:16:31.114341
8,Avalanche-AVAX,$21.66,+0.50%,$820.4m,$152.8m,+1.03%,0.59%,0.19,+0.0056%,-0.0060%,$641.4k,2022-09-13 11:16:31.114341
9,Reef-REEF,$0.0055,+39.04%,$810.6m,$26.7m,+392.22%,0.10%,0.03,-0.3746%,-0.7074%,$2.5m,2022-09-13 11:16:31.114341
10,Cardano-ADA,$0.5043,-2.20%,$732.6m,$296.7m,-3.21%,1.15%,0.41,+0.0104%,+0.0144%,$1.0m,2022-09-13 11:16:31.114341
11,NEAR Protocol-NEAR,$4.99,-3.33%,$691.5m,$127.4m,-16.20%,0.49%,0.18,-0.0146%,-0.0103%,$1.1m,2022-09-13 11:16:31.114341
12,Cosmos-ATOM,$15.96,-1.58%,$658.1m,$156.6m,-8.89%,0.61%,0.24,+0.0059%,+0.0036%,$662.3k,2022-09-13 11:16:31.114341
13,ApeCoin-APE,$5.80,+5.36%,$653.7m,$100.3m,+9.76%,0.39%,0.15,+0.0058%,+0.0014%,$1.5m,2022-09-13 11:16:31.114341
14,1000LUNC-1000LUNC,$0.3658,-1.59%,$653.2m,$29.8m,+37.15%,0.12%,0.05,-0.0739%,-0.0969%,$2.1m,2022-09-13 11:16:31.114341
15,EOS-EOS,$1.68,-2.75%,$652.8m,$190.9m,-6.00%,0.74%,0.29,+0.0040%,+0.0054%,$1.3m,2022-09-13 11:16:31.114341
16,Litecoin-LTC,$65.74,+6.35%,$561.8m,$243.2m,+18.22%,0.94%,0.43,+0.0075%,+0.0166%,$951.8k,2022-09-13 11:16:31.114341
17,Filecoin-FIL,$6.45,-1.35%,$559.6m,$119.6m,-3.22%,0.46%,0.21,-0.0069%,-0.0001%,$786.1k,2022-09-13 11:16:31.114341
18,Binance Coin-BNB,$295.38,-0.59%,$556.7m,$273.7m,-4.75%,1.06%,0.49,-0.0003%,+0.0008%,$372.8k,2022-09-13 11:16:31.114341
19,Ripple-XRP,$0.3558,+0.22%,$527.8m,$342.8m,+0.10%,1.33%,0.65,-0.0002%,+0.0062%,$451.6k,2022-09-13 11:16:31.114341
20,Optimism-OP,$1.31,-5.93%,$456.0m,$69.6m,+2.53%,0.27%,0.15,+0.0163%,+0.0081%,$1.0m,2022-09-13 11:16:31.114341
21,Polkadot-DOT,$7.85,-1.12%,$445.8m,$275.3m,-3.73%,1.06%,0.62,-0.0086%,-0.0022%,$522.3k,2022-09-13 11:16:31.114341
22,Chiliz-CHZ,$0.2029,-1.63%,$383.3m,$74.3m,-7.14%,0.29%,0.19,+0.0094%,+0.0070%,$532.7k,2022-09-13 11:16:31.114341
23,Terra Classic-LUNC,$0.0004,-1.79%,$329.5m,$45.7m,+9.86%,0.18%,0.14,-0.0178%,-0.0465%,$1.7m,2022-09-13 11:16:31.114341
24,Chainlink-LINK,$7.84,-2.68%,$329.3m,$118.5m,-9.28%,0.46%,0.36,+0.0031%,+0.0062%,$839.8k,2022-09-13 11:16:31.114341
25,Dogecoin-DOGE,$0.0638,-0.81%,$323.4m,$125.9m,-0.80%,0.49%,0.39,+0.0075%,+0.0208%,$343.9k,2022-09-13 11:16:31.114341
26,STEPN-GMT,$0.7465,-1.01%,$322.9m,$109.8m,+0.09%,0.42%,0.34,+0.0108%,+0.0102%,$493.2k,2022-09-13 11:16:31.114341
27,Curve DAO Token-CRV,$1.14,-3.63%,$250.4m,$61.2m,-3.99%,0.24%,0.24,-0.0099%,+0.0208%,$373.2k,2022-09-13 11:16:31.114341
28,1000SHIB-1000SHIB,$0.0129,-1.39%,$216.7m,$46.4m,-7.62%,0.18%,0.21,+0.0100%,+0.0100%,$525.5k,2022-09-13 11:16:31.114341
29,The Sandbox-SAND,$0.9628,-2.72%,$216.0m,$72.3m,-7.78%,0.28%,0.33,+0.0040%,+0.0113%,$664.4k,2022-09-13 11:16:31.114341
30,Bitcoin Cash-BCH,$131.18,-0.16%,$215.8m,$181.6m,-2.64%,0.70%,0.84,-0.0107%,-0.0004%,$534.3k,2022-09-13 11:16:31.114341
31,Aave-AAVE,$91.93,-3.04%,$203.0m,$45.8m,-12.84%,0.18%,0.23,+0.0076%,+0.0080%,$215.9k,2022-09-13 11:16:31.114341
