,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$22,277.68",+0.17%,$32.9b,$11.0b,-0.15%,43.13%,0.33,+0.0068%,+0.0112%,$34.8m,2022-09-13 09:16:24.098062
1,Ethereum-ETH,"$1,716.23",-2.26%,$26.3b,$7.5b,-2.24%,29.27%,0.28,-0.0533%,-0.0419%,$40.1m,2022-09-13 09:16:24.098062
2,Solana-SOL,$38.39,+6.04%,$2.7b,$503.4m,+18.88%,1.97%,0.18,-0.0076%,-0.0071%,$3.6m,2022-09-13 09:16:24.098062
3,Ethereum Classic-ETC,$38.07,-3.84%,$2.0b,$456.4m,-10.51%,1.79%,0.23,+0.0114%,+0.0067%,$5.9m,2022-09-13 09:16:24.098062
4,Ravencoin-RVN,$0.0617,+12.71%,$1.5b,$56.2m,+53.60%,0.22%,0.04,+0.0085%,+0.0108%,$3.3m,2022-09-13 09:16:24.098062
5,LUNA2-LUNA2,$4.54,-8.35%,$1.5b,$37.4m,+6.17%,0.15%,0.03,-0.0129%,-0.0181%,$2.6m,2022-09-13 09:16:24.098062
6,Polygon-MATIC,$0.9286,+2.80%,$889.7m,$209.6m,+8.48%,0.82%,0.24,+0.0045%,+0.0029%,$1.2m,2022-09-13 09:16:24.098062
7,Terra-LUNA,$4.54,-7.90%,$875.0m,$20.3m,+0.16%,0.08%,0.02,+0.0132%,-0.0018%,$5.1m,2022-09-13 09:16:24.098062
8,Avalanche-AVAX,$21.53,+2.27%,$870.2m,$150.9m,+6.85%,0.59%,0.17,+0.0064%,-0.0012%,$955.6k,2022-09-13 09:16:24.098062
9,NEAR Protocol-NEAR,$5.01,-2.56%,$833.0m,$129.0m,-7.77%,0.51%,0.15,-0.0149%,-0.0157%,$1.4m,2022-09-13 09:16:24.098062
10,Cardano-ADA,$0.5023,-2.18%,$778.7m,$295.4m,-1.85%,1.16%,0.38,+0.0102%,+0.0181%,$1.1m,2022-09-13 09:16:24.098062
11,Cosmos-ATOM,$15.80,-0.79%,$757.0m,$156.1m,-3.48%,0.61%,0.21,+0.0059%,+0.0041%,$971.6k,2022-09-13 09:16:24.098062
12,Reef-REEF,$0.0047,+19.67%,$716.1m,$23.4m,+343.90%,0.09%,0.03,-0.1480%,-0.0449%,$2.2m,2022-09-13 09:16:24.098062
13,EOS-EOS,$1.66,-5.02%,$681.8m,$188.5m,-8.63%,0.74%,0.28,+0.0041%,+0.0065%,$1.4m,2022-09-13 09:16:24.098062
14,ApeCoin-APE,$5.68,+2.53%,$625.7m,$96.4m,+5.76%,0.38%,0.15,+0.0060%,+0.0025%,$1.5m,2022-09-13 09:16:24.098062
15,1000LUNC-1000LUNC,$0.3607,-4.70%,$594.8m,$27.2m,+24.39%,0.11%,0.05,-0.0301%,-0.0344%,$2.1m,2022-09-13 09:16:24.098062
16,Filecoin-FIL,$6.41,-1.77%,$576.4m,$117.8m,-4.03%,0.46%,0.20,-0.0069%,+0.0118%,$803.3k,2022-09-13 09:16:24.098062
17,Binance Coin-BNB,$293.56,-1.04%,$568.2m,$274.1m,-2.80%,1.07%,0.48,-0.0003%,+0.0046%,$348.2k,2022-09-13 09:16:24.098062
18,Ripple-XRP,$0.3547,-0.55%,$527.4m,$342.8m,+0.03%,1.34%,0.65,-0.0021%,+0.0017%,$454.2k,2022-09-13 09:16:24.098062
19,Polkadot-DOT,$7.65,-2.51%,$478.4m,$268.2m,-3.58%,1.05%,0.56,-0.0082%,-0.0044%,$545.8k,2022-09-13 09:16:24.098062
20,Optimism-OP,$1.28,-7.55%,$455.5m,$66.7m,-0.25%,0.26%,0.15,+0.0163%,+0.0116%,$974.1k,2022-09-13 09:16:24.098062
21,Litecoin-LTC,$62.29,-0.34%,$434.5m,$214.9m,+3.41%,0.84%,0.49,+0.0068%,+0.0140%,$291.4k,2022-09-13 09:16:24.098062
22,Chiliz-CHZ,$0.2030,-2.16%,$390.9m,$74.2m,-8.74%,0.29%,0.19,+0.0095%,+0.0065%,$545.9k,2022-09-13 09:16:24.098062
23,Chainlink-LINK,$7.75,-4.04%,$339.4m,$117.8m,-9.53%,0.46%,0.35,+0.0034%,+0.0081%,$825.2k,2022-09-13 09:16:24.098062
24,Dogecoin-DOGE,$0.0636,-0.90%,$335.5m,$125.4m,+0.13%,0.49%,0.37,+0.0076%,+0.0219%,$348.5k,2022-09-13 09:16:24.098062
25,STEPN-GMT,$0.7398,-1.41%,$330.2m,$108.5m,-0.37%,0.43%,0.33,+0.0108%,+0.0086%,$487.0k,2022-09-13 09:16:24.098062
26,Terra Classic-LUNC,$0.0004,-4.78%,$297.3m,$42.8m,+2.77%,0.17%,0.14,-0.0131%,-0.0205%,$1.6m,2022-09-13 09:16:24.098062
27,Curve DAO Token-CRV,$1.14,-5.03%,$251.6m,$60.5m,-6.28%,0.24%,0.24,-0.0098%,+0.0108%,$376.8k,2022-09-13 09:16:24.098062
28,The Sandbox-SAND,$0.9611,-2.29%,$227.7m,$71.9m,-7.06%,0.28%,0.32,+0.0039%,+0.0100%,$674.1k,2022-09-13 09:16:24.098062
29,1000SHIB-1000SHIB,$0.0128,-2.35%,$225.8m,$45.2m,-7.48%,0.18%,0.20,+0.0100%,+0.0100%,$509.8k,2022-09-13 09:16:24.098062
30,Aave-AAVE,$91.34,-1.57%,$219.3m,$45.6m,-3.21%,0.18%,0.21,+0.0078%,+0.0095%,$245.7k,2022-09-13 09:16:24.098062
31,Bitcoin Cash-BCH,$129.13,-1.80%,$216.5m,$177.7m,-4.81%,0.70%,0.82,-0.0107%,-0.0037%,$521.2k,2022-09-13 09:16:24.098062
32,Axie Infinity-AXS,$15.53,-1.90%,$203.0m,$82.7m,+2.06%,0.32%,0.41,-0.0051%,-0.0157%,$464.5k,2022-09-13 09:16:24.098062
33,Unifi Protocol DAO-UNFI,$7.98,+0.79%,$199.6m,$17.0m,-4.25%,0.07%,0.08,+0.0100%,+0.0100%,$274.3k,2022-09-13 09:16:24.098062
34,Helium-HNT,$5.10,-6.08%,$192.3m,$21.1m,-11.57%,0.08%,0.11,+0.0060%,+0.0037%,$480.9k,2022-09-13 09:16:24.098062
35,Fantom-FTM,$0.2701,-2.64%,$188.7m,$47.9m,-5.15%,0.19%,0.25,+0.0095%,+0.0085%,$337.6k,2022-09-13 09:16:24.098062
36,Hedera-HBAR,$0.0685,+6.01%,$172.2m,$17.3m,+101.38%,0.07%,0.10,-0.0159%,-0.0115%,$450.4k,2022-09-13 09:16:24.098062
37,Uniswap-UNI,$6.67,-2.71%,$167.5m,$50.7m,-10.78%,0.20%,0.30,-0.0046%,-0.0264%,$122.2k,2022-09-13 09:16:24.098062
38,The Graph-GRT,$0.1200,-0.07%,$149.0m,$26.9m,+8.93%,0.11%,0.18,-0.0014%,+0.0008%,$415.4k,2022-09-13 09:16:24.098062
39,Stargate Finance-STG,$0.6426,-10.87%,$135.8m,$13.9m,-28.76%,0.05%,0.10,+0.0046%,+0.0060%,$339.7k,2022-09-13 09:16:24.098062
40,Waves-WAVES,$4.79,-2.36%,$123.9m,$53.6m,-1.84%,0.21%,0.43,+0.0085%,+0.0073%,$203.7k,2022-09-13 09:16:24.098062
41,Monero-XMR,$161.02,-0.07%,$119.6m,$48.6m,+8.42%,0.19%,0.41,+0.0106%,-0.0119%,$107.9k,2022-09-13 09:16:24.098062
42,Decentraland-MANA,$0.7964,-2.24%,$115.6m,$40.5m,-2.54%,0.16%,0.35,+0.0077%,+0.0041%,$254.8k,2022-09-13 09:16:24.098062
43,Tron-TRX,$0.0637,-1.12%,$108.3m,$139.3m,-2.64%,0.55%,1.29,-0.0131%,-0.0125%,$5.5k,2022-09-13 09:16:24.098062
44,Tellor-TRB,$16.53,-3.40%,$99.2m,$33.3m,-2.21%,0.13%,0.34,-0.0503%,-0.0535%,$155.8k,2022-09-13 09:16:24.098062
45,Ethereum Name Service-ENS,$14.82,-4.58%,$98.9m,$25.7m,-12.64%,0.10%,0.26,+0.0110%,+0.0064%,$87.8k,2022-09-13 09:16:24.098062
46,Injective Protocol-INJ,$1.92,+5.98%,$98.0m,$9.3m,+58.73%,0.04%,0.10,+0.0100%,+0.0100%,$283.1k,2022-09-13 09:16:24.098062
47,Gala-GALA,$0.0511,-2.72%,$97.9m,$34.1m,-5.35%,0.13%,0.35,+0.0088%,+0.0070%,$119.5k,2022-09-13 09:16:24.098062
48,dYdX-DYDX,$1.60,-1.49%,$97.0m,$34.1m,-7.44%,0.13%,0.35,+0.0078%,+0.0069%,$238.9k,2022-09-13 09:16:24.098062
49,SHIBA INU-SHIB,$0.0000,-2.64%,$94.4m,$23.3m,-6.57%,0.09%,0.25,+0.0095%,+0.0098%,$234.7k,2022-09-13 09:16:24.098062
50,Kyber Network Crystal-KNC,$1.88,-4.51%,$90.3m,$19.5m,-20.95%,0.08%,0.22,+0.0032%,-0.0050%,$116.8k,2022-09-13 09:16:24.098062
51,THETA-THETA,$1.19,-0.25%,$89.7m,$23.2m,-1.47%,0.09%,0.26,+0.0016%,+0.0077%,$141.4k,2022-09-13 09:16:24.098062
52,Harmony-ONE,$0.0227,+2.51%,$85.6m,$16.8m,+11.55%,0.07%,0.20,+0.0000%,+0.0029%,$194.0k,2022-09-13 09:16:24.098062
53,THORChain-RUNE,$1.93,-6.24%,$84.9m,$23.0m,-8.43%,0.09%,0.27,+0.0082%,+0.0083%,$140.7k,2022-09-13 09:16:24.098062
54,Flow (Dapper labs)-FLOW,$2.07,-3.36%,$77.5m,$24.1m,-6.81%,0.09%,0.31,+0.0048%,+0.0057%,$156.8k,2022-09-13 09:16:24.098062
55,ConstitutionDAO-PEOPLE,$0.0223,-5.17%,$77.0m,$24.9m,-12.32%,0.10%,0.32,+0.0079%,+0.0001%,$107.6k,2022-09-13 09:16:24.098062
56,SushiSwap-SUSHI,$1.27,-4.81%,$75.7m,$29.2m,-7.63%,0.11%,0.39,-0.0120%,+0.0086%,$79.0k,2022-09-13 09:16:24.098062
57,FTX Token-FTT,$28.72,+1.83%,$73.4m,$79.3m,+10.52%,0.31%,1.08,+0.0076%,+0.0078%,$22.6k,2022-09-13 09:16:24.098062
58,iExec RLC-RLC,$1.39,+3.22%,$70.2m,$7.9m,+24.75%,0.03%,0.11,-0.0752%,-0.0612%,$247.0k,2022-09-13 09:16:24.098062
59,yearn.finance-YFI,"$9,940.45",-3.64%,$63.8m,$32.6m,-8.74%,0.13%,0.51,-0.0130%,-0.0063%,$123.4k,2022-09-13 09:16:24.098062
60,Project Galaxy-GAL,$2.90,-6.08%,$61.8m,$16.6m,-6.93%,0.06%,0.27,-0.0020%,-0.0004%,$118.9k,2022-09-13 09:16:24.098062
61,Serum-SRM,$0.8801,+0.92%,$59.6m,$27.2m,-0.72%,0.11%,0.46,-0.0013%,+0.0081%,$121.0k,2022-09-13 09:16:24.098062
62,Audius-AUDIO,$0.2807,-2.53%,$59.2m,$8.6m,+0.79%,0.03%,0.14,+0.0053%,+0.0057%,$86.8k,2022-09-13 09:16:24.098062
63,Algorand-ALGO,$0.3201,-2.08%,$57.1m,$31.8m,-2.67%,0.12%,0.56,+0.0221%,+0.0022%,$29.1k,2022-09-13 09:16:24.098062
64,Synthetix Network Token-SNX,$2.96,-1.29%,$57.0m,$30.9m,-3.66%,0.12%,0.54,-0.0023%,+0.0049%,$81.3k,2022-09-13 09:16:24.098062
65,ZCash-ZEC,$62.84,-3.63%,$56.7m,$22.1m,-1.21%,0.09%,0.39,+0.0149%,+0.0083%,$106.3k,2022-09-13 09:16:24.098062
