,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,790.49",+0.73%,$20.6b,$10.9b,+2.56%,42.79%,0.53,+0.0009%,+0.0025%,$27.4m,2022-09-12 00:17:33.165617
1,Ethereum-ETH,"$1,760.15",-0.77%,$17.4b,$7.7b,-0.56%,30.03%,0.44,-0.0241%,-0.0247%,$23.1m,2022-09-12 00:17:33.165617
2,Ethereum Classic-ETC,$38.30,-2.53%,$1.3b,$467.1m,-5.26%,1.83%,0.35,-0.0004%,+0.0021%,$4.0m,2022-09-12 00:17:33.165617
3,LUNA2-LUNA2,$5.73,-8.72%,$1.3b,$35.9m,+11.68%,0.14%,0.03,-0.0632%,-0.0624%,$1.9m,2022-09-12 00:17:33.165617
4,ApeCoin-APE,$5.59,+9.91%,$994.1m,$100.3m,+34.62%,0.39%,0.10,+0.0012%,-0.0001%,$1.7m,2022-09-12 00:17:33.165617
5,Solana-SOL,$34.89,-0.57%,$931.6m,$393.3m,-3.00%,1.54%,0.42,-0.0004%,+0.0002%,$1.4m,2022-09-12 00:17:33.165617
6,Terra-LUNA,$5.75,-8.33%,$833.4m,$23.4m,-1.55%,0.09%,0.03,-0.0726%,-0.0544%,$4.2m,2022-09-12 00:17:33.165617
7,EOS-EOS,$1.71,-2.78%,$826.0m,$201.4m,-5.88%,0.79%,0.24,+0.0131%,+0.0101%,$1.7m,2022-09-12 00:17:33.165617
8,Cardano-ADA,$0.5082,-1.18%,$704.3m,$304.3m,-2.13%,1.19%,0.43,+0.0038%,+0.0025%,$813.7k,2022-09-12 00:17:33.165617
9,Filecoin-FIL,$6.43,+0.89%,$607.5m,$119.9m,+4.02%,0.47%,0.20,+0.0023%,+0.0067%,$1.7m,2022-09-12 00:17:33.165617
10,Chiliz-CHZ,$0.2069,+2.29%,$594.6m,$79.4m,+1.14%,0.31%,0.13,+0.0018%,+0.0034%,$976.4k,2022-09-12 00:17:33.165617
11,Cosmos-ATOM,$15.61,-2.46%,$481.9m,$159.7m,-8.96%,0.62%,0.33,+0.0012%,+0.0063%,$698.8k,2022-09-12 00:17:33.165617
12,Optimism-OP,$1.39,-1.41%,$444.8m,$65.3m,-4.06%,0.26%,0.15,+0.0134%,+0.0097%,$704.4k,2022-09-12 00:17:33.165617
13,NEAR Protocol-NEAR,$4.89,+1.37%,$409.1m,$116.3m,-1.04%,0.46%,0.28,+0.0022%,+0.0044%,$916.7k,2022-09-12 00:17:33.165617
14,Ripple-XRP,$0.3550,-0.90%,$391.5m,$337.3m,-2.08%,1.32%,0.86,-0.0058%,-0.0108%,$398.6k,2022-09-12 00:17:33.165617
15,Litecoin-LTC,$62.13,-2.21%,$376.1m,$210.1m,-4.37%,0.82%,0.56,+0.0066%,+0.0048%,$477.2k,2022-09-12 00:17:33.165617
16,Binance Coin-BNB,$294.86,-0.84%,$362.3m,$278.2m,-2.02%,1.09%,0.77,+0.0051%,+0.0045%,$150.7k,2022-09-12 00:17:33.165617
17,Chainlink-LINK,$8.14,+2.56%,$361.4m,$131.3m,+5.17%,0.51%,0.36,+0.0094%,+0.0074%,$345.0k,2022-09-12 00:17:33.165617
18,Avalanche-AVAX,$20.56,-0.50%,$357.6m,$135.9m,-0.69%,0.53%,0.38,+0.0152%,+0.0164%,$387.3k,2022-09-12 00:17:33.165617
19,STEPN-GMT,$0.7352,-2.08%,$352.6m,$105.6m,-3.56%,0.41%,0.30,-0.0019%,-0.0036%,$1.1m,2022-09-12 00:17:33.165617
20,1000LUNC-1000LUNC,$0.4234,-3.33%,$339.6m,$22.3m,+59.26%,0.09%,0.07,-0.1057%,-0.1033%,$710.2k,2022-09-12 00:17:33.165617
21,Polkadot-DOT,$7.69,-1.63%,$289.6m,$271.9m,-1.96%,1.06%,0.94,-0.0001%,-0.0132%,$386.5k,2022-09-12 00:17:33.165617
22,Polygon-MATIC,$0.8913,-2.45%,$288.7m,$193.0m,-6.47%,0.75%,0.67,+0.0012%,-0.0079%,$496.5k,2022-09-12 00:17:33.165617
23,Dogecoin-DOGE,$0.0636,-2.00%,$287.5m,$122.7m,-4.19%,0.48%,0.43,+0.0058%,+0.0115%,$501.0k,2022-09-12 00:17:33.165617
24,1000SHIB-1000SHIB,$0.0130,-2.88%,$279.5m,$46.2m,-6.63%,0.18%,0.17,+0.0080%,+0.0077%,$526.5k,2022-09-12 00:17:33.165617
25,Ravencoin-RVN,$0.0516,-8.64%,$265.5m,$32.6m,-21.44%,0.13%,0.12,+0.0064%,+0.0140%,$438.0k,2022-09-12 00:17:33.165617
26,Curve DAO Token-CRV,$1.18,-5.29%,$231.3m,$63.1m,-8.93%,0.25%,0.27,-0.0059%,+0.0119%,$357.0k,2022-09-12 00:17:33.165617
27,Helium-HNT,$5.14,-7.88%,$212.8m,$23.6m,-19.40%,0.09%,0.11,-0.0062%,-0.0067%,$279.5k,2022-09-12 00:17:33.165617
28,Bitcoin Cash-BCH,$129.73,-2.48%,$191.3m,$186.3m,-4.92%,0.73%,0.97,-0.0011%,-0.0088%,$349.9k,2022-09-12 00:17:33.165617
29,Terra Classic-LUNC,$0.0004,-3.28%,$187.3m,$45.9m,+5.97%,0.18%,0.25,-0.1150%,+0.0014%,$624.8k,2022-09-12 00:17:33.165617
30,The Sandbox-SAND,$0.9721,-1.78%,$185.9m,$76.8m,-3.20%,0.30%,0.41,+0.0017%,+0.0068%,$211.1k,2022-09-12 00:17:33.165617
