,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,802.34",+0.97%,$26.9b,$10.6b,-0.07%,42.45%,0.40,+0.0022%,+0.0032%,$68.8m,2022-09-12 02:16:36.267878
1,Ethereum-ETH,"$1,737.94",-1.39%,$20.5b,$7.5b,-2.00%,30.05%,0.37,-0.0252%,-0.0210%,$35.5m,2022-09-12 02:16:36.267878
2,Ethereum Classic-ETC,$37.90,-2.99%,$1.5b,$455.1m,-7.77%,1.81%,0.30,-0.0010%,-0.0031%,$5.4m,2022-09-12 02:16:36.267878
3,LUNA2-LUNA2,$5.57,-11.83%,$1.2b,$34.0m,-0.31%,0.14%,0.03,-0.0500%,-0.0478%,$1.8m,2022-09-12 02:16:36.267878
4,Solana-SOL,$35.54,+1.00%,$1.1b,$400.9m,-1.37%,1.60%,0.37,-0.0005%,+0.0022%,$1.8m,2022-09-12 02:16:36.267878
5,ApeCoin-APE,$5.48,+7.32%,$1.1b,$93.0m,+21.94%,0.37%,0.09,+0.0013%,+0.0017%,$2.0m,2022-09-12 02:16:36.267878
6,Terra-LUNA,$5.61,-11.60%,$813.5m,$21.9m,-10.37%,0.09%,0.03,-0.0726%,-0.0357%,$4.2m,2022-09-12 02:16:36.267878
7,EOS-EOS,$1.69,-4.99%,$790.7m,$198.2m,-10.03%,0.79%,0.25,+0.0132%,+0.0091%,$1.5m,2022-09-12 02:16:36.267878
8,Cardano-ADA,$0.5057,-1.37%,$774.4m,$298.7m,-3.32%,1.19%,0.39,+0.0051%,+0.0024%,$1.1m,2022-09-12 02:16:36.267878
9,Filecoin-FIL,$6.46,+1.46%,$683.2m,$120.4m,+4.20%,0.48%,0.18,+0.0025%,-0.0042%,$1.8m,2022-09-12 02:16:36.267878
10,Chiliz-CHZ,$0.2037,+1.57%,$645.4m,$77.7m,-0.87%,0.31%,0.12,+0.0027%,+0.0105%,$1.1m,2022-09-12 02:16:36.267878
11,Cosmos-ATOM,$15.61,-1.13%,$540.0m,$158.7m,-7.37%,0.63%,0.29,+0.0015%,+0.0012%,$810.9k,2022-09-12 02:16:36.267878
12,Optimism-OP,$1.39,+1.17%,$468.7m,$65.2m,-2.40%,0.26%,0.14,+0.0133%,+0.0115%,$735.7k,2022-09-12 02:16:36.267878
13,NEAR Protocol-NEAR,$4.85,+1.70%,$465.8m,$114.2m,-2.07%,0.46%,0.25,+0.0022%,+0.0042%,$1.0m,2022-09-12 02:16:36.267878
14,Chainlink-LINK,$8.09,+2.25%,$451.3m,$132.3m,+6.14%,0.53%,0.29,+0.0103%,+0.0083%,$537.8k,2022-09-12 02:16:36.267878
15,Avalanche-AVAX,$20.40,-0.44%,$443.2m,$133.5m,-2.20%,0.53%,0.30,+0.0150%,+0.0094%,$553.1k,2022-09-12 02:16:36.267878
16,Ripple-XRP,$0.3534,-0.95%,$437.8m,$336.9m,-1.88%,1.34%,0.77,-0.0028%,-0.0024%,$450.4k,2022-09-12 02:16:36.267878
17,Litecoin-LTC,$61.84,-3.02%,$429.3m,$206.1m,-6.96%,0.82%,0.48,+0.0070%,+0.0063%,$784.3k,2022-09-12 02:16:36.267878
18,Binance Coin-BNB,$293.95,-0.49%,$427.9m,$275.8m,-2.09%,1.10%,0.64,+0.0061%,+0.0033%,$211.7k,2022-09-12 02:16:36.267878
19,STEPN-GMT,$0.7403,-1.10%,$381.9m,$105.8m,-3.10%,0.42%,0.28,-0.0014%,-0.0041%,$1.2m,2022-09-12 02:16:36.267878
20,1000LUNC-1000LUNC,$0.4217,-3.17%,$344.5m,$22.2m,+51.83%,0.09%,0.06,-0.0934%,-0.0905%,$738.7k,2022-09-12 02:16:36.267878
21,Polkadot-DOT,$7.72,-0.70%,$336.8m,$272.6m,-1.16%,1.09%,0.81,+0.0014%,-0.0055%,$461.3k,2022-09-12 02:16:36.267878
22,Polygon-MATIC,$0.8899,-0.98%,$332.8m,$191.1m,-5.51%,0.76%,0.57,+0.0011%,-0.0069%,$641.0k,2022-09-12 02:16:36.267878
23,Dogecoin-DOGE,$0.0636,-1.76%,$317.0m,$122.8m,-3.23%,0.49%,0.39,+0.0058%,+0.0100%,$567.3k,2022-09-12 02:16:36.267878
24,1000SHIB-1000SHIB,$0.0130,-0.76%,$277.0m,$45.7m,-6.58%,0.18%,0.17,+0.0080%,+0.0081%,$638.8k,2022-09-12 02:16:36.267878
25,Ravencoin-RVN,$0.0523,-2.68%,$268.1m,$32.0m,-18.58%,0.13%,0.12,+0.0064%,+0.0098%,$513.3k,2022-09-12 02:16:36.267878
26,Curve DAO Token-CRV,$1.17,-4.82%,$247.1m,$62.5m,-8.86%,0.25%,0.25,-0.0061%,+0.0082%,$349.8k,2022-09-12 02:16:36.267878
27,Helium-HNT,$5.17,-6.52%,$213.6m,$22.9m,-20.41%,0.09%,0.11,-0.0058%,-0.0036%,$287.6k,2022-09-12 02:16:36.267878
28,The Sandbox-SAND,$0.9680,-1.94%,$210.3m,$76.2m,-4.11%,0.30%,0.36,+0.0018%,+0.0048%,$248.8k,2022-09-12 02:16:36.267878
29,Bitcoin Cash-BCH,$129.43,-1.79%,$210.0m,$184.6m,-5.23%,0.74%,0.88,+0.0009%,-0.0012%,$369.8k,2022-09-12 02:16:36.267878
30,Terra Classic-LUNC,$0.0004,-2.90%,$190.9m,$45.9m,+4.18%,0.18%,0.24,-0.1150%,-0.0122%,$639.6k,2022-09-12 02:16:36.267878
31,Unifi Protocol DAO-UNFI,$7.86,-0.10%,$179.2m,$17.0m,-9.63%,0.07%,0.09,+0.0100%,+0.0100%,$210.6k,2022-09-12 02:16:36.267878
