,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,634.94",+1.45%,$20.9b,$10.7b,+1.83%,41.77%,0.51,+0.0015%,+0.0015%,$38.1m,2022-09-11 17:16:24.089888
1,Ethereum-ETH,"$1,768.78",+2.87%,$17.8b,$7.8b,+2.24%,30.31%,0.44,-0.0245%,-0.0261%,$60.1m,2022-09-11 17:16:24.089888
2,LUNA2-LUNA2,$5.58,-4.27%,$1.5b,$36.4m,+11.76%,0.14%,0.02,-0.0787%,-0.0868%,$2.4m,2022-09-11 17:16:24.089888
3,Ethereum Classic-ETC,$39.16,+1.88%,$1.3b,$492.7m,+1.59%,1.92%,0.38,+0.0015%,+0.0066%,$3.2m,2022-09-11 17:16:24.089888
4,Terra-LUNA,$5.61,-3.47%,$935.2m,$22.4m,+0.00%,0.09%,0.02,-0.0510%,-0.0702%,$5.1m,2022-09-11 17:16:24.089888
5,EOS-EOS,$1.74,-1.69%,$889.1m,$212.3m,-8.54%,0.83%,0.24,+0.0100%,+0.0200%,$1.4m,2022-09-11 17:16:24.089888
6,ApeCoin-APE,$5.65,+12.57%,$853.2m,$108.7m,+46.46%,0.42%,0.13,+0.0077%,+0.0031%,$1.6m,2022-09-11 17:16:24.089888
7,Solana-SOL,$35.68,+3.00%,$852.0m,$424.6m,+4.49%,1.65%,0.50,+0.0063%,+0.0085%,$1.6m,2022-09-11 17:16:24.089888
8,Cardano-ADA,$0.5145,+0.75%,$667.9m,$312.6m,+1.05%,1.22%,0.47,+0.0034%,+0.0110%,$600.5k,2022-09-11 17:16:24.089888
9,Cosmos-ATOM,$15.90,+1.37%,$572.1m,$169.8m,-2.95%,0.66%,0.30,+0.0048%,+0.0033%,$776.9k,2022-09-11 17:16:24.089888
10,Chiliz-CHZ,$0.2084,+4.45%,$567.5m,$80.8m,+2.04%,0.31%,0.14,+0.0101%,+0.0069%,$745.7k,2022-09-11 17:16:24.089888
11,Filecoin-FIL,$6.58,+5.01%,$523.0m,$124.5m,+9.63%,0.48%,0.24,+0.0070%,+0.0079%,$749.4k,2022-09-11 17:16:24.089888
12,Optimism-OP,$1.43,+5.59%,$430.8m,$71.4m,+7.37%,0.28%,0.17,+0.0130%,+0.0121%,$540.8k,2022-09-11 17:16:24.089888
13,Ravencoin-RVN,$0.0532,+1.92%,$386.0m,$35.1m,-8.06%,0.14%,0.09,+0.0131%,+0.0105%,$737.2k,2022-09-11 17:16:24.089888
14,Litecoin-LTC,$62.85,-1.66%,$384.7m,$217.0m,-4.07%,0.84%,0.56,+0.0086%,+0.0076%,$447.4k,2022-09-11 17:16:24.089888
15,Binance Coin-BNB,$294.97,+0.71%,$374.4m,$283.3m,+0.27%,1.10%,0.76,+0.0085%,+0.0065%,$228.3k,2022-09-11 17:16:24.089888
16,STEPN-GMT,$0.7466,+0.89%,$352.5m,$108.6m,-1.75%,0.42%,0.31,-0.0034%,-0.0028%,$844.7k,2022-09-11 17:16:24.089888
17,Avalanche-AVAX,$20.76,+2.67%,$342.2m,$140.3m,+2.83%,0.55%,0.41,+0.0104%,+0.0228%,$270.2k,2022-09-11 17:16:24.089888
18,1000LUNC-1000LUNC,$0.4078,-11.54%,$330.9m,$21.1m,+47.18%,0.08%,0.06,-0.0822%,-0.0888%,$767.1k,2022-09-11 17:16:24.089888
19,NEAR Protocol-NEAR,$4.97,+5.78%,$324.9m,$123.2m,+6.28%,0.48%,0.38,+0.0039%,+0.0066%,$740.1k,2022-09-11 17:16:24.089888
20,Chainlink-LINK,$7.93,+0.40%,$324.1m,$125.6m,+1.89%,0.49%,0.39,+0.0114%,+0.0136%,$310.7k,2022-09-11 17:16:24.089888
21,1000SHIB-1000SHIB,$0.0131,+0.42%,$323.3m,$48.3m,+3.59%,0.19%,0.15,+0.0072%,+0.0070%,$586.8k,2022-09-11 17:16:24.089888
22,Ripple-XRP,$0.3561,+0.65%,$315.1m,$343.3m,+1.22%,1.34%,1.09,+0.0044%,+0.0032%,$419.1k,2022-09-11 17:16:24.089888
23,Polygon-MATIC,$0.9015,+1.45%,$312.1m,$198.1m,+1.02%,0.77%,0.63,+0.0065%,+0.0080%,$675.3k,2022-09-11 17:16:24.089888
24,Dogecoin-DOGE,$0.0644,+0.79%,$307.3m,$125.7m,+2.00%,0.49%,0.41,+0.0109%,+0.0076%,$332.4k,2022-09-11 17:16:24.089888
25,Polkadot-DOT,$7.77,+1.31%,$269.9m,$275.1m,-0.59%,1.07%,1.02,-0.0035%,-0.0045%,$289.0k,2022-09-11 17:16:24.089888
26,Helium-HNT,$5.25,-6.83%,$259.1m,$25.5m,-25.08%,0.10%,0.10,-0.0202%,-0.0234%,$422.3k,2022-09-11 17:16:24.089888
27,Curve DAO Token-CRV,$1.22,+2.33%,$249.7m,$67.4m,+3.79%,0.26%,0.27,+0.0247%,+0.0020%,$344.9k,2022-09-11 17:16:24.089888
28,The Sandbox-SAND,$0.9855,+0.00%,$188.2m,$79.4m,+1.38%,0.31%,0.42,+0.0153%,+0.0039%,$111.3k,2022-09-11 17:16:24.089888
29,Bitcoin Cash-BCH,$131.60,+0.46%,$187.7m,$192.6m,-1.91%,0.75%,1.03,-0.0031%,-0.0015%,$262.2k,2022-09-11 17:16:24.089888
30,Terra Classic-LUNC,$0.0004,-11.73%,$186.3m,$43.5m,-7.09%,0.17%,0.23,-0.0053%,-0.1395%,$659.9k,2022-09-11 17:16:24.089888
31,Waves-WAVES,$4.94,+1.39%,$180.2m,$57.2m,-0.25%,0.22%,0.32,+0.0070%,+0.0092%,$318.6k,2022-09-11 17:16:24.089888
32,Unifi Protocol DAO-UNFI,$8.15,+4.63%,$158.3m,$18.5m,+5.34%,0.07%,0.12,+0.0100%,+0.0100%,$109.9k,2022-09-11 17:16:24.089888
