,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,440.46",-2.51%,$26.6b,$6.6b,-0.42%,29.11%,0.25,+0.0067%,-0.0011%,$46.7m,2022-09-17 04:16:24.736876
1,Bitcoin-BTC,"$19,898.58",+0.41%,$23.9b,$9.6b,+1.48%,42.21%,0.40,-0.0026%,-0.0082%,$25.8m,2022-09-17 04:16:24.736876
2,Ethereum Classic-ETC,$34.47,+1.90%,$2.5b,$426.1m,+5.66%,1.88%,0.17,-0.0906%,-0.0587%,$3.8m,2022-09-17 04:16:24.736876
3,Cosmos-ATOM,$16.24,+7.10%,$1.6b,$202.4m,+21.85%,0.89%,0.13,-0.0085%,-0.0065%,$3.0m,2022-09-17 04:16:24.736876
4,Solana-SOL,$32.92,-0.10%,$1.0b,$389.8m,+0.19%,1.72%,0.38,+0.0078%,+0.0074%,$1.8m,2022-09-17 04:16:24.736876
5,Ripple-XRP,$0.3501,+6.75%,$931.8m,$322.2m,+5.60%,1.42%,0.35,+0.0016%,-0.0017%,$2.2m,2022-09-17 04:16:24.736876
6,LUNA2-LUNA2,$3.00,+5.79%,$843.5m,$40.4m,+0.88%,0.18%,0.05,-0.1728%,-0.2079%,$1.5m,2022-09-17 04:16:24.736876
7,1000LUNC-1000LUNC,$0.3071,+8.78%,$834.0m,$40.4m,+39.79%,0.18%,0.05,-0.1433%,-0.2000%,$1.5m,2022-09-17 04:16:24.736876
8,Chiliz-CHZ,$0.2148,+4.88%,$715.9m,$97.5m,+13.54%,0.43%,0.14,+0.0092%,-0.0009%,$1.1m,2022-09-17 04:16:24.736876
9,Ravencoin-RVN,$0.0521,-5.64%,$679.5m,$56.9m,-7.74%,0.25%,0.08,-0.0088%,-0.0083%,$1.4m,2022-09-17 04:16:24.736876
10,Cardano-ADA,$0.4790,+2.00%,$574.4m,$251.6m,-0.06%,1.11%,0.44,+0.0020%,-0.0131%,$775.4k,2022-09-17 04:16:24.736876
