,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,183.17",-9.74%,$60.4b,$9.6b,-13.43%,42.14%,0.16,+0.0068%,-0.0065%,$120.8m,2022-09-13 23:16:26.965362
1,Ethereum-ETH,"$1,578.48",-7.66%,$44.3b,$6.9b,-7.36%,30.12%,0.16,-0.0593%,-0.1041%,$105.7m,2022-09-13 23:16:26.965362
2,Solana-SOL,$33.23,-11.05%,$2.9b,$394.7m,-17.15%,1.73%,0.14,-0.0009%,-0.0178%,$6.9m,2022-09-13 23:16:26.965362
3,Ethereum Classic-ETC,$35.44,-7.74%,$2.3b,$408.1m,-10.44%,1.78%,0.17,-0.0097%,-0.0118%,$9.3m,2022-09-13 23:16:26.965362
4,Litecoin-LTC,$58.78,-4.04%,$1.3b,$218.2m,+5.71%,0.95%,0.17,+0.0153%,+0.0028%,$3.6m,2022-09-13 23:16:26.965362
5,LUNA2-LUNA2,$4.14,+0.49%,$1.2b,$29.7m,-9.37%,0.13%,0.02,-0.0015%,+0.0043%,$2.1m,2022-09-13 23:16:26.965362
6,Reef-REEF,$0.0057,+9.78%,$1.1b,$38.3m,+60.93%,0.17%,0.03,-0.6403%,+0.0663%,$2.7m,2022-09-13 23:16:26.965362
7,Cardano-ADA,$0.4651,-7.83%,$1.0b,$260.9m,-10.76%,1.14%,0.26,+0.0015%,-0.0147%,$2.1m,2022-09-13 23:16:26.965362
8,Ravencoin-RVN,$0.0599,-13.85%,$991.1m,$47.0m,-37.64%,0.21%,0.05,+0.0078%,+0.0008%,$2.7m,2022-09-13 23:16:26.965362
9,Polygon-MATIC,$0.8473,-8.65%,$928.6m,$171.1m,-17.57%,0.75%,0.18,+0.0034%,+0.0037%,$2.7m,2022-09-13 23:16:26.965362
10,ApeCoin-APE,$5.19,-5.05%,$900.6m,$80.4m,-4.50%,0.35%,0.09,+0.0075%,+0.0126%,$2.1m,2022-09-13 23:16:26.965362
11,Binance Coin-BNB,$276.77,-5.48%,$899.9m,$240.9m,-11.13%,1.05%,0.27,-0.0073%,-0.0149%,$744.3k,2022-09-13 23:16:26.965362
12,Cosmos-ATOM,$14.04,-9.56%,$881.7m,$122.1m,-20.24%,0.53%,0.14,+0.0061%,-0.0140%,$2.2m,2022-09-13 23:16:26.965362
13,EOS-EOS,$1.48,-11.21%,$881.3m,$155.9m,-17.77%,0.68%,0.18,+0.0032%,-0.0125%,$2.4m,2022-09-13 23:16:26.965362
14,Avalanche-AVAX,$18.91,-11.97%,$847.6m,$128.3m,-14.25%,0.56%,0.15,-0.0132%,-0.0120%,$2.2m,2022-09-13 23:16:26.965362
15,Ripple-XRP,$0.3332,-6.88%,$767.9m,$317.7m,-7.88%,1.39%,0.41,+0.0076%,-0.0079%,$1.3m,2022-09-13 23:16:26.965362
16,Terra-LUNA,$4.14,+0.20%,$760.8m,$13.4m,-15.70%,0.06%,0.02,-0.0004%,+0.0096%,$3.5m,2022-09-13 23:16:26.965362
17,1000LUNC-1000LUNC,$0.3575,+12.78%,$735.9m,$32.7m,+48.96%,0.14%,0.04,-0.1170%,-0.1309%,$2.3m,2022-09-13 23:16:26.965362
18,NEAR Protocol-NEAR,$4.43,-13.11%,$668.5m,$99.3m,-23.60%,0.43%,0.15,-0.0070%,-0.0073%,$1.6m,2022-09-13 23:16:26.965362
19,Chiliz-CHZ,$0.1946,-3.40%,$638.8m,$71.1m,-2.73%,0.31%,0.11,+0.0054%,+0.0086%,$1.2m,2022-09-13 23:16:26.965362
20,Optimism-OP,$1.17,-8.39%,$541.6m,$55.8m,-12.20%,0.24%,0.10,+0.0044%,+0.0087%,$1.4m,2022-09-13 23:16:26.965362
21,Polkadot-DOT,$7.08,-7.82%,$535.2m,$249.8m,-7.59%,1.09%,0.47,-0.0033%,+0.0014%,$1.2m,2022-09-13 23:16:26.965362
22,Filecoin-FIL,$5.85,-11.01%,$514.8m,$105.5m,-11.38%,0.46%,0.20,-0.0070%,-0.0123%,$1.7m,2022-09-13 23:16:26.965362
23,Dogecoin-DOGE,$0.0599,-6.33%,$496.9m,$117.2m,-4.39%,0.51%,0.24,+0.0126%,+0.0022%,$1.5m,2022-09-13 23:16:26.965362
24,STEPN-GMT,$0.6648,-10.29%,$418.6m,$95.9m,-11.16%,0.42%,0.23,+0.0019%,+0.0010%,$1.0m,2022-09-13 23:16:26.965362
25,Terra Classic-LUNC,$0.0004,+12.73%,$411.9m,$49.6m,+41.30%,0.22%,0.12,-0.0425%,-0.0658%,$1.8m,2022-09-13 23:16:26.965362
26,Chainlink-LINK,$7.10,-8.39%,$407.0m,$103.0m,-13.59%,0.45%,0.25,+0.0099%,-0.0035%,$1.6m,2022-09-13 23:16:26.965362
27,Bitcoin Cash-BCH,$117.69,-8.59%,$362.7m,$162.4m,-8.85%,0.71%,0.45,-0.0092%,-0.0268%,$1.2m,2022-09-13 23:16:26.965362
28,Curve DAO Token-CRV,$1.06,-7.45%,$306.7m,$53.9m,-11.97%,0.24%,0.18,+0.0168%,-0.0219%,$846.2k,2022-09-13 23:16:26.965362
29,The Sandbox-SAND,$0.8803,-8.64%,$274.7m,$66.2m,-9.39%,0.29%,0.24,+0.0084%,-0.0019%,$943.8k,2022-09-13 23:16:26.965362
