,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,515.77",+11.40%,$47.5b,$10.6b,+11.47%,42.05%,0.22,+0.0033%,+0.0048%,$131.0m,2022-09-09 23:16:27.337155
1,Ethereum-ETH,"$1,726.84",+5.75%,$33.0b,$7.5b,+3.39%,29.87%,0.23,-0.0056%,-0.0078%,$73.0m,2022-09-09 23:16:27.337155
2,Ethereum Classic-ETC,$39.42,+7.01%,$3.2b,$510.1m,+3.67%,2.03%,0.16,+0.0113%,+0.0028%,$11.1m,2022-09-09 23:16:27.337155
3,Cosmos-ATOM,$16.21,+17.74%,$1.8b,$179.4m,+0.77%,0.71%,0.10,+0.0142%,+0.0014%,$5.9m,2022-09-09 23:16:27.337155
4,Terra-LUNA,$5.32,+178.11%,$1.7b,$19.1m,+161.23%,0.08%,0.01,-0.0983%,-0.0121%,$20.1m,2022-09-09 23:16:27.337155
5,Solana-SOL,$35.01,+4.28%,$1.7b,$425.6m,+4.86%,1.69%,0.26,+0.0113%,+0.0088%,$2.9m,2022-09-09 23:16:27.337155
6,EOS-EOS,$1.67,+4.19%,$1.2b,$200.1m,-7.08%,0.79%,0.17,+0.0087%,+0.0076%,$2.7m,2022-09-09 23:16:27.337155
7,Ravencoin-RVN,$0.0567,+56.24%,$1.1b,$46.1m,+164.95%,0.18%,0.04,+0.0095%,+0.0169%,$3.1m,2022-09-09 23:16:27.337155
8,Cardano-ADA,$0.5002,+4.47%,$896.2m,$294.3m,+4.67%,1.17%,0.33,+0.0097%,+0.0081%,$1.1m,2022-09-09 23:16:27.337155
9,Ripple-XRP,$0.3582,+5.00%,$842.0m,$342.2m,+3.89%,1.36%,0.41,+0.0081%,+0.0067%,$1.3m,2022-09-09 23:16:27.337155
10,LUNA2-LUNA2,n/a,n/a,$778.1m,$13.1m,+328.71%,0.05%,0.02,-0.1184%,-0.1184%,$3.8m,2022-09-09 23:16:27.337155
11,Optimism-OP,$1.41,+19.04%,$777.6m,$71.1m,+18.17%,0.28%,0.09,+0.0148%,+0.0166%,$2.5m,2022-09-09 23:16:27.337155
12,Binance Coin-BNB,$294.29,+4.85%,$690.0m,$279.6m,-0.45%,1.11%,0.41,+0.0128%,+0.0084%,$913.9k,2022-09-09 23:16:27.337155
13,STEPN-GMT,$0.7942,+21.48%,$680.3m,$122.6m,+17.85%,0.49%,0.18,-0.0014%,-0.0068%,$2.3m,2022-09-09 23:16:27.337155
14,Chiliz-CHZ,$0.2066,+10.92%,$659.8m,$84.1m,+9.68%,0.33%,0.13,+0.0167%,+0.0153%,$755.3k,2022-09-09 23:16:27.337155
15,ApeCoin-APE,$5.06,+12.67%,$618.0m,$75.0m,+20.78%,0.30%,0.12,+0.0062%,-0.0004%,$2.0m,2022-09-09 23:16:27.337155
16,Avalanche-AVAX,$20.64,+8.12%,$590.9m,$144.8m,+8.65%,0.58%,0.25,+0.0080%,+0.0147%,$729.6k,2022-09-09 23:16:27.337155
17,1000SHIB-1000SHIB,$0.0131,+6.80%,$587.4m,$47.3m,+12.38%,0.19%,0.08,+0.0100%,+0.0100%,$1.8m,2022-09-09 23:16:27.337155
18,Bitcoin Cash-BCH,$133.19,+4.09%,$587.0m,$203.8m,-1.88%,0.81%,0.35,+0.0057%,-0.0037%,$1.5m,2022-09-09 23:16:27.337155
19,Chainlink-LINK,$7.79,+5.07%,$548.8m,$123.0m,+4.10%,0.49%,0.22,+0.0083%,+0.0125%,$1.8m,2022-09-09 23:16:27.337155
20,Filecoin-FIL,$6.43,+9.33%,$526.1m,$114.3m,+9.75%,0.45%,0.22,+0.0075%,-0.0098%,$838.1k,2022-09-09 23:16:27.337155
21,Polygon-MATIC,$0.8974,+6.48%,$515.4m,$197.0m,+5.32%,0.78%,0.38,+0.0068%,+0.0056%,$858.0k,2022-09-09 23:16:27.337155
22,Polkadot-DOT,$7.84,+5.87%,$510.1m,$284.6m,+5.04%,1.13%,0.56,-0.0075%,-0.0053%,$943.9k,2022-09-09 23:16:27.337155
23,Dogecoin-DOGE,$0.0643,+5.49%,$491.1m,$123.1m,+2.77%,0.49%,0.25,+0.0115%,+0.0098%,$1.1m,2022-09-09 23:16:27.337155
24,NEAR Protocol-NEAR,$4.88,+5.82%,$484.7m,$123.3m,+1.13%,0.49%,0.25,+0.0055%,+0.0011%,$1.3m,2022-09-09 23:16:27.337155
25,Litecoin-LTC,$61.46,+5.72%,$477.7m,$200.5m,+6.26%,0.80%,0.42,+0.0046%,+0.0073%,$830.3k,2022-09-09 23:16:27.337155
26,Curve DAO Token-CRV,$1.21,+7.33%,$321.9m,$65.4m,+11.30%,0.26%,0.20,+0.0255%,-0.0036%,$504.5k,2022-09-09 23:16:27.337155
27,Unifi Protocol DAO-UNFI,$8.01,+13.03%,$321.3m,$17.3m,-1.17%,0.07%,0.05,+0.0100%,+0.0100%,$524.0k,2022-09-09 23:16:27.337155
28,Axie Infinity-AXS,$15.77,+5.85%,$301.9m,$84.0m,+7.42%,0.33%,0.28,-0.0238%,-0.0184%,$537.9k,2022-09-09 23:16:27.337155
29,Terra Classic-LUNC,$0.0004,-17.29%,$292.3m,$34.6m,+14.06%,0.14%,0.12,-0.0472%,-0.1630%,$1.8m,2022-09-09 23:16:27.337155
30,Stargate Finance-STG,$0.8273,-1.38%,$290.8m,$26.6m,-22.10%,0.11%,0.09,+0.0068%,+0.0062%,$587.1k,2022-09-09 23:16:27.337155
31,Helium-HNT,$4.71,-1.86%,$288.3m,$26.3m,-16.83%,0.10%,0.09,+0.0000%,+0.0070%,$471.4k,2022-09-09 23:16:27.337155
32,The Sandbox-SAND,$0.9833,+7.66%,$270.1m,$78.2m,+8.93%,0.31%,0.29,+0.0106%,+0.0082%,$570.5k,2022-09-09 23:16:27.337155
33,yearn.finance-YFI,"$10,487.39",+13.42%,$269.8m,$42.2m,+18.70%,0.17%,0.16,+0.0105%,-0.0034%,$471.5k,2022-09-09 23:16:27.337155
34,Project Galaxy-GAL,$3.23,+29.57%,$205.5m,$21.6m,+62.09%,0.09%,0.11,-0.0109%,-0.0100%,$430.0k,2022-09-09 23:16:27.337155
35,Fantom-FTM,$0.2729,+7.99%,$199.1m,$50.2m,+8.93%,0.20%,0.25,+0.0096%,+0.0098%,$246.7k,2022-09-09 23:16:27.337155
36,Tellor-TRB,$17.49,+9.67%,$191.0m,$38.7m,+4.72%,0.15%,0.20,+0.0087%,+0.0038%,$416.8k,2022-09-09 23:16:27.337155
37,SHIBA INU-SHIB,$0.0000,+5.93%,$184.7m,$22.1m,+8.75%,0.09%,0.12,+0.0058%,+0.0123%,$493.0k,2022-09-09 23:16:27.337155
38,Uniswap-UNI,$6.49,+5.00%,$163.4m,$47.8m,+2.38%,0.19%,0.29,-0.0038%,-0.0089%,$151.8k,2022-09-09 23:16:27.337155
39,Ethereum Name Service-ENS,$15.67,-0.10%,$156.1m,$34.8m,-9.17%,0.14%,0.22,+0.0105%,+0.0075%,$377.6k,2022-09-09 23:16:27.337155
40,ConstitutionDAO-PEOPLE,$0.0238,+13.82%,$152.3m,$28.8m,+19.25%,0.11%,0.19,+0.0049%,+0.0044%,$279.7k,2022-09-09 23:16:27.337155
