,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,443.10",-1.51%,$27.5b,$6.6b,+0.37%,29.06%,0.24,+0.0056%,+0.0008%,$48.2m,2022-09-17 02:16:25.977246
1,Bitcoin-BTC,"$19,941.24",+1.14%,$24.1b,$9.5b,+1.70%,42.24%,0.40,-0.0004%,-0.0083%,$25.6m,2022-09-17 02:16:25.977246
2,Ethereum Classic-ETC,$34.43,+3.69%,$2.8b,$426.2m,+9.79%,1.89%,0.15,-0.0929%,-0.0702%,$4.1m,2022-09-17 02:16:25.977246
3,Cosmos-ATOM,$16.39,+9.52%,$1.6b,$205.7m,+25.19%,0.91%,0.13,-0.0105%,-0.0108%,$3.0m,2022-09-17 02:16:25.977246
4,Solana-SOL,$32.79,+0.18%,$1.1b,$388.7m,+0.69%,1.72%,0.36,+0.0066%,+0.0090%,$1.8m,2022-09-17 02:16:25.977246
5,Ripple-XRP,$0.3496,+8.43%,$930.0m,$322.3m,+6.93%,1.43%,0.35,+0.0023%,+0.0010%,$2.2m,2022-09-17 02:16:25.977246
6,1000LUNC-1000LUNC,$0.2965,+2.00%,$858.8m,$39.5m,+39.70%,0.17%,0.05,-0.1433%,-0.1699%,$1.5m,2022-09-17 02:16:25.977246
7,LUNA2-LUNA2,$3.02,+4.54%,$834.7m,$39.8m,-4.22%,0.18%,0.05,-0.1658%,-0.1845%,$1.5m,2022-09-17 02:16:25.977246
8,Chiliz-CHZ,$0.2139,+9.25%,$766.2m,$95.9m,+23.72%,0.42%,0.13,+0.0096%,+0.0009%,$1.1m,2022-09-17 02:16:25.977246
9,Ravencoin-RVN,$0.0512,-6.04%,$691.9m,$55.6m,-7.34%,0.25%,0.08,-0.0083%,-0.0088%,$1.4m,2022-09-17 02:16:25.977246
10,Cardano-ADA,$0.4786,+2.95%,$573.2m,$254.5m,+1.87%,1.13%,0.44,+0.0044%,-0.0049%,$810.9k,2022-09-17 02:16:25.977246
11,EOS-EOS,$1.44,+2.40%,$559.4m,$161.6m,+4.83%,0.71%,0.29,-0.0070%,+0.0034%,$910.0k,2022-09-17 02:16:25.977246
12,Chainlink-LINK,$7.78,+4.40%,$484.6m,$116.8m,+8.85%,0.52%,0.24,+0.0114%,+0.0153%,$664.5k,2022-09-17 02:16:25.977246
13,Binance Coin-BNB,$276.98,+1.92%,$478.7m,$261.1m,+2.33%,1.16%,0.55,+0.0025%,-0.0017%,$245.2k,2022-09-17 02:16:25.977246
14,Polygon-MATIC,$0.8152,-0.51%,$471.7m,$160.7m,-0.82%,0.71%,0.34,-0.0037%,-0.0069%,$829.4k,2022-09-17 02:16:25.977246
15,Avalanche-AVAX,$18.32,+1.68%,$397.3m,$134.6m,+3.60%,0.60%,0.34,-0.0121%,-0.0064%,$835.0k,2022-09-17 02:16:25.977246
16,Litecoin-LTC,$56.62,+1.36%,$382.6m,$173.1m,-4.21%,0.77%,0.45,+0.0094%,+0.0036%,$765.3k,2022-09-17 02:16:25.977246
