,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,470.35",-7.51%,$46.5b,$6.6b,-10.29%,29.60%,0.14,-0.0271%,+0.0022%,$125.1m,2022-09-16 06:16:22.644322
1,Bitcoin-BTC,"$19,764.65",-1.42%,$27.7b,$9.4b,-0.66%,42.06%,0.34,-0.0018%,+0.0051%,$32.5m,2022-09-16 06:16:22.644322
2,Ethereum Classic-ETC,$33.98,-5.44%,$5.7b,$415.5m,-5.32%,1.86%,0.07,-0.0342%,-0.1199%,$16.7m,2022-09-16 06:16:22.644322
3,Solana-SOL,$32.87,-0.43%,$1.5b,$389.8m,-1.45%,1.74%,0.25,+0.0094%,+0.0099%,$2.5m,2022-09-16 06:16:22.644322
4,Cosmos-ATOM,$14.87,+11.24%,$1.4b,$162.6m,+44.81%,0.73%,0.11,-0.0263%,-0.0145%,$2.2m,2022-09-16 06:16:22.644322
5,Ravencoin-RVN,$0.0547,-12.46%,$1.1b,$61.0m,-5.89%,0.27%,0.06,-0.0164%,+0.0070%,$2.4m,2022-09-16 06:16:22.644322
6,EOS-EOS,$1.42,-0.25%,$725.7m,$156.0m,-1.35%,0.70%,0.22,-0.0113%,-0.0128%,$1.8m,2022-09-16 06:16:22.644322
7,LUNA2-LUNA2,$2.86,-3.94%,$725.5m,$40.6m,-18.19%,0.18%,0.06,-0.0302%,-0.0263%,$1.0m,2022-09-16 06:16:22.644322
8,Ripple-XRP,$0.3254,-3.12%,$645.8m,$301.9m,-4.71%,1.35%,0.47,+0.0037%,+0.0048%,$1.2m,2022-09-16 06:16:22.644322
9,Cardano-ADA,$0.4675,+0.14%,$628.2m,$250.3m,-3.51%,1.12%,0.40,+0.0007%,+0.0044%,$793.7k,2022-09-16 06:16:22.644322
10,Chiliz-CHZ,$0.2005,+10.18%,$619.1m,$84.7m,+23.76%,0.38%,0.14,+0.0073%,+0.0001%,$633.1k,2022-09-16 06:16:22.644322
11,Litecoin-LTC,$55.82,-5.37%,$586.0m,$178.9m,-16.38%,0.80%,0.31,-0.0071%,+0.0179%,$1.4m,2022-09-16 06:16:22.644322
12,Binance Coin-BNB,$273.28,+0.19%,$585.2m,$254.6m,+5.20%,1.14%,0.44,-0.0089%,-0.0052%,$514.3k,2022-09-16 06:16:22.644322
13,Polygon-MATIC,$0.8205,-2.51%,$572.1m,$163.2m,+0.53%,0.73%,0.29,-0.0067%,+0.0030%,$1.0m,2022-09-16 06:16:22.644322
14,Optimism-OP,$1.10,-4.43%,$571.6m,$55.9m,+8.58%,0.25%,0.10,+0.0034%,+0.0062%,$1.1m,2022-09-16 06:16:22.644322
15,1000LUNC-1000LUNC,$0.2911,+5.24%,$519.5m,$32.1m,+14.11%,0.14%,0.06,-0.0519%,-0.0618%,$1.2m,2022-09-16 06:16:22.644322
16,Avalanche-AVAX,$18.16,-2.22%,$483.9m,$131.8m,+3.43%,0.59%,0.27,-0.0240%,-0.0130%,$902.4k,2022-09-16 06:16:22.644322
17,Chainlink-LINK,$7.52,+4.37%,$481.8m,$108.7m,+5.38%,0.49%,0.23,+0.0112%,+0.0140%,$871.3k,2022-09-16 06:16:22.644322
18,STEPN-GMT,$0.6640,+1.76%,$397.6m,$94.6m,+2.60%,0.42%,0.24,+0.0018%,+0.0038%,$901.0k,2022-09-16 06:16:22.644322
19,ApeCoin-APE,$4.92,-3.81%,$397.4m,$73.3m,-6.14%,0.33%,0.18,+0.0028%,-0.0065%,$769.3k,2022-09-16 06:16:22.644322
20,Polkadot-DOT,$6.90,-1.30%,$391.9m,$245.8m,-1.50%,1.10%,0.63,-0.0024%,-0.0023%,$529.6k,2022-09-16 06:16:22.644322
21,Terra-LUNA,$2.85,-4.38%,$345.8m,$16.4m,-29.70%,0.07%,0.05,-0.1304%,-0.0185%,$1.1m,2022-09-16 06:16:22.644322
22,NEAR Protocol-NEAR,$4.23,-2.61%,$342.0m,$103.6m,+4.74%,0.46%,0.30,-0.0080%,-0.0103%,$775.7k,2022-09-16 06:16:22.644322
23,Dogecoin-DOGE,$0.0595,-0.80%,$303.3m,$118.4m,+0.72%,0.53%,0.39,-0.0007%,+0.0059%,$768.9k,2022-09-16 06:16:22.644322
24,Celsius-CEL,$1.80,-15.98%,$279.4m,$19.8m,-52.46%,0.09%,0.07,-0.4219%,+0.2863%,$4.1m,2022-09-16 06:16:22.644322
25,Filecoin-FIL,$5.74,-1.03%,$278.4m,$104.4m,+1.54%,0.47%,0.38,-0.0049%,+0.0138%,$412.4k,2022-09-16 06:16:22.644322
