,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,651.18",+0.16%,$29.8b,$10.4b,-2.07%,41.99%,0.35,+0.0037%,+0.0047%,$71.1m,2022-09-12 04:16:39.428204
1,Ethereum-ETH,"$1,724.90",-2.19%,$22.8b,$7.6b,-1.38%,30.52%,0.33,-0.0219%,-0.0280%,$42.6m,2022-09-12 04:16:39.428204
2,Ethereum Classic-ETC,$37.60,-3.95%,$1.6b,$452.8m,-8.00%,1.82%,0.28,-0.0014%,-0.0057%,$6.3m,2022-09-12 04:16:39.428204
3,Solana-SOL,$34.88,+0.13%,$1.2b,$387.9m,-3.37%,1.56%,0.34,+0.0029%,+0.0034%,$1.9m,2022-09-12 04:16:39.428204
4,LUNA2-LUNA2,$5.24,-18.49%,$1.1b,$33.3m,-12.91%,0.13%,0.03,-0.0411%,-0.0300%,$1.6m,2022-09-12 04:16:39.428204
5,ApeCoin-APE,$5.42,+4.60%,$1.1b,$89.9m,+14.38%,0.36%,0.08,+0.0013%,+0.0040%,$2.2m,2022-09-12 04:16:39.428204
6,Cardano-ADA,$0.5026,-2.03%,$808.0m,$294.8m,-4.27%,1.19%,0.36,+0.0046%,+0.0006%,$1.1m,2022-09-12 04:16:39.428204
7,EOS-EOS,$1.67,-5.58%,$781.1m,$195.7m,-9.85%,0.79%,0.25,+0.0091%,+0.0054%,$1.6m,2022-09-12 04:16:39.428204
8,Terra-LUNA,$5.23,-18.74%,$762.8m,$22.0m,-13.74%,0.09%,0.03,-0.0569%,-0.0099%,$4.2m,2022-09-12 04:16:39.428204
9,Filecoin-FIL,$6.39,+0.12%,$715.6m,$119.0m,+2.61%,0.48%,0.17,+0.0023%,-0.0051%,$1.9m,2022-09-12 04:16:39.428204
10,Chiliz-CHZ,$0.2025,-0.37%,$650.7m,$77.6m,-2.51%,0.31%,0.12,+0.0026%,+0.0116%,$1.1m,2022-09-12 04:16:39.428204
11,Cosmos-ATOM,$15.36,-3.08%,$569.9m,$156.1m,-8.37%,0.63%,0.27,+0.0013%,+0.0002%,$827.0k,2022-09-12 04:16:39.428204
12,Chainlink-LINK,$7.92,-0.15%,$492.6m,$126.8m,+1.81%,0.51%,0.26,+0.0072%,+0.0032%,$574.3k,2022-09-12 04:16:39.428204
13,Optimism-OP,$1.36,-1.65%,$491.7m,$66.4m,-1.31%,0.27%,0.14,+0.0089%,+0.0088%,$872.4k,2022-09-12 04:16:39.428204
14,NEAR Protocol-NEAR,$4.77,+0.48%,$491.5m,$111.9m,-3.10%,0.45%,0.23,+0.0020%,+0.0051%,$1.1m,2022-09-12 04:16:39.428204
15,Ripple-XRP,$0.3501,-1.75%,$473.3m,$335.0m,-1.91%,1.35%,0.71,-0.0015%,-0.0049%,$493.0k,2022-09-12 04:16:39.428204
16,Avalanche-AVAX,$20.25,-0.57%,$472.3m,$131.3m,-3.60%,0.53%,0.28,+0.0107%,+0.0025%,$572.9k,2022-09-12 04:16:39.428204
17,Binance Coin-BNB,$292.76,-0.65%,$457.0m,$275.2m,-1.68%,1.11%,0.60,+0.0049%,+0.0003%,$235.5k,2022-09-12 04:16:39.428204
18,Litecoin-LTC,$60.94,-4.34%,$451.3m,$202.7m,-8.90%,0.82%,0.45,+0.0054%,+0.0092%,$763.8k,2022-09-12 04:16:39.428204
19,STEPN-GMT,$0.7332,-2.08%,$404.7m,$105.7m,-3.22%,0.43%,0.26,-0.0068%,-0.0063%,$1.2m,2022-09-12 04:16:39.428204
20,Polygon-MATIC,$0.8801,-2.21%,$362.9m,$188.6m,-6.26%,0.76%,0.52,+0.0016%,-0.0032%,$753.3k,2022-09-12 04:16:39.428204
21,Polkadot-DOT,$7.62,-1.79%,$360.9m,$269.2m,-2.35%,1.08%,0.75,-0.0009%,+0.0024%,$443.8k,2022-09-12 04:16:39.428204
22,1000LUNC-1000LUNC,$0.4044,-12.09%,$335.7m,$22.4m,+42.71%,0.09%,0.07,-0.0777%,-0.0830%,$715.5k,2022-09-12 04:16:39.428204
23,Dogecoin-DOGE,$0.0631,-2.07%,$333.5m,$121.8m,-2.94%,0.49%,0.37,+0.0075%,+0.0097%,$566.6k,2022-09-12 04:16:39.428204
24,Ravencoin-RVN,$0.0539,+1.36%,$286.4m,$34.6m,-9.03%,0.14%,0.12,+0.0064%,+0.0112%,$528.5k,2022-09-12 04:16:39.428204
25,1000SHIB-1000SHIB,$0.0129,-1.19%,$277.1m,$45.3m,-8.66%,0.18%,0.16,+0.0080%,+0.0050%,$704.1k,2022-09-12 04:16:39.428204
26,Curve DAO Token-CRV,$1.17,-5.42%,$258.5m,$62.9m,-8.23%,0.25%,0.24,-0.0063%,+0.0113%,$351.6k,2022-09-12 04:16:39.428204
27,Bitcoin Cash-BCH,$128.83,-1.84%,$236.0m,$184.7m,-4.66%,0.74%,0.78,+0.0011%,+0.0030%,$380.3k,2022-09-12 04:16:39.428204
28,The Sandbox-SAND,$0.9608,-2.68%,$224.1m,$75.6m,-4.26%,0.30%,0.34,+0.0017%,+0.0086%,$259.1k,2022-09-12 04:16:39.428204
29,Helium-HNT,$5.18,-5.19%,$213.5m,$23.1m,-16.71%,0.09%,0.11,-0.0059%,+0.0015%,$281.3k,2022-09-12 04:16:39.428204
30,Terra Classic-LUNC,$0.0004,-11.90%,$189.7m,$44.3m,-2.61%,0.18%,0.23,-0.1129%,-0.0197%,$675.7k,2022-09-12 04:16:39.428204
31,Unifi Protocol DAO-UNFI,$7.77,-3.13%,$179.7m,$17.0m,-10.92%,0.07%,0.09,+0.0100%,+0.0100%,$220.2k,2022-09-12 04:16:39.428204
