,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,500.00",-5.92%,$52.9b,$6.6b,-7.76%,29.56%,0.12,+0.0209%,-0.0418%,$143.2m,2022-09-15 21:16:30.815158
1,Bitcoin-BTC,"$19,845.79",-0.12%,$31.1b,$9.4b,-1.56%,42.09%,0.30,-0.0012%,-0.0081%,$37.1m,2022-09-15 21:16:30.815158
2,Ethereum Classic-ETC,$37.27,-0.73%,$6.2b,$456.8m,+2.02%,2.04%,0.07,+0.0058%,-0.0082%,$21.2m,2022-09-15 21:16:30.815158
3,Solana-SOL,$33.55,+0.65%,$1.7b,$390.4m,-3.39%,1.75%,0.24,+0.0017%,+0.0082%,$3.4m,2022-09-15 21:16:30.815158
4,Ravencoin-RVN,$0.0571,-19.40%,$1.5b,$62.2m,-40.18%,0.28%,0.04,-0.0224%,-0.0494%,$3.7m,2022-09-15 21:16:30.815158
5,Cosmos-ATOM,$15.32,+11.86%,$1.2b,$158.6m,+34.93%,0.71%,0.14,-0.0181%,-0.0256%,$2.1m,2022-09-15 21:16:30.815158
6,LUNA2-LUNA2,$2.71,-10.31%,$890.7m,$37.5m,-31.87%,0.17%,0.04,-0.0448%,-0.0149%,$1.2m,2022-09-15 21:16:30.815158
7,Cardano-ADA,$0.4690,-1.86%,$715.9m,$252.8m,-4.33%,1.13%,0.35,+0.0080%,+0.0003%,$792.0k,2022-09-15 21:16:30.815158
8,Ripple-XRP,$0.3295,-3.51%,$699.5m,$308.3m,-3.43%,1.38%,0.44,+0.0081%,+0.0010%,$1.1m,2022-09-15 21:16:30.815158
9,EOS-EOS,$1.42,-0.63%,$672.7m,$153.1m,-3.07%,0.68%,0.23,-0.0092%,-0.0092%,$1.2m,2022-09-15 21:16:30.815158
10,Binance Coin-BNB,$271.73,-1.80%,$659.4m,$249.6m,+2.90%,1.12%,0.38,-0.0170%,-0.0189%,$609.8k,2022-09-15 21:16:30.815158
11,Litecoin-LTC,$56.94,-4.29%,$617.8m,$189.6m,-11.89%,0.85%,0.31,+0.0060%,-0.0160%,$1.2m,2022-09-15 21:16:30.815158
12,Polygon-MATIC,$0.8390,-1.41%,$612.8m,$164.8m,-1.09%,0.74%,0.27,+0.0011%,-0.0066%,$1.1m,2022-09-15 21:16:30.815158
13,Optimism-OP,$1.15,-2.74%,$583.9m,$54.7m,+1.30%,0.24%,0.09,+0.0082%,+0.0051%,$1.2m,2022-09-15 21:16:30.815158
14,Chiliz-CHZ,$0.1956,+2.32%,$534.2m,$74.2m,+7.71%,0.33%,0.14,-0.0014%,+0.0040%,$1.0m,2022-09-15 21:16:30.815158
15,Avalanche-AVAX,$18.49,-1.58%,$513.9m,$129.0m,+0.81%,0.58%,0.25,-0.0024%,-0.0208%,$937.9k,2022-09-15 21:16:30.815158
16,ApeCoin-APE,$5.01,+0.47%,$488.8m,$75.5m,-2.90%,0.34%,0.15,+0.0118%,+0.0054%,$886.2k,2022-09-15 21:16:30.815158
17,Polkadot-DOT,$6.97,-2.13%,$451.1m,$245.9m,-2.36%,1.10%,0.55,-0.0141%,-0.0096%,$549.6k,2022-09-15 21:16:30.815158
18,STEPN-GMT,$0.6722,+2.47%,$448.3m,$95.5m,-2.33%,0.43%,0.21,+0.0064%,+0.0008%,$924.1k,2022-09-15 21:16:30.815158
19,1000LUNC-1000LUNC,$0.2518,-14.30%,$434.3m,$25.4m,-10.98%,0.11%,0.06,-0.0383%,-0.0361%,$991.7k,2022-09-15 21:16:30.815158
20,Chainlink-LINK,$7.37,-0.06%,$426.8m,$103.1m,-4.05%,0.46%,0.24,+0.0051%,+0.0118%,$675.7k,2022-09-15 21:16:30.815158
