,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$20,372.01",-8.37%,$61.2b,$9.6b,-12.33%,41.56%,0.16,-0.0038%,+0.0021%,$123.1m,2022-09-14 03:16:25.000228
1,Ethereum-ETH,"$1,598.10",-6.34%,$44.5b,$7.1b,-4.66%,30.57%,0.16,-0.1213%,-0.1451%,$110.3m,2022-09-14 03:16:25.000228
2,Solana-SOL,$33.63,-11.14%,$2.8b,$401.3m,-17.29%,1.73%,0.14,-0.0176%,-0.0142%,$7.5m,2022-09-14 03:16:25.000228
3,Ethereum Classic-ETC,$37.51,-1.26%,$2.6b,$446.4m,-0.08%,1.93%,0.17,-0.0087%,+0.0009%,$10.2m,2022-09-14 03:16:25.000228
4,Litecoin-LTC,$59.78,-2.28%,$1.3b,$222.1m,+6.37%,0.96%,0.18,+0.0054%,+0.0101%,$3.7m,2022-09-14 03:16:25.000228
5,LUNA2-LUNA2,$4.42,+1.81%,$1.2b,$32.5m,-12.84%,0.14%,0.03,-0.0007%,-0.0002%,$2.0m,2022-09-14 03:16:25.000228
6,Reef-REEF,$0.0050,+4.23%,$1.1b,$25.2m,+9.04%,0.11%,0.02,+0.0939%,-0.0366%,$2.6m,2022-09-14 03:16:25.000228
7,Cardano-ADA,$0.4723,-4.58%,$997.3m,$265.0m,-7.36%,1.14%,0.27,-0.0020%,+0.0009%,$2.2m,2022-09-14 03:16:25.000228
8,Ravencoin-RVN,$0.0653,-0.21%,$938.1m,$53.1m,-20.83%,0.23%,0.06,-0.0012%,-0.0069%,$2.6m,2022-09-14 03:16:25.000228
9,EOS-EOS,$1.49,-9.70%,$908.0m,$162.5m,-12.45%,0.70%,0.18,-0.0203%,-0.0386%,$2.5m,2022-09-14 03:16:25.000228
10,Cosmos-ATOM,$14.17,-8.65%,$907.7m,$124.3m,-17.20%,0.54%,0.14,-0.0143%,-0.0090%,$2.3m,2022-09-14 03:16:25.000228
11,Polygon-MATIC,$0.8613,-7.68%,$888.9m,$174.0m,-17.13%,0.75%,0.20,+0.0027%,+0.0005%,$2.5m,2022-09-14 03:16:25.000228
12,Binance Coin-BNB,$279.28,-4.48%,$885.1m,$243.8m,-9.84%,1.05%,0.28,-0.0138%,-0.0227%,$705.9k,2022-09-14 03:16:25.000228
13,ApeCoin-APE,$5.15,-7.98%,$859.2m,$80.9m,-10.54%,0.35%,0.09,+0.0018%,+0.0178%,$2.0m,2022-09-14 03:16:25.000228
14,Avalanche-AVAX,$19.18,-9.31%,$811.4m,$131.1m,-9.22%,0.57%,0.16,-0.0157%,-0.0347%,$2.0m,2022-09-14 03:16:25.000228
15,Ripple-XRP,$0.3346,-5.23%,$748.4m,$319.6m,-6.28%,1.38%,0.43,-0.0032%,-0.0006%,$1.3m,2022-09-14 03:16:25.000228
16,1000LUNC-1000LUNC,$0.3492,+8.01%,$725.3m,$32.1m,+37.48%,0.14%,0.04,-0.0697%,-0.0673%,$2.0m,2022-09-14 03:16:25.000228
17,Terra-LUNA,$4.40,+2.39%,$708.6m,$17.0m,-10.14%,0.07%,0.02,+0.0104%,-0.0003%,$3.2m,2022-09-14 03:16:25.000228
18,NEAR Protocol-NEAR,$4.48,-9.99%,$646.2m,$101.7m,-20.63%,0.44%,0.16,-0.0089%,-0.0118%,$1.5m,2022-09-14 03:16:25.000228
19,Chiliz-CHZ,$0.1962,-2.75%,$591.7m,$72.2m,-2.69%,0.31%,0.12,+0.0054%,+0.0042%,$1.1m,2022-09-14 03:16:25.000228
20,Optimism-OP,$1.21,-3.17%,$515.4m,$58.7m,-5.89%,0.25%,0.11,+0.0080%,+0.0054%,$1.3m,2022-09-14 03:16:25.000228
21,Polkadot-DOT,$7.19,-4.86%,$510.0m,$254.2m,-4.56%,1.10%,0.50,-0.0023%,-0.0038%,$1.2m,2022-09-14 03:16:25.000228
22,Dogecoin-DOGE,$0.0603,-4.80%,$494.2m,$117.5m,-4.90%,0.51%,0.24,+0.0038%,+0.0107%,$1.5m,2022-09-14 03:16:25.000228
23,Filecoin-FIL,$5.94,-7.46%,$472.3m,$107.2m,-7.93%,0.46%,0.23,-0.0130%,-0.0196%,$1.8m,2022-09-14 03:16:25.000228
24,Chainlink-LINK,$7.22,-5.86%,$408.9m,$104.3m,-9.75%,0.45%,0.26,-0.0013%,-0.0005%,$1.6m,2022-09-14 03:16:25.000228
25,Terra Classic-LUNC,$0.0003,+8.89%,$403.8m,$48.7m,+31.30%,0.21%,0.12,-0.0585%,-0.0676%,$1.6m,2022-09-14 03:16:25.000228
26,STEPN-GMT,$0.6738,-8.32%,$396.1m,$97.8m,-9.24%,0.42%,0.25,-0.0017%,+0.0002%,$1.0m,2022-09-14 03:16:25.000228
27,Bitcoin Cash-BCH,$120.01,-6.26%,$372.3m,$164.7m,-6.40%,0.71%,0.44,-0.0246%,-0.0107%,$1.4m,2022-09-14 03:16:25.000228
28,Curve DAO Token-CRV,$1.09,-3.56%,$300.1m,$54.3m,-8.12%,0.23%,0.18,-0.0302%,-0.0047%,$772.1k,2022-09-14 03:16:25.000228
