,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,710.11",+5.23%,$39.0b,$7.7b,+9.88%,30.73%,0.20,-0.0058%,-0.0040%,$75.0m,2022-09-09 07:16:52.457588
1,Bitcoin-BTC,"$20,738.29",+7.86%,$36.8b,$10.4b,+9.10%,41.36%,0.28,+0.0014%,+0.0030%,$69.5m,2022-09-09 07:16:52.457588
2,Ethereum Classic-ETC,$38.93,+5.12%,$3.7b,$527.2m,+3.78%,2.10%,0.14,-0.0052%,-0.0113%,$11.6m,2022-09-09 07:16:52.457588
3,Solana-SOL,$35.13,+8.31%,$1.8b,$434.6m,+14.06%,1.73%,0.24,+0.0024%,+0.0000%,$3.2m,2022-09-09 07:16:52.457588
4,EOS-EOS,$1.66,+1.47%,$1.3b,$212.5m,-13.64%,0.85%,0.16,+0.0059%,+0.0067%,$2.2m,2022-09-09 07:16:52.457588
5,Cosmos-ATOM,$14.18,+10.63%,$1.1b,$185.3m,+44.76%,0.74%,0.17,-0.0034%,-0.0244%,$1.8m,2022-09-09 07:16:52.457588
6,Cardano-ADA,$0.4941,+4.21%,$891.5m,$293.4m,+6.04%,1.17%,0.33,+0.0106%,+0.0059%,$897.2k,2022-09-09 07:16:52.457588
7,Ripple-XRP,$0.3499,+5.55%,$804.3m,$343.5m,+6.03%,1.37%,0.43,-0.0028%,-0.0037%,$1.1m,2022-09-09 07:16:52.457588
8,Binance Coin-BNB,$290.71,+4.37%,$755.8m,$284.6m,+1.47%,1.13%,0.38,+0.0115%,+0.0118%,$612.9k,2022-09-09 07:16:52.457588
9,NEAR Protocol-NEAR,$4.71,+5.30%,$695.3m,$124.6m,+14.63%,0.50%,0.18,+0.0020%,+0.0026%,$1.4m,2022-09-09 07:16:52.457588
10,Bitcoin Cash-BCH,$129.99,+10.14%,$685.5m,$206.1m,+23.77%,0.82%,0.30,+0.0039%,-0.0015%,$1.2m,2022-09-09 07:16:52.457588
