,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,628.23",-0.39%,$20.0b,$10.7b,+0.47%,42.54%,0.54,+0.0015%,+0.0033%,$25.2m,2022-09-11 23:16:34.660842
1,Ethereum-ETH,"$1,746.05",-1.87%,$17.2b,$7.6b,-1.81%,30.12%,0.44,-0.0225%,-0.0201%,$26.2m,2022-09-11 23:16:34.660842
2,Ethereum Classic-ETC,$38.38,-3.21%,$1.3b,$466.2m,-6.26%,1.85%,0.35,+0.0020%,-0.0015%,$4.0m,2022-09-11 23:16:34.660842
3,LUNA2-LUNA2,$5.61,-13.56%,$1.3b,$35.5m,+2.64%,0.14%,0.03,-0.0714%,-0.0746%,$1.9m,2022-09-11 23:16:34.660842
4,ApeCoin-APE,$5.64,+10.98%,$979.5m,$102.5m,+37.35%,0.41%,0.10,+0.0026%,+0.0002%,$1.7m,2022-09-11 23:16:34.660842
5,Solana-SOL,$34.71,-1.43%,$929.4m,$392.2m,-3.84%,1.55%,0.42,+0.0023%,+0.0017%,$1.5m,2022-09-11 23:16:34.660842
6,Terra-LUNA,$5.62,-12.01%,$852.0m,$22.6m,-5.58%,0.09%,0.03,-0.0657%,-0.0549%,$4.2m,2022-09-11 23:16:34.660842
7,EOS-EOS,$1.70,-3.62%,$843.9m,$200.2m,-7.43%,0.79%,0.24,+0.0163%,+0.0099%,$1.8m,2022-09-11 23:16:34.660842
8,Cardano-ADA,$0.5048,-1.81%,$702.8m,$302.3m,-2.44%,1.20%,0.43,+0.0024%,+0.0053%,$846.5k,2022-09-11 23:16:34.660842
9,Filecoin-FIL,$6.37,-0.11%,$601.9m,$117.9m,+2.36%,0.47%,0.20,+0.0068%,+0.0023%,$1.7m,2022-09-11 23:16:34.660842
10,Chiliz-CHZ,$0.2060,+1.80%,$585.9m,$78.2m,-1.34%,0.31%,0.13,+0.0099%,+0.0027%,$977.0k,2022-09-11 23:16:34.660842
11,Cosmos-ATOM,$15.56,-3.66%,$491.2m,$160.4m,-9.90%,0.64%,0.33,+0.0047%,+0.0008%,$692.8k,2022-09-11 23:16:34.660842
12,Optimism-OP,$1.38,-1.45%,$444.8m,$65.0m,-3.97%,0.26%,0.15,+0.0129%,+0.0086%,$696.9k,2022-09-11 23:16:34.660842
13,NEAR Protocol-NEAR,$4.85,+0.55%,$396.0m,$115.1m,-2.24%,0.46%,0.29,+0.0032%,+0.0016%,$886.2k,2022-09-11 23:16:34.660842
14,Ripple-XRP,$0.3531,-1.57%,$389.4m,$334.7m,-2.80%,1.32%,0.86,+0.0028%,-0.0016%,$398.6k,2022-09-11 23:16:34.660842
15,Litecoin-LTC,$61.93,-2.55%,$376.9m,$209.6m,-4.34%,0.83%,0.56,+0.0105%,+0.0050%,$478.7k,2022-09-11 23:16:34.660842
16,Binance Coin-BNB,$293.57,-1.30%,$367.7m,$276.7m,-2.76%,1.10%,0.75,+0.0066%,+0.0055%,$149.9k,2022-09-11 23:16:34.660842
17,Avalanche-AVAX,$20.53,-0.33%,$363.9m,$136.3m,-0.86%,0.54%,0.37,+0.0124%,+0.0114%,$396.8k,2022-09-11 23:16:34.660842
18,STEPN-GMT,$0.7290,-3.15%,$353.3m,$104.3m,-4.93%,0.41%,0.30,-0.0027%,-0.0080%,$1.0m,2022-09-11 23:16:34.660842
19,Chainlink-LINK,$7.93,-0.40%,$343.5m,$125.0m,+0.06%,0.49%,0.36,+0.0098%,+0.0067%,$294.2k,2022-09-11 23:16:34.660842
20,1000LUNC-1000LUNC,$0.4148,-2.65%,$336.6m,$22.5m,+63.57%,0.09%,0.07,-0.1329%,-0.1242%,$711.6k,2022-09-11 23:16:34.660842
21,Dogecoin-DOGE,$0.0633,-2.26%,$306.9m,$122.2m,-3.66%,0.48%,0.40,+0.0071%,+0.0088%,$554.1k,2022-09-11 23:16:34.660842
22,1000SHIB-1000SHIB,$0.0129,-2.79%,$295.3m,$46.3m,-5.68%,0.18%,0.16,+0.0072%,+0.0100%,$623.7k,2022-09-11 23:16:34.660842
23,Polygon-MATIC,$0.8869,-2.32%,$293.4m,$193.0m,-5.23%,0.76%,0.66,+0.0049%,+0.0036%,$573.1k,2022-09-11 23:16:34.660842
24,Polkadot-DOT,$7.64,-2.03%,$286.5m,$270.4m,-2.71%,1.07%,0.94,-0.0040%,-0.0027%,$399.1k,2022-09-11 23:16:34.660842
25,Ravencoin-RVN,$0.0509,-12.45%,$276.5m,$32.1m,-25.88%,0.13%,0.12,+0.0131%,+0.0071%,$454.4k,2022-09-11 23:16:34.660842
26,Curve DAO Token-CRV,$1.17,-6.22%,$232.7m,$63.2m,-10.14%,0.25%,0.27,+0.0248%,-0.0040%,$355.5k,2022-09-11 23:16:34.660842
27,Helium-HNT,$5.15,-6.65%,$218.0m,$23.5m,-20.96%,0.09%,0.11,-0.0050%,-0.0070%,$296.9k,2022-09-11 23:16:34.660842
28,Bitcoin Cash-BCH,$129.45,-2.78%,$192.6m,$186.2m,-5.09%,0.74%,0.97,-0.0016%,-0.0014%,$355.9k,2022-09-11 23:16:34.660842
29,Terra Classic-LUNC,$0.0004,-3.53%,$188.3m,$45.2m,+6.26%,0.18%,0.24,-0.0034%,-0.1225%,$611.0k,2022-09-11 23:16:34.660842
30,The Sandbox-SAND,$0.9663,-2.08%,$186.1m,$76.1m,-3.48%,0.30%,0.41,+0.0153%,+0.0018%,$220.7k,2022-09-11 23:16:34.660842
31,Waves-WAVES,$4.86,-2.31%,$177.7m,$54.7m,-7.66%,0.22%,0.31,+0.0072%,+0.0064%,$342.3k,2022-09-11 23:16:34.660842
