,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Bitcoin-BTC,"$21,549.12",+1.35%,$22.2b,$10.7b,+1.47%,42.14%,0.48,+0.0067%,+0.0018%,$35.8m,2022-09-10 20:16:27.651561
1,Ethereum-ETH,"$1,739.50",+1.10%,$15.3b,$7.7b,+2.02%,30.14%,0.50,-0.0130%,-0.0135%,$19.2m,2022-09-10 20:16:27.651561
2,Ethereum Classic-ETC,$38.82,-0.28%,$1.8b,$485.9m,-2.98%,1.91%,0.27,-0.0032%,-0.0028%,$3.6m,2022-09-10 20:16:27.651561
3,LUNA2-LUNA2,$5.99,+18.27%,$1.6b,$32.7m,+156.34%,0.13%,0.02,-0.0360%,-0.0197%,$4.0m,2022-09-10 20:16:27.651561
4,Terra-LUNA,$5.99,+21.41%,$1.3b,$22.9m,+29.01%,0.09%,0.02,-0.0853%,-0.0303%,$7.7m,2022-09-10 20:16:27.651561
5,EOS-EOS,$1.74,+5.39%,$1.3b,$217.9m,+9.94%,0.86%,0.17,+0.0071%,+0.0051%,$2.4m,2022-09-10 20:16:27.651561
6,Cardano-ADA,$0.5129,+3.67%,$1.0b,$310.0m,+7.08%,1.22%,0.30,+0.0071%,-0.0007%,$1.4m,2022-09-10 20:16:27.651561
7,Solana-SOL,$34.72,+0.02%,$924.7m,$404.9m,-4.71%,1.59%,0.44,+0.0077%,+0.0028%,$683.6k,2022-09-10 20:16:27.651561
8,Cosmos-ATOM,$15.89,-0.99%,$803.4m,$177.5m,-0.01%,0.70%,0.22,+0.0089%,+0.0056%,$1.2m,2022-09-10 20:16:27.651561
9,Ravencoin-RVN,$0.0550,+0.03%,$765.9m,$40.7m,-13.10%,0.16%,0.05,+0.0083%,+0.0094%,$1.7m,2022-09-10 20:16:27.651561
10,Ripple-XRP,$0.3565,+1.49%,$626.0m,$343.3m,+1.69%,1.35%,0.55,+0.0045%,-0.0005%,$605.1k,2022-09-10 20:16:27.651561
11,Optimism-OP,$1.39,-2.11%,$571.1m,$68.0m,-5.08%,0.27%,0.12,+0.0172%,+0.0139%,$786.2k,2022-09-10 20:16:27.651561
12,STEPN-GMT,$0.7323,-3.17%,$569.0m,$108.4m,-6.00%,0.43%,0.19,+0.0052%,+0.0023%,$1.2m,2022-09-10 20:16:27.651561
13,Litecoin-LTC,$63.15,+3.77%,$533.2m,$222.1m,+12.46%,0.87%,0.42,+0.0089%,+0.0062%,$717.5k,2022-09-10 20:16:27.651561
14,Helium-HNT,$5.58,+19.61%,$524.1m,$32.5m,+25.30%,0.13%,0.06,+0.0065%,+0.0061%,$938.8k,2022-09-10 20:16:27.651561
15,Avalanche-AVAX,$20.32,+0.24%,$496.9m,$136.1m,-4.40%,0.53%,0.27,+0.0112%,+0.0098%,$546.7k,2022-09-10 20:16:27.651561
16,Binance Coin-BNB,$293.99,+1.04%,$472.8m,$283.1m,+0.45%,1.11%,0.60,+0.0085%,+0.0022%,$328.4k,2022-09-10 20:16:27.651561
17,Polygon-MATIC,$0.9013,+1.58%,$419.9m,$200.7m,+3.29%,0.79%,0.48,+0.0075%,+0.0036%,$523.0k,2022-09-10 20:16:27.651561
18,Filecoin-FIL,$6.29,-0.39%,$392.7m,$113.9m,+3.08%,0.45%,0.29,+0.0035%,-0.0056%,$294.1k,2022-09-10 20:16:27.651561
19,Dogecoin-DOGE,$0.0641,+1.11%,$365.3m,$124.5m,+3.32%,0.49%,0.34,+0.0115%,+0.0057%,$540.8k,2022-09-10 20:16:27.651561
20,1000LUNC-1000LUNC,$0.4388,+2.52%,$363.1m,$12.9m,+84.34%,0.05%,0.04,-0.0474%,-0.0540%,$1.2m,2022-09-10 20:16:27.651561
21,NEAR Protocol-NEAR,$4.77,-0.42%,$357.9m,$117.2m,-3.44%,0.46%,0.33,+0.0012%,-0.0011%,$711.1k,2022-09-10 20:16:27.651561
