,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,578.77",-0.11%,$36.3b,$6.9b,-0.12%,30.07%,0.19,-0.0008%,-0.0076%,$73.4m
1,Bitcoin-BTC,"$19,956.37",-0.53%,$29.0b,$9.6b,-2.34%,41.59%,0.33,+0.0013%,-0.0005%,$27.5m
2,Ethereum Classic-ETC,$32.55,-0.44%,$1.5b,$379.0m,-3.03%,1.65%,0.25,+0.0007%,-0.0080%,$4.0m
3,EOS-EOS,$1.51,+3.91%,$1.2b,$193.9m,+6.96%,0.84%,0.16,+0.0041%,-0.0078%,$2.7m
4,Polygon-MATIC,$0.8763,-0.89%,$1.2b,$239.6m,+2.36%,1.04%,0.20,-0.0127%,-0.0079%,$2.1m
5,Solana-SOL,$31.18,-0.39%,$1.1b,$384.4m,-2.80%,1.67%,0.35,+0.0075%,-0.0043%,$2.1m
6,Litecoin-LTC,$61.78,+8.20%,$917.0m,$233.1m,+17.61%,1.01%,0.25,+0.0005%,+0.0006%,$2.7m
7,Optimism-OP,$1.23,+4.93%,$789.8m,$74.7m,+14.20%,0.32%,0.09,+0.0053%,+0.0034%,$1.3m
8,Chiliz-CHZ,$0.2178,+2.73%,$766.5m,$102.9m,+9.97%,0.45%,0.13,+0.0049%,+0.0132%,$1.2m
9,Binance Coin-BNB,$276.38,-0.20%,$673.0m,$260.1m,-6.14%,1.13%,0.39,+0.0020%,-0.0045%,$336.9k
10,Cosmos-ATOM,$12.49,+0.74%,$656.5m,$130.1m,+1.20%,0.57%,0.20,-0.0034%,-0.0034%,$1.1m
11,Cardano-ADA,$0.4552,-0.29%,$559.8m,$268.1m,-2.46%,1.17%,0.48,+0.0140%,-0.0083%,$410.0k
12,Ripple-XRP,$0.3307,-0.42%,$546.5m,$319.4m,-1.50%,1.39%,0.58,+0.0088%,+0.0035%,$565.1k
13,Tellor-TRB,$19.31,-8.81%,$530.0m,$69.7m,+3.45%,0.30%,0.13,-0.6293%,-1.1024%,$422.3k
14,Avalanche-AVAX,$18.88,-1.57%,$514.9m,$137.1m,+0.03%,0.60%,0.27,-0.0063%,-0.0346%,$1.1m
15,Polkadot-DOT,$7.35,+2.97%,$447.7m,$274.1m,+3.53%,1.19%,0.61,+0.0028%,+0.0048%,$898.4k
16,Chainlink-LINK,$6.93,+2.44%,$378.9m,$103.1m,+1.61%,0.45%,0.27,+0.0046%,+0.0103%,$836.1k
17,NEAR Protocol-NEAR,$4.16,-3.87%,$346.2m,$90.6m,-8.03%,0.39%,0.26,+0.0069%,+0.0040%,$838.4k
18,STEPN-GMT,$0.6731,-0.87%,$319.4m,$107.4m,-2.43%,0.47%,0.34,+0.0083%,-0.0106%,$837.6k
19,Dogecoin-DOGE,$0.0614,-1.23%,$317.6m,$121.7m,-0.33%,0.53%,0.38,+0.0086%,-0.0061%,$421.1k
20,Filecoin-FIL,$5.77,+0.54%,$280.5m,$100.4m,-0.87%,0.44%,0.36,+0.0075%,+0.0078%,$341.3k
21,1inch-1INCH,$0.7035,+4.91%,$244.3m,$31.3m,+53.43%,0.14%,0.13,-0.0502%,+0.0018%,$477.7k
22,Curve DAO Token-CRV,$1.11,-2.22%,$242.3m,$56.8m,-7.50%,0.25%,0.23,-0.0141%,-0.0247%,$560.9k
23,1000SHIB-1000SHIB,$0.0121,-1.15%,$223.9m,$38.4m,-1.31%,0.17%,0.17,+0.0030%,-0.0124%,$274.4k
24,yearn.finance-YFI,"$9,978.94",+8.08%,$221.7m,$46.3m,+24.69%,0.20%,0.21,+0.0090%,+0.0038%,$447.8k
