,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,573.89",-0.85%,$36.2b,$6.9b,-1.55%,29.98%,0.19,-0.0021%,-0.0076%,$71.8m
1,Bitcoin-BTC,"$19,931.04",-0.92%,$28.8b,$9.6b,-2.26%,41.67%,0.33,+0.0010%,-0.0013%,$27.4m
2,Ethereum Classic-ETC,$32.38,-1.79%,$1.5b,$373.9m,-5.66%,1.63%,0.24,+0.0001%,-0.0111%,$4.0m
3,EOS-EOS,$1.54,+4.27%,$1.3b,$200.8m,+7.57%,0.87%,0.16,+0.0034%,-0.0093%,$2.6m
4,Polygon-MATIC,$0.8707,-1.72%,$1.1b,$235.1m,-1.56%,1.02%,0.21,-0.0128%,-0.0100%,$1.7m
5,Solana-SOL,$31.14,-1.33%,$1.1b,$383.5m,-2.46%,1.67%,0.36,+0.0077%,-0.0030%,$1.7m
6,Litecoin-LTC,$60.76,+5.65%,$947.8m,$231.0m,+16.13%,1.01%,0.24,+0.0011%,+0.0028%,$2.8m
7,Optimism-OP,$1.23,+4.23%,$776.0m,$74.4m,+14.92%,0.32%,0.10,+0.0066%,+0.0077%,$1.2m
8,Chiliz-CHZ,$0.2181,+2.55%,$768.7m,$100.7m,+7.19%,0.44%,0.13,+0.0047%,+0.0113%,$1.1m
9,Binance Coin-BNB,$276.53,-0.61%,$663.5m,$259.6m,-6.23%,1.13%,0.39,+0.0014%,-0.0037%,$330.7k
10,Cosmos-ATOM,$12.63,-1.29%,$618.0m,$129.6m,-4.35%,0.56%,0.21,-0.0031%,-0.0035%,$775.2k
11,Cardano-ADA,$0.4534,-0.86%,$565.7m,$266.1m,-3.19%,1.16%,0.47,+0.0137%,-0.0076%,$417.5k
12,Ripple-XRP,$0.3303,-0.76%,$543.2m,$320.5m,-1.97%,1.40%,0.59,+0.0087%,+0.0061%,$573.6k
13,Avalanche-AVAX,$18.81,-2.44%,$501.1m,$136.6m,+0.38%,0.59%,0.27,-0.0059%,-0.0295%,$1.0m
14,Tellor-TRB,$19.05,-8.40%,$494.0m,$69.6m,+2.14%,0.30%,0.14,-0.6329%,-1.1518%,$386.6k
15,Polkadot-DOT,$7.29,+1.53%,$445.6m,$271.6m,+2.22%,1.18%,0.61,+0.0031%,+0.0035%,$901.2k
