,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,586.69",+2.38%,$34.1b,$7.0b,+2.57%,29.99%,0.21,-0.0001%,+0.0090%,$74.7m
1,Bitcoin-BTC,"$20,112.91",+0.54%,$29.0b,$9.8b,+2.47%,41.94%,0.34,+0.0007%,+0.0032%,$25.8m
2,Ethereum Classic-ETC,$32.90,+1.93%,$1.5b,$396.3m,+3.05%,1.70%,0.27,-0.0134%,-0.0041%,$3.4m
3,Polygon-MATIC,$0.8861,+6.88%,$1.1b,$238.6m,+22.45%,1.02%,0.21,-0.0064%,-0.0067%,$2.9m
4,Solana-SOL,$31.52,+0.47%,$1.1b,$393.2m,+3.37%,1.69%,0.36,+0.0080%,+0.0118%,$1.9m
5,EOS-EOS,$1.47,+7.35%,$1.0b,$186.3m,+9.34%,0.80%,0.18,+0.0028%,+0.0006%,$2.0m
6,Tellor-TRB,$20.82,+9.90%,$1.0b,$67.6m,+4.92%,0.29%,0.07,-0.6723%,-1.2500%,$2.3m
7,Binance Coin-BNB,$278.06,-0.24%,$810.7m,$277.0m,+7.09%,1.19%,0.34,-0.0046%,-0.0044%,$638.4k
8,Cosmos-ATOM,$12.79,+8.37%,$722.4m,$135.4m,+15.25%,0.58%,0.19,+0.0030%,-0.0077%,$1.5m
9,Chiliz-CHZ,$0.2127,-1.67%,$672.1m,$93.9m,-12.02%,0.40%,0.14,+0.0066%,+0.0089%,$1.0m
10,Litecoin-LTC,$57.51,+7.10%,$654.5m,$199.9m,+13.85%,0.86%,0.31,+0.0040%,+0.0082%,$1.1m
11,Cardano-ADA,$0.4573,+2.66%,$636.5m,$275.0m,+2.20%,1.18%,0.43,-0.0012%,+0.0041%,$803.4k
12,Avalanche-AVAX,$19.25,+0.92%,$560.2m,$136.0m,+1.76%,0.58%,0.24,+0.0011%,-0.0053%,$979.7k
13,Ripple-XRP,$0.3329,+1.87%,$504.8m,$327.0m,+1.38%,1.40%,0.65,+0.0017%,-0.0029%,$759.0k
14,Optimism-OP,$1.17,+4.29%,$422.6m,$65.0m,+3.52%,0.28%,0.15,+0.0163%,+0.0108%,$733.6k
15,NEAR Protocol-NEAR,$4.34,-0.50%,$420.9m,$97.9m,-10.40%,0.42%,0.23,+0.0040%,+0.0047%,$550.0k
16,Dogecoin-DOGE,$0.0622,+1.89%,$374.6m,$122.2m,+1.25%,0.52%,0.33,+0.0089%,+0.0082%,$550.8k
17,Polkadot-DOT,$7.19,+2.64%,$314.3m,$266.1m,+2.88%,1.14%,0.85,-0.0044%,+0.0047%,$231.1k
18,STEPN-GMT,$0.6829,+2.14%,$288.7m,$110.5m,+4.22%,0.47%,0.38,-0.0008%,+0.0072%,$508.1k
19,Curve DAO Token-CRV,$1.16,+0.34%,$288.2m,$61.6m,-9.35%,0.26%,0.21,+0.0017%,+0.0055%,$743.2k
20,Chainlink-LINK,$6.88,+4.06%,$286.2m,$104.2m,+4.59%,0.45%,0.36,+0.0096%,+0.0063%,$514.1k
21,Balancer-BAL,$7.81,+9.55%,$258.6m,$28.0m,+88.02%,0.12%,0.11,-0.1096%,+0.0341%,$669.5k
22,Filecoin-FIL,$5.76,+0.55%,$238.5m,$101.6m,+3.37%,0.44%,0.43,-0.0053%,+0.0057%,$275.1k
23,Terra-LUNA,$2.00,+10.30%,$232.2m,$8.4m,+39.23%,0.04%,0.04,-0.0006%,+0.0148%,$1.4m
24,1000SHIB-1000SHIB,$0.0123,+2.24%,$219.6m,$38.8m,+1.90%,0.17%,0.18,+0.0022%,-0.0008%,$360.9k
25,Stargate Finance-STG,$0.6305,-4.70%,$206.2m,$19.3m,+42.32%,0.08%,0.09,-0.1338%,-0.1202%,$664.4k
26,ApeCoin-APE,$4.76,+0.30%,$197.3m,$66.1m,+1.85%,0.28%,0.34,+0.0014%,+0.0036%,$285.1k
27,Synthetix Network Token-SNX,$2.91,-1.63%,$191.4m,$39.4m,-3.98%,0.17%,0.21,-0.0176%,-0.0291%,$305.0k
28,Bitcoin Cash-BCH,$116.78,+1.68%,$176.9m,$169.3m,+2.74%,0.73%,0.96,-0.0097%,-0.0073%,$261.3k
29,The Sandbox-SAND,$0.9389,-0.12%,$173.0m,$77.0m,+1.12%,0.33%,0.44,+0.0044%,+0.0039%,$399.3k
30,Axie Infinity-AXS,$14.50,+2.62%,$142.8m,$82.9m,+0.96%,0.36%,0.58,-0.0169%,-0.0183%,$242.5k
31,Fantom-FTM,$0.2714,-0.55%,$131.9m,$49.2m,+4.35%,0.21%,0.37,+0.0057%,+0.0046%,$343.0k
32,Waves-WAVES,$4.53,+1.14%,$131.2m,$52.7m,+3.17%,0.23%,0.40,-0.0035%,+0.0049%,$232.8k
33,1000XEC-1000XEC,$0.0461,+3.97%,$128.5m,$11.1m,-14.40%,0.05%,0.09,-0.0427%,+0.0052%,$250.1k
34,Ethereum Name Service-ENS,$13.40,+5.82%,$127.6m,$23.8m,+18.87%,0.10%,0.19,+0.0066%,+0.0006%,$113.1k
35,Aave-AAVE,$86.32,+1.90%,$122.1m,$44.3m,+0.71%,0.19%,0.36,-0.0094%,-0.0006%,$72.8k
36,Unifi Protocol DAO-UNFI,$7.51,-1.52%,$119.4m,$20.0m,+2.10%,0.09%,0.17,+0.0092%,+0.0066%,$212.6k
37,Tron-TRX,$0.0632,-0.35%,$117.6m,$144.2m,+0.32%,0.62%,1.23,-0.0118%,-0.0161%,$72.2k
38,Uniswap-UNI,$6.31,+2.84%,$113.9m,$47.9m,+3.61%,0.21%,0.42,+0.0052%,+0.0046%,$150.0k
39,Helium-HNT,$4.81,-8.09%,$96.1m,$14.5m,+8.10%,0.06%,0.15,-0.0161%,-0.0418%,$375.7k
40,SafePal-SFP,$0.3974,+0.63%,$94.2m,$6.6m,+7.30%,0.03%,0.07,+0.0075%,+0.0061%,$236.8k
41,Kyber Network Crystal-KNC,$1.77,+3.02%,$92.7m,$21.8m,+7.71%,0.09%,0.23,+0.0030%,+0.0047%,$69.8k
42,Gala-GALA,$0.0505,+0.57%,$92.0m,$34.0m,+4.06%,0.15%,0.37,+0.0067%,+0.0091%,$303.5k
43,Monero-XMR,$153.98,+3.53%,$91.8m,$44.0m,+6.78%,0.19%,0.48,+0.0188%,+0.0081%,$50.8k
44,Celsius-CEL,$1.36,+18.87%,$90.2m,$26.6m,+19.73%,0.11%,0.30,-0.0590%,-0.2485%,$874.6k
45,ConstitutionDAO-PEOPLE,$0.0205,+1.81%,$87.3m,$27.0m,-1.48%,0.12%,0.31,+0.0062%,-0.0053%,$359.7k
46,Decentraland-MANA,$0.7786,+1.14%,$86.2m,$39.7m,+1.91%,0.17%,0.46,+0.0060%,+0.0054%,$54.3k
47,Flow (Dapper labs)-FLOW,$2.04,-1.21%,$85.8m,$30.6m,-10.56%,0.13%,0.36,-0.0109%,-0.0168%,$94.4k
48,THETA-THETA,$1.16,+0.65%,$78.5m,$22.2m,+2.84%,0.09%,0.28,+0.0029%,-0.0099%,$196.2k
49,LUNA2-LUNA2,n/a,n/a,$76.3m,$4.6m,+165.48%,0.02%,0.06,-0.0583%,-0.0583%,$406.6k
50,ZCash-ZEC,$58.93,-1.27%,$71.6m,$22.1m,+5.62%,0.09%,0.31,+0.0057%,+0.0049%,$188.2k
51,dYdX-DYDX,$1.53,+0.91%,$67.0m,$35.5m,+3.62%,0.15%,0.53,-0.0024%,-0.0049%,$113.0k
52,Lido DAO Token-LDO,$2.09,+6.19%,$66.7m,$18.7m,-0.29%,0.08%,0.28,-0.0143%,-0.0130%,$196.1k
53,yearn.finance-YFI,"$9,231.56",+2.38%,$63.5m,$37.1m,+0.08%,0.16%,0.58,+0.0087%,+0.0084%,$112.0k
54,THORChain-RUNE,$1.94,+1.50%,$59.3m,$22.5m,+1.32%,0.10%,0.38,+0.0081%,+0.0068%,$100.8k
55,CertiK-CTK,$0.9733,+6.99%,$57.0m,$11.1m,+9.27%,0.05%,0.20,+0.0023%,-0.0054%,$241.4k
56,Compound-COMP,$48.28,+4.41%,$55.8m,$24.1m,+12.70%,0.10%,0.43,-0.0130%,-0.0367%,$45.7k
57,SHIBA INU-SHIB,$0.0000,+1.78%,$54.2m,$20.0m,+6.85%,0.09%,0.37,+0.0066%,+0.0116%,$85.5k
58,1inch-1INCH,$0.6645,-0.17%,$48.6m,$20.5m,+4.17%,0.09%,0.42,-0.0167%,-0.0269%,$54.4k
59,Chromia-CHR,$0.1815,+1.47%,$48.1m,$9.9m,-8.03%,0.04%,0.21,+0.0016%,+0.0070%,$126.1k
60,SushiSwap-SUSHI,$1.06,+2.01%,$47.9m,$27.0m,+2.00%,0.12%,0.56,+0.0017%,+0.0066%,$34.4k
61,Kava-KAVA,$1.73,-2.83%,$47.3m,$12.7m,-12.88%,0.05%,0.27,-0.0013%,-0.0052%,$103.5k
62,Stellar Lumens-XLM,$0.1049,+0.93%,$41.2m,$36.3m,-0.60%,0.16%,0.88,-0.0114%,+0.0093%,$142.3k
63,Maker-MKR,$757.33,-0.59%,$40.9m,$17.1m,+4.40%,0.07%,0.42,-0.0053%,+0.0013%,$54.4k
64,Algorand-ALGO,$0.2929,+1.60%,$40.6m,$27.8m,+4.72%,0.12%,0.68,+0.0053%,+0.0078%,$17.2k
65,Zilliqa-ZIL,$0.0362,+0.45%,$40.2m,$23.1m,+2.35%,0.10%,0.57,+0.0066%,+0.0062%,$21.3k
66,Bluzelle-BLZ,$0.0980,-1.18%,$39.9m,$7.7m,-5.80%,0.03%,0.19,+0.0100%,+0.0100%,$141.4k
67,Elrond-EGLD,$52.79,+0.45%,$39.7m,$16.5m,+0.07%,0.07%,0.42,+0.0043%,+0.0092%,$42.6k
68,Oasis Network-ROSE,$0.0641,+3.22%,$39.3m,$12.1m,+2.09%,0.05%,0.31,+0.0071%,+0.0064%,$45.8k
69,VeChain-VET,$0.0243,+0.64%,$38.2m,$16.1m,-0.12%,0.07%,0.42,-0.0010%,+0.0082%,$67.3k
70,iExec RLC-RLC,$1.13,-1.14%,$37.5m,$6.7m,-3.31%,0.03%,0.18,-0.0709%,-0.1647%,$134.6k
71,NEO-NEO,$9.15,+1.66%,$37.5m,$14.1m,+7.90%,0.06%,0.38,-0.0287%,-0.0078%,$35.3k
72,NEM-XEM,$0.0440,+0.43%,$36.9m,$9.0m,+5.13%,0.04%,0.24,+0.0063%,-0.0630%,$41.9k
73,Coin98-C98,$0.4260,-2.55%,$36.8m,$14.9m,-10.09%,0.06%,0.41,+0.0067%,+0.0048%,$36.3k
