,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,619.64",+6.11%,$33.5b,$7.0b,+5.46%,30.33%,0.21,-0.0042%,+0.0047%,$88.9m
1,Bitcoin-BTC,"$19,192.48",+2.14%,$24.4b,$9.5b,-3.62%,41.31%,0.39,-0.0001%,+0.0037%,$33.4m
2,Ethereum Classic-ETC,$36.80,+8.49%,$5.0b,$501.4m,+1.95%,2.17%,0.10,-0.0543%,-0.0269%,$13.3m
3,EOS-EOS,$1.65,+19.23%,$1.8b,$251.6m,+48.36%,1.09%,0.14,-0.0080%,-0.0060%,$5.0m
4,Helium-HNT,$5.25,+48.81%,$1.2b,$39.0m,+94.04%,0.17%,0.03,-0.2202%,-0.2672%,$2.2m
5,Solana-SOL,$32.41,+5.26%,$1.2b,$382.9m,+5.14%,1.66%,0.33,-0.0003%,+0.0070%,$2.2m
6,Cardano-ADA,$0.4764,+3.98%,$746.4m,$279.4m,+1.54%,1.21%,0.37,-0.0056%,+0.0019%,$805.4k
7,Binance Coin-BNB,$278.78,+6.23%,$688.1m,$277.9m,-0.30%,1.20%,0.40,+0.0060%,+0.0107%,$809.8k
8,Stargate Finance-STG,$0.8288,+29.26%,$670.8m,$37.4m,+123.50%,0.16%,0.06,-0.0296%,-0.0288%,$946.3k
9,Ripple-XRP,$0.3329,+4.23%,$662.5m,$328.4m,+1.61%,1.42%,0.50,-0.0027%,+0.0022%,$1.5m
10,Polygon-MATIC,$0.8396,+3.14%,$599.7m,$190.4m,+0.38%,0.82%,0.32,-0.0140%,-0.0069%,$1.1m
11,Cosmos-ATOM,$12.78,+9.12%,$588.2m,$129.1m,+18.36%,0.56%,0.22,-0.0055%,+0.0094%,$1.3m
12,Litecoin-LTC,$56.57,+5.15%,$512.7m,$191.2m,+1.83%,0.83%,0.37,+0.0070%,+0.0028%,$583.0k
13,Avalanche-AVAX,$18.91,+4.09%,$485.4m,$129.1m,+0.94%,0.56%,0.27,-0.0006%,+0.0019%,$896.9k
14,NEAR Protocol-NEAR,$4.46,+8.02%,$413.4m,$100.3m,+11.23%,0.43%,0.24,-0.0038%,-0.0029%,$916.6k
15,Polkadot-DOT,$7.18,+4.41%,$389.6m,$264.9m,+3.16%,1.15%,0.68,-0.0009%,-0.0041%,$434.3k
16,Optimism-OP,$1.17,+4.87%,$378.6m,$58.7m,-1.78%,0.25%,0.16,+0.0069%,+0.0098%,$593.6k
17,Chiliz-CHZ,$0.1914,+2.47%,$353.5m,$74.9m,-2.94%,0.32%,0.21,+0.0023%,-0.0003%,$369.5k
18,Dogecoin-DOGE,$0.0608,+3.89%,$337.9m,$118.1m,-3.12%,0.51%,0.35,+0.0020%,+0.0101%,$656.3k
19,Chainlink-LINK,$7.03,+5.46%,$286.0m,$104.9m,+4.52%,0.45%,0.37,+0.0032%,+0.0073%,$457.4k
20,Filecoin-FIL,$5.87,+4.54%,$285.6m,$102.2m,+1.84%,0.44%,0.36,+0.0115%,+0.0044%,$767.2k
21,Curve DAO Token-CRV,$1.15,+11.01%,$270.9m,$63.0m,+15.08%,0.27%,0.23,-0.0093%,+0.0109%,$777.6k
22,STEPN-GMT,$0.6500,+2.91%,$228.2m,$105.0m,+0.97%,0.45%,0.46,-0.0039%,-0.0013%,$427.0k
23,Bitcoin Cash-BCH,$117.78,+5.25%,$217.7m,$168.3m,+3.75%,0.73%,0.77,+0.0003%,+0.0018%,$401.6k
24,1000SHIB-1000SHIB,$0.0122,+1.71%,$212.5m,$42.2m,+2.55%,0.18%,0.20,+0.0090%,+0.0100%,$228.1k
25,Tellor-TRB,$16.84,+4.50%,$203.2m,$41.2m,-6.53%,0.18%,0.20,-0.0071%,-0.0683%,$246.6k
26,Ravencoin-RVN,$0.0368,+3.66%,$196.7m,$18.9m,-21.28%,0.08%,0.10,+0.0198%,-0.0022%,$441.3k
27,ApeCoin-APE,$4.41,+3.30%,$171.7m,$63.7m,+0.60%,0.28%,0.37,-0.0117%,-0.0105%,$540.5k
28,The Sandbox-SAND,$0.8996,+3.09%,$165.2m,$72.2m,+0.45%,0.31%,0.44,-0.0076%,+0.0022%,$435.8k
29,Fantom-FTM,$0.2545,+4.71%,$149.6m,$47.2m,-2.40%,0.20%,0.32,+0.0058%,+0.0026%,$296.6k
30,Axie Infinity-AXS,$13.36,+1.33%,$124.7m,$78.0m,+0.88%,0.34%,0.63,-0.0345%,-0.0335%,$286.4k
31,Unifi Protocol DAO-UNFI,$7.18,+6.00%,$124.0m,$17.4m,+2.69%,0.08%,0.14,+0.0052%,+0.0081%,$106.5k
32,Ethereum Name Service-ENS,$14.69,+7.14%,$120.9m,$29.6m,+6.50%,0.13%,0.25,+0.0069%,+0.0083%,$202.8k
33,Tron-TRX,$0.0604,+0.04%,$120.0m,$140.0m,+0.53%,0.61%,1.17,-0.0171%,-0.0173%,$314.5k
34,Aave-AAVE,$87.11,+4.58%,$113.1m,$45.2m,+0.48%,0.20%,0.40,+0.0098%,+0.0066%,$128.3k
35,iExec RLC-RLC,$1.23,+20.60%,$101.3m,$8.2m,+51.03%,0.04%,0.08,-0.0175%,-0.0224%,$316.2k
36,Kyber Network Crystal-KNC,$1.73,+2.32%,$98.9m,$19.7m,-1.84%,0.09%,0.20,-0.0367%,-0.0454%,$175.9k
37,dYdX-DYDX,$1.45,+1.78%,$94.7m,$36.2m,+9.47%,0.16%,0.38,+0.0053%,+0.0055%,$119.8k
38,SushiSwap-SUSHI,$1.24,+10.69%,$91.5m,$31.8m,+11.91%,0.14%,0.35,+0.0010%,-0.0057%,$252.7k
39,Uniswap-UNI,$6.07,+4.35%,$90.1m,$44.6m,+1.33%,0.19%,0.50,-0.0131%,-0.0090%,$137.5k
40,Terra Classic-LUNC,$0.0004,+17.11%,$88.7m,$6.5m,+264.08%,0.03%,0.07,+0.0021%,+0.0038%,$402.0k
41,yearn.finance-YFI,"$9,328.17",+9.01%,$86.7m,$36.7m,+12.95%,0.16%,0.42,-0.0116%,-0.0136%,$222.5k
