,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,765.33",-0.17%,$18.2b,$10.1b,-0.94%,42.39%,0.55,-0.0008%,+0.0025%,$8.8m
1,Ethereum-ETH,"$1,564.76",+0.59%,$17.3b,$7.0b,+0.23%,29.37%,0.40,-0.0017%,-0.0026%,$29.0m
2,Cardano-ADA,$0.4869,-1.49%,$1.2b,$323.9m,-7.16%,1.36%,0.28,+0.0026%,+0.0006%,$1.6m
3,Ethereum Classic-ETC,$32.07,-0.04%,$797.7m,$389.8m,+1.70%,1.64%,0.49,-0.0116%,-0.0080%,$596.9k
4,Solana-SOL,$31.64,+0.42%,$695.7m,$392.0m,-0.08%,1.65%,0.56,+0.0150%,+0.0073%,$1.1m
5,1000SHIB-1000SHIB,$0.0123,-4.44%,$643.5m,$48.3m,+1.16%,0.20%,0.08,+0.0100%,+0.0071%,$1.0m
6,Litecoin-LTC,$59.92,-0.42%,$537.5m,$225.8m,-1.79%,0.95%,0.42,+0.0060%,+0.0123%,$874.0k
7,Cosmos-ATOM,$12.59,-1.05%,$525.5m,$138.8m,-5.16%,0.58%,0.26,-0.0126%,-0.0030%,$1.0m
8,Chainlink-LINK,$7.16,+3.50%,$470.3m,$125.5m,+23.73%,0.53%,0.27,+0.0094%,+0.0044%,$450.1k
9,Ravencoin-RVN,$0.0321,+8.35%,$464.0m,$22.5m,+151.98%,0.09%,0.05,-0.0271%,-0.2149%,$878.1k
10,Polygon-MATIC,$0.8747,-0.57%,$458.9m,$225.5m,-4.14%,0.95%,0.49,+0.0030%,+0.0007%,$344.7k
11,Binance Coin-BNB,$274.69,-1.10%,$455.7m,$268.5m,+2.63%,1.13%,0.59,-0.0005%,-0.0114%,$169.1k
12,EOS-EOS,$1.45,-2.57%,$433.4m,$184.5m,-1.93%,0.78%,0.43,+0.0059%,+0.0102%,$518.7k
13,The Sandbox-SAND,$0.9443,+1.41%,$402.9m,$84.1m,+8.71%,0.35%,0.21,+0.0071%,+0.0076%,$827.7k
14,Polkadot-DOT,$7.50,+3.53%,$375.8m,$288.1m,+8.33%,1.21%,0.77,+0.0061%,+0.0060%,$514.9k
15,Filecoin-FIL,$6.01,-3.93%,$364.7m,$115.3m,-12.18%,0.48%,0.32,+0.0117%,+0.0144%,$640.2k
16,Ripple-XRP,$0.3248,-1.38%,$362.0m,$328.7m,+3.01%,1.38%,0.91,+0.0056%,+0.0062%,$279.6k
17,Avalanche-AVAX,$18.71,-1.39%,$353.0m,$148.7m,+8.67%,0.62%,0.42,+0.0013%,-0.0149%,$302.3k
18,STEPN-GMT,$0.6864,-0.63%,$320.0m,$111.0m,-1.04%,0.47%,0.35,-0.0003%,-0.0023%,$354.3k
19,Chiliz-CHZ,$0.2058,-4.10%,$317.1m,$98.6m,-0.54%,0.41%,0.31,+0.0022%,+0.0093%,$465.2k
20,Dogecoin-DOGE,$0.0619,-1.86%,$314.4m,$129.4m,-1.67%,0.54%,0.41,+0.0088%,+0.0124%,$479.0k
21,Optimism-OP,$1.13,-2.44%,$263.0m,$70.9m,+3.32%,0.30%,0.27,+0.0026%,+0.0052%,$178.5k
22,NEAR Protocol-NEAR,$4.17,+0.15%,$191.9m,$89.4m,+0.73%,0.38%,0.47,+0.0018%,+0.0041%,$260.5k
23,Axie Infinity-AXS,$14.14,-2.45%,$188.7m,$86.7m,-9.88%,0.36%,0.46,-0.0213%,-0.0086%,$570.2k
24,Tellor-TRB,$18.33,+0.20%,$186.6m,$59.1m,-12.34%,0.25%,0.32,-0.2449%,-0.2725%,$200.1k
25,ApeCoin-APE,$4.67,-2.28%,$154.1m,$68.1m,-0.30%,0.29%,0.44,+0.0030%,+0.0034%,$132.4k
26,Decentraland-MANA,$0.7871,-0.70%,$145.5m,$41.1m,+0.85%,0.17%,0.28,+0.0037%,+0.0059%,$282.2k
27,Curve DAO Token-CRV,$1.07,-0.57%,$143.6m,$58.2m,-1.68%,0.24%,0.41,+0.0017%,+0.0095%,$87.8k
28,Bitcoin Cash-BCH,$117.96,+0.91%,$143.3m,$172.0m,+1.85%,0.72%,1.20,+0.0006%,-0.0067%,$105.3k
29,Unifi Protocol DAO-UNFI,$7.60,-4.03%,$139.7m,$20.8m,-9.64%,0.09%,0.15,+0.0098%,+0.0100%,$268.3k
30,SHIBA INU-SHIB,$0.0000,-3.01%,$134.6m,$20.5m,-9.30%,0.09%,0.15,+0.0063%,+0.0085%,$501.8k
31,Helium-HNT,$3.96,-5.35%,$124.8m,$21.7m,-0.23%,0.09%,0.17,+0.0065%,+0.0067%,$302.9k
32,Fantom-FTM,$0.2648,-1.84%,$118.8m,$51.3m,+5.16%,0.22%,0.43,+0.0080%,+0.0060%,$144.4k
33,Uniswap-UNI,$6.32,-0.26%,$96.6m,$47.0m,-0.56%,0.20%,0.49,-0.0123%,+0.0035%,$71.6k
34,Gala-GALA,$0.0502,-0.98%,$84.6m,$35.6m,-1.87%,0.15%,0.42,+0.0086%,+0.0089%,$92.5k
35,Tron-TRX,$0.0629,-0.02%,$81.6m,$142.0m,+0.32%,0.60%,1.74,-0.0114%,-0.0123%,$6.5k
36,Aave-AAVE,$87.71,+0.70%,$79.7m,$46.4m,+2.33%,0.19%,0.58,+0.0055%,+0.0057%,$14.0k
37,Monero-XMR,$156.63,+0.71%,$77.7m,$50.7m,+6.62%,0.21%,0.65,+0.0008%,+0.0036%,$26.0k
38,Waves-WAVES,$4.50,-1.85%,$75.5m,$51.7m,-3.69%,0.22%,0.68,+0.0033%,+0.0060%,$68.1k
39,ConstitutionDAO-PEOPLE,$0.0207,-1.55%,$59.4m,$25.6m,-10.88%,0.11%,0.43,-0.0048%,+0.0245%,$70.8k
