,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,563.98",-1.48%,$33.7b,$6.9b,-2.07%,29.89%,0.21,-0.0049%,-0.0020%,$68.9m
1,Bitcoin-BTC,"$19,875.97",-1.04%,$26.4b,$9.6b,-1.34%,41.58%,0.37,-0.0003%,+0.0019%,$24.9m
2,Ethereum Classic-ETC,$32.45,-0.86%,$1.4b,$379.1m,-3.86%,1.64%,0.27,-0.0123%,-0.0043%,$3.7m
3,EOS-EOS,$1.57,+2.57%,$1.2b,$211.5m,-1.30%,0.91%,0.18,-0.0089%,-0.0028%,$2.6m
4,Litecoin-LTC,$60.84,+5.94%,$1.1b,$239.6m,+19.80%,1.03%,0.22,+0.0027%,+0.0023%,$2.8m
5,Polygon-MATIC,$0.8795,-0.02%,$1.0b,$237.9m,-1.42%,1.03%,0.24,-0.0051%,+0.0089%,$1.6m
6,Solana-SOL,$31.13,-1.15%,$999.3m,$388.8m,-0.89%,1.68%,0.39,-0.0025%,+0.0018%,$1.5m
7,Chiliz-CHZ,$0.2234,+1.23%,$831.4m,$107.6m,+0.04%,0.46%,0.13,+0.0108%,+0.0057%,$1.1m
8,Optimism-OP,$1.19,+1.56%,$790.4m,$70.3m,+9.13%,0.30%,0.09,+0.0110%,+0.0100%,$1.3m
9,Cardano-ADA,$0.4697,+2.68%,$759.6m,$285.2m,+3.29%,1.23%,0.38,-0.0021%,+0.0183%,$826.2k
10,Filecoin-FIL,$6.53,+12.79%,$620.2m,$140.0m,+39.19%,0.60%,0.23,+0.0077%,+0.0077%,$1.0m
11,Cosmos-ATOM,$12.45,+0.33%,$607.8m,$127.3m,+0.69%,0.55%,0.21,-0.0023%,-0.0007%,$925.0k
12,Binance Coin-BNB,$276.32,-0.38%,$588.7m,$260.4m,-2.49%,1.12%,0.44,-0.0040%,-0.0013%,$295.0k
13,Ripple-XRP,$0.3292,-1.42%,$552.0m,$318.6m,-3.89%,1.37%,0.58,+0.0036%,-0.0006%,$522.7k
14,Avalanche-AVAX,$18.87,-1.65%,$469.3m,$135.5m,+1.27%,0.58%,0.29,-0.0286%,-0.0161%,$960.1k
15,Polkadot-DOT,$7.27,+0.55%,$455.4m,$269.3m,-0.28%,1.16%,0.59,+0.0041%,+0.0018%,$843.9k
16,Tellor-TRB,$19.28,-3.04%,$418.5m,$72.4m,+7.06%,0.31%,0.17,-1.1119%,-0.8560%,$244.2k
17,Dogecoin-DOGE,$0.0624,+0.69%,$378.5m,$127.8m,+3.95%,0.55%,0.34,+0.0017%,+0.0092%,$625.7k
18,Chainlink-LINK,$6.89,+0.13%,$326.3m,$101.7m,-2.42%,0.44%,0.31,+0.0131%,+0.0116%,$662.1k
19,NEAR Protocol-NEAR,$4.18,-2.45%,$318.2m,$90.1m,-6.67%,0.39%,0.28,+0.0016%,+0.0031%,$695.1k
20,STEPN-GMT,$0.6763,-0.59%,$285.3m,$109.0m,-0.65%,0.47%,0.38,-0.0018%,+0.0031%,$647.7k
21,1inch-1INCH,$0.6888,+0.40%,$267.6m,$27.2m,+26.31%,0.12%,0.10,+0.0059%,-0.0300%,$570.7k
22,yearn.finance-YFI,"$9,495.22",+2.92%,$252.8m,$43.6m,+17.12%,0.19%,0.17,+0.0048%,+0.0080%,$609.8k
23,Curve DAO Token-CRV,$1.09,-4.64%,$229.0m,$57.3m,-5.52%,0.25%,0.25,-0.0170%,+0.0031%,$452.9k
24,Bitcoin Cash-BCH,$117.17,+0.04%,$220.1m,$167.2m,-0.96%,0.72%,0.76,-0.0049%,-0.0069%,$279.1k
25,1000SHIB-1000SHIB,$0.0123,+0.63%,$215.0m,$39.6m,+5.25%,0.17%,0.18,-0.0053%,+0.0084%,$314.2k
26,ApeCoin-APE,$4.73,-0.64%,$188.0m,$66.8m,+1.31%,0.29%,0.36,-0.0031%,+0.0048%,$160.5k
27,Aave-AAVE,$87.15,+1.61%,$187.9m,$46.5m,+6.06%,0.20%,0.25,+0.0055%,-0.0033%,$250.9k
28,Synthetix Network Token-SNX,$2.97,-1.82%,$182.0m,$35.6m,-9.45%,0.15%,0.20,+0.0065%,+0.0006%,$251.0k
29,The Sandbox-SAND,$0.9238,-1.86%,$159.4m,$74.9m,-3.47%,0.32%,0.47,-0.0067%,-0.0015%,$206.6k
30,FOOTBALL-FOOTBALL,"$1,221.45",+2.54%,$138.6m,$12.3m,+57.21%,0.05%,0.09,+0.3368%,+0.0805%,$197.7k
31,Uniswap-UNI,$6.36,+0.97%,$134.8m,$47.6m,-1.66%,0.21%,0.35,+0.0017%,-0.0019%,$305.1k
32,Axie Infinity-AXS,$14.17,-0.57%,$130.2m,$83.2m,+1.62%,0.36%,0.64,-0.0078%,-0.0029%,$373.2k
33,Fantom-FTM,$0.2687,-1.27%,$128.0m,$48.0m,-1.05%,0.21%,0.38,+0.0027%,+0.0078%,$141.6k
34,Stargate Finance-STG,$0.6468,-3.78%,$117.1m,$17.1m,-17.53%,0.07%,0.15,-0.0656%,-0.0456%,$214.0k
35,Unifi Protocol DAO-UNFI,$7.71,+2.06%,$116.4m,$21.7m,+8.72%,0.09%,0.19,-0.0006%,+0.0097%,$99.8k
36,SushiSwap-SUSHI,$1.12,+4.57%,$100.4m,$30.4m,+12.18%,0.13%,0.30,+0.0027%,+0.0080%,$91.9k
37,Celsius-CEL,$1.44,-4.67%,$95.4m,$26.1m,-11.81%,0.11%,0.27,-0.0559%,-0.0242%,$675.8k
38,dYdX-DYDX,$1.54,+1.06%,$93.4m,$37.6m,+6.60%,0.16%,0.40,-0.0020%,+0.0023%,$30.8k
39,Ethereum Name Service-ENS,$13.86,+3.99%,$87.8m,$26.8m,+16.18%,0.12%,0.31,+0.0032%,+0.0023%,$68.3k
40,Decentraland-MANA,$0.7738,-0.77%,$84.8m,$38.8m,-1.87%,0.17%,0.46,-0.0092%,-0.0018%,$108.5k
41,Gala-GALA,$0.0501,-0.16%,$84.6m,$35.3m,+4.11%,0.15%,0.42,+0.0009%,+0.0066%,$83.9k
42,Lido DAO Token-LDO,$2.02,-1.58%,$83.6m,$17.2m,-4.64%,0.07%,0.21,-0.0161%,-0.0158%,$279.0k
43,Tron-TRX,$0.0629,-0.37%,$82.6m,$138.1m,-3.78%,0.60%,1.67,-0.0174%,-0.0074%,$50.8k
44,Helium-HNT,$4.59,-5.67%,$76.6m,$16.0m,+11.91%,0.07%,0.21,-0.0284%,+0.0000%,$179.8k
45,Algorand-ALGO,$0.3004,+2.33%,$76.5m,$29.3m,+7.67%,0.13%,0.38,+0.0060%,+0.0085%,$52.6k
46,Waves-WAVES,$4.49,-0.76%,$73.5m,$52.5m,-0.87%,0.23%,0.71,-0.0008%,-0.0015%,$96.9k
47,Terra-LUNA,$1.85,-6.79%,$72.6m,$7.4m,-14.93%,0.03%,0.10,+0.0107%,+0.0140%,$278.2k
48,Balancer-BAL,$7.66,+1.46%,$71.7m,$22.9m,-8.24%,0.10%,0.32,-0.0130%,+0.0103%,$92.0k
49,Monero-XMR,$152.75,+0.82%,$70.2m,$42.9m,+0.16%,0.18%,0.61,-0.0497%,-0.0614%,$23.0k
50,THETA-THETA,$1.14,-1.89%,$69.7m,$22.0m,+0.58%,0.09%,0.32,-0.0143%,-0.0023%,$114.7k
51,Kyber Network Crystal-KNC,$1.76,+0.29%,$68.5m,$20.2m,-0.54%,0.09%,0.30,+0.0104%,+0.0074%,$59.9k
