,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,664.43",+6.64%,$31.4b,$7.3b,+4.68%,30.08%,0.23,-0.0066%,-0.0055%,$88.2m
1,Bitcoin-BTC,"$19,927.90",+1.27%,$25.7b,$9.9b,-1.67%,40.94%,0.39,+0.0038%,+0.0045%,$18.8m
2,Ethereum Classic-ETC,$40.27,+26.76%,$8.2b,$676.2m,+74.21%,2.79%,0.08,+0.0018%,+0.0041%,$21.0m
3,Solana-SOL,$33.04,+5.55%,$1.2b,$393.2m,+2.31%,1.62%,0.34,+0.0100%,+0.0106%,$2.0m
4,Cardano-ADA,$0.5006,+3.52%,$1.1b,$312.1m,-2.27%,1.29%,0.29,+0.0058%,+0.0107%,$1.6m
5,EOS-EOS,$1.54,+7.15%,$849.2m,$188.7m,+3.78%,0.78%,0.22,+0.0099%,+0.0091%,$1.9m
6,Ripple-XRP,$0.3357,+3.77%,$721.6m,$332.4m,+1.03%,1.37%,0.46,+0.0070%,+0.0044%,$1.2m
7,Binance Coin-BNB,$281.18,+2.71%,$703.4m,$265.5m,-1.55%,1.10%,0.38,+0.0065%,+0.0087%,$626.1k
8,Polygon-MATIC,$0.8955,+3.20%,$685.4m,$219.3m,-1.47%,0.90%,0.32,+0.0008%,-0.0033%,$1.0m
9,Ravencoin-RVN,$0.0372,+15.73%,$625.7m,$29.5m,+30.32%,0.12%,0.05,-0.0237%,+0.0359%,$1.5m
10,Litecoin-LTC,$59.82,+0.41%,$615.6m,$217.4m,-3.27%,0.90%,0.35,+0.0058%,+0.0103%,$1.0m
11,Avalanche-AVAX,$20.17,+8.71%,$609.7m,$147.5m,+0.54%,0.61%,0.24,+0.0135%,+0.0046%,$1.3m
12,Optimism-OP,$1.22,+9.37%,$536.2m,$68.5m,-3.76%,0.28%,0.13,+0.0119%,+0.0117%,$983.9k
13,Cosmos-ATOM,$12.48,-1.05%,$488.7m,$123.0m,-13.19%,0.51%,0.25,+0.0055%,+0.0013%,$721.7k
14,Polkadot-DOT,$7.65,+2.36%,$481.5m,$287.4m,-0.38%,1.19%,0.60,+0.0067%,-0.0011%,$484.2k
15,Dogecoin-DOGE,$0.0633,+2.80%,$398.5m,$127.9m,-1.00%,0.53%,0.32,+0.0109%,+0.0121%,$464.1k
16,Chiliz-CHZ,$0.2060,+0.58%,$397.6m,$97.9m,+0.47%,0.40%,0.25,+0.0140%,+0.0100%,$505.7k
17,Chainlink-LINK,$7.31,+2.38%,$387.4m,$115.3m,-7.08%,0.48%,0.30,+0.0059%,+0.0068%,$2.8m
18,Filecoin-FIL,$6.16,+3.24%,$383.3m,$110.1m,-3.45%,0.45%,0.29,+0.0040%,+0.0090%,$689.6k
19,Bitcoin Cash-BCH,$125.09,+6.34%,$337.9m,$188.8m,+10.04%,0.78%,0.56,+0.0000%,-0.0015%,$621.1k
20,NEAR Protocol-NEAR,$4.46,+7.99%,$314.9m,$101.2m,+14.11%,0.42%,0.32,+0.0087%,+0.0004%,$586.8k
21,Curve DAO Token-CRV,$1.16,+9.32%,$306.2m,$66.0m,+12.94%,0.27%,0.22,+0.0155%,+0.0066%,$562.2k
22,1000SHIB-1000SHIB,$0.0127,+2.86%,$295.8m,$44.9m,-6.12%,0.19%,0.15,+0.0097%,+0.0100%,$591.0k
23,Tellor-TRB,$17.06,-6.11%,$264.3m,$47.9m,-18.68%,0.20%,0.18,-0.2231%,-0.1573%,$536.6k
24,STEPN-GMT,$0.6959,+2.07%,$246.4m,$112.2m,+2.30%,0.46%,0.46,+0.0047%,+0.0102%,$358.7k
25,The Sandbox-SAND,$0.9632,+2.21%,$203.6m,$83.2m,-1.84%,0.34%,0.41,+0.0101%,+0.0056%,$404.3k
26,Axie Infinity-AXS,$14.53,+2.78%,$176.8m,$85.8m,+1.07%,0.35%,0.49,-0.0204%,-0.0086%,$159.7k
27,ApeCoin-APE,$4.76,+1.95%,$173.9m,$68.7m,+1.32%,0.28%,0.40,+0.0049%,+0.0097%,$157.0k
28,Ethereum Name Service-ENS,$14.81,+10.96%,$163.9m,$32.3m,+26.71%,0.13%,0.20,-0.0073%,-0.0066%,$428.6k
29,Helium-HNT,$3.74,-3.34%,$149.4m,$21.7m,+0.72%,0.09%,0.15,+0.0071%,+0.0061%,$294.0k
30,Fantom-FTM,$0.2697,+3.05%,$140.7m,$50.7m,-0.55%,0.21%,0.36,+0.0098%,+0.0074%,$138.8k
31,SushiSwap-SUSHI,$1.23,+8.84%,$136.3m,$35.3m,+19.22%,0.15%,0.26,+0.0127%,+0.0041%,$251.9k
32,Aave-AAVE,$92.76,+6.47%,$135.4m,$52.1m,+13.13%,0.22%,0.38,+0.0036%,+0.0052%,$240.3k
33,Uniswap-UNI,$6.53,+4.49%,$133.8m,$48.6m,+4.57%,0.20%,0.36,+0.0026%,-0.0090%,$175.7k
34,Stargate Finance-STG,$0.6385,+8.28%,$124.1m,$17.9m,+9.15%,0.07%,0.14,-0.0905%,-0.0806%,$233.8k
35,Terra-LUNA,$2.04,+10.45%,$121.7m,$8.5m,+16.65%,0.03%,0.07,+0.0038%,-0.0190%,$486.5k
36,Unifi Protocol DAO-UNFI,$7.82,+3.38%,$114.3m,$20.1m,-4.79%,0.08%,0.18,+0.0075%,+0.0073%,$101.7k
37,Tron-TRX,$0.0638,+1.80%,$110.8m,$144.1m,+2.01%,0.59%,1.30,+0.0027%,+0.0019%,$64.9k
38,Decentraland-MANA,$0.7996,+1.93%,$96.8m,$40.6m,-0.37%,0.17%,0.42,+0.0079%,+0.0059%,$175.8k
39,Waves-WAVES,$4.62,+3.29%,$85.8m,$52.5m,+2.22%,0.22%,0.61,+0.0124%,+0.0088%,$207.8k
