,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,559.30",-1.00%,$36.5b,$6.9b,-0.07%,30.06%,0.19,-0.0001%,-0.0039%,$78.3m
1,Bitcoin-BTC,"$19,919.54",-0.43%,$29.5b,$9.6b,-2.75%,41.68%,0.33,+0.0013%,-0.0009%,$29.0m
2,Ethereum Classic-ETC,$32.37,-0.85%,$1.5b,$376.6m,-3.89%,1.64%,0.25,+0.0009%,-0.0084%,$4.1m
3,Polygon-MATIC,$0.8690,-0.22%,$1.2b,$239.4m,+4.66%,1.04%,0.20,-0.0129%,-0.0061%,$2.8m
4,EOS-EOS,$1.49,+2.67%,$1.2b,$194.0m,+6.43%,0.84%,0.16,+0.0055%,-0.0056%,$2.6m
5,Solana-SOL,$31.06,-0.51%,$1.1b,$383.0m,-3.44%,1.67%,0.34,+0.0072%,-0.0026%,$2.3m
6,Litecoin-LTC,$61.23,+6.98%,$889.9m,$226.6m,+14.20%,0.99%,0.25,+0.0005%,+0.0010%,$2.6m
7,Optimism-OP,$1.23,+6.32%,$792.9m,$75.8m,+17.73%,0.33%,0.10,+0.0041%,+0.0024%,$1.3m
8,Chiliz-CHZ,$0.2171,+2.69%,$766.6m,$102.8m,+9.79%,0.45%,0.13,+0.0048%,+0.0133%,$1.2m
9,Cosmos-ATOM,$12.44,+1.59%,$693.3m,$131.6m,+1.89%,0.57%,0.19,-0.0041%,-0.0044%,$1.4m
10,Binance Coin-BNB,$274.69,-0.86%,$667.6m,$259.3m,-7.01%,1.13%,0.39,+0.0024%,-0.0052%,$368.9k
11,Tellor-TRB,$19.09,-10.82%,$602.1m,$69.1m,+1.85%,0.30%,0.11,-0.5877%,-0.9982%,$664.2k
12,Cardano-ADA,$0.4535,-0.46%,$568.3m,$267.3m,-2.94%,1.16%,0.47,+0.0139%,-0.0076%,$375.6k
13,Ripple-XRP,$0.3288,-0.67%,$552.8m,$318.9m,-1.82%,1.39%,0.58,+0.0087%,-0.0003%,$595.1k
14,Avalanche-AVAX,$18.86,-0.87%,$526.6m,$136.9m,-0.21%,0.60%,0.26,-0.0062%,-0.0369%,$1.1m
15,Polkadot-DOT,$7.33,+2.85%,$450.2m,$274.0m,+3.44%,1.19%,0.61,+0.0030%,+0.0082%,$895.1k
16,Chainlink-LINK,$6.86,+1.98%,$382.8m,$102.7m,+1.56%,0.45%,0.27,+0.0046%,+0.0071%,$870.6k
17,NEAR Protocol-NEAR,$4.15,-4.45%,$348.6m,$90.4m,-9.01%,0.39%,0.26,+0.0070%,+0.0031%,$844.6k
18,STEPN-GMT,$0.6699,-0.97%,$325.7m,$106.9m,-2.68%,0.46%,0.33,+0.0079%,-0.0130%,$901.1k
19,Dogecoin-DOGE,$0.0612,-1.46%,$325.6m,$121.5m,-1.40%,0.53%,0.37,+0.0086%,-0.0045%,$434.8k
20,Filecoin-FIL,$5.75,+0.61%,$283.7m,$100.1m,-1.15%,0.44%,0.35,+0.0074%,+0.0085%,$392.6k
21,Curve DAO Token-CRV,$1.10,-1.45%,$247.1m,$56.4m,-6.78%,0.25%,0.23,-0.0142%,-0.0218%,$593.4k
22,1inch-1INCH,$0.7040,+5.27%,$241.2m,$32.0m,+57.55%,0.14%,0.13,-0.0511%,+0.0042%,$475.1k
23,1000SHIB-1000SHIB,$0.0121,-0.32%,$237.1m,$38.4m,-2.40%,0.17%,0.16,+0.0030%,-0.0084%,$337.2k
24,Bitcoin Cash-BCH,$115.75,-0.61%,$218.9m,$164.6m,-2.12%,0.72%,0.75,-0.0084%,-0.0085%,$304.1k
25,yearn.finance-YFI,"$9,810.50",+7.58%,$215.3m,$45.9m,+25.92%,0.20%,0.21,+0.0088%,+0.0051%,$443.5k
26,Stargate Finance-STG,$0.6383,+0.95%,$212.2m,$17.1m,-11.39%,0.07%,0.08,-0.0928%,-0.1278%,$404.3k
27,ApeCoin-APE,$4.69,-0.88%,$210.2m,$66.6m,+0.91%,0.29%,0.32,-0.0016%,-0.0061%,$254.1k
28,Synthetix Network Token-SNX,$3.05,+2.32%,$182.7m,$38.8m,-0.35%,0.17%,0.21,-0.0118%,+0.0058%,$229.9k
