,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,585.88",+1.61%,$34.7b,$7.0b,+1.54%,29.91%,0.20,-0.0002%,+0.0087%,$76.4m
1,Bitcoin-BTC,"$20,079.33",-0.16%,$29.4b,$9.8b,+2.38%,42.06%,0.33,+0.0008%,+0.0029%,$26.7m
2,Ethereum Classic-ETC,$32.79,+0.58%,$1.5b,$393.3m,+1.16%,1.69%,0.27,-0.0138%,-0.0054%,$3.4m
3,Solana-SOL,$31.42,-1.38%,$1.1b,$392.3m,+1.71%,1.68%,0.34,+0.0081%,+0.0111%,$2.0m
4,Polygon-MATIC,$0.8823,+5.54%,$1.1b,$238.3m,+21.52%,1.02%,0.21,-0.0058%,-0.0061%,$3.0m
5,Tellor-TRB,$20.91,+8.78%,$1.0b,$67.5m,+2.67%,0.29%,0.07,-0.6723%,-1.2500%,$2.3m
6,EOS-EOS,$1.46,+5.42%,$1.0b,$182.7m,+6.57%,0.78%,0.18,+0.0032%,+0.0001%,$1.9m
7,Binance Coin-BNB,$277.40,-0.89%,$823.5m,$277.2m,+7.07%,1.19%,0.34,-0.0047%,-0.0035%,$662.5k
8,Cosmos-ATOM,$12.73,+6.81%,$715.5m,$132.7m,+10.97%,0.57%,0.19,+0.0037%,-0.0051%,$1.5m
9,Chiliz-CHZ,$0.2116,-2.55%,$689.4m,$93.0m,-13.36%,0.40%,0.13,+0.0065%,+0.0081%,$1.0m
10,Cardano-ADA,$0.4555,+0.87%,$649.8m,$274.4m,+0.51%,1.18%,0.42,-0.0010%,+0.0035%,$1.2m
11,Litecoin-LTC,$56.96,+5.41%,$644.0m,$198.2m,+12.59%,0.85%,0.31,+0.0043%,+0.0077%,$1.1m
12,Avalanche-AVAX,$19.25,+0.13%,$568.3m,$137.3m,+1.80%,0.59%,0.24,+0.0014%,-0.0053%,$1.1m
13,Ripple-XRP,$0.3320,+1.17%,$508.3m,$324.9m,+0.49%,1.40%,0.64,+0.0034%,+0.0003%,$821.8k
14,NEAR Protocol-NEAR,$4.33,-1.75%,$431.0m,$97.7m,-11.63%,0.42%,0.23,+0.0042%,+0.0049%,$602.9k
15,Optimism-OP,$1.17,+2.68%,$423.7m,$66.0m,+4.88%,0.28%,0.16,+0.0164%,+0.0098%,$781.8k
16,Dogecoin-DOGE,$0.0621,+0.42%,$387.2m,$121.8m,-0.15%,0.52%,0.31,+0.0089%,+0.0102%,$659.8k
17,Polkadot-DOT,$7.15,+1.34%,$315.3m,$265.3m,+1.75%,1.14%,0.84,-0.0037%,+0.0083%,$255.3k
18,Curve DAO Token-CRV,$1.15,-1.30%,$294.5m,$61.3m,-11.10%,0.26%,0.21,+0.0023%,+0.0057%,$767.3k
19,STEPN-GMT,$0.6816,+1.18%,$291.1m,$110.3m,+2.81%,0.47%,0.38,-0.0007%,+0.0052%,$679.3k
20,Chainlink-LINK,$6.88,+3.66%,$278.6m,$104.1m,+3.45%,0.45%,0.37,+0.0096%,+0.0074%,$447.5k
21,Balancer-BAL,$7.82,+8.64%,$256.9m,$27.9m,+79.63%,0.12%,0.11,-0.1117%,+0.0307%,$689.1k
22,Filecoin-FIL,$5.75,-0.30%,$239.8m,$101.2m,+2.19%,0.43%,0.42,-0.0053%,+0.0039%,$283.2k
23,Terra-LUNA,$1.98,+9.45%,$232.6m,$8.1m,+29.79%,0.03%,0.03,-0.0006%,+0.0136%,$1.4m
