,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,552.02",-2.25%,$34.6b,$6.9b,-2.10%,29.68%,0.20,-0.0022%,-0.0125%,$80.1m
1,Bitcoin-BTC,"$19,818.75",-1.25%,$27.0b,$9.8b,+1.65%,42.04%,0.36,+0.0037%,+0.0014%,$27.5m
2,Ethereum Classic-ETC,$32.30,-0.98%,$1.4b,$381.7m,+1.29%,1.63%,0.27,-0.0061%,-0.0104%,$3.8m
3,EOS-EOS,$1.53,+1.20%,$1.2b,$198.4m,-3.37%,0.85%,0.16,-0.0020%,-0.0063%,$2.7m
4,Litecoin-LTC,$60.28,+5.04%,$1.2b,$234.4m,+21.53%,1.00%,0.19,-0.0007%,+0.0002%,$2.9m
5,Solana-SOL,$31.07,-1.16%,$996.2m,$388.0m,-0.91%,1.66%,0.39,+0.0017%,+0.0062%,$1.6m
6,Polygon-MATIC,$0.8735,-2.13%,$972.2m,$236.6m,-10.07%,1.01%,0.24,+0.0034%,+0.0034%,$1.5m
7,Filecoin-FIL,$6.43,+11.11%,$914.0m,$141.7m,+41.44%,0.61%,0.15,+0.0061%,+0.0025%,$1.3m
8,Cardano-ADA,$0.4682,+2.73%,$834.9m,$285.2m,+6.04%,1.22%,0.34,+0.0186%,+0.0089%,$915.0k
9,Optimism-OP,$1.19,+2.28%,$819.9m,$71.7m,+12.77%,0.31%,0.09,+0.0116%,+0.0052%,$1.4m
10,Chiliz-CHZ,$0.2232,+0.64%,$740.5m,$106.3m,-6.08%,0.46%,0.14,+0.0060%,+0.0081%,$960.3k
11,Cosmos-ATOM,$12.24,-2.58%,$605.3m,$124.7m,-4.02%,0.53%,0.21,-0.0031%,-0.0144%,$1.1m
12,Binance Coin-BNB,$276.01,-0.73%,$583.1m,$260.8m,-2.86%,1.12%,0.45,+0.0010%,-0.0020%,$344.2k
13,Ripple-XRP,$0.3282,-0.57%,$523.9m,$318.7m,-0.47%,1.36%,0.61,+0.0008%,-0.0022%,$511.3k
14,Avalanche-AVAX,$18.88,-1.02%,$473.5m,$135.2m,+2.01%,0.58%,0.29,-0.0124%,+0.0013%,$1.0m
15,Polkadot-DOT,$7.25,+0.14%,$440.7m,$268.0m,-1.56%,1.15%,0.61,-0.0006%,+0.0062%,$845.5k
16,Tellor-TRB,$19.12,-1.14%,$399.3m,$70.4m,+4.89%,0.30%,0.18,-0.6777%,-0.6553%,$347.2k
17,Dogecoin-DOGE,$0.0618,+0.25%,$395.5m,$125.6m,+2.94%,0.54%,0.32,+0.0131%,+0.0072%,$738.8k
18,Chainlink-LINK,$6.83,-0.75%,$322.9m,$99.6m,-3.67%,0.43%,0.31,+0.0070%,+0.0107%,$757.2k
19,NEAR Protocol-NEAR,$4.17,-1.86%,$313.6m,$90.2m,-6.33%,0.39%,0.29,+0.0041%,+0.0068%,$710.3k
20,STEPN-GMT,$0.6725,-1.38%,$300.3m,$109.3m,-0.46%,0.47%,0.36,+0.0030%,+0.0011%,$721.4k
21,yearn.finance-YFI,"$9,522.44",+2.81%,$263.9m,$42.4m,+13.94%,0.18%,0.16,+0.0082%,+0.0033%,$641.9k
22,Curve DAO Token-CRV,$1.08,-5.31%,$233.0m,$56.9m,-5.85%,0.24%,0.24,-0.0008%,-0.0091%,$553.2k
23,Bitcoin Cash-BCH,$117.39,+0.84%,$220.8m,$167.9m,+1.75%,0.72%,0.76,-0.0097%,-0.0084%,$294.5k
24,1000SHIB-1000SHIB,$0.0122,-0.09%,$219.2m,$39.3m,+4.10%,0.17%,0.18,+0.0092%,+0.0100%,$341.1k
25,Axie Infinity-AXS,$14.81,+4.59%,$200.1m,$98.9m,+20.68%,0.42%,0.49,-0.0140%,-0.0246%,$469.9k
26,ApeCoin-APE,$4.73,-0.51%,$190.7m,$66.7m,+1.28%,0.29%,0.35,+0.0056%,+0.0076%,$168.3k
27,Aave-AAVE,$86.87,-0.04%,$185.8m,$46.1m,-0.20%,0.20%,0.25,-0.0073%,-0.0263%,$246.2k
28,Synthetix Network Token-SNX,$2.93,-0.74%,$184.1m,$34.8m,-9.93%,0.15%,0.19,+0.0005%,+0.0030%,$296.0k
29,1inch-1INCH,$0.6885,-5.11%,$180.7m,$26.7m,-19.51%,0.11%,0.15,-0.0252%,+0.0096%,$324.3k
30,The Sandbox-SAND,$0.9234,-1.83%,$162.7m,$76.6m,-1.27%,0.33%,0.47,-0.0006%,-0.0017%,$221.2k
31,Fantom-FTM,$0.2683,-1.10%,$133.6m,$47.8m,-0.34%,0.20%,0.36,+0.0086%,+0.0086%,$158.1k
32,Unifi Protocol DAO-UNFI,$7.79,+3.46%,$133.3m,$22.2m,+12.49%,0.09%,0.17,+0.0100%,+0.0100%,$141.4k
33,Uniswap-UNI,$6.35,+0.42%,$129.7m,$47.4m,-3.46%,0.20%,0.37,-0.0015%,+0.0062%,$322.1k
34,FOOTBALL-FOOTBALL,"$1,178.05",-1.67%,$123.6m,$9.7m,+1.96%,0.04%,0.08,+0.1933%,-0.0975%,$280.5k
35,SushiSwap-SUSHI,$1.13,+6.08%,$104.7m,$29.5m,+8.18%,0.13%,0.28,+0.0064%,+0.0033%,$103.1k
36,Stargate Finance-STG,$0.6485,-2.72%,$101.7m,$16.8m,-19.47%,0.07%,0.17,-0.0259%,-0.0171%,$210.1k
37,Ethereum Name Service-ENS,$13.82,+3.34%,$96.8m,$27.4m,+18.21%,0.12%,0.28,+0.0025%,+0.0047%,$73.8k
38,Gala-GALA,$0.0501,+0.38%,$88.9m,$35.6m,+4.00%,0.15%,0.40,+0.0073%,+0.0082%,$67.5k
39,Decentraland-MANA,$0.7725,-0.63%,$88.1m,$38.7m,-2.32%,0.17%,0.44,+0.0005%,-0.0062%,$127.0k
40,dYdX-DYDX,$1.54,+0.42%,$86.3m,$37.0m,+0.51%,0.16%,0.43,-0.0037%,-0.0135%,$33.5k
41,Celsius-CEL,$1.42,-4.04%,$82.7m,$25.9m,-9.00%,0.11%,0.31,-0.0234%,-0.0286%,$616.8k
42,Helium-HNT,$4.58,-5.49%,$80.5m,$16.1m,+14.98%,0.07%,0.20,-0.0016%,-0.0040%,$158.5k
43,Tron-TRX,$0.0628,-0.22%,$78.7m,$138.5m,+1.56%,0.59%,1.76,-0.0076%,-0.0117%,$50.8k
44,Algorand-ALGO,$0.3027,+1.73%,$77.3m,$29.8m,+6.09%,0.13%,0.39,+0.0095%,+0.0058%,$51.4k
45,Waves-WAVES,$4.48,-0.48%,$76.7m,$52.8m,+0.35%,0.23%,0.69,+0.0004%,+0.0053%,$112.4k
46,Lido DAO Token-LDO,$2.02,-4.68%,$76.5m,$17.2m,-10.82%,0.07%,0.22,-0.0014%,-0.0030%,$225.2k
47,Flow (Dapper labs)-FLOW,$1.93,-3.63%,$71.9m,$27.1m,-6.34%,0.12%,0.38,+0.0003%,-0.0036%,$124.0k
48,THETA-THETA,$1.14,-1.18%,$70.9m,$21.9m,-0.09%,0.09%,0.31,-0.0015%,-0.0014%,$105.0k
49,ZCash-ZEC,$61.03,+3.11%,$68.9m,$21.9m,-2.66%,0.09%,0.32,-0.0008%,+0.0078%,$191.0k
50,Kyber Network Crystal-KNC,$1.76,-1.26%,$67.8m,$19.8m,-6.14%,0.08%,0.29,+0.0067%,+0.0093%,$74.8k
51,ConstitutionDAO-PEOPLE,$0.0204,+0.74%,$67.3m,$25.9m,+1.21%,0.11%,0.39,+0.0008%,+0.0034%,$141.5k
52,Monero-XMR,$152.71,+0.93%,$66.5m,$43.5m,+2.49%,0.19%,0.65,-0.0644%,-0.0903%,$25.4k
53,Balancer-BAL,$7.50,+0.18%,$64.7m,$21.8m,-7.11%,0.09%,0.34,+0.0093%,-0.0010%,$84.8k
54,SHIBA INU-SHIB,$0.0000,+0.02%,$62.8m,$19.9m,+1.43%,0.09%,0.32,+0.0078%,+0.0067%,$127.5k
