,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,581.89",+1.22%,$35.0b,$7.0b,+2.10%,30.26%,0.20,-0.0027%,+0.0024%,$72.4m
1,Bitcoin-BTC,"$19,979.30",+0.68%,$29.8b,$9.6b,-2.45%,41.49%,0.32,+0.0004%,-0.0057%,$28.8m
2,Ethereum Classic-ETC,$32.52,+1.29%,$1.5b,$378.6m,-1.37%,1.63%,0.25,+0.0020%,-0.0042%,$4.0m
3,Polygon-MATIC,$0.8736,+1.25%,$1.3b,$245.4m,+9.23%,1.06%,0.20,-0.0162%,-0.0146%,$3.0m
4,EOS-EOS,$1.52,+5.00%,$1.2b,$199.1m,+8.95%,0.86%,0.17,+0.0061%,-0.0039%,$2.5m
5,Solana-SOL,$31.20,+0.86%,$1.1b,$383.8m,-1.88%,1.66%,0.35,+0.0102%,+0.0018%,$2.3m
6,Litecoin-LTC,$60.92,+6.88%,$856.0m,$222.5m,+15.03%,0.96%,0.26,+0.0022%,+0.0056%,$2.6m
7,Tellor-TRB,$19.20,+1.26%,$771.8m,$66.8m,+5.83%,0.29%,0.09,-0.4960%,-0.7278%,$1.4m
8,Optimism-OP,$1.25,+10.76%,$766.0m,$78.8m,+25.42%,0.34%,0.10,+0.0039%,+0.0033%,$1.4m
9,Chiliz-CHZ,$0.2139,+3.41%,$759.7m,$101.3m,+9.38%,0.44%,0.13,+0.0048%,+0.0145%,$1.2m
10,Cosmos-ATOM,$12.65,+6.15%,$700.6m,$136.0m,+8.54%,0.59%,0.19,-0.0049%,-0.0064%,$1.5m
11,Binance Coin-BNB,$277.20,+0.86%,$663.9m,$262.4m,-5.23%,1.13%,0.40,+0.0053%,+0.0003%,$348.6k
12,Ripple-XRP,$0.3277,+0.27%,$566.2m,$317.7m,-1.18%,1.37%,0.56,+0.0109%,+0.0065%,$914.4k
13,Cardano-ADA,$0.4537,-0.01%,$545.2m,$268.0m,-2.14%,1.16%,0.49,+0.0103%,+0.0045%,$326.3k
14,Avalanche-AVAX,$18.96,+1.06%,$531.7m,$137.4m,+1.94%,0.59%,0.26,-0.0025%,-0.0188%,$1.1m
15,Polkadot-DOT,$7.37,+4.92%,$442.0m,$276.5m,+5.70%,1.19%,0.63,+0.0061%,+0.0018%,$903.1k
16,Chainlink-LINK,$6.98,+5.04%,$371.6m,$105.9m,+7.08%,0.46%,0.28,+0.0055%,+0.0082%,$736.0k
17,NEAR Protocol-NEAR,$4.17,-2.96%,$344.3m,$91.9m,-7.38%,0.40%,0.27,+0.0070%,+0.0037%,$779.4k
18,Dogecoin-DOGE,$0.0615,-0.56%,$322.0m,$122.1m,-0.61%,0.53%,0.38,+0.0097%,+0.0026%,$409.7k
19,STEPN-GMT,$0.6747,+0.79%,$319.8m,$107.4m,+1.19%,0.46%,0.34,+0.0093%,+0.0018%,$907.7k
20,Filecoin-FIL,$5.77,+1.58%,$274.8m,$100.2m,-0.04%,0.43%,0.36,+0.0075%,+0.0110%,$262.7k
21,Curve DAO Token-CRV,$1.11,+0.70%,$244.8m,$57.3m,-3.30%,0.25%,0.23,-0.0099%,-0.0063%,$581.0k
22,1000SHIB-1000SHIB,$0.0122,+0.80%,$231.7m,$38.5m,-2.41%,0.17%,0.17,+0.0030%,-0.0022%,$363.7k
23,1inch-1INCH,$0.7112,+7.65%,$231.3m,$33.1m,+64.91%,0.14%,0.14,-0.0555%,-0.0047%,$460.5k
24,Bitcoin Cash-BCH,$115.69,+0.09%,$214.4m,$164.4m,-1.47%,0.71%,0.77,-0.0047%,-0.0119%,$345.9k
25,ApeCoin-APE,$4.71,+0.25%,$209.4m,$66.9m,+2.50%,0.29%,0.32,+0.0023%,-0.0095%,$219.9k
26,Stargate Finance-STG,$0.6501,+2.72%,$209.4m,$18.5m,-3.39%,0.08%,0.09,-0.0876%,-0.1066%,$330.7k
27,yearn.finance-YFI,"$10,229.14",+13.39%,$180.0m,$48.6m,+35.38%,0.21%,0.27,+0.0090%,+0.0072%,$360.4k
