,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,642.65",+4.38%,$28.2b,$7.2b,+2.98%,29.79%,0.25,-0.0054%,-0.0014%,$79.0m
1,Bitcoin-BTC,"$19,798.08",-0.24%,$24.3b,$10.0b,+1.02%,41.39%,0.41,+0.0014%,+0.0031%,$21.3m
2,Ethereum Classic-ETC,$40.41,+24.61%,$6.8b,$659.6m,+71.37%,2.74%,0.10,-0.0033%,-0.0008%,$18.9m
3,Solana-SOL,$32.76,+2.32%,$1.1b,$388.4m,-3.95%,1.61%,0.34,+0.0087%,+0.0106%,$2.4m
4,Cardano-ADA,$0.4986,+0.19%,$1.1b,$308.2m,-10.55%,1.28%,0.29,+0.0025%,+0.0025%,$1.8m
5,EOS-EOS,$1.54,+4.27%,$835.5m,$191.2m,+2.50%,0.79%,0.23,+0.0079%,+0.0076%,$2.3m
6,Ripple-XRP,$0.3338,+1.12%,$727.3m,$330.6m,+2.43%,1.37%,0.45,+0.0004%,+0.0047%,$1.5m
7,Binance Coin-BNB,$280.37,+0.72%,$725.7m,$262.9m,-0.06%,1.09%,0.36,+0.0049%,+0.0092%,$765.2k
8,Polygon-MATIC,$0.8860,-0.70%,$709.9m,$218.3m,-6.73%,0.91%,0.31,-0.0006%,-0.0018%,$1.2m
9,Ravencoin-RVN,$0.0371,+12.47%,$637.9m,$30.2m,+28.32%,0.13%,0.05,+0.0211%,-0.0422%,$1.6m
10,Litecoin-LTC,$60.34,-0.16%,$630.2m,$218.2m,-4.11%,0.91%,0.35,+0.0015%,+0.0077%,$1.1m
11,Avalanche-AVAX,$19.97,+5.12%,$569.5m,$143.1m,-3.89%,0.59%,0.25,-0.0020%,+0.0192%,$1.5m
12,Polkadot-DOT,$7.54,-0.48%,$516.3m,$280.3m,-3.24%,1.16%,0.54,-0.0030%,+0.0101%,$484.7k
13,Cosmos-ATOM,$12.44,-2.76%,$504.7m,$123.1m,-17.26%,0.51%,0.24,-0.0077%,+0.0038%,$858.7k
14,Optimism-OP,$1.21,+4.41%,$501.7m,$68.0m,-2.84%,0.28%,0.14,+0.0056%,+0.0041%,$1.2m
15,Chainlink-LINK,$7.29,+0.96%,$472.1m,$116.5m,-3.20%,0.48%,0.25,+0.0076%,+0.0059%,$2.9m
16,Filecoin-FIL,$6.15,-0.93%,$451.0m,$110.7m,-8.46%,0.46%,0.25,+0.0098%,+0.0029%,$1.1m
17,Dogecoin-DOGE,$0.0633,+0.58%,$429.5m,$127.7m,-0.64%,0.53%,0.30,+0.0107%,+0.0045%,$868.6k
18,Chiliz-CHZ,$0.2064,-1.51%,$410.6m,$98.6m,+0.11%,0.41%,0.24,+0.0056%,+0.0118%,$665.4k
19,The Sandbox-SAND,$0.9584,-1.91%,$368.4m,$83.5m,-8.08%,0.35%,0.23,+0.0060%,+0.0110%,$776.3k
20,1000SHIB-1000SHIB,$0.0126,-0.69%,$347.2m,$44.0m,-16.97%,0.18%,0.13,+0.0083%,+0.0049%,$854.8k
21,Bitcoin Cash-BCH,$125.94,+6.31%,$334.9m,$192.7m,+11.43%,0.80%,0.58,-0.0067%,+0.0018%,$586.6k
22,STEPN-GMT,$0.6917,-1.31%,$269.9m,$111.0m,-4.35%,0.46%,0.41,+0.0052%,-0.0031%,$519.3k
23,NEAR Protocol-NEAR,$4.32,+1.84%,$269.5m,$90.1m,-0.45%,0.37%,0.33,+0.0008%,+0.0111%,$578.3k
24,Tellor-TRB,$16.97,-8.82%,$249.7m,$49.4m,-17.63%,0.21%,0.20,-0.0711%,-0.1502%,$603.3k
25,Curve DAO Token-CRV,$1.17,+8.44%,$249.1m,$66.6m,+14.96%,0.28%,0.27,-0.0049%,+0.0152%,$492.6k
26,Axie Infinity-AXS,$14.37,-1.58%,$212.3m,$84.9m,-5.55%,0.35%,0.40,-0.0198%,-0.0368%,$733.8k
27,ApeCoin-APE,$4.74,-0.19%,$182.9m,$67.9m,-0.28%,0.28%,0.37,+0.0016%,+0.0037%,$278.3k
28,Fantom-FTM,$0.2669,-1.32%,$164.8m,$51.0m,+1.48%,0.21%,0.31,+0.0048%,+0.0106%,$311.6k
29,Helium-HNT,$3.84,-6.29%,$156.4m,$20.9m,+0.02%,0.09%,0.13,+0.0046%,+0.0076%,$376.6k
30,Uniswap-UNI,$6.57,+2.37%,$140.0m,$49.5m,+3.82%,0.21%,0.35,+0.0058%,+0.0066%,$210.6k
31,Ethereum Name Service-ENS,$14.39,+6.05%,$138.9m,$28.7m,+7.36%,0.12%,0.21,+0.0031%,+0.0005%,$328.7k
32,SushiSwap-SUSHI,$1.23,+7.05%,$133.9m,$35.4m,+15.03%,0.15%,0.26,-0.0188%,+0.0073%,$252.9k
33,Unifi Protocol DAO-UNFI,$7.72,-2.42%,$128.9m,$20.4m,-1.81%,0.08%,0.16,+0.0061%,+0.0071%,$238.6k
34,Aave-AAVE,$91.64,+3.18%,$127.7m,$49.6m,+5.78%,0.21%,0.39,-0.0181%,+0.0009%,$223.7k
35,Decentraland-MANA,$0.7963,-1.08%,$111.9m,$40.3m,-4.71%,0.17%,0.36,+0.0082%,+0.0080%,$244.7k
36,Stargate Finance-STG,$0.6034,-2.49%,$107.6m,$16.4m,+5.15%,0.07%,0.15,-0.1244%,-0.1478%,$205.6k
