,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,575.36",-1.44%,$45.2b,$6.8b,-4.74%,29.48%,0.15,-0.0069%,-0.0075%,$124.0m
1,Bitcoin-BTC,"$18,924.33",-4.26%,$40.8b,$9.8b,-2.27%,42.84%,0.24,+0.0025%,-0.0056%,$90.3m
2,Ethereum Classic-ETC,$36.40,-0.82%,$9.6b,$549.8m,-7.11%,2.40%,0.06,+0.0026%,-0.0065%,$40.3m
3,Solana-SOL,$31.19,-2.49%,$2.1b,$372.4m,-4.83%,1.62%,0.18,+0.0066%,-0.0061%,$3.9m
4,Cardano-ADA,$0.4654,-6.01%,$1.4b,$280.5m,-10.39%,1.22%,0.21,+0.0043%,-0.0035%,$3.5m
5,Binance Coin-BNB,$264.90,-3.66%,$1.1b,$269.9m,-0.20%,1.18%,0.25,+0.0005%,-0.0253%,$1.5m
6,Polygon-MATIC,$0.8259,-5.57%,$998.6m,$194.4m,-11.42%,0.85%,0.19,-0.0013%,-0.0020%,$2.1m
7,Ripple-XRP,$0.3225,-2.46%,$962.1m,$320.1m,-2.34%,1.40%,0.33,+0.0028%,-0.0031%,$2.3m
8,Avalanche-AVAX,$18.47,-1.81%,$946.0m,$130.1m,-10.28%,0.57%,0.14,-0.0046%,-0.0135%,$2.4m
9,EOS-EOS,$1.40,-8.82%,$902.9m,$166.3m,-15.47%,0.72%,0.18,+0.0078%,-0.0051%,$3.0m
10,Litecoin-LTC,$55.06,-8.59%,$865.0m,$190.0m,-14.56%,0.83%,0.22,+0.0070%,-0.0015%,$3.1m
11,Optimism-OP,$1.11,-5.51%,$702.7m,$56.9m,-20.84%,0.25%,0.08,+0.0072%,+0.0076%,$1.9m
12,Cosmos-ATOM,$12.01,-4.90%,$692.1m,$113.3m,-17.43%,0.49%,0.16,-0.0024%,-0.0007%,$1.6m
13,NEAR Protocol-NEAR,$4.04,-3.01%,$665.1m,$88.1m,-1.28%,0.38%,0.13,+0.0045%,-0.0011%,$1.7m
14,Ravencoin-RVN,$0.0376,+2.69%,$635.3m,$28.4m,-11.44%,0.12%,0.04,+0.0187%,-0.0243%,$1.8m
15,Polkadot-DOT,$6.92,-5.41%,$633.3m,$258.5m,-6.44%,1.13%,0.41,-0.0081%,-0.0234%,$1.9m
16,Dogecoin-DOGE,$0.0592,-4.79%,$620.5m,$121.7m,-5.32%,0.53%,0.20,+0.0074%,+0.0010%,$2.5m
17,Chiliz-CHZ,$0.1874,-7.78%,$579.4m,$79.2m,-21.07%,0.35%,0.14,+0.0019%,+0.0022%,$2.0m
18,Filecoin-FIL,$5.64,-6.90%,$574.8m,$98.3m,-13.29%,0.43%,0.17,+0.0095%,+0.0004%,$3.0m
19,Curve DAO Token-CRV,$1.04,-5.43%,$477.9m,$54.7m,-6.05%,0.24%,0.11,+0.0046%,+0.0039%,$1.3m
20,Chainlink-LINK,$6.71,-7.81%,$443.6m,$99.6m,-19.68%,0.43%,0.22,+0.0060%,+0.0042%,$4.0m
21,STEPN-GMT,$0.6376,-6.95%,$394.9m,$103.4m,-6.28%,0.45%,0.26,+0.0029%,-0.0076%,$1.1m
22,1000SHIB-1000SHIB,$0.0119,-4.25%,$390.2m,$40.1m,-12.33%,0.17%,0.10,-0.0084%,-0.0154%,$1.2m
23,Bitcoin Cash-BCH,$113.22,-8.62%,$363.5m,$164.5m,-14.48%,0.72%,0.45,-0.0016%,-0.0154%,$996.7k
24,Tellor-TRB,$15.86,-12.75%,$345.9m,$43.1m,-29.40%,0.19%,0.12,-0.1560%,-0.2658%,$1.0m
25,The Sandbox-SAND,$0.8869,-6.87%,$319.5m,$72.6m,-12.92%,0.32%,0.23,+0.0050%,-0.0053%,$1.3m
26,ApeCoin-APE,$4.37,-7.56%,$289.8m,$62.8m,-7.46%,0.27%,0.22,+0.0060%,-0.0069%,$801.4k
27,Axie Infinity-AXS,$13.53,-5.67%,$238.6m,$77.9m,-7.29%,0.34%,0.33,-0.0268%,-0.0553%,$960.7k
28,Ethereum Name Service-ENS,$14.33,+1.60%,$224.7m,$30.0m,-4.12%,0.13%,0.13,+0.0031%,+0.0098%,$638.4k
