,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,864.66",+0.76%,$19.2b,$10.0b,-1.17%,41.48%,0.52,+0.0019%,+0.0032%,$10.0m
1,Ethereum-ETH,"$1,600.16",+2.95%,$18.6b,$7.2b,+2.87%,29.77%,0.39,-0.0041%,-0.0028%,$31.9m
2,Ethereum Classic-ETC,$36.36,+13.11%,$2.4b,$568.1m,+47.58%,2.35%,0.23,-0.0106%,-0.0093%,$5.5m
3,Cardano-ADA,$0.4925,-1.37%,$959.0m,$316.3m,-11.62%,1.31%,0.33,+0.0060%,+0.0060%,$1.3m
4,Solana-SOL,$31.82,+0.48%,$761.3m,$389.7m,-0.61%,1.61%,0.51,+0.0098%,+0.0070%,$1.3m
5,Ravencoin-RVN,$0.0348,+15.85%,$590.8m,$28.0m,+164.91%,0.12%,0.05,-0.0051%,-0.2278%,$1.3m
6,Litecoin-LTC,$60.34,+2.50%,$549.4m,$224.3m,+1.63%,0.93%,0.41,+0.0082%,+0.0086%,$900.2k
7,Polygon-MATIC,$0.8777,-0.06%,$542.4m,$223.9m,-3.67%,0.93%,0.41,+0.0016%,+0.0014%,$562.4k
8,Cosmos-ATOM,$12.80,+0.03%,$502.2m,$142.4m,-4.44%,0.59%,0.28,-0.0116%,+0.0033%,$954.8k
9,EOS-EOS,$1.47,-0.33%,$499.7m,$184.3m,-1.71%,0.76%,0.37,+0.0059%,+0.0078%,$906.7k
10,Binance Coin-BNB,$277.07,-0.05%,$494.6m,$269.9m,+3.25%,1.12%,0.55,-0.0049%,-0.0030%,$261.3k
11,Chainlink-LINK,$7.34,+2.73%,$440.1m,$129.1m,+6.97%,0.53%,0.29,+0.0074%,+0.0088%,$435.9k
12,Polkadot-DOT,$7.54,+4.45%,$431.3m,$291.2m,+9.69%,1.20%,0.68,+0.0029%,+0.0060%,$477.1k
13,Ripple-XRP,$0.3284,-0.38%,$423.5m,$330.3m,+3.80%,1.36%,0.78,+0.0057%,+0.0065%,$425.8k
14,The Sandbox-SAND,$0.9518,-1.40%,$401.5m,$85.2m,-4.43%,0.35%,0.21,+0.0072%,+0.0088%,$592.6k
15,Avalanche-AVAX,$18.79,-0.74%,$377.3m,$145.9m,+5.06%,0.60%,0.39,-0.0014%,-0.0041%,$329.7k
16,Filecoin-FIL,$6.06,-2.16%,$370.6m,$114.2m,-8.38%,0.47%,0.31,+0.0116%,+0.0106%,$637.8k
17,Chiliz-CHZ,$0.2074,-1.87%,$332.6m,$100.1m,-0.41%,0.41%,0.30,+0.0021%,+0.0132%,$537.9k
18,1000SHIB-1000SHIB,$0.0125,-1.64%,$332.5m,$47.8m,-16.39%,0.20%,0.14,+0.0100%,-0.0035%,$487.7k
19,Dogecoin-DOGE,$0.0624,-1.04%,$292.6m,$129.4m,+0.67%,0.53%,0.44,+0.0086%,+0.0112%,$516.5k
20,Optimism-OP,$1.16,+0.46%,$288.5m,$74.3m,+7.68%,0.31%,0.26,+0.0027%,+0.0069%,$525.3k
21,STEPN-GMT,$0.6887,-0.11%,$265.2m,$111.5m,-2.51%,0.46%,0.42,-0.0024%,+0.0028%,$257.0k
22,Bitcoin Cash-BCH,$123.21,+5.55%,$234.8m,$189.6m,+12.20%,0.78%,0.81,-0.0036%,-0.0028%,$314.8k
23,NEAR Protocol-NEAR,$4.18,+0.54%,$206.8m,$90.3m,+0.16%,0.37%,0.44,+0.0032%,+0.0040%,$328.2k
24,Axie Infinity-AXS,$14.16,-1.95%,$192.8m,$85.9m,-6.19%,0.35%,0.45,-0.0173%,-0.0055%,$663.9k
25,Tellor-TRB,$18.32,-0.62%,$182.5m,$60.0m,-9.43%,0.25%,0.33,-0.1972%,-0.1253%,$221.2k
26,Unifi Protocol DAO-UNFI,$7.69,-2.80%,$153.7m,$23.0m,+7.19%,0.10%,0.15,+0.0098%,+0.0042%,$284.4k
27,ApeCoin-APE,$4.71,-0.86%,$151.7m,$68.2m,-0.94%,0.28%,0.45,+0.0028%,-0.0011%,$193.5k
28,Curve DAO Token-CRV,$1.10,+1.27%,$144.7m,$60.1m,+0.70%,0.25%,0.41,+0.0020%,+0.0111%,$90.2k
29,Helium-HNT,$3.93,-6.96%,$144.0m,$22.3m,+5.92%,0.09%,0.15,+0.0068%,+0.0022%,$334.4k
30,Fantom-FTM,$0.2637,-2.59%,$138.6m,$52.7m,+6.40%,0.22%,0.38,+0.0082%,+0.0051%,$228.8k
31,Decentraland-MANA,$0.7935,-1.97%,$101.4m,$41.2m,-8.19%,0.17%,0.41,+0.0036%,+0.0071%,$88.3k
32,Uniswap-UNI,$6.36,-1.05%,$95.4m,$47.6m,-0.09%,0.20%,0.50,-0.0117%,+0.0107%,$83.2k
33,Tron-TRX,$0.0629,-0.21%,$91.0m,$141.6m,-0.79%,0.59%,1.56,-0.0101%,-0.0037%,$10.7k
34,Waves-WAVES,$4.54,-0.48%,$87.4m,$53.3m,+1.67%,0.22%,0.61,+0.0039%,+0.0083%,$97.3k
35,Aave-AAVE,$89.22,+1.10%,$84.6m,$47.1m,+1.28%,0.19%,0.56,+0.0055%,+0.0071%,$17.9k
36,Monero-XMR,$157.29,+1.57%,$82.7m,$50.7m,+6.38%,0.21%,0.61,+0.0000%,+0.0070%,$24.7k
37,Ethereum Name Service-ENS,$14.11,+3.22%,$80.1m,$29.1m,+4.31%,0.12%,0.36,+0.0064%,+0.0054%,$76.7k
38,Stargate Finance-STG,$0.6054,-2.52%,$78.6m,$18.6m,+18.17%,0.08%,0.24,-0.1615%,-0.1812%,$149.7k
39,Gala-GALA,$0.0505,-1.36%,$78.4m,$35.4m,-2.75%,0.15%,0.45,+0.0084%,+0.0045%,$88.2k
40,SHIBA INU-SHIB,$0.0000,-1.57%,$71.9m,$21.5m,-3.21%,0.09%,0.30,+0.0063%,+0.0094%,$300.9k
41,CertiK-CTK,$1.04,+3.00%,$66.0m,$12.3m,+8.96%,0.05%,0.19,-0.0051%,-0.0135%,$96.4k
42,THETA-THETA,$1.17,+1.51%,$65.1m,$23.8m,+6.94%,0.10%,0.37,-0.0073%,+0.0119%,$26.1k
43,SushiSwap-SUSHI,$1.17,+3.75%,$64.8m,$31.1m,+5.98%,0.13%,0.48,-0.0243%,+0.0090%,$50.5k
44,yearn.finance-YFI,"$9,529.87",+1.19%,$61.6m,$39.1m,-0.59%,0.16%,0.63,+0.0098%,+0.0028%,$83.8k
45,Serum-SRM,$0.7940,-0.83%,$61.3m,$25.3m,-3.34%,0.10%,0.41,-0.0116%,-0.0004%,$62.3k
46,Terra-LUNA,$1.92,+6.58%,$59.5m,$8.2m,+15.75%,0.03%,0.14,+0.0120%,+0.0009%,$120.0k
47,ConstitutionDAO-PEOPLE,$0.0211,-0.04%,$58.9m,$26.0m,-7.00%,0.11%,0.44,-0.0052%,+0.0100%,$89.2k
48,Synthetix Network Token-SNX,$3.04,+2.37%,$58.2m,$36.6m,+2.29%,0.15%,0.63,-0.0176%,-0.0035%,$9.6k
49,Ankr-ANKR,$0.0347,+0.24%,$54.0m,$15.6m,+5.67%,0.06%,0.29,-0.0384%,-0.0394%,$112.2k
50,Algorand-ALGO,$0.3027,-1.79%,$53.8m,$30.0m,-5.58%,0.12%,0.56,-0.0063%,+0.0076%,$91.1k
51,dYdX-DYDX,$1.56,-0.62%,$52.9m,$38.1m,-0.25%,0.16%,0.72,+0.0012%,+0.0045%,$102.8k
