,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,720.90",-0.48%,$14.3b,$10.2b,+2.86%,42.50%,0.71,+0.0001%,+0.0024%,$7.7m
1,Ethereum-ETH,"$1,552.20",+0.00%,$13.5b,$7.0b,+1.18%,29.27%,0.52,-0.0033%,-0.0031%,$18.3m
2,Cardano-ADA,$0.4976,+4.29%,$1.5b,$357.6m,+18.86%,1.50%,0.24,-0.0314%,-0.0225%,$2.4m
3,Ethereum Classic-ETC,$32.09,-0.92%,$708.4m,$384.4m,+0.71%,1.61%,0.54,-0.0047%,-0.0129%,$1.1m
4,Filecoin-FIL,$6.19,-4.49%,$707.6m,$125.0m,-17.47%,0.52%,0.18,-0.0062%,-0.0012%,$1.2m
5,Solana-SOL,$31.61,+1.57%,$585.2m,$391.5m,+0.73%,1.64%,0.67,+0.0108%,+0.0089%,$938.6k
6,Cosmos-ATOM,$12.76,+4.40%,$523.7m,$147.6m,+18.57%,0.62%,0.28,-0.0064%,-0.0063%,$808.9k
7,1000SHIB-1000SHIB,$0.0127,+3.60%,$523.4m,$58.1m,+43.76%,0.24%,0.11,+0.0100%,+0.0100%,$838.9k
8,Litecoin-LTC,$58.77,-2.79%,$506.0m,$220.6m,-6.03%,0.92%,0.44,+0.0116%,+0.0029%,$711.8k
9,EOS-EOS,$1.48,-2.99%,$481.4m,$187.4m,-5.01%,0.78%,0.39,+0.0035%,+0.0051%,$620.4k
10,Polygon-MATIC,$0.8772,+0.05%,$438.4m,$232.9m,-1.52%,0.97%,0.53,-0.0029%,+0.0036%,$295.5k
11,Chiliz-CHZ,$0.2113,-3.23%,$354.9m,$99.7m,+1.01%,0.42%,0.28,+0.0092%,+0.0054%,$481.0k
12,Binance Coin-BNB,$277.11,+0.10%,$354.6m,$260.7m,+0.14%,1.09%,0.74,+0.0047%,+0.0016%,$87.5k
13,Axie Infinity-AXS,$14.49,-3.19%,$350.6m,$92.5m,-23.50%,0.39%,0.26,-0.0005%,-0.0159%,$608.9k
14,Dogecoin-DOGE,$0.0629,+0.37%,$335.2m,$128.5m,-0.29%,0.54%,0.38,+0.0119%,+0.0055%,$539.6k
15,Optimism-OP,$1.15,-2.93%,$328.2m,$68.4m,-4.29%,0.29%,0.21,+0.0045%,+0.0017%,$324.3k
