,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,866.95",+0.52%,$15.4b,$9.9b,-0.41%,41.81%,0.64,-0.0014%,+0.0009%,$6.8m
1,Ethereum-ETH,"$1,572.25",+1.14%,$13.8b,$7.0b,+1.03%,29.40%,0.50,-0.0022%,+0.0007%,$19.5m
2,Cardano-ADA,$0.4990,+3.24%,$1.4b,$349.3m,+9.94%,1.48%,0.26,-0.0131%,-0.0129%,$1.9m
3,Ethereum Classic-ETC,$32.42,+0.27%,$732.7m,$384.7m,+0.80%,1.63%,0.53,-0.0151%,-0.0118%,$1.3m
4,Solana-SOL,$32.01,+3.09%,$621.8m,$401.4m,+3.54%,1.70%,0.65,+0.0098%,+0.0137%,$1.1m
5,1000SHIB-1000SHIB,$0.0128,+4.22%,$587.9m,$55.3m,+39.97%,0.23%,0.09,+0.0100%,+0.0074%,$796.5k
6,Filecoin-FIL,$6.25,-3.40%,$514.9m,$123.2m,-18.79%,0.52%,0.24,-0.0009%,-0.0006%,$942.5k
7,Cosmos-ATOM,$12.88,+2.83%,$475.1m,$152.0m,+15.07%,0.64%,0.32,-0.0065%,-0.0104%,$615.6k
8,Litecoin-LTC,$59.88,-2.04%,$474.3m,$224.5m,-5.09%,0.95%,0.47,+0.0040%,+0.0124%,$636.5k
9,EOS-EOS,$1.49,-1.58%,$448.7m,$189.3m,-2.49%,0.80%,0.42,+0.0068%,+0.0046%,$562.4k
10,Polygon-MATIC,$0.8922,+1.14%,$441.4m,$234.8m,-0.60%,0.99%,0.53,+0.0003%,-0.0016%,$354.3k
11,Binance Coin-BNB,$278.00,+0.23%,$361.4m,$262.0m,+1.05%,1.11%,0.73,+0.0023%,+0.0047%,$82.0k
12,Chainlink-LINK,$7.15,+5.04%,$343.0m,$123.0m,+24.22%,0.52%,0.36,+0.0071%,-0.0010%,$322.0k
13,Chiliz-CHZ,$0.2127,-1.11%,$322.2m,$99.7m,+3.91%,0.42%,0.31,+0.0030%,-0.0010%,$339.2k
14,STEPN-GMT,$0.7011,+3.83%,$316.6m,$115.4m,+6.20%,0.49%,0.36,+0.0001%,-0.0050%,$506.2k
15,Optimism-OP,$1.16,-2.49%,$314.2m,$70.1m,-2.50%,0.30%,0.22,-0.0031%,-0.0107%,$310.2k
16,Dogecoin-DOGE,$0.0632,+1.37%,$310.7m,$128.5m,+1.88%,0.54%,0.41,+0.0053%,+0.0111%,$429.1k
17,Avalanche-AVAX,$18.98,+1.05%,$294.1m,$143.4m,+6.24%,0.61%,0.49,-0.0020%,-0.0050%,$125.9k
18,Axie Infinity-AXS,$14.52,-3.36%,$277.0m,$92.3m,-25.13%,0.39%,0.33,-0.0151%,-0.0123%,$462.6k
19,Ripple-XRP,$0.3316,+0.58%,$272.4m,$319.0m,+0.65%,1.35%,1.17,+0.0067%,+0.0040%,$95.9k
20,Ravencoin-RVN,$0.0341,+19.16%,$270.4m,$22.8m,+301.24%,0.10%,0.08,-0.3017%,-0.8405%,$589.2k
