,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,993.55",+1.00%,$16.4b,$9.9b,-0.41%,41.73%,0.60,+0.0006%,-0.0010%,$7.9m
1,Ethereum-ETH,"$1,577.65",+1.50%,$14.5b,$7.0b,+1.49%,29.50%,0.48,+0.0004%,+0.0015%,$19.8m
2,Cardano-ADA,$0.5011,+4.33%,$1.4b,$349.9m,+10.17%,1.47%,0.25,-0.0106%,-0.0051%,$1.9m
3,Ethereum Classic-ETC,$32.52,+0.98%,$762.6m,$385.2m,+1.38%,1.62%,0.51,-0.0139%,-0.0076%,$1.3m
4,Solana-SOL,$32.05,+3.10%,$646.1m,$402.2m,+3.77%,1.69%,0.62,+0.0103%,+0.0122%,$1.1m
5,1000SHIB-1000SHIB,$0.0128,+4.38%,$600.5m,$54.5m,+37.44%,0.23%,0.09,+0.0100%,+0.0095%,$800.0k
6,Filecoin-FIL,$6.26,-3.94%,$501.7m,$123.0m,-19.66%,0.52%,0.25,-0.0011%,+0.0026%,$903.7k
7,Litecoin-LTC,$60.94,+1.66%,$483.3m,$228.0m,-1.61%,0.96%,0.47,+0.0036%,+0.0110%,$841.8k
8,Cosmos-ATOM,$12.90,+2.27%,$470.6m,$150.4m,+11.88%,0.63%,0.32,-0.0061%,-0.0095%,$611.9k
9,EOS-EOS,$1.49,-2.12%,$459.2m,$188.2m,-3.37%,0.79%,0.41,+0.0058%,+0.0040%,$580.8k
10,Polygon-MATIC,$0.8931,+0.49%,$440.8m,$235.1m,-1.75%,0.99%,0.53,+0.0001%,-0.0050%,$288.5k
11,Binance Coin-BNB,$278.56,+0.40%,$376.2m,$262.9m,+1.04%,1.11%,0.70,+0.0022%,+0.0016%,$87.5k
12,Chainlink-LINK,$7.13,+4.15%,$365.4m,$120.0m,+21.60%,0.51%,0.33,+0.0081%,+0.0002%,$345.6k
13,STEPN-GMT,$0.7070,+4.48%,$331.4m,$116.6m,+7.09%,0.49%,0.35,+0.0001%,-0.0034%,$506.3k
14,Chiliz-CHZ,$0.2128,-1.89%,$326.4m,$98.6m,+1.87%,0.42%,0.30,+0.0021%,-0.0028%,$336.4k
15,Optimism-OP,$1.17,-2.09%,$319.4m,$70.4m,-2.79%,0.30%,0.22,-0.0027%,-0.0095%,$308.5k
16,Dogecoin-DOGE,$0.0632,+0.96%,$318.5m,$128.5m,+1.21%,0.54%,0.40,+0.0053%,+0.0053%,$433.2k
17,Avalanche-AVAX,$18.99,+0.85%,$314.1m,$145.9m,+7.51%,0.61%,0.46,-0.0024%,-0.0096%,$134.9k
18,Ravencoin-RVN,$0.0347,+20.36%,$312.3m,$26.5m,+350.66%,0.11%,0.08,-0.2252%,-0.6559%,$629.7k
19,Polkadot-DOT,$7.36,+1.05%,$287.1m,$272.5m,+1.79%,1.15%,0.95,-0.0090%,+0.0084%,$371.8k
20,Ripple-XRP,$0.3313,+0.63%,$282.7m,$319.2m,+0.08%,1.35%,1.13,+0.0062%,+0.0075%,$108.6k
21,The Sandbox-SAND,$0.9694,+4.38%,$270.7m,$89.5m,+15.72%,0.38%,0.33,+0.0122%,+0.0066%,$420.6k
22,Axie Infinity-AXS,$14.52,-3.79%,$252.1m,$91.9m,-24.19%,0.39%,0.36,-0.0150%,-0.0112%,$396.4k
23,Tellor-TRB,$18.95,+0.21%,$213.4m,$62.4m,-8.20%,0.26%,0.29,-0.1998%,-0.0941%,$264.1k
24,Unifi Protocol DAO-UNFI,$8.05,+3.67%,$181.3m,$20.9m,-4.90%,0.09%,0.12,+0.0063%,+0.0023%,$189.1k
25,NEAR Protocol-NEAR,$4.23,+1.74%,$168.3m,$91.0m,+2.70%,0.38%,0.54,+0.0044%,-0.0009%,$179.8k
26,ApeCoin-APE,$4.79,+0.99%,$147.9m,$69.3m,+1.61%,0.29%,0.47,+0.0037%,+0.0012%,$86.3k
27,Decentraland-MANA,$0.8077,+2.71%,$139.2m,$43.4m,+9.82%,0.18%,0.31,+0.0097%,+0.0110%,$221.7k
28,Curve DAO Token-CRV,$1.09,+1.88%,$137.9m,$58.7m,+0.38%,0.25%,0.43,-0.0357%,-0.0038%,$147.4k
29,SHIBA INU-SHIB,$0.0000,+4.98%,$125.8m,$22.0m,+9.65%,0.09%,0.17,+0.0065%,+0.0085%,$512.9k
