,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,541.64",-7.09%,$39.2b,$6.8b,-7.34%,29.41%,0.17,-0.0191%,-0.0117%,$99.5m
1,Bitcoin-BTC,"$18,873.47",-4.76%,$35.6b,$10.0b,+0.70%,42.87%,0.28,-0.0006%,-0.0025%,$93.9m
2,Ethereum Classic-ETC,$36.12,-10.75%,$7.1b,$513.1m,-25.88%,2.21%,0.07,-0.0190%,-0.0347%,$37.5m
3,Solana-SOL,$31.38,-4.43%,$1.8b,$375.2m,-5.87%,1.62%,0.21,-0.0052%,-0.0014%,$3.0m
4,EOS-EOS,$1.52,+0.11%,$1.2b,$198.7m,+7.90%,0.86%,0.17,-0.0022%,-0.0108%,$3.6m
5,Cardano-ADA,$0.4657,-6.03%,$1.1b,$280.8m,-8.60%,1.21%,0.25,+0.0153%,+0.0106%,$2.7m
6,Binance Coin-BNB,$266.40,-5.08%,$933.0m,$279.9m,+3.97%,1.21%,0.30,-0.0122%,-0.0084%,$1.4m
7,Polygon-MATIC,$0.8149,-8.44%,$867.3m,$187.6m,-14.85%,0.81%,0.22,-0.0020%,-0.0017%,$2.1m
8,Ripple-XRP,$0.3237,-3.14%,$791.2m,$323.1m,-1.41%,1.39%,0.41,-0.0072%,-0.0088%,$2.3m
9,Avalanche-AVAX,$18.54,-7.04%,$735.0m,$130.0m,-11.48%,0.56%,0.18,-0.0080%,+0.0076%,$1.8m
10,Litecoin-LTC,$55.36,-7.15%,$714.2m,$192.3m,-10.12%,0.83%,0.27,+0.0054%,-0.0005%,$3.2m
11,Cosmos-ATOM,$12.01,-3.12%,$637.3m,$110.6m,-10.39%,0.48%,0.17,-0.0006%,-0.0057%,$1.3m
12,NEAR Protocol-NEAR,$4.12,-7.12%,$628.6m,$90.8m,-12.49%,0.39%,0.14,-0.0008%,-0.0008%,$1.6m
13,Chiliz-CHZ,$0.1867,-8.49%,$599.3m,$76.1m,-20.45%,0.33%,0.13,+0.0094%,+0.0061%,$2.0m
14,Polkadot-DOT,$7.06,-6.69%,$571.2m,$262.0m,-7.59%,1.13%,0.46,-0.0103%,-0.0117%,$2.0m
15,Dogecoin-DOGE,$0.0603,-3.86%,$555.0m,$119.7m,-5.55%,0.52%,0.22,+0.0002%,+0.0040%,$2.8m
16,Stargate Finance-STG,$0.7054,+6.35%,$519.8m,$33.7m,+75.79%,0.14%,0.06,+0.0001%,+0.0058%,$756.6k
17,Optimism-OP,$1.11,-9.39%,$507.3m,$59.5m,-11.79%,0.26%,0.12,+0.0053%,+0.0032%,$1.5m
18,Filecoin-FIL,$5.75,-6.31%,$476.7m,$101.6m,-8.68%,0.44%,0.21,+0.0048%,+0.0005%,$2.8m
19,Helium-HNT,$4.30,+17.38%,$454.6m,$33.1m,+54.38%,0.14%,0.07,-0.0267%,-0.0647%,$1.2m
20,Ravencoin-RVN,$0.0378,-4.29%,$444.5m,$21.9m,-36.09%,0.09%,0.05,+0.0257%,-0.0011%,$1.4m
21,Chainlink-LINK,$6.78,-5.83%,$405.3m,$103.2m,-8.06%,0.44%,0.25,+0.0086%,+0.0019%,$1.7m
22,STEPN-GMT,$0.6360,-7.71%,$369.3m,$104.8m,-5.53%,0.45%,0.28,-0.0103%,-0.0209%,$1.2m
23,Curve DAO Token-CRV,$1.06,-8.51%,$336.6m,$57.2m,-15.43%,0.25%,0.17,-0.0072%,+0.0067%,$928.8k
24,Bitcoin Cash-BCH,$113.98,-8.44%,$331.1m,$166.2m,-10.62%,0.72%,0.50,-0.0025%,-0.0114%,$842.2k
25,1000SHIB-1000SHIB,$0.0121,-3.67%,$329.5m,$41.2m,-8.47%,0.18%,0.13,+0.0100%,+0.0100%,$802.3k
26,The Sandbox-SAND,$0.8776,-8.45%,$296.2m,$72.9m,-13.27%,0.31%,0.25,+0.0023%,-0.0010%,$1.4m
27,ApeCoin-APE,$4.30,-8.77%,$273.2m,$63.8m,-6.12%,0.27%,0.23,-0.0044%,-0.0002%,$1.1m
28,Tellor-TRB,$16.23,-3.81%,$261.6m,$42.6m,-11.73%,0.18%,0.16,+0.0283%,-0.0849%,$578.1k
29,Project Galaxy-GAL,$2.44,-6.82%,$245.7m,$14.7m,+8.65%,0.06%,0.06,-0.0050%,-0.0176%,$683.2k
30,Ethereum Name Service-ENS,$13.66,-6.48%,$204.5m,$26.9m,-16.03%,0.12%,0.13,+0.0090%,+0.0065%,$510.2k
31,Axie Infinity-AXS,$13.22,-6.98%,$192.0m,$78.6m,-6.25%,0.34%,0.41,-0.0161%,-0.0392%,$1.1m
32,Fantom-FTM,$0.2476,-7.17%,$191.5m,$48.3m,-3.38%,0.21%,0.25,+0.0034%,-0.0011%,$750.8k
33,Unifi Protocol DAO-UNFI,$7.09,-7.92%,$176.5m,$18.0m,-9.18%,0.08%,0.10,+0.0021%,+0.0092%,$406.8k
34,Aave-AAVE,$83.99,-7.72%,$148.2m,$43.9m,-12.70%,0.19%,0.30,-0.0306%,-0.0254%,$312.5k
35,Tron-TRX,$0.0606,-4.85%,$140.2m,$141.3m,-1.13%,0.61%,1.01,-0.0344%,-0.0181%,$309.2k
36,Uniswap-UNI,$5.92,-7.33%,$135.0m,$44.8m,-3.68%,0.19%,0.33,-0.0051%,-0.0067%,$457.0k
37,Decentraland-MANA,$0.7422,-6.22%,$134.7m,$38.2m,-5.12%,0.16%,0.28,+0.0045%,-0.0045%,$537.1k
38,Gala-GALA,$0.0477,-5.43%,$134.6m,$33.3m,-6.20%,0.14%,0.25,+0.0007%,+0.0006%,$454.4k
39,Waves-WAVES,$4.32,-5.62%,$126.1m,$48.3m,-6.73%,0.21%,0.38,+0.0042%,+0.0057%,$566.2k
40,Kyber Network Crystal-KNC,$1.70,+0.44%,$125.5m,$19.8m,+9.25%,0.09%,0.16,+0.0063%,+0.0062%,$278.0k
41,dYdX-DYDX,$1.42,-9.85%,$107.2m,$36.0m,-2.03%,0.16%,0.34,+0.0167%,-0.0015%,$515.1k
42,Monero-XMR,$147.21,-5.12%,$104.5m,$40.8m,-11.45%,0.18%,0.39,+0.0051%,-0.0054%,$391.2k
