,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,637.47",+6.14%,$36.5b,$7.2b,+5.47%,30.72%,0.20,-0.0023%,-0.0009%,$89.5m
1,Bitcoin-BTC,"$19,294.26",+2.18%,$26.5b,$9.6b,-3.26%,41.02%,0.36,+0.0017%,+0.0001%,$30.1m
2,Ethereum Classic-ETC,$37.19,+2.97%,$4.7b,$503.8m,-2.17%,2.14%,0.11,-0.0028%,-0.0026%,$13.2m
3,EOS-EOS,$1.63,+6.75%,$2.1b,$230.4m,+15.84%,0.98%,0.11,+0.0100%,+0.0110%,$5.0m
4,Helium-HNT,$4.96,+14.90%,$1.5b,$36.2m,+8.87%,0.15%,0.02,-0.0679%,-0.0006%,$2.4m
5,Solana-SOL,$33.07,+5.19%,$1.4b,$399.9m,+6.55%,1.70%,0.29,+0.0122%,+0.0101%,$2.5m
6,Binance Coin-BNB,$280.77,+5.35%,$761.8m,$280.1m,+0.12%,1.19%,0.37,+0.0081%,+0.0063%,$731.9k
7,Cardano-ADA,$0.4702,+0.93%,$734.6m,$274.2m,-2.59%,1.17%,0.37,+0.0104%,+0.0064%,$799.3k
8,Cosmos-ATOM,$13.21,+9.91%,$734.4m,$153.4m,+38.72%,0.65%,0.21,+0.0129%,-0.0107%,$1.5m
9,Ripple-XRP,$0.3336,+2.82%,$689.9m,$321.4m,-0.51%,1.37%,0.47,+0.0047%,+0.0023%,$1.2m
10,NEAR Protocol-NEAR,$4.52,+9.68%,$579.3m,$120.5m,+32.25%,0.51%,0.21,+0.0010%,+0.0057%,$1.4m
11,Polygon-MATIC,$0.8331,+2.30%,$570.0m,$187.5m,-0.28%,0.80%,0.33,+0.0034%,+0.0050%,$785.8k
12,Avalanche-AVAX,$18.76,+0.73%,$501.2m,$130.9m,+0.91%,0.56%,0.26,+0.0142%,+0.0090%,$631.4k
13,Litecoin-LTC,$57.54,+3.91%,$480.8m,$191.2m,-0.77%,0.81%,0.40,-0.0056%,+0.0011%,$383.9k
14,Polkadot-DOT,$7.19,+1.70%,$458.0m,$262.7m,+0.44%,1.12%,0.57,-0.0009%,-0.0062%,$599.4k
15,Stargate Finance-STG,$0.7678,+8.75%,$438.5m,$27.6m,-18.07%,0.12%,0.06,+0.0059%,+0.0064%,$939.8k
16,Bitcoin Cash-BCH,$127.44,+11.87%,$412.1m,$201.6m,+22.18%,0.86%,0.49,+0.0001%,+0.0048%,$841.5k
17,Chiliz-CHZ,$0.1864,-0.19%,$376.3m,$75.8m,-0.61%,0.32%,0.20,+0.0072%,+0.0066%,$555.2k
18,Optimism-OP,$1.15,+3.54%,$363.6m,$56.1m,-5.69%,0.24%,0.15,+0.0000%,+0.0127%,$630.9k
19,Chainlink-LINK,$7.30,+7.51%,$334.4m,$113.9m,+10.59%,0.48%,0.34,+0.0083%,+0.0052%,$474.0k
20,Filecoin-FIL,$5.81,+1.04%,$318.8m,$104.0m,+2.19%,0.44%,0.33,+0.0077%,+0.0100%,$707.3k
21,Dogecoin-DOGE,$0.0606,+0.37%,$313.1m,$119.8m,+0.06%,0.51%,0.38,+0.0131%,+0.0024%,$454.2k
22,Curve DAO Token-CRV,$1.14,+7.70%,$308.9m,$61.2m,+7.03%,0.26%,0.20,+0.0106%,-0.0020%,$1.0m
23,STEPN-GMT,$0.6456,+1.48%,$232.3m,$103.3m,-1.54%,0.44%,0.44,+0.0012%,+0.0049%,$289.3k
24,1000SHIB-1000SHIB,$0.0121,+0.45%,$229.1m,$42.6m,+3.26%,0.18%,0.19,+0.0100%,+0.0096%,$377.1k
25,ApeCoin-APE,$4.46,+3.59%,$221.4m,$63.0m,-1.08%,0.27%,0.28,-0.0071%,-0.0046%,$515.8k
26,The Sandbox-SAND,$0.9056,+2.99%,$182.9m,$72.1m,-1.17%,0.31%,0.39,+0.0074%,+0.0039%,$223.7k
27,Tellor-TRB,$16.34,+0.45%,$164.6m,$38.0m,-11.11%,0.16%,0.23,-0.0227%,-0.0025%,$248.9k
28,Fantom-FTM,$0.2512,+1.16%,$159.9m,$47.1m,-2.55%,0.20%,0.29,+0.0055%,+0.0090%,$179.1k
29,Terra Classic-LUNC,$0.0005,+21.57%,$154.2m,$14.9m,+267.34%,0.06%,0.10,-0.0023%,-0.0044%,$944.0k
30,Axie Infinity-AXS,$13.50,+0.75%,$153.0m,$76.7m,-2.72%,0.33%,0.50,-0.0224%,-0.0338%,$137.8k
31,Tron-TRX,$0.0605,-0.24%,$147.3m,$141.0m,-0.22%,0.60%,0.96,-0.0089%,-0.0170%,$358.1k
32,Ravencoin-RVN,$0.0357,-5.61%,$147.0m,$17.5m,-19.79%,0.07%,0.12,-0.0013%,+0.0048%,$299.3k
33,iExec RLC-RLC,$1.22,+9.77%,$139.0m,$7.9m,+39.05%,0.03%,0.06,-0.0140%,+0.0026%,$393.4k
34,Ethereum Name Service-ENS,$15.04,+9.33%,$126.2m,$33.0m,+23.12%,0.14%,0.26,+0.0076%,+0.0025%,$154.0k
35,Aave-AAVE,$87.98,+4.73%,$119.0m,$44.8m,+2.13%,0.19%,0.38,+0.0067%,+0.0031%,$149.2k
36,Terra-LUNA,$1.94,+3.02%,$111.4m,$7.7m,+15.03%,0.03%,0.07,-0.0180%,-0.0186%,$386.3k
37,SushiSwap-SUSHI,$1.22,+8.83%,$110.8m,$30.9m,+13.44%,0.13%,0.28,+0.0063%,+0.0000%,$225.6k
38,dYdX-DYDX,$1.43,+1.15%,$104.4m,$36.0m,-0.36%,0.15%,0.34,+0.0028%,+0.0008%,$136.7k
39,Unifi Protocol DAO-UNFI,$7.05,-0.96%,$103.1m,$17.3m,-3.52%,0.07%,0.17,+0.0092%,+0.0069%,$95.7k
40,Balancer-BAL,$7.60,+11.96%,$102.4m,$20.6m,+50.23%,0.09%,0.20,+0.0090%,+0.0092%,$202.0k
41,Uniswap-UNI,$6.12,+3.30%,$97.8m,$45.0m,+0.16%,0.19%,0.46,-0.0033%,-0.0041%,$55.0k
42,yearn.finance-YFI,"$9,218.33",+3.83%,$93.8m,$35.6m,+8.01%,0.15%,0.38,-0.0098%,-0.0114%,$165.6k
43,ConstitutionDAO-PEOPLE,$0.0206,+2.58%,$93.4m,$23.9m,+1.35%,0.10%,0.26,+0.0037%,+0.0041%,$147.5k
44,Decentraland-MANA,$0.7610,+2.62%,$92.0m,$38.5m,+0.84%,0.16%,0.42,+0.0071%,+0.0044%,$105.7k
45,Gala-GALA,$0.0483,+0.87%,$84.2m,$33.9m,+1.63%,0.14%,0.40,+0.0070%,+0.0076%,$74.2k
46,Synthetix Network Token-SNX,$2.89,+1.25%,$78.4m,$31.6m,-2.31%,0.13%,0.40,-0.0121%,+0.0010%,$58.4k
47,Waves-WAVES,$4.38,+1.18%,$75.1m,$49.3m,+2.04%,0.21%,0.66,+0.0065%,+0.0010%,$75.6k
48,Kyber Network Crystal-KNC,$1.77,+3.88%,$72.5m,$20.7m,+4.15%,0.09%,0.29,-0.0158%,-0.0127%,$72.8k
49,Ocean Protocol-OCEAN,$0.1779,+1.89%,$71.0m,$6.5m,+16.59%,0.03%,0.09,+0.0100%,+0.0100%,$150.9k
50,Monero-XMR,$151.14,+2.60%,$68.9m,$41.7m,+2.18%,0.18%,0.61,+0.0004%,-0.0019%,$100.5k
51,Flow (Dapper labs)-FLOW,$1.91,+5.17%,$68.3m,$25.5m,+10.55%,0.11%,0.37,+0.0022%,+0.0035%,$76.9k
52,Algorand-ALGO,$0.2987,+2.56%,$66.1m,$28.9m,+1.52%,0.12%,0.44,+0.0019%,+0.0114%,$23.4k
