,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,553.86",-1.34%,$14.9b,$6.9b,+0.38%,29.34%,0.46,-0.0097%,-0.0023%,$25.7m
1,Bitcoin-BTC,"$19,788.56",-0.72%,$11.8b,$9.9b,+3.89%,42.26%,0.84,-0.0008%,-0.0015%,$6.2m
2,Filecoin-FIL,$6.50,+11.56%,$1.3b,$152.6m,+50.51%,0.65%,0.12,+0.0011%,+0.0147%,$1.5m
3,Cardano-ADA,$0.4805,+5.95%,$986.4m,$317.4m,+19.07%,1.35%,0.32,-0.0043%,-0.0043%,$1.8m
4,EOS-EOS,$1.53,-0.84%,$765.7m,$195.0m,-3.15%,0.83%,0.25,+0.0019%,+0.0090%,$1.2m
5,Litecoin-LTC,$59.96,-1.37%,$749.6m,$233.3m,+0.95%,0.99%,0.31,+0.0034%,-0.0009%,$680.4k
6,Ethereum Classic-ETC,$32.20,-0.70%,$653.6m,$379.7m,+1.32%,1.61%,0.58,-0.0093%,-0.0092%,$277.2k
7,Chiliz-CHZ,$0.2168,-0.66%,$566.1m,$96.6m,-4.03%,0.41%,0.17,+0.0059%,+0.0072%,$578.8k
8,Polygon-MATIC,$0.8886,+1.96%,$514.3m,$239.1m,+1.59%,1.02%,0.46,-0.0022%,+0.0055%,$417.5k
9,Solana-SOL,$31.07,-0.26%,$458.8m,$387.3m,+0.82%,1.65%,0.84,+0.0015%,-0.0013%,$185.3k
10,Cosmos-ATOM,$12.62,-0.19%,$448.0m,$134.1m,+3.48%,0.57%,0.30,-0.0152%,+0.0012%,$697.3k
11,Axie Infinity-AXS,$15.12,+5.88%,$410.8m,$121.3m,+50.10%,0.52%,0.30,-0.0225%,-0.0238%,$540.3k
12,Optimism-OP,$1.19,-3.07%,$360.2m,$72.4m,-2.64%,0.31%,0.20,+0.0033%,+0.0033%,$345.3k
13,Dogecoin-DOGE,$0.0625,+1.74%,$348.8m,$126.6m,+4.13%,0.54%,0.36,+0.0056%,+0.0122%,$545.6k
14,Ripple-XRP,$0.3291,-0.34%,$326.9m,$318.6m,-0.68%,1.35%,0.97,+0.0013%,+0.0015%,$171.0k
